轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.97,228,0.33,0.34,0.34,12.1,11.3,13.4,16.29,6.7,0.11,0.21,211.8,8.7,325,1,1,1338,664,1480,-1,1479,16.0,131.0,896,32.8,35.2,0.1,3.2,2067.6,0,16.83,23.0,51.4,49.7,49.9,52.3,49.6,48.6,45.9,43.1,52.9,52.9,28,40,28.2,30.7,52,56,25,0,0,0,6,6,4,0,29,28,29,38,39,37,40,40,37,44.99,42.32,45.08,46,470,4.7,0,0,0
10.85,120,0.33,0.34,0.34,10.7,10.9,10.9,11.04,-5.3,0.15,0.18,211.7,5.3,338,1,1,525,664,421,-1,416,10.8,55.1,372,33.5,34.9,0.1,3.2,1072.0,0,14.9,22.9,52.2,50.5,50.7,52.9,50.3,49.0,46.9,44.0,53.0,53.0,28,40,28.3,30.7,43,45,25,0,0,0,6,6,4,0,29,28,29,38,40,37,40,40,37,44.99,42.32,45.07,46,460,4.7,0,0,0
16.06,196,0.33,0.34,0.34,11.7,11.3,13.2,16.3,2.2,0.14,0.25,211.8,8.7,335,1,1,1369,667,1518,1,1525,16.0,134.5,916,32.7,35.3,0.1,3.2,2067.6,0,16.83,22.9,52.1,50.4,50.6,52.9,50.2,49.2,46.4,43.6,53.0,52.6,28,40,28.3,30.7,53,56,25,0,0,0,6,6,4,0,29,28,29,38,39,37,40,40,37,44.99,42.32,45.07,46,470,4.7,0,0,0
14.38,236,0.25,0.25,0.25,11.6,11.3,12.5,14.74,2.2,0.08,0.18,211.4,7.2,339,1,1,1058,668,1141,1,1145,14.2,113.2,762,31.9,34.0,0.0,3.1,2067.6,0,16.83,23.1,49.8,48.2,48.3,50.7,48.1,46.9,44.9,42.3,52.6,52.7,27,39,28.1,30.7,47,49,25,0,0,0,6,6,4,0,28,28,29,38,39,36,39,39,37,45.0,42.32,45.07,46,460,4.7,0,0,0
14.54,108,0.33,0.34,0.34,11.5,11.2,12.5,14.82,4.5,0.14,0.2,211.6,9.0,333,1,1,931,664,971,1,979,14.6,93.8,643,33.0,34.4,0.1,3.2,2067.6,0,16.83,23.0,51.0,49.4,49.4,51.9,49.3,48.1,45.4,42.7,52.8,52.6,28,40,28.2,30.7,47,49,25,0,0,0,6,6,4,0,29,28,29,38,39,36,40,40,37,44.99,42.32,45.07,46,470,4.7,0,0,0
16.29,128,0.25,0.25,0.25,13.4,11.4,11.7,16.55,5.4,0.19,0.11,211.5,9.0,325,1,1,1574,666,1762,2,1769,16.2,163.3,1037,32.1,33.4,0.0,3.1,2067.6,0,16.83,23.0,49.8,48.1,48.2,50.7,48.0,47.1,45.1,42.1,52.7,52.3,28,39,28.2,30.7,49,52,25,0,0,0,6,6,4,0,29,28,29,38,39,36,39,39,37,44.99,42.32,45.08,46,460,4.7,0,0,0
15.75,120,0.25,0.25,0.25,13.3,11.9,11.3,16.04,8.5,0.19,0.18,211.5,8.1,331,1,1,1284,665,1414,0,1413,15.7,129.5,855,31.4,33.5,0.0,3.1,1833.0,0,16.48,23.0,49.6,47.9,48.0,50.5,47.7,46.7,45.1,42.3,52.7,52.5,28,39,28.2,30.7,45,46,25,0,0,0,6,6,4,0,28,28,29,38,39,36,39,39,37,44.99,42.32,45.07,46,460,4.7,0,0,0
12.79,12,0.25,0.25,0.25,11.5,11.0,11.2,13.01,-8.3,0.13,0.2,211.8,7.0,335,1,1,695,664,667,0,671,12.7,74.3,502,32.1,33.5,0.0,3.1,1375.2,0,15.77,23.0,49.8,48.1,48.3,50.7,48.0,46.9,45.0,42.5,52.7,52.8,27,39,28.2,30.7,42,44,25,0,0,0,6,6,4,0,28,28,29,38,39,36,39,39,37,45.0,42.32,45.07,46,460,4.7,0,0,0
12.89,296,0.25,0.25,0.25,11.3,11.0,11.3,13.14,-12.1,0.14,0.21,211.8,7.3,337,1,1,715,665,692,1,695,12.9,73.8,515,32.1,33.5,0.0,3.1,1375.2,0,15.77,23.0,49.7,48.1,48.2,50.6,48.0,46.8,45.1,42.4,52.7,52.7,27,39,28.2,30.7,42,44,25,0,0,0,6,6,4,0,28,28,29,38,39,36,39,39,37,44.99,42.32,45.07,46,470,4.6,0,0,0
16.11,336,0.33,0.34,0.34,11.6,11.3,13.7,16.36,23.4,0.07,0.15,212.0,8.9,325,1,1,1414,667,1568,0,1574,16.1,139.5,941,33.2,34.7,0.1,3.2,2067.6,0,16.83,23.0,51.3,49.7,49.8,52.2,49.4,48.5,45.6,43.0,52.9,52.5,28,40,28.2,30.7,52,56,25,0,0,0,6,6,4,0,29,28,29,38,39,37,40,40,37,44.99,42.32,45.07,46,470,4.7,0,0,0
12.63,232,0.25,0.25,0.25,11.3,11.3,11.6,12.81,1.5,0.13,0.23,212.2,6.6,335,1,1,676,665,642,1,645,12.6,70.3,491,31.7,33.5,0.0,3.1,1824.7,0,16.47,23.0,49.8,48.2,48.3,50.7,48.0,46.9,45.0,42.4,52.7,52.6,28,39,28.2,30.7,43,45,25,0,0,0,6,6,4,0,28,28,29,38,39,36,39,39,37,44.99,42.32,45.07,46,460,4.7,0,0,0
15.87,120,0.33,0.34,0.34,11.1,12.3,13.1,16.14,-9.2,0.24,0.2,211.3,9.3,331,1,1,1277,664,1400,2,1400,15.8,127.9,853,32.1,34.5,0.1,3.2,2067.6,0,16.83,23.0,50.6,48.9,49.1,51.5,48.8,47.7,45.1,42.4,52.8,52.7,27,40,28.2,30.7,55,59,25,0,0,0,6,6,4,0,29,28,29,38,39,36,40,40,37,44.99,42.32,45.07,46,460,4.7,0,0,0
15.94,208,0.33,0.34,0.34,13.3,11.4,11.2,16.3,-12.4,0.14,0.26,211.8,7.9,331,1,1,1389,667,1543,1,1551,16.0,141.6,920,32.8,35.0,0.1,3.2,2067.6,0,16.83,23.0,51.8,50.1,50.3,52.7,50.0,49.0,46.2,43.5,52.9,52.9,28,40,28.3,30.7,50,53,25,0,0,0,6,6,4,0,29,28,29,38,39,36,40,40,37,44.99,42.32,45.07,46,470,4.7,0,0,0
16.03,236,0.33,0.34,0.34,11.9,11.1,13.4,16.43,19.0,0.14,0.17,212.0,8.3,331,1,1,1390,667,1541,0,1543,16.0,135.6,924,33.0,34.7,0.1,3.2,2067.6,0,16.83,23.0,51.2,49.6,49.7,52.1,49.3,48.3,45.6,43.0,52.9,52.6,28,40,28.2,30.7,51,54,25,0,0,0,6,6,4,0,29,28,29,38,39,36,40,40,37,44.99,42.32,45.07,46,470,4.7,0,0,0
14.92,324,0.33,0.34,0.34,12.5,11.1,12.2,15.13,24.1,0.07,0.18,211.7,5.2,319,1,1,1018,664,1084,1,1098,14.9,103.7,698,33.1,34.8,0.1,3.2,2067.6,0,16.83,23.0,51.7,50.0,50.2,52.6,49.9,49.0,46.0,43.3,52.9,52.7,28,40,28.2,30.7,50,53,25,0,0,0,6,6,4,0,29,28,29,38,39,37,40,40,37,44.99,42.32,45.07,46,460,4.7,0,0,0
15.79,172,0.33,0.34,0.34,11.6,11.4,13.2,15.98,-9.4,0.03,0.21,212.0,7.8,335,1,1,1180,665,1277,1,1273,15.6,114.0,787,32.7,34.5,0.1,3.2,2067.6,0,16.83,23.0,51.0,49.4,49.5,51.9,49.3,48.0,45.6,42.8,52.8,52.8,27,40,28.2,30.7,47,49,25,0,0,0,6,6,4,0,29,28,29,38,39,36,40,40,37,44.99,42.32,45.07,46,460,4.7,0,0,0
15.71,348,0.33,0.34,0.34,12.7,11.2,12.7,15.94,-7.5,0.13,0.23,211.9,8.8,326,1,1,1218,665,1328,2,1337,15.7,117.7,812,33.0,34.9,0.1,3.2,2067.6,0,16.83,23.0,51.8,50.1,50.4,52.7,50.0,49.1,46.1,43.5,52.9,52.7,28,40,28.3,30.7,48,51,25,0,0,0,6,6,4,0,29,28,29,38,40,36,40,40,37,44.99,42.32,45.07,45,460,4.7,0,0,0
