轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.41,24.0,0.24,0.24,0.24,11.0,10.6,10.7,7.54,1.1,0.11,0.19,211.8,3.9,88.0,1.0,1.0,399.0,691.0,106.0,1.0,111.0,7.3,20.3,141.0,32.9,33.8,0.1,3.3,2067.6,0.0,16.83,15.5,18.3,17.0,17.9,18.1,17.3,17.6,17.7,17.4,31.6,31.9,20.0,30.0,16.0,20.3,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,20.0,21.0,34.0,33.0,30.0,30.0,30.0,29.0,45.03,42.37,45.1,40.0,420.0,4.0,0.0,0.0,0.0
7.51,24.0,0.24,0.24,0.24,10.7,10.8,10.7,7.68,-5.6,0.01,0.25,211.5,2.8,87.0,1.0,1.0,406.0,691.0,135.0,1.0,138.0,7.4,25.4,174.0,30.5,31.8,0.1,3.2,1798.9,0.0,16.43,15.2,18.5,17.3,18.0,18.3,17.6,17.6,18.0,17.5,32.1,32.3,20.0,30.0,16.0,20.1,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,21.0,20.0,21.0,34.0,34.0,30.0,30.0,30.0,29.0,45.03,42.37,45.1,40.0,400.0,4.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,24.0,0.24,0.24,0.24,10.4,10.8,10.9,7.48,8.8,0.01,0.15,211.3,3.0,84.0,1.0,1.0,392.0,691.0,78.0,4.0,81.0,7.4,15.8,105.0,31.8,32.9,0.1,3.2,2067.6,0.0,16.83,15.2,18.6,17.3,18.2,18.5,17.6,18.0,17.9,17.5,32.3,32.5,20.0,30.0,16.0,20.1,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,21.0,20.0,21.0,34.0,33.0,30.0,30.0,30.0,30.0,45.02,42.37,45.1,42.0,420.0,4.2,0.0,0.0,0.0
7.44,24.0,0.24,0.24,0.24,10.4,10.9,10.6,7.58,-23.9,0.07,0.19,27.2,3.3,107.0,1.0,1.0,395.0,690.0,119.0,2.0,124.0,7.5,22.3,155.0,32.5,34.0,0.1,3.3,1500.0,0.0,15.98,15.0,18.7,17.4,18.2,18.6,17.8,18.0,18.1,17.5,32.6,32.8,20.0,30.0,16.0,20.1,40.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,21.0,20.0,21.0,34.0,34.0,30.0,30.0,30.0,30.0,45.02,42.37,45.09,42.0,420.0,4.2,0.0,0.0,0.0
7.95,24.0,0.24,0.24,0.24,10.4,10.6,11.3,8.13,-5.7,0.15,0.18,211.4,4.5,101.0,1.0,1.0,411.0,691.0,163.0,1.0,163.0,7.9,28.0,196.0,32.8,33.3,0.1,3.3,2067.6,0.0,16.83,15.0,18.6,17.4,18.2,18.6,17.7,18.1,18.1,17.6,32.5,32.7,21.0,30.0,16.0,20.1,39.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,21.0,20.0,21.0,34.0,34.0,30.0,30.0,30.0,30.0,45.02,42.37,45.09,42.0,420.0,4.2,0.0,0.0,0.0
8.03,24.0,0.24,0.24,0.24,10.8,10.6,10.8,8.18,4.2,0.25,0.23,211.9,5.4,85.0,1.0,1.0,414.0,690.0,166.0,0.0,165.0,8.0,27.9,198.0,29.3,29.9,0.0,3.1,2067.6,0.0,16.83,15.3,18.5,17.1,18.0,18.2,17.4,17.8,17.8,17.4,31.8,32.0,19.0,30.0,16.0,20.2,36.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,20.0,21.0,34.0,34.0,30.0,30.0,30.0,29.0,45.02,42.37,45.1,41.0,400.0,4.1,0.0,0.0,0.0
7.36,24.0,0.24,0.24,0.24,10.7,10.8,10.6,7.54,1.5,0.26,0.3,211.8,3.2,95.0,1.0,1.0,397.0,690.0,102.0,1.0,110.0,7.5,20.6,133.0,30.5,31.6,0.1,3.2,1498.8,0.0,15.97,15.2,18.5,17.3,18.0,18.3,17.5,17.7,17.9,17.5,32.0,32.3,20.0,30.0,16.0,20.1,37.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,20.0,21.0,34.0,33.0,30.0,30.0,30.0,29.0,45.02,42.37,45.09,41.0,410.0,4.2,0.0,0.0,0.0
7.67,24.0,0.24,0.24,0.24,10.4,10.8,10.9,7.82,-22.3,0.09,0.17,211.3,3.5,103.0,1.0,1.0,409.0,691.0,145.0,0.0,142.0,7.6,27.7,184.0,32.7,33.7,0.1,3.3,2067.6,0.0,16.83,15.0,18.7,17.4,18.2,18.6,17.7,18.1,18.1,17.5,32.6,32.8,21.0,30.0,16.0,20.1,40.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,21.0,20.0,21.0,34.0,33.0,30.0,30.0,30.0,30.0,45.02,42.38,45.1,42.0,420.0,4.2,0.0,0.0,0.0
8.32,24.0,0.24,0.24,0.24,11.0,10.7,10.8,8.49,-14.2,-0.01,0.15,211.4,5.5,102.0,1.0,1.0,421.0,692.0,185.0,1.0,186.0,8.3,30.1,214.0,32.6,33.1,0.1,3.2,2067.6,0.0,16.83,15.0,18.6,17.4,18.1,18.5,17.7,18.0,18.1,17.5,32.5,32.8,20.0,30.0,16.0,20.1,39.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,21.0,20.0,21.0,34.0,34.0,30.0,30.0,30.0,30.0,45.03,42.37,45.09,42.0,410.0,4.2,0.0,0.0,0.0
