轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.58,80,0.25,0.26,0.25,11.0,11.6,12.9,14.87,3.5,0.14,0.15,211.6,6.6,277,1,1,921,701,998,1,1004,14.5,95.3,660,32.4,34.1,0.0,3.2,2067.6,0,16.83,18.2,55.0,52.6,54.8,54.2,54.2,53.3,51.7,47.4,57.0,56.7,30,41,28.7,32.7,45,48,25,0,0,0,6,6,4,0,32,32,32,41,41,39,41,41,41,44.98,42.3,45.06,50,500,5.1,0,0,0
14.48,200,0.25,0.26,0.25,12.2,11.1,11.6,14.82,-2.7,0.06,0.19,211.7,7.9,277,1,1,914,701,989,0,991,14.5,94.4,653,32.1,33.3,0.0,3.1,2067.6,0,16.83,18.1,55.0,52.4,54.7,54.2,54.2,53.3,51.7,47.2,57.1,56.6,30,41,28.5,32.7,44,47,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,50,500,5.0,0,0,0
14.61,296,0.25,0.26,0.25,10.9,11.7,12.9,14.88,-5.2,0.07,0.18,211.6,7.2,278,1,1,922,702,997,-1,999,14.5,94.8,658,31.9,33.6,0.0,3.1,2067.6,0,16.83,18.2,55.0,52.5,54.7,54.2,54.3,53.1,51.8,47.4,57.0,56.7,30,41,28.7,32.7,45,47,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,49,500,5.1,0,0,0
14.69,208,0.25,0.26,0.25,11.0,11.7,12.0,14.96,-4.2,0.1,0.17,211.4,7.9,276,1,1,936,701,1019,0,1022,14.8,98.4,665,31.7,35.0,0.0,3.1,2067.6,0,16.83,18.2,55.0,52.5,54.7,54.3,54.2,53.5,51.7,47.2,57.0,56.9,30,41,28.7,32.7,45,48,25,0,0,0,6,6,4,0,32,32,32,41,41,39,41,41,41,44.98,42.31,45.06,49,500,5.0,0,0,0
14.87,176,0.25,0.26,0.25,11.3,11.8,11.5,15.12,-5.0,0.1,0.18,211.4,7.6,276,1,1,964,701,1061,2,1077,14.9,99.1,683,29.7,32.3,0.0,3.0,2067.6,0,16.83,18.2,55.0,52.5,54.8,54.2,54.2,53.5,51.6,47.2,57.0,57.1,29,41,28.7,32.7,44,46,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,50,500,5.1,0,0,0
14.11,40,0.25,0.26,0.25,11.1,11.5,11.4,14.31,-4.4,0.09,0.18,211.5,7.4,278,1,1,851,701,903,2,909,14.0,89.5,613,33.8,35.1,0.0,3.1,2067.6,0,16.83,18.1,54.9,52.4,54.7,54.1,54.1,53.1,51.6,47.2,57.1,56.6,30,41,28.5,32.7,45,48,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,50,490,5.1,0,0,0
14.87,120,0.25,0.26,0.25,11.1,11.7,11.3,15.09,-2.1,0.1,0.18,211.5,7.9,275,1,1,958,701,1050,1,1055,14.9,100.0,679,29.9,32.3,0.0,3.0,2067.6,0,16.83,18.1,55.0,52.5,54.8,54.2,54.2,53.3,51.6,47.3,57.0,57.0,30,41,28.7,32.7,44,47,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,49,500,5.1,0,0,0
14.61,240,0.25,0.26,0.25,10.8,11.9,12.8,14.87,-10.2,0.16,0.18,211.4,7.4,280,1,1,918,701,996,0,995,14.6,96.5,656,32.4,33.8,0.0,3.2,2067.6,0,16.83,18.2,55.1,52.6,54.8,54.3,54.2,53.4,51.7,47.4,57.0,56.7,30,41,28.7,32.7,45,47,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,49,500,5.1,0,0,0
14.07,40,0.25,0.26,0.25,12.3,11.2,10.9,14.31,-9.0,0.2,0.18,211.4,6.2,277,1,1,847,700,900,0,907,14.0,91.8,614,31.7,34.9,0.0,3.1,2067.6,0,16.83,18.1,54.9,52.4,54.7,54.1,54.1,53.1,51.5,47.2,57.1,56.7,29,41,28.5,32.7,44,47,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,50,500,5.0,0,0,0
14.54,136,0.25,0.26,0.25,11.3,11.3,13.1,14.84,4.8,0.14,0.18,211.5,6.5,269,1,1,914,701,993,1,998,14.5,97.5,657,29.4,31.6,0.0,3.0,2067.6,0,16.83,18.1,54.7,52.2,54.5,53.9,54.0,53.0,51.3,47.1,57.1,57.0,30,41,28.5,32.7,43,46,25,0,0,0,6,6,4,0,32,32,32,41,41,38,41,41,41,44.98,42.3,45.06,49,500,5.1,0,0,0
