轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.13,328.0,0.24,0.24,0.24,10.5,10.5,11.0,7.27,20.3,0.14,0.21,210.6,2.3,40.0,1.0,1.0,387.0,697.0,33.0,-1.0,35.0,7.2,6.9,44.0,31.8,32.6,0.0,3.1,398.9,0.0,10.71,18.9,34.5,32.6,33.9,33.9,33.3,33.3,33.0,32.5,46.5,46.5,31.0,41.0,30.1,36.1,39.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,38.0,41.0,41.0,41.0,44.98,42.3,45.05,48.0,480.0,5.0,0.0,0.0,0.0
7.12,328.0,0.24,0.24,0.24,10.5,10.8,10.8,7.27,18.2,0.16,0.16,210.5,1.8,35.0,1.0,1.0,391.0,697.0,30.0,0.0,30.0,7.0,7.0,42.0,33.0,33.5,0.1,3.2,217.9,0.0,8.75,18.9,34.4,32.5,33.7,33.9,33.3,33.3,33.1,32.5,46.5,46.4,30.0,41.0,30.1,35.9,40.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,37.0,41.0,41.0,41.0,44.98,42.3,45.05,48.0,490.0,4.9,0.0,0.0,0.0
7.43,328.0,0.24,0.24,0.24,10.5,10.5,11.1,7.59,1.0,0.16,0.25,210.6,3.4,48.0,1.0,1.0,404.0,698.0,112.0,0.0,111.0,7.6,22.7,147.0,29.9,30.7,0.0,3.1,1245.4,0.0,15.56,19.0,34.5,32.7,33.9,33.9,33.5,33.2,33.1,32.7,46.6,46.5,30.0,41.0,30.1,36.1,37.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,37.0,41.0,41.0,41.0,44.97,42.3,45.06,49.0,500.0,4.9,0.0,0.0,0.0
7.12,328.0,0.24,0.24,0.24,10.7,10.5,10.6,7.28,10.1,0.14,0.17,210.5,1.5,38.0,1.0,1.0,390.0,697.0,21.0,-2.0,18.0,7.1,5.0,32.0,33.1,33.6,0.0,3.1,267.0,0.0,9.37,18.9,34.4,32.5,33.7,33.9,33.3,33.1,33.1,32.4,46.5,46.3,31.0,41.0,30.1,35.9,40.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,39.0,41.0,37.0,41.0,41.0,41.0,44.97,42.3,45.05,48.0,500.0,4.9,0.0,0.0,0.0
7.21,328.0,0.24,0.24,0.24,10.6,10.5,10.8,7.38,-2.3,0.11,0.13,211.1,2.2,55.0,1.0,1.0,397.0,699.0,55.0,0.0,53.0,7.1,11.1,74.0,31.0,31.6,0.0,3.1,389.7,0.0,10.63,18.9,34.2,32.4,33.7,33.7,33.3,33.1,32.9,32.3,46.4,46.4,30.0,41.0,29.9,35.8,38.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,37.0,41.0,41.0,41.0,44.97,42.3,45.06,48.0,480.0,4.9,0.0,0.0,0.0
7.14,328.0,0.24,0.24,0.24,11.1,10.6,10.6,7.28,18.1,0.15,0.18,210.2,2.4,36.0,1.0,1.0,391.0,697.0,28.0,1.0,31.0,7.2,6.2,42.0,33.4,33.5,0.0,3.1,218.9,0.0,8.77,18.9,34.4,32.5,33.7,33.9,33.3,33.3,33.0,32.5,46.5,46.4,31.0,41.0,30.1,35.9,40.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,40.0,38.0,41.0,41.0,41.0,44.98,42.3,45.06,48.0,500.0,4.8,0.0,0.0,0.0
7.24,328.0,0.24,0.24,0.24,10.5,10.5,10.9,7.38,6.1,0.16,0.18,211.2,2.8,52.0,1.0,1.0,393.0,698.0,57.0,1.0,59.0,7.1,11.9,77.0,31.2,31.5,0.0,3.1,389.7,0.0,10.63,18.9,34.2,32.4,33.7,33.7,33.3,33.1,32.9,32.3,46.4,46.4,31.0,41.0,29.9,35.8,38.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,39.0,41.0,37.0,41.0,41.0,41.0,44.97,42.3,45.05,48.0,490.0,4.9,0.0,0.0,0.0
7.15,328.0,0.24,0.24,0.24,10.9,10.6,10.6,7.32,3.4,0.11,0.16,210.2,2.5,41.0,1.0,1.0,392.0,697.0,34.0,0.0,35.0,7.0,6.9,47.0,31.6,33.7,0.0,3.1,267.0,0.0,9.37,18.9,34.4,32.5,33.7,33.9,33.3,33.0,33.1,32.6,46.5,46.4,30.0,41.0,30.1,35.9,39.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,37.0,41.0,41.0,41.0,44.97,42.3,45.06,49.0,480.0,5.0,0.0,0.0,0.0
7.29,328.0,0.24,0.24,0.24,10.8,10.8,10.7,7.48,11.2,0.21,0.23,211.0,2.9,46.0,1.0,1.0,397.0,699.0,78.0,1.0,80.0,7.1,16.1,105.0,31.6,32.2,0.0,3.1,479.3,0.0,11.39,18.8,34.2,32.4,33.6,33.7,33.3,33.2,32.9,32.2,46.4,46.4,30.0,41.0,29.9,35.8,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,40.0,37.0,41.0,41.0,41.0,44.98,42.3,45.06,48.0,500.0,4.9,0.0,0.0,0.0
7.08,328.0,0.24,0.24,0.24,10.4,10.9,10.7,7.29,11.9,0.14,0.22,210.3,1.7,37.0,1.0,1.0,394.0,697.0,27.0,1.0,29.0,7.1,6.6,37.0,33.2,33.7,0.0,3.1,218.9,0.0,8.77,18.9,34.4,32.5,33.7,33.9,33.3,33.2,33.1,32.4,46.5,46.3,31.0,41.0,30.1,35.9,40.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,40.0,37.0,41.0,41.0,41.0,44.98,42.3,45.05,48.0,500.0,4.9,0.0,0.0,0.0
7.16,328.0,0.24,0.24,0.24,10.5,10.9,10.7,7.32,3.6,0.11,0.16,210.3,2.5,42.0,1.0,1.0,391.0,697.0,40.0,-1.0,45.0,7.1,9.0,54.0,31.5,33.5,0.0,3.1,220.9,0.0,8.79,18.9,34.4,32.5,33.7,33.9,33.3,33.0,33.0,32.6,46.5,46.5,30.0,41.0,30.1,35.9,39.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,37.0,41.0,41.0,41.0,44.98,42.3,45.05,48.0,490.0,4.9,0.0,0.0,0.0
7.28,328.0,0.24,0.24,0.24,10.5,10.9,10.7,7.49,11.9,0.13,0.2,210.7,3.0,46.0,1.0,1.0,397.0,698.0,76.0,-1.0,77.0,7.3,15.3,103.0,31.6,32.2,0.0,3.1,479.3,0.0,11.39,18.8,34.2,32.4,33.6,33.7,33.3,33.2,32.9,32.2,46.4,46.3,30.0,41.0,29.9,35.8,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,40.0,38.0,41.0,41.0,41.0,44.98,42.3,45.06,48.0,500.0,5.0,0.0,0.0,0.0
7.39,328.0,0.24,0.24,0.24,10.9,10.6,10.6,7.58,1.8,0.14,0.22,210.5,3.3,50.0,1.0,1.0,404.0,697.0,103.0,0.0,111.0,7.5,21.0,137.0,30.0,31.1,0.0,3.1,1078.2,0.0,14.93,19.0,34.5,32.6,33.9,33.9,33.5,33.4,33.3,32.5,46.6,46.5,30.0,41.0,30.1,36.1,37.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,33.0,33.0,34.0,40.0,41.0,37.0,41.0,41.0,41.0,44.97,42.29,45.05,48.0,500.0,4.9,0.0,0.0,0.0
