轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.38,280.0,0.24,0.24,0.24,10.6,10.6,10.6,7.59,1.4,0.14,0.17,211.2,3.2,265.0,1.0,1.0,394.0,690.0,100.0,1.0,99.0,7.4,18.7,131.0,29.4,30.5,0.0,3.1,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.5,24.8,24.6,23.8,23.4,36.6,36.6,22.0,32.0,21.3,26.3,36.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,32.0,32.0,33.0,45.0,42.34,45.08,39.0,410.0,4.0,0.0,0.0,0.0
7.45,56.0,0.24,0.24,0.24,10.9,10.6,10.7,7.59,-3.5,0.13,0.17,210.6,3.1,280.0,1.0,1.0,398.0,689.0,121.0,1.0,125.0,7.4,23.0,157.0,30.4,31.7,0.0,3.1,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.5,24.8,24.6,24.0,23.4,36.8,36.8,22.0,32.0,21.3,26.2,37.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,32.0,32.0,33.0,45.0,42.35,45.08,38.0,400.0,3.9,0.0,0.0,0.0
7.35,48.0,0.24,0.24,0.24,10.4,10.8,10.7,7.54,-1.6,0.13,0.18,211.3,3.3,268.0,1.0,1.0,395.0,690.0,97.0,0.0,100.0,7.3,19.3,129.0,30.8,31.6,0.0,3.1,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.4,24.8,24.4,23.8,23.6,36.6,36.6,23.0,32.0,21.3,26.2,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,32.0,32.0,32.0,33.0,45.0,42.35,45.08,39.0,400.0,4.0,0.0,0.0,0.0
7.37,336.0,0.24,0.24,0.24,10.4,10.5,11.3,7.54,-21.9,0.11,0.18,211.1,3.1,273.0,1.0,1.0,395.0,690.0,98.0,1.0,98.0,7.3,18.2,127.0,31.5,31.6,0.0,3.1,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.5,24.8,24.5,23.8,23.5,36.7,36.6,22.0,32.0,21.3,26.2,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,32.0,32.0,33.0,45.0,42.35,45.08,40.0,400.0,4.0,0.0,0.0,0.0
7.37,88.0,0.24,0.24,0.24,10.4,10.8,10.7,7.47,-18.7,0.13,0.18,211.0,4.1,278.0,1.0,1.0,398.0,690.0,104.0,1.0,106.0,7.2,19.7,133.0,32.7,33.7,0.1,3.2,2067.6,0.0,16.83,13.0,25.2,24.2,25.2,25.4,24.8,24.4,23.9,23.6,36.7,36.8,22.0,32.0,21.3,26.2,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,32.0,32.0,32.0,33.0,45.01,42.35,45.08,39.0,400.0,4.0,0.0,0.0,0.0
7.35,96.0,0.24,0.24,0.24,10.4,10.7,10.8,7.55,-7.6,0.16,0.17,211.1,3.5,276.0,1.0,1.0,388.0,689.0,97.0,0.0,100.0,7.2,18.8,128.0,32.3,33.2,0.1,3.2,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.4,24.8,24.5,23.8,23.6,36.7,36.7,22.0,32.0,21.3,26.2,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,32.0,32.0,32.0,33.0,45.0,42.35,45.08,39.0,400.0,4.0,0.0,0.0,0.0
7.39,96.0,0.24,0.24,0.24,10.9,10.6,10.7,7.6,-0.2,0.13,0.18,211.1,3.5,274.0,1.0,1.0,394.0,690.0,106.0,1.0,104.0,7.2,19.6,138.0,32.5,33.0,0.1,3.2,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.4,24.8,24.6,23.8,23.5,36.7,36.7,22.0,33.0,21.3,26.2,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,33.0,33.0,33.0,45.01,42.35,45.08,39.0,390.0,4.0,0.0,0.0,0.0
7.51,256.0,0.24,0.24,0.24,10.9,10.6,10.6,7.59,-10.6,0.13,0.18,210.9,3.2,273.0,1.0,1.0,396.0,690.0,103.0,2.0,105.0,7.3,20.8,138.0,31.4,32.0,0.0,3.1,2067.6,0.0,16.83,13.0,25.2,24.2,25.1,25.5,24.8,24.4,23.9,23.5,36.7,36.7,22.0,32.0,21.3,26.2,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,32.0,32.0,33.0,45.0,42.35,45.08,40.0,400.0,4.0,0.0,0.0,0.0
7.37,264.0,0.24,0.24,0.24,10.4,10.5,11.3,7.54,3.6,0.13,0.18,211.2,3.2,268.0,1.0,1.0,395.0,690.0,96.0,0.0,92.0,7.5,19.0,127.0,30.4,31.5,0.0,3.1,2067.6,0.0,16.83,13.0,25.2,24.2,25.2,25.4,24.8,24.4,23.8,23.5,36.6,36.6,23.0,32.0,21.3,26.2,37.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,32.0,32.0,33.0,45.0,42.35,45.08,40.0,390.0,4.0,0.0,0.0,0.0
7.37,120.0,0.24,0.24,0.24,10.5,10.8,10.7,7.59,-9.5,0.11,0.18,211.2,2.8,270.0,1.0,1.0,393.0,690.0,100.0,0.0,104.0,7.5,20.5,131.0,30.9,31.9,0.0,3.1,2067.6,0.0,16.83,13.0,25.3,24.2,25.2,25.4,24.8,24.5,23.8,23.6,36.6,36.7,22.0,32.0,21.3,26.2,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,25.0,26.0,36.0,36.0,33.0,32.0,32.0,33.0,45.0,42.35,45.08,39.0,400.0,4.0,0.0,0.0,0.0
