轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.11,232,0.24,0.25,0.24,13.7,12.5,11.5,16.41,14.3,0.14,0.19,209.8,6.5,159,1,1,1536,699,1794,-1,1797,16.0,165.4,1064,30.2,34.5,0.0,3.1,2067.6,0,16.83,12.1,67.0,63.8,66.7,65.3,65.4,64.6,64.3,58.3,52.4,52.3,24,35,23.1,26.9,53,59,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.08,44,430,4.5,0,0,0
16.05,32,0.24,0.25,0.24,11.4,12.9,13.3,16.36,5.6,0.13,0.15,209.7,8.1,161,1,1,1496,700,1746,-1,1747,16.1,160.1,1045,32.4,36.5,0.1,3.2,2067.6,0,16.83,12.1,67.4,64.2,67.0,65.6,65.8,64.7,64.5,58.6,52.4,52.1,24,35,23.0,26.9,56,62,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.01,42.34,45.07,43,440,4.4,0,0,0
16.89,336,1.62,1.62,1.62,15.6,16.1,13.1,17.17,1.8,0.08,0.15,209.3,10.6,163,1,1,1744,702,2061,-1,2071,16.9,187.9,1168,29.6,33.5,0.0,3.1,2067.6,0,16.83,12.1,66.5,63.4,66.3,64.9,64.8,64.2,62.0,57.1,51.9,51.4,24,35,22.8,26.9,60,67,25,0,0,0,6,6,4,0,26,26,26,39,40,36,35,35,35,45.0,42.34,45.07,44,450,4.5,0,0,0
16.81,88,1.13,1.13,1.12,15.0,17.0,14.5,17.08,8.0,0.05,0.23,209.5,10.2,164,1,1,1732,702,2049,1,2076,16.9,188.1,1169,29.7,33.6,0.0,3.1,2067.6,0,16.83,12.0,67.1,64.0,66.7,65.4,65.4,64.4,62.8,57.8,52.0,51.6,24,35,22.8,26.9,59,67,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.07,44,450,4.5,0,0,0
16.03,240,0.24,0.25,0.24,11.1,12.5,13.8,16.36,-3.5,0.22,0.12,209.5,7.9,163,1,1,1487,700,1737,2,1746,16.0,158.4,1044,28.7,33.4,0.0,3.1,2067.6,0,16.83,12.1,68.3,65.2,68.1,66.6,66.8,65.8,64.6,59.0,52.2,51.9,24,35,23.0,26.9,53,59,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.08,44,440,4.4,0,0,0
16.94,32,1.78,1.78,1.77,14.5,11.8,11.8,17.17,3.2,0.07,0.17,209.9,10.0,165,1,1,1738,701,2057,0,2060,17.0,191.1,1165,29.6,33.8,0.0,3.1,2067.6,0,16.83,12.1,66.7,63.8,66.6,65.1,65.2,64.2,62.4,57.5,52.0,51.5,24,35,22.8,26.9,60,67,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.08,44,440,4.5,0,0,0
16.85,344,1.38,1.39,1.39,16.7,15.6,13.4,17.18,2.7,0.08,0.2,209.7,9.5,163,1,1,1737,702,2051,2,2063,16.9,186.4,1168,29.0,33.8,0.0,3.1,2067.6,0,16.83,12.1,67.8,64.7,67.6,66.1,66.1,65.4,63.5,58.3,52.1,51.6,24,35,22.9,26.9,60,66,25,0,0,0,6,6,4,0,26,26,26,39,40,36,35,35,35,45.0,42.34,45.08,44,440,4.5,0,0,0
15.8,208,0.24,0.25,0.24,11.3,12.1,13.8,16.09,6.3,0.14,0.15,209.8,9.6,158,1,1,1412,700,1639,0,1627,15.7,148.8,1003,32.0,34.6,0.1,3.2,2067.6,0,16.83,12.1,67.7,64.7,67.4,66.0,66.0,65.1,64.6,58.8,52.3,52.1,24,35,23.0,26.9,54,60,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.07,43,440,4.5,0,0,0
15.47,232,0.24,0.25,0.24,11.6,12.5,12.7,15.76,-0.2,0.14,0.18,209.6,8.2,159,1,1,1314,700,1515,-1,1540,15.5,139.5,941,31.8,34.6,0.1,3.2,2067.6,0,16.83,12.1,67.2,64.0,66.9,65.5,65.6,64.7,64.4,58.5,52.4,52.2,23,35,23.0,26.9,54,60,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.07,44,440,4.5,0,0,0
15.55,192,0.24,0.25,0.24,12.0,11.4,13.7,15.83,-6.4,0.11,0.18,209.8,7.2,161,1,1,1343,700,1548,1,1550,15.4,140.3,963,33.1,35.3,0.1,3.2,2067.6,0,16.83,12.1,67.5,64.5,67.3,65.8,66.0,64.8,64.5,58.9,52.3,52.2,25,35,23.0,26.9,54,60,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.34,45.08,43,440,4.4,0,0,0
16.73,40,0.81,0.81,0.81,13.9,14.9,15.3,17.08,0.0,0.22,0.15,209.7,8.3,163,1,1,1696,702,2001,1,2005,16.6,184.3,1150,29.4,33.5,0.0,3.1,2067.6,0,16.83,12.1,68.2,65.1,67.9,66.5,66.5,65.5,64.0,58.6,52.1,51.9,24,35,23.0,26.9,59,66,25,0,0,0,6,6,4,0,26,26,26,39,40,36,35,35,35,45.01,42.34,45.08,44,440,4.5,0,0,0
15.75,312,0.24,0.25,0.24,12.5,11.3,13.1,16.15,-1.3,0.11,0.2,209.8,8.0,163,1,1,1445,700,1684,1,1700,15.8,153.1,1026,29.3,33.3,0.0,3.1,2067.6,0,16.83,12.2,68.4,65.3,68.2,66.6,66.8,65.7,64.4,58.9,52.2,52.1,24,35,23.0,26.9,56,62,25,0,0,0,6,6,4,0,26,26,26,39,40,36,35,35,35,45.0,42.34,45.08,44,440,4.5,0,0,0
15.48,136,0.24,0.25,0.24,13.0,11.2,12.0,15.76,16.4,0.12,0.23,209.4,8.0,159,1,1,1354,700,1559,2,1568,15.5,144.4,966,30.7,33.4,0.0,3.1,2067.6,0,16.83,12.1,68.1,64.9,67.8,66.3,66.3,65.6,64.6,58.8,52.3,52.0,24,35,23.0,26.9,53,59,25,0,0,0,6,6,4,0,26,26,26,39,39,36,35,35,35,45.0,42.33,45.08,44,440,4.5,0,0,0
16.77,104,1.59,1.59,1.59,18.0,15.0,12.9,17.07,-1.6,0.13,0.23,209.6,8.3,165,1,1,1736,702,2050,-1,2047,16.8,190.7,1169,29.6,33.7,0.0,3.1,2067.6,0,16.83,12.1,66.9,63.9,66.7,65.3,65.3,64.6,62.6,57.5,52.0,51.7,24,35,22.8,26.9,60,67,25,0,0,0,6,6,4,0,26,26,26,39,40,36,35,35,35,45.0,42.34,45.08,44,450,4.5,0,0,0
