轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.1,152,0.24,0.24,0.24,10.4,10.8,10.8,7.28,6.7,0.13,0.2,211.5,2.2,119,1,1,384,693,26,1,29,7.2,6.2,36,32.4,33.8,0.1,3.2,2067.6,0,16.83,11.4,24.3,23.1,24.3,24.1,23.9,23.4,22.8,22.6,38.8,38.7,22,32,21.1,26.0,40,35,25,0,0,0,6,6,4,0,25,25,25,35,35,32,32,32,33,45.01,42.34,45.08,39,400,4.0,0,0,0
7.09,88,0.24,0.24,0.24,10.5,10.5,10.7,7.21,26.2,0.14,0.17,210.9,2.3,102,1,1,383,691,19,1,14,7.0,4.3,26,31.1,32.0,0.0,3.1,2067.6,0,16.83,11.4,24.2,23.1,24.2,24.1,23.8,23.4,22.8,22.5,38.7,38.7,22,32,21.1,26.0,38,33,25,0,0,0,6,6,4,0,25,25,25,35,36,32,32,32,33,45.01,42.35,45.08,39,400,4.0,0,0,0
7.12,136,0.24,0.24,0.24,10.4,10.5,11.1,7.27,7.8,0.11,0.23,211.2,2.1,114,1,1,384,692,28,1,25,7.1,6.4,39,29.3,31.2,0.0,3.0,2067.6,0,16.83,11.5,24.3,23.1,24.3,24.1,23.9,23.6,22.8,22.6,38.7,38.6,22,32,21.1,26.0,37,32,25,0,0,0,6,6,4,0,25,25,25,34,36,32,32,32,33,45.01,42.35,45.08,39,390,4.0,0,0,0
7.04,24,0.24,0.24,0.24,10.4,10.6,11.3,7.17,11.6,0.14,0.16,211.2,1.5,110,1,1,382,692,9,0,12,7.0,2.9,15,31.2,31.4,0.0,3.1,2067.6,0,16.83,11.4,24.2,23.1,24.2,24.1,23.9,23.6,22.8,22.5,38.7,38.7,22,32,21.1,26.0,38,33,25,0,0,0,6,6,4,0,25,25,25,35,36,32,32,32,33,45.01,42.35,45.08,39,400,4.0,0,0,0
0.43,208,85.98,85.98,85.98,10.6,10.7,11.6,0.6,18.0,0.13,0.14,211.2,2.0,104,1,1,384,691,0,1,0,0.0,1.9,0,32.1,32.9,0.1,3.2,1332.0,0,15.7,11.5,24.1,23.0,24.1,24.1,23.8,23.5,22.8,22.5,38.7,38.7,22,32,21.1,25.9,39,31,25,0,0,0,3,4,4,0,25,25,25,35,36,32,32,32,33,45.0,42.35,45.09,39,390,4.0,0,0,0
7.13,280,0.24,0.24,0.24,10.5,10.8,10.7,7.26,6.9,0.08,0.2,211.3,1.9,115,1,1,391,693,32,0,37,7.1,7.5,42,30.2,33.0,0.0,3.1,2067.6,0,16.83,11.4,24.3,23.1,24.2,24.2,23.9,23.7,22.9,22.5,38.7,38.7,21,32,21.1,26.0,38,33,25,0,0,0,6,6,4,0,25,25,25,35,36,32,32,32,33,45.0,42.35,45.08,39,390,4.0,0,0,0
7.11,104,0.24,0.24,0.24,10.4,10.5,11.3,7.27,3.6,0.22,0.17,211.4,1.9,115,1,1,384,692,29,2,31,7.1,6.9,41,31.7,32.7,0.0,3.2,2067.6,0,16.83,11.4,24.3,23.1,24.3,24.2,24.0,23.7,23.0,22.6,38.8,38.7,22,32,21.1,26.0,39,34,25,0,0,0,6,6,4,0,25,25,25,35,36,32,32,32,33,45.01,42.34,45.08,38,390,4.0,0,0,0
7.08,24,0.24,0.24,0.24,10.8,10.6,10.6,7.22,22.1,0.14,0.17,210.8,2.4,103,1,1,384,691,24,0,21,7.1,5.6,36,31.0,32.2,0.0,3.1,2067.6,0,16.83,11.4,24.2,23.1,24.2,24.1,23.8,23.4,22.8,22.5,38.7,38.6,22,32,21.1,26.0,38,33,25,0,0,0,6,6,4,0,25,25,25,35,35,32,32,32,33,45.01,42.35,45.08,39,400,4.0,0,0,0
7.08,112,0.24,0.24,0.24,10.9,10.6,10.6,7.27,11.3,0.15,0.16,211.3,1.8,108,1,1,384,692,20,0,21,7.1,4.2,27,29.5,30.2,0.0,3.1,1868.1,0,16.53,11.4,24.2,23.1,24.1,24.1,23.9,23.4,22.9,22.6,38.7,38.6,22,32,21.1,26.0,36,32,25,0,0,0,6,6,4,0,25,25,25,35,36,32,32,32,33,45.01,42.35,45.08,39,400,4.0,0,0,0
1.11,208,85.98,85.98,85.98,12.3,11.6,10.9,1.27,12.0,0.13,0.2,211.1,1.7,109,1,1,385,691,0,1,0,0.9,1.9,0,31.9,32.8,0.0,3.2,1332.0,0,15.7,11.5,24.1,23.0,24.1,24.1,23.9,23.5,22.8,22.5,38.7,38.7,22,32,21.1,26.0,39,31,25,0,0,0,3,4,4,0,25,25,25,35,35,32,32,32,32,45.01,42.35,45.08,39,410,3.9,0,0,0
