轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.96,24,0.24,0.24,0.24,11.0,11.2,11.4,11.17,-4.0,0.12,0.17,211.5,5.4,3,1,1,533,691,425,1,422,10.9,53.1,373,33.0,33.7,0.0,3.2,2067.6,0,16.83,21.2,35.8,33.1,33.9,35.0,33.5,33.1,34.0,32.4,44.9,44.7,26,37,27.7,31.0,40,42,25,0,0,0,6,6,4,0,27,27,27,37,38,35,37,37,36,45.0,42.34,45.07,44,440,4.4,0,0,0
10.06,72,0.24,0.24,0.24,11.1,11.1,11.2,10.29,14.6,0.15,0.2,212.1,3.9,341,1,1,483,693,332,1,332,10.1,46.7,317,28.6,30.9,0.0,3.0,2067.6,0,16.83,21.4,35.7,33.0,33.9,35.0,33.4,33.2,33.9,32.4,44.8,44.8,26,37,27.7,31.0,36,37,25,0,0,0,6,6,4,0,27,27,27,37,37,35,37,37,36,45.0,42.34,45.08,44,440,4.5,0,0,0
11.02,168,0.24,0.24,0.24,10.9,10.9,11.2,11.27,0.9,0.2,0.23,211.5,5.5,1,1,1,536,690,432,0,431,10.9,55.9,376,33.0,33.9,0.1,3.1,2067.6,0,16.83,21.2,35.8,33.0,33.9,35.0,33.4,33.0,33.9,32.5,44.9,44.7,25,37,27.7,31.0,40,42,25,0,0,0,6,6,4,0,27,27,27,36,38,34,37,37,36,45.0,42.34,45.07,44,450,4.5,0,0,0
10.13,72,0.24,0.24,0.24,11.0,11.0,11.1,10.35,4.4,0.13,0.23,211.7,4.8,358,1,1,479,692,329,0,332,10.1,47.2,316,28.8,30.2,0.0,3.0,1948.8,0,16.65,21.1,35.6,33.0,33.8,34.8,33.3,33.0,33.9,32.6,44.9,44.8,25,37,27.7,31.2,36,36,25,0,0,0,6,6,4,0,27,27,28,36,38,34,37,37,36,45.0,42.33,45.07,43,440,4.5,0,0,0
10.31,64,0.24,0.24,0.24,10.8,10.8,11.4,10.56,14.7,0.14,0.15,212.0,4.8,339,1,1,496,692,357,1,355,10.3,47.6,331,29.7,30.7,0.0,3.1,2050.1,0,16.8,21.3,35.7,33.0,33.9,34.9,33.3,33.0,33.9,32.5,44.9,44.5,26,37,27.7,31.0,37,38,25,0,0,0,6,6,4,0,27,27,27,36,38,35,37,37,36,45.0,42.34,45.07,43,440,4.4,0,0,0
10.99,344,0.24,0.24,0.24,10.9,10.9,11.2,11.27,-16.6,0.15,0.25,27.3,5.5,8,1,1,538,692,434,-1,437,11.0,56.3,377,31.2,31.9,0.0,3.1,1500.0,0,15.98,21.3,35.7,33.0,33.9,34.9,33.4,33.0,34.0,32.5,44.8,44.6,25,37,27.7,31.0,39,40,25,0,0,0,6,6,4,2,27,27,27,37,38,34,37,37,36,45.0,42.34,45.07,44,440,4.5,0,0,0
10.02,280,0.24,0.24,0.24,11.0,11.0,11.1,10.25,-11.0,0.14,0.14,211.4,4.7,3,1,1,476,692,324,1,324,9.9,46.6,311,30.2,30.5,0.0,3.0,1948.8,0,16.65,21.0,35.5,32.9,33.7,34.8,33.3,32.8,34.0,32.7,45.0,44.3,26,37,27.6,31.2,37,37,25,0,0,0,6,6,4,0,27,27,28,36,38,35,37,37,36,44.99,42.34,45.08,44,440,4.5,0,0,0
9.54,184,0.24,0.24,0.24,10.6,10.8,11.4,9.73,1.7,0.15,0.17,211.8,4.2,1,1,1,453,690,277,1,283,9.5,40.5,280,31.9,32.6,0.0,3.1,1851.6,0,16.51,21.3,35.8,33.0,33.9,34.9,33.4,33.0,34.0,32.4,44.8,44.9,25,37,27.7,31.0,38,39,25,0,0,0,6,6,4,0,27,27,27,36,38,35,37,37,36,45.0,42.34,45.07,44,450,4.5,0,0,0
11.56,128,0.24,0.24,0.24,11.0,11.3,11.6,11.81,-23.7,0.16,0.16,27.7,6.0,3,1,1,571,692,499,1,499,11.5,61.8,417,30.9,31.7,0.0,3.1,1500.0,0,15.98,21.3,35.7,33.0,33.9,34.9,33.3,33.0,33.9,32.4,44.8,44.5,26,37,27.7,31.0,38,40,25,0,0,0,6,6,4,2,27,27,27,36,38,34,37,37,36,45.0,42.34,45.07,43,440,4.5,0,0,0
9.58,256,0.24,0.24,0.24,11.0,11.1,11.1,9.84,8.5,0.13,0.25,212.0,5.0,1,1,1,459,691,283,-1,285,9.5,41.0,285,31.7,32.4,0.0,3.1,1851.6,0,16.51,21.3,35.8,33.0,33.9,35.0,33.4,33.3,33.8,32.5,44.8,44.7,25,37,27.7,31.0,38,39,25,0,0,0,6,6,4,0,27,27,27,36,38,35,37,37,36,45.0,42.34,45.08,44,440,4.4,0,0,0
