轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.11,120,0.25,0.25,0.25,10.8,10.8,11.3,10.34,8.2,0.16,0.18,211.7,5.3,320,1,1,480,694,333,1,332,10.1,45.6,317,32.0,32.8,0.0,3.1,2036.6,0,16.78,24.1,42.6,38.9,40.8,40.6,40.3,39.8,42.8,41.0,51.7,51.6,32,43,33.0,36.7,38,39,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.98,42.3,45.05,50,510,5.1,0,0,0
8.53,120,0.25,0.25,0.25,10.5,10.8,10.8,8.7,12.0,0.14,0.15,210.7,5.5,312,1,1,427,696,200,2,203,8.5,33.1,225,29.4,30.5,0.0,3.0,1260.9,0,15.59,24.2,41.8,38.2,40.0,39.8,39.5,39.1,42.2,40.4,51.6,51.5,32,43,33.0,36.7,36,35,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.97,42.29,45.05,50,510,5.1,0,0,0
12.21,80,0.25,0.25,0.25,11.1,11.3,11.5,12.49,5.0,0.14,0.2,211.8,5.2,303,1,1,636,697,594,0,591,12.2,69.2,466,29.3,30.6,0.0,3.0,2067.6,0,16.83,24.2,41.9,38.3,40.1,39.9,39.7,39.3,42.1,40.2,51.5,51.7,31,43,33.0,36.8,38,40,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.98,42.29,45.05,50,510,5.1,0,0,0
9.93,120,0.25,0.25,0.25,10.8,10.7,11.3,10.14,-3.8,0.13,0.2,211.6,6.5,320,1,1,474,696,318,1,320,9.9,44.7,307,33.3,33.7,0.0,3.1,2039.7,0,16.79,24.1,42.6,38.9,40.8,40.6,40.3,39.7,42.9,40.9,51.7,51.5,32,43,33.0,36.7,40,40,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.98,42.29,45.05,50,510,5.1,0,0,0
7.32,120,0.25,0.25,0.25,10.5,10.9,10.7,7.48,-15.0,0.21,0.15,211.3,4.2,320,1,1,397,695,90,1,92,7.2,18.3,117,30.9,32.2,0.0,3.1,579.9,0,12.14,24.2,42.3,38.6,40.5,40.3,40.0,39.5,42.8,40.9,51.7,51.5,31,43,33.0,36.7,38,35,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.97,42.29,45.06,50,510,5.0,0,0,0
9.77,120,0.25,0.25,0.25,10.8,11.1,11.0,10.02,-13.1,0.15,0.17,210.9,5.4,321,1,1,468,695,300,1,295,9.7,44.4,296,33.1,33.2,0.0,3.2,2067.6,0,16.83,24.1,42.6,38.9,40.8,40.6,40.3,39.9,42.8,40.9,51.7,51.2,31,43,33.0,36.7,39,40,25,0,0,0,6,6,4,0,33,33,34,40,42,38,43,43,42,44.98,42.3,45.05,50,500,5.1,0,0,0
7.52,120,0.25,0.25,0.25,10.9,10.7,10.6,7.68,-4.6,0.19,0.23,211.7,3.9,321,1,1,405,694,135,1,139,7.7,27.2,176,32.1,33.0,0.0,3.1,1158.9,0,15.29,24.1,42.5,38.9,40.6,40.6,40.3,39.5,42.9,40.8,51.7,51.4,31,43,33.0,36.7,38,38,25,0,0,0,6,6,4,0,33,33,34,40,42,38,43,43,42,44.98,42.29,45.05,50,500,5.1,0,0,0
8.06,120,0.25,0.25,0.25,10.4,11.0,10.8,8.24,3.2,0.14,0.09,210.6,3.9,316,1,1,417,695,170,0,173,7.9,31.2,203,29.3,30.3,0.0,3.0,1051.6,0,14.8,24.2,41.9,38.2,40.1,39.9,39.5,39.1,42.2,40.7,51.6,51.4,31,43,32.9,36.7,36,34,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.98,42.29,45.05,49,510,5.0,0,0,0
7.06,120,0.25,0.25,0.25,10.6,10.6,10.8,7.17,55.5,0.05,0.21,210.7,0.3,319,1,1,386,695,7,0,9,7.0,2.5,12,29.9,30.8,0.0,3.0,425.4,0,10.95,24.2,42.0,38.4,40.3,40.1,39.7,39.3,42.5,40.8,51.6,51.5,31,43,33.0,36.7,37,32,25,0,0,0,6,6,4,0,33,33,34,40,41,38,43,43,42,44.97,42.29,45.05,50,510,5.1,0,0,0
12.03,296,0.25,0.25,0.25,11.1,11.1,11.4,12.27,12.3,0.14,0.2,26.8,6.7,302,1,1,611,697,552,2,556,12.0,65.5,443,29.3,30.3,0.0,3.0,1500.0,0,15.98,24.2,41.8,38.2,39.9,39.8,39.6,39.0,42.2,40.3,51.5,51.4,32,43,33.0,36.8,36,37,25,0,0,0,6,6,4,1,33,33,34,40,42,38,43,43,42,44.97,42.29,45.05,50,500,5.1,0,0,0
