轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.11,312,0.26,0.25,0.25,11.8,12.9,13.5,15.0,0.9,0.03,0.05,212.0,10.6,191,1,3,1400,678,1584,1,1591,14.9,145.5,1018,31.5,33.1,0,3.1,1995.3,0,16.72,18.2,62.8,64.3,60.8,61.3,61.8,57.4,58.6,61.8,58.2,56.9,31,38,28.4,31.1,48,46,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.8,44.74,51,510,5.3,0,0,0
16.49,104,0.25,0.24,0.24,13.5,12.3,15.0,16.23,3.0,0.09,0.21,212.3,8.5,188,1,3,1672,678,1909,-1,1913,16.2,163.8,1133,31.7,34.0,0,3.1,2180.0,0,17.0,18.3,64.0,65.6,62.2,62.5,63.1,58.7,58.8,62.0,58.3,56.9,31,38,28.6,31.2,52,49,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,51,510,5.4,0,0,0
15.98,8,0.26,0.25,0.25,14.6,13.7,12.2,15.75,-2.0,0.19,-0.04,212.4,9.1,192,1,3,1530,679,1733,2,1754,15.9,151.4,1039,31.2,33.3,0,3.1,1995.3,0,16.72,18.2,62.7,64.3,60.7,61.2,61.8,57.3,58.4,61.6,58.2,56.9,31,38,28.5,31.2,48,46,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,51,500,5.4,0,0,0
16.56,168,7.16,7.15,7.14,10.6,10.8,11.8,16.5,1.7,-0.14,-0.05,212.5,8.8,190,1,3,1117,676,1222,0,1231,16.4,105.7,713,31.7,33.3,0,3.1,1233.1,0,15.54,18.2,63.0,64.6,61.1,61.6,62.1,57.6,58.9,62.0,58.2,56.9,31,38,28.4,31.1,44,43,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,51,500,5.3,0,0,0
15.96,136,0.25,0.24,0.24,12.3,15.7,12.5,15.92,10.6,0.05,0.01,212.4,10.8,186,1,3,1524,678,1729,1,1749,15.9,155.4,1045,31.5,33.7,0,3.1,2180.0,0,17.0,18.2,63.4,65.0,61.5,61.9,62.5,58.0,58.4,61.6,58.2,57.0,31,38,28.6,31.2,53,49,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.8,44.74,52,500,5.2,0,0,0
16.48,64,0.54,0.54,0.54,11.8,11.3,11.6,16.42,1.5,0.15,0.0,212.3,7.8,189,1,3,1740,680,1986,2,2009,16.3,174.5,1163,32.0,34.5,0,3.1,2180.0,0,17.0,18.1,63.1,64.6,61.2,61.5,62.1,57.8,57.6,60.6,58.2,56.8,31,38,28.4,31.1,57,53,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,52,510,5.3,0,0,0
16.49,64,0.43,0.43,0.43,18.0,16.6,14.5,16.48,-4.5,-0.14,-0.05,212.1,11.8,191,1,3,1733,680,1987,0,1985,16.4,174.0,1155,32.2,34.6,0,3.1,2180.0,0,17.0,18.1,63.7,65.3,61.8,62.2,62.7,58.5,58.0,61.0,58.2,56.8,32,38,28.4,31.1,57,53,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.8,44.74,52,510,5.3,0,0,0
16.4,224,0.26,0.25,0.25,11.4,13.9,13.9,16.35,-2.2,0.17,0.0,212.3,9.6,192,1,3,1620,679,1850,3,1854,16.2,165.8,1106,31.3,33.1,0,3.1,2180.0,0,17.0,18.2,62.7,64.3,60.8,61.2,61.8,57.3,58.3,61.6,58.2,56.9,31,38,28.5,31.2,49,47,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,51,510,5.4,0,0,0
16.35,352,0.24,0.24,0.24,13.3,15.9,12.0,16.14,-2.3,0.11,0.09,212.1,9.3,190,1,3,1687,680,1927,1,1950,16.4,174.1,1129,32.3,34.6,0,3.1,2180.0,0,17.0,18.1,63.6,65.3,61.7,62.1,62.7,58.4,58.0,61.0,58.2,56.9,31,38,28.4,31.1,57,53,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,51,510,5.4,0,0,0
15.71,296,0.25,0.24,0.24,12.4,12.6,14.6,15.81,3.2,0.07,0.01,212.2,10.6,190,1,3,1438,678,1616,2,1625,15.6,140.1,1005,31.4,33.5,0,3.1,2180.0,0,17.0,18.2,63.1,64.6,61.2,61.6,62.1,57.7,58.3,61.5,58.2,56.9,31,38,28.6,31.2,54,50,25,0,0,0,6,6,4,0,31,31,31,41,43,40,38,38,37,44.91,44.79,44.74,51,510,5.4,0,0,0
