轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.17,120.0,0.24,0.24,0.24,11.6,10.5,10.6,7.18,-9.9,0.05,0.02,209.2,1.4,14.0,1.0,3.0,388.0,687.0,42.0,2.0,45.0,7.2,6.7,62.0,34.4,35.2,0.0,3.0,522.0,0.0,11.72,23.3,33.2,29.2,26.7,28.2,27.0,26.5,26.9,27.4,40.8,39.9,28.0,35.0,26.8,29.3,40.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.91,44.8,44.75,47.0,440.0,4.8,0.0,0.0,0.0
7.22,120.0,0.24,0.24,0.24,10.5,11.1,11.5,7.23,13.3,0.12,-0.04,209.1,4.2,21.0,1.0,3.0,390.0,687.0,69.0,2.0,73.0,7.3,12.4,95.0,33.7,34.3,0.0,3.0,1224.8,0.0,15.53,23.3,33.2,29.1,26.7,28.2,27.0,26.4,26.9,27.4,40.8,40.0,28.0,35.0,26.8,29.3,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.91,44.8,44.76,47.0,460.0,4.8,0.0,0.0,0.0
7.43,120.0,0.24,0.24,0.24,10.6,10.4,11.9,7.35,-20.3,-0.11,0.02,208.2,3.6,45.0,1.0,3.0,394.0,689.0,82.0,0.0,86.0,7.3,13.8,114.0,33.1,33.0,0.0,3.0,2180.0,0.0,17.0,23.1,33.0,29.1,26.6,28.2,27.0,26.3,26.8,27.3,40.7,39.8,29.0,35.0,26.6,29.3,38.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.92,44.8,44.76,47.0,460.0,4.8,0.0,0.0,0.0
7.32,120.0,0.24,0.24,0.24,10.4,11.8,10.9,7.37,1.0,0.36,0.0,208.2,4.1,39.0,1.0,3.0,396.0,689.0,95.0,1.0,100.0,7.3,18.1,129.0,32.9,32.9,0.0,3.0,2180.0,0.0,17.0,23.1,33.0,29.1,26.6,28.2,27.0,26.3,26.8,27.3,40.7,39.8,28.0,35.0,26.6,29.3,38.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.92,44.8,44.76,47.0,460.0,4.8,0.0,0.0,0.0
7.3,120.0,0.24,0.24,0.24,10.9,10.4,11.3,7.33,-12.1,-0.13,0.04,191.9,2.2,25.0,1.0,3.0,391.0,688.0,75.0,2.0,80.0,7.3,13.5,103.0,31.4,31.5,0.0,3.0,1326.8,0.0,15.69,22.9,33.0,29.0,26.6,28.2,27.0,26.4,26.8,27.3,40.7,39.8,28.0,35.0,26.6,29.3,36.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,38.0,37.0,35.0,35.0,34.0,44.91,44.8,44.75,46.0,460.0,4.8,0.0,0.0,0.0
7.21,120.0,0.24,0.24,0.24,10.5,12.1,10.8,7.2,31.6,0.03,0.02,22.7,2.3,19.0,1.0,3.0,387.0,687.0,35.0,2.0,41.0,7.2,6.5,51.0,33.6,33.7,0.0,3.0,1500.0,0.0,15.98,23.1,33.1,29.1,26.6,28.2,27.1,26.3,26.9,27.4,40.7,39.8,28.0,35.0,26.6,29.3,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.92,44.8,44.75,47.0,450.0,4.8,0.0,0.0,0.0
7.62,120.0,0.24,0.24,0.24,10.7,10.4,11.4,7.58,-9.4,0.09,0.05,208.8,4.7,37.0,1.0,3.0,405.0,688.0,140.0,-1.0,140.0,7.5,22.9,178.0,31.4,32.4,0.0,3.0,2180.0,0.0,17.0,23.4,33.3,29.3,26.8,28.3,27.2,26.4,26.9,27.3,40.8,40.0,28.0,35.0,26.8,29.4,37.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.92,44.8,44.75,46.0,450.0,4.8,0.0,0.0,0.0
7.54,120.0,0.24,0.24,0.24,10.6,10.5,11.7,7.55,-11.0,0.02,0.02,209.1,4.5,35.0,1.0,3.0,405.0,688.0,135.0,2.0,134.0,7.5,23.0,175.0,32.1,33.1,0.0,3.0,2180.0,0.0,17.0,23.4,33.2,29.2,26.7,28.2,27.1,26.4,26.9,27.3,40.8,40.0,29.0,35.0,26.8,29.4,37.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.92,44.81,44.75,47.0,460.0,4.8,0.0,0.0,0.0
7.28,120.0,0.24,0.24,0.24,11.4,10.5,10.6,7.32,8.3,0.34,0.14,209.0,3.3,21.0,1.0,3.0,393.0,687.0,74.0,0.0,76.0,7.3,12.7,102.0,33.6,34.5,0.0,3.0,1224.8,0.0,15.53,23.3,33.2,29.2,26.8,28.2,27.0,26.4,26.9,27.4,40.8,40.0,28.0,35.0,26.8,29.3,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.91,44.8,44.76,46.0,460.0,4.8,0.0,0.0,0.0
7.39,120.0,0.24,0.24,0.24,10.6,10.4,11.9,7.34,7.6,-0.02,-0.02,208.7,3.4,43.0,1.0,3.0,394.0,687.0,102.0,2.0,105.0,7.3,18.1,133.0,31.3,31.9,0.0,3.0,1800.0,0.0,17.0,23.5,33.3,29.4,26.8,28.3,27.2,26.4,27.0,27.4,40.9,40.0,29.0,35.0,26.9,29.4,36.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,36.0,37.0,37.0,35.0,35.0,34.0,44.91,44.8,44.75,46.0,460.0,4.8,0.0,0.0,0.0
