轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.39,160,0.25,0.25,0.25,10.8,10.7,11.6,7.44,7.2,0.14,0.04,208.7,3.7,68,1,3,399,695,104,-1,106,7.4,17.3,137,35.0,34.9,0.4,3.6,1429.8,0,15.86,5.0,19.3,18.3,16.6,17.5,16.7,15.6,17.1,17.4,37.2,36.0,17,24,13.2,16.8,40,38,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,33,320,3.6,0,0,0
7.44,160,0.25,0.25,0.25,10.8,10.6,11.4,7.44,7.7,0.13,0.04,208.9,4.0,68,1,3,401,696,105,2,108,7.4,18.7,140,35.4,35.2,0.5,3.6,1677.0,0,16.24,5.0,19.3,18.3,16.6,17.5,16.7,15.5,17.0,17.4,37.2,36.0,16,24,13.2,16.8,40,38,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,33,320,3.6,0,0,0
7.49,160,0.25,0.25,0.25,11.3,10.6,10.6,7.48,8.1,0.11,0.02,208.6,3.6,67,1,3,408,697,129,0,131,7.3,21.0,167,33.3,33.0,0.4,3.6,1557.5,0,16.06,4.8,19.3,18.2,16.6,17.4,16.7,15.5,16.9,17.3,37.2,35.9,16,24,13.1,16.8,38,36,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,34,320,3.5,0,0,0
7.5,160,0.25,0.25,0.25,11.0,10.6,10.8,7.49,-3.1,0.09,0.0,208.7,4.0,71,1,3,405,697,131,1,132,7.5,20.8,173,31.9,31.9,0.4,3.6,1612.1,0,16.15,4.8,19.3,18.3,16.6,17.4,16.7,15.6,16.9,17.3,37.2,35.9,17,24,13.2,16.8,37,35,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,33,320,3.6,0,0,0
7.39,160,0.25,0.25,0.25,11.0,10.6,11.0,7.41,2.1,0.09,0.08,208.7,3.6,72,1,3,401,695,100,1,104,7.3,17.6,132,34.1,34.3,0.4,3.6,1222.8,0,15.53,5.2,19.4,18.3,16.6,17.5,16.8,15.6,17.1,17.4,37.3,36.0,16,24,13.2,16.8,39,37,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.81,34,320,3.6,0,0,0
7.36,160,0.25,0.25,0.25,11.0,10.6,10.9,7.41,5.4,0.15,0.05,208.9,3.1,68,1,3,400,695,102,-1,100,7.4,17.4,137,34.5,35.1,0.4,3.6,1429.8,0,15.86,5.0,19.3,18.3,16.6,17.5,16.7,15.6,17.0,17.4,37.2,36.0,17,24,13.2,16.8,40,38,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,33,320,3.6,0,0,0
7.48,160,0.25,0.25,0.25,10.6,10.9,11.3,7.47,9.5,0.09,0.04,208.6,4.2,67,1,3,406,697,130,-1,128,7.5,22.0,172,32.4,33.0,0.4,3.6,1711.0,0,16.3,4.8,19.3,18.2,16.6,17.4,16.7,15.5,16.9,17.3,37.2,35.9,17,24,13.2,16.8,37,36,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,33,320,3.5,0,0,0
7.5,160,0.25,0.25,0.25,10.9,10.9,10.8,7.49,8.1,0.07,0.0,208.7,3.9,68,1,3,405,697,133,0,130,7.5,22.9,173,32.1,32.4,0.4,3.6,1711.0,0,16.3,4.8,19.3,18.2,16.6,17.4,16.7,15.5,16.9,17.3,37.2,35.9,16,24,13.2,16.8,37,36,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,34,320,3.5,0,0,0
7.46,160,0.25,0.25,0.25,10.6,10.7,12.0,7.47,3.6,0.12,0.05,208.5,3.6,66,1,3,399,695,104,2,109,7.5,17.6,142,29.7,31.7,0.4,3.6,1402.0,0,15.82,4.9,19.3,18.3,16.6,17.5,16.7,15.5,17.0,17.4,37.2,35.9,17,24,13.2,16.8,35,34,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.8,34,320,3.5,0,0,0
7.63,160,0.25,0.25,0.25,11.1,10.7,10.7,7.59,4.8,0.1,0.05,208.7,4.5,69,1,3,407,696,143,0,144,7.6,23.1,182,34.6,35.3,0.4,3.6,1937.4,0,16.64,5.1,19.3,18.3,16.6,17.5,16.7,15.6,17.0,17.4,37.2,36.0,17,24,13.2,16.8,40,38,25,0,0,0,6,6,4,0,18,18,18,29,30,31,24,24,23,44.94,44.85,44.81,35,330,3.6,0,0,0
