轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.51,24.0,29.19,29.21,29.21,10.5,11.1,10.6,7.5,0.3,-0.05,-0.05,205.7,7.9,255.0,1.0,3.0,393.0,695.0,62.0,0.0,62.0,7.4,10.8,84.0,34.6,35.1,0.1,3.2,66.1,0.0,7.24,7.3,23.7,23.4,20.6,22.0,21.3,19.6,22.0,22.8,44.7,43.5,22.0,30.0,16.7,20.4,40.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,30.0,30.0,28.0,44.93,44.83,44.78,39.0,370.0,4.1,0.0,0.0,0.0
6.89,24.0,29.19,29.21,29.21,10.5,10.5,10.7,6.86,0.6,0.0,0.04,205.3,11.8,254.0,1.0,3.0,394.0,696.0,58.0,1.0,63.0,6.8,11.1,86.0,35.0,35.1,0.1,3.2,66.1,0.0,7.24,7.1,23.3,23.1,20.1,21.6,20.9,19.2,21.5,22.4,44.3,43.2,20.0,29.0,16.6,20.3,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.93,44.82,44.78,38.0,380.0,4.1,0.0,0.0,0.0
7.17,24.0,29.19,29.21,29.21,10.7,11.2,10.6,7.21,4.8,-0.02,0.09,205.3,10.6,252.0,1.0,3.0,391.0,695.0,62.0,1.0,63.0,7.1,10.2,85.0,34.3,34.9,0.1,3.2,66.1,0.0,7.24,7.1,23.4,23.1,20.3,21.7,21.0,19.2,21.6,22.5,44.4,43.3,21.0,29.0,16.6,20.4,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.93,44.82,44.78,39.0,390.0,4.0,0.0,0.0,0.0
7.2,24.0,29.19,29.21,29.21,10.4,10.6,10.5,7.11,2.2,0.19,0.06,205.5,11.7,253.0,1.0,3.0,391.0,695.0,62.0,0.0,70.0,7.1,10.5,85.0,34.7,34.9,0.0,3.2,66.1,0.0,7.24,7.3,23.6,23.3,20.4,21.9,21.2,19.4,21.8,22.7,44.6,43.4,22.0,29.0,16.7,20.4,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.93,44.83,44.78,38.0,380.0,3.9,0.0,0.0,0.0
6.97,24.0,29.19,29.21,29.21,10.8,10.4,10.7,6.98,2.4,0.13,-0.13,205.6,8.6,251.0,1.0,3.0,396.0,696.0,58.0,1.0,63.0,7.0,10.6,86.0,35.0,34.9,0.1,3.2,66.1,0.0,7.24,7.1,23.3,23.1,20.2,21.7,21.0,19.2,21.5,22.4,44.4,43.3,22.0,29.0,16.6,20.4,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,34.0,33.0,29.0,29.0,28.0,44.92,44.83,44.77,39.0,390.0,4.0,0.0,0.0,0.0
7.2,24.0,29.19,29.22,29.21,10.6,11.1,10.6,7.27,4.9,0.08,0.27,205.4,10.8,251.0,1.0,3.0,394.0,697.0,62.0,-1.0,57.0,7.2,10.7,85.0,34.1,34.6,0.1,3.2,66.1,0.0,7.24,7.1,23.4,23.2,20.3,21.8,21.1,19.3,21.7,22.6,44.4,43.4,21.0,29.0,16.7,20.4,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,34.0,33.0,29.0,29.0,28.0,44.93,44.83,44.78,40.0,390.0,4.1,0.0,0.0,0.0
7.38,24.0,29.19,29.21,29.21,10.4,10.5,10.6,7.38,-5.7,0.02,0.02,205.4,7.4,256.0,1.0,3.0,393.0,695.0,61.0,0.0,60.0,7.4,10.2,83.0,34.0,34.4,0.0,3.2,66.1,0.0,7.24,7.3,23.7,23.6,20.6,22.1,21.3,19.6,22.1,22.9,44.8,43.6,22.0,29.0,16.7,20.6,40.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.93,44.83,44.78,40.0,380.0,4.0,0.0,0.0,0.0
7.09,24.0,29.19,29.21,29.21,10.4,10.5,10.6,6.98,2.2,0.29,-0.2,205.4,7.2,251.0,1.0,3.0,395.0,696.0,60.0,1.0,60.0,7.1,11.1,86.0,34.7,34.7,0.1,3.2,66.1,0.0,7.24,7.1,23.3,23.1,20.2,21.7,21.0,19.2,21.5,22.4,44.4,43.3,22.0,29.0,16.6,20.4,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.93,44.83,44.78,39.0,370.0,4.1,0.0,0.0,0.0
7.29,24.0,29.19,29.21,29.21,10.6,11.1,10.6,7.35,5.3,-0.04,0.05,205.4,7.3,252.0,1.0,3.0,394.0,695.0,62.0,0.0,68.0,7.3,10.7,84.0,34.5,34.6,0.1,3.2,66.1,0.0,7.24,7.2,23.6,23.3,20.4,21.8,21.1,19.4,21.8,22.7,44.5,43.4,21.0,29.0,16.7,20.4,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.93,44.83,44.78,40.0,370.0,4.1,0.0,0.0,0.0
6.96,24.0,29.19,29.21,29.21,10.5,10.5,10.6,6.97,1.2,0.04,0.0,205.4,6.7,250.0,1.0,3.0,395.0,697.0,60.0,1.0,60.0,6.9,11.1,85.0,34.7,35.1,0.1,3.2,66.1,0.0,7.24,7.1,23.1,23.0,20.0,21.6,20.8,19.1,21.4,22.2,44.3,43.1,21.0,29.0,16.6,20.3,40.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,23.0,23.0,32.0,33.0,33.0,29.0,29.0,28.0,44.92,44.82,44.78,38.0,380.0,4.0,0.0,0.0,0.0
