轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.08,232.0,0.24,0.25,0.25,11.6,12.9,12.2,14.11,-0.3,0.09,0.03,209.9,6.7,255.0,1.0,1.0,830.0,697.0,871.0,2.0,880.0,14.0,80.0,603.0,34.4,35.9,0.0,3.0,2067.6,0.0,16.83,19.1,46.1,46.0,43.1,44.3,43.7,42.0,42.1,44.0,56.8,55.6,32.0,40.0,28.0,31.6,44.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
13.89,152.0,0.24,0.25,0.25,11.6,12.8,12.2,13.78,-5.1,-0.02,0.06,209.7,8.3,260.0,1.0,1.0,806.0,696.0,835.0,0.0,841.0,13.8,80.6,587.0,33.1,33.7,0.0,3.0,2003.5,0.0,16.73,19.1,46.3,46.3,43.3,44.6,44.0,42.2,42.4,44.4,56.9,55.7,32.0,40.0,28.0,31.6,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
13.59,344.0,0.24,0.25,0.25,11.4,12.7,12.0,13.57,3.6,0.08,-0.03,209.8,5.7,258.0,1.0,1.0,782.0,696.0,795.0,2.0,807.0,13.5,75.2,569.0,31.0,32.4,0.0,3.0,2067.6,0.0,16.83,18.9,46.8,46.7,43.7,44.9,44.3,42.5,42.9,44.8,57.0,55.8,31.0,40.0,28.0,31.6,40.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,52.0,510.0,5.5,0.0,0.0,0.0
13.85,248.0,0.24,0.25,0.25,13.0,13.2,12.2,13.83,0.0,0.1,0.02,209.8,8.9,254.0,1.0,1.0,818.0,697.0,854.0,-1.0,865.0,13.9,79.5,592.0,35.0,35.9,0.0,3.0,1874.3,0.0,16.54,19.1,46.1,46.0,43.1,44.2,43.7,42.0,42.1,44.0,56.8,55.6,32.0,40.0,28.0,31.6,44.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.4,0.0,0.0,0.0
13.0,256.0,0.24,0.25,0.25,12.5,12.3,12.2,12.97,-1.7,-0.03,0.08,209.7,5.3,257.0,1.0,1.0,720.0,696.0,718.0,0.0,726.0,13.0,72.7,530.0,30.7,32.4,0.0,3.0,1808.2,0.0,16.44,19.1,46.3,46.3,43.3,44.6,44.0,42.2,42.3,44.3,56.9,55.6,32.0,40.0,28.0,31.6,40.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
14.12,128.0,0.24,0.25,0.25,12.2,11.3,13.0,14.01,-3.7,0.07,-0.03,209.7,6.7,257.0,1.0,1.0,853.0,696.0,903.0,2.0,910.0,14.0,84.9,618.0,31.3,32.8,0.0,3.0,2042.8,0.0,16.79,19.1,46.3,46.2,43.2,44.5,43.8,42.1,42.3,44.2,56.9,55.6,33.0,40.0,28.0,31.6,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
13.65,80.0,0.24,0.25,0.25,12.2,11.1,12.8,13.5,-2.5,0.08,0.08,209.5,5.7,259.0,1.0,1.0,790.0,696.0,811.0,1.0,813.0,13.5,77.3,575.0,33.7,34.3,0.0,3.0,1857.8,0.0,16.52,19.1,46.3,46.3,43.3,44.6,44.0,42.2,42.4,44.4,56.9,55.7,32.0,40.0,28.0,31.6,42.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
14.14,104.0,0.24,0.25,0.25,12.9,13.4,12.0,13.96,-6.8,0.04,0.12,209.6,6.7,259.0,1.0,1.0,859.0,696.0,908.0,1.0,910.0,14.0,85.4,616.0,34.2,36.1,0.0,3.0,2067.6,0.0,16.83,19.1,46.5,46.5,43.4,44.8,44.1,42.3,42.6,44.5,57.0,55.7,32.0,40.0,28.0,31.6,44.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.78,44.74,53.0,510.0,5.4,0.0,0.0,0.0
13.66,328.0,0.24,0.25,0.25,12.4,13.6,12.0,13.7,-1.7,0.07,0.02,209.9,7.7,258.0,1.0,1.0,783.0,696.0,800.0,1.0,796.0,13.6,76.1,568.0,31.8,32.7,0.0,3.0,1762.7,0.0,16.37,19.1,46.3,46.3,43.3,44.5,44.0,42.2,42.4,44.4,56.9,55.6,32.0,40.0,28.0,31.6,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
14.15,352.0,0.24,0.25,0.25,11.4,12.5,12.2,13.89,-1.0,0.04,0.04,209.5,7.6,258.0,1.0,1.0,836.0,695.0,879.0,1.0,890.0,14.1,83.0,607.0,34.0,34.5,0.0,3.0,1976.7,0.0,16.69,19.1,46.3,46.3,43.3,44.6,44.0,42.2,42.5,44.4,56.9,55.6,32.0,40.0,28.0,31.6,43.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,33.0,39.0,40.0,39.0,40.0,40.0,39.0,44.91,44.79,44.74,53.0,510.0,5.5,0.0,0.0,0.0
