轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.86,0.0,0.25,0.24,0.24,12.0,12.5,14.8,16.09,-3.7,-0.03,0.02,209.0,8.7,275.0,1.0,1.0,1233.0,688.0,1381.0,1.0,1386.0,15.7,118.0,852.0,35.6,37.2,0.0,3.1,2067.6,0.0,16.83,23.5,68.9,69.4,65.4,67.0,66.4,63.6,56.2,62.3,60.8,59.8,35.0,42.0,29.8,35.5,50.0,48.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.9,44.78,44.73,57.0,550.0,5.8,0.0,0.0,0.0
16.39,88.0,0.25,0.24,0.24,13.6,12.1,15.8,16.27,-4.8,0.14,0.09,209.2,9.0,271.0,1.0,1.0,1577.0,686.0,1807.0,1.0,1809.0,16.4,156.7,1065.0,35.3,36.8,0.0,3.1,2067.6,0.0,16.83,23.4,68.6,69.0,65.1,66.7,65.9,63.3,56.4,62.5,60.8,59.8,35.0,42.0,29.8,35.5,50.0,48.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.91,44.78,44.73,57.0,550.0,5.8,0.0,0.0,0.0
13.66,80.0,0.25,0.24,0.24,11.9,12.0,12.9,13.57,-4.4,0.03,0.12,209.0,7.1,262.0,1.0,1.0,836.0,685.0,869.0,2.0,879.0,13.6,84.4,618.0,35.8,37.3,0.0,3.1,2067.6,0.0,16.83,23.3,70.6,71.1,67.0,68.7,68.1,65.2,58.2,64.4,60.9,59.8,35.0,42.0,30.0,35.4,48.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.91,44.78,44.73,57.0,550.0,5.7,0.0,0.0,0.0
17.74,312.0,6.78,6.78,6.78,15.5,10.8,10.5,17.64,-8.8,-0.07,0.04,209.7,14.2,291.0,1.0,1.0,1794.0,687.0,2076.0,1.0,2055.0,17.7,179.8,1121.0,36.4,38.4,0.0,3.1,2067.6,0.0,16.83,23.6,69.5,70.0,66.0,67.5,66.9,64.4,56.2,62.5,60.8,59.8,35.0,42.0,29.8,35.5,60.0,57.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.91,44.78,44.73,57.0,550.0,5.8,0.0,0.0,0.0
17.0,296.0,7.93,7.93,7.92,10.5,10.6,10.9,16.88,-2.3,0.15,0.01,209.9,14.2,309.0,1.0,1.0,1771.0,690.0,2055.0,3.0,2052.0,16.7,181.3,1169.0,37.0,39.1,0.0,3.1,2067.6,0.0,16.83,23.6,70.7,71.3,67.2,68.8,68.2,65.6,56.9,63.2,60.9,59.8,35.0,42.0,29.8,35.5,60.0,57.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.9,44.77,44.73,57.0,550.0,5.8,0.0,0.0,0.0
16.38,8.0,10.86,10.86,10.86,11.3,11.1,11.5,16.31,-2.1,0.14,-0.03,22.7,13.5,316.0,1.0,1.0,1317.0,688.0,1493.0,1.0,1505.0,16.2,128.2,885.0,37.1,39.1,0.0,3.1,1500.0,0.0,15.98,23.6,70.5,71.1,67.1,68.6,68.0,65.5,56.7,63.1,60.8,59.8,35.0,42.0,29.8,35.5,55.0,52.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.9,44.78,44.73,57.0,560.0,5.8,0.0,0.0,0.0
16.47,280.0,3.2,3.2,3.21,15.7,17.0,14.7,16.59,4.3,0.11,0.05,209.5,10.3,298.0,1.0,1.0,1747.0,689.0,2022.0,1.0,2018.0,16.4,178.5,1178.0,37.8,40.2,0.0,3.2,2067.6,0.0,16.83,23.6,72.4,73.0,68.8,70.4,69.8,67.1,57.7,64.0,60.9,59.9,35.0,42.0,29.8,35.6,63.0,60.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.9,44.78,44.73,57.0,570.0,5.9,0.0,0.0,0.0
12.27,192.0,0.25,0.24,0.24,12.1,12.1,11.8,12.35,-0.5,0.06,-0.04,209.6,6.9,277.0,1.0,1.0,631.0,684.0,585.0,1.0,584.0,12.3,63.0,461.0,35.3,36.5,0.0,3.0,904.4,0.0,14.08,23.4,69.1,69.5,65.6,67.2,66.6,63.7,57.5,63.4,60.8,59.8,35.0,42.0,29.8,35.5,42.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.9,44.78,44.73,56.0,550.0,5.8,0.0,0.0,0.0
14.38,224.0,0.25,0.24,0.24,11.8,13.1,12.5,14.25,4.9,0.06,0.09,209.0,8.0,260.0,1.0,1.0,883.0,684.0,929.0,2.0,937.0,14.2,86.9,629.0,35.5,37.3,0.0,3.0,1322.7,0.0,15.69,23.4,70.6,71.0,67.0,68.7,68.0,65.1,58.3,64.3,60.9,59.8,35.0,42.0,30.0,35.4,45.0,45.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.91,44.78,44.74,56.0,550.0,5.8,0.0,0.0,0.0
15.51,0.0,0.24,0.24,0.24,11.5,14.1,12.8,15.4,-5.8,0.14,0.02,209.2,6.9,275.0,1.0,1.0,1077.0,687.0,1182.0,3.0,1194.0,15.5,103.7,736.0,35.4,37.3,0.0,3.1,1960.1,0.0,16.67,23.5,68.9,69.3,65.4,67.0,66.3,63.5,56.2,62.3,60.8,59.8,35.0,42.0,29.8,35.5,48.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,35.0,41.0,43.0,42.0,42.0,42.0,41.0,44.91,44.78,44.73,57.0,550.0,5.7,0.0,0.0,0.0
