轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.89,12,0.25,0.3,0.31,11.6,10.8,10.9,9.13,0.5,0.12,0.04,183.1,4.7,286,1,3,435,700,221,1,230,8.9,34.6,246,31.5,31.8,0.0,3.3,1500.0,0,15.98,10.1,36.8,38.0,39.0,36.2,39.9,33.4,32.5,35.0,49.2,47.7,29,25,20.8,24.4,38,37,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,410,4.3,0,0,0
8.22,148,0.25,0.3,0.31,11.6,10.8,10.8,8.41,-7.0,0.1,0.07,206.8,4.3,296,1,3,422,700,173,-2,181,8.3,28.1,209,32.4,32.4,0.1,3.3,2067.6,0,16.83,10.1,36.8,37.9,38.9,36.2,39.8,33.3,32.5,35.0,49.1,47.6,31,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,410,4.3,0,0,0
8.77,128,0.25,0.3,0.31,10.8,10.9,10.9,8.91,8.5,0.07,0.0,206.7,5.8,296,1,3,431,699,214,0,215,8.7,33.1,240,32.7,32.8,0.1,3.3,2067.6,0,16.83,10.1,37.2,38.3,39.3,36.5,40.2,33.7,32.6,35.3,49.4,47.9,31,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.95,300,0.25,0.3,0.31,11.0,10.9,11.0,9.02,16.7,0.14,0.06,27.9,5.1,285,1,3,435,700,231,1,236,8.8,35.4,250,31.2,31.4,0.0,3.3,1500.0,0,15.98,10.1,36.8,38.0,39.0,36.2,39.9,33.4,32.5,35.0,49.2,47.7,31,25,20.8,24.4,38,37,25,0,0,0,6,6,4,1,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.12,276,0.25,0.3,0.31,10.6,11.1,10.8,8.25,6.5,0.1,0.08,206.8,4.6,295,1,3,418,700,173,1,176,8.1,28.9,206,33.2,33.0,0.0,3.3,2067.6,0,16.83,10.1,36.6,37.8,38.9,36.0,39.7,33.2,32.4,34.9,49.1,47.6,30,25,20.8,24.4,40,38,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.86,42,420,4.3,0,0,0
8.17,0,0.25,0.3,0.31,11.1,10.8,10.8,8.32,-0.9,0.1,0.06,206.8,4.5,296,1,3,425,700,168,-1,174,8.1,29.1,207,32.5,32.6,0.1,3.3,2067.6,0,16.83,10.1,36.6,37.9,38.9,36.2,39.8,33.2,32.5,34.9,49.1,47.6,30,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.87,43,420,4.2,0,0,0
8.78,36,0.25,0.3,0.31,10.9,10.9,10.9,8.92,15.3,0.1,0.06,206.6,4.5,289,1,3,429,699,216,1,222,8.7,33.0,241,29.6,29.8,0.0,3.2,2067.6,0,16.83,10.1,37.0,38.2,39.2,36.3,40.0,33.5,32.6,35.2,49.3,47.8,30,25,20.8,24.4,36,35,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,42,420,4.3,0,0,0
8.73,40,0.25,0.3,0.31,10.8,11.1,10.8,8.8,15.9,0.1,0.1,206.6,5.3,290,1,3,430,699,214,2,223,8.7,32.4,238,29.5,29.4,0.0,3.2,2067.6,0,16.83,10.1,36.8,38.2,39.2,36.4,40.0,33.5,32.5,35.0,49.3,47.8,30,25,20.8,24.4,36,35,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.76,44.78,44.87,42,410,4.2,0,0,0
8.65,332,0.25,0.3,0.31,10.8,11.0,10.9,8.79,-0.1,0.04,0.03,206.6,4.4,296,1,3,427,699,203,0,205,8.7,33.1,231,28.5,29.9,0.0,3.2,2067.6,0,16.83,10.1,36.9,38.2,39.2,36.5,40.0,33.5,32.6,35.0,49.3,47.8,30,25,20.8,24.4,35,35,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,410,4.3,0,0,0
8.51,284,0.25,0.3,0.31,10.8,11.0,10.8,8.73,1.8,0.09,0.08,206.7,4.3,296,1,3,421,699,198,0,203,8.6,32.8,228,32.6,32.4,0.1,3.3,2067.6,0,16.83,10.1,37.2,38.3,39.4,36.6,40.2,33.7,32.6,35.2,49.4,47.9,31,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,42,420,4.2,0,0,0
8.82,148,0.25,0.3,0.31,10.8,11.0,10.9,8.91,8.2,0.11,0.04,207.2,4.6,287,1,3,431,699,216,0,226,8.8,32.6,241,32.0,31.8,0.0,3.3,2067.6,0,16.83,10.1,36.7,38.0,38.9,36.2,39.9,33.4,32.5,35.0,49.1,47.7,29,25,20.8,24.4,38,38,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,410,4.3,0,0,0
8.92,316,0.25,0.3,0.31,10.9,10.9,10.9,9.02,17.1,0.1,0.06,206.6,5.2,288,1,3,437,700,224,0,224,8.8,33.4,246,30.1,30.6,0.0,3.2,2067.6,0,16.83,10.1,36.9,38.1,39.1,36.4,39.9,33.5,32.5,35.1,49.2,47.7,30,25,20.8,24.4,37,36,25,0,0,0,6,6,4,0,26,26,26,41,34,37,25,25,31,44.77,44.78,44.87,43,420,4.2,0,0,0
9.01,340,0.25,0.3,0.31,11.0,10.9,11.1,9.2,6.7,0.12,0.09,206.5,4.5,293,1,3,443,700,232,0,231,8.9,34.9,253,31.4,33.0,0.0,3.2,2067.6,0,16.83,10.1,37.1,38.3,39.3,36.4,40.1,33.6,32.6,35.2,49.4,47.8,31,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.8,112,0.25,0.3,0.31,11.1,10.8,11.1,8.92,-2.8,0.07,0.05,206.6,5.0,296,1,3,435,700,215,-1,214,8.7,33.8,240,28.7,30.4,0.0,3.1,2067.6,0,16.83,10.1,37.0,38.2,39.2,36.5,40.1,33.6,32.6,35.0,49.3,47.8,31,25,20.8,24.4,36,35,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.98,344,0.25,0.3,0.31,10.8,11.1,10.8,9.01,1.6,0.1,0.05,206.5,5.2,296,1,3,435,699,228,1,231,8.8,34.4,249,33.1,33.1,0.1,3.3,2067.6,0,16.83,10.1,37.1,38.3,39.3,36.5,40.1,33.6,32.6,35.2,49.4,47.9,31,25,20.8,24.4,40,39,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.72,124,0.25,0.3,0.31,10.9,10.8,10.9,8.86,-4.5,0.1,0.1,206.7,4.5,298,1,3,432,700,208,-2,217,8.7,31.7,235,28.3,29.3,0.0,3.2,2067.6,0,16.83,10.1,36.5,37.7,38.7,36.0,39.6,33.1,32.3,34.7,49.1,47.6,30,25,20.8,24.4,35,34,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,430,4.3,0,0,0
8.55,324,0.25,0.3,0.31,11.2,10.8,10.9,8.7,9.1,0.16,0.06,206.7,5.2,294,1,3,425,700,195,1,201,8.5,31.9,226,28.9,29.2,0.0,3.2,2067.6,0,16.83,10.1,37.1,38.2,39.2,36.4,40.0,33.6,32.6,35.2,49.3,47.8,30,25,20.8,24.4,35,35,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.2,0,0,0
8.21,348,0.25,0.3,0.31,12.1,10.7,10.8,8.25,4.8,0.08,0.05,206.9,4.9,295,1,3,416,700,171,1,170,8.1,29.4,206,33.1,33.1,0.1,3.3,2067.6,0,16.83,10.1,36.7,37.8,38.9,36.0,39.7,33.2,32.4,34.9,49.1,47.6,30,25,20.8,24.4,40,38,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,410,4.3,0,0,0
9.04,160,0.25,0.3,0.31,11.9,10.9,11.1,9.13,15.3,0.08,0.07,206.5,5.0,287,1,3,440,699,231,1,238,8.9,35.0,251,31.4,31.2,0.0,3.3,2067.6,0,16.83,10.1,36.8,38.0,39.0,36.3,39.9,33.4,32.5,34.9,49.2,47.7,30,25,20.8,24.4,38,37,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.86,42,420,4.3,0,0,0
8.82,116,0.25,0.3,0.31,11.2,10.9,11.0,8.92,7.3,0.1,0.11,206.7,5.0,293,1,3,431,700,218,-2,221,8.9,34.6,242,30.2,32.1,0.0,3.2,2067.6,0,16.83,10.1,37.0,38.3,39.2,36.5,40.1,33.5,32.6,35.1,49.4,47.8,30,25,20.8,24.4,37,37,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.2,0,0,0
8.41,320,0.25,0.3,0.31,11.6,10.7,10.8,8.62,10.2,0.15,0.11,206.7,5.2,293,1,3,422,699,185,0,193,8.5,31.1,219,29.8,30.0,0.0,3.2,2067.6,0,16.83,10.1,36.5,37.5,38.6,35.9,39.5,33.0,32.3,34.6,49.0,47.5,31,25,20.8,24.4,36,35,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.82,296,0.25,0.3,0.31,10.8,11.0,10.8,8.97,2.0,0.11,0.07,207.4,5.4,288,1,3,433,700,217,-2,218,8.7,32.9,242,31.7,31.9,0.0,3.3,2067.6,0,16.83,10.1,36.7,38.0,39.0,36.3,39.9,33.3,32.5,34.8,49.1,47.7,29,25,20.8,24.4,38,37,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,410,4.3,0,0,0
8.83,172,0.25,0.3,0.31,11.1,10.8,11.0,9.03,9.1,0.09,0.06,206.5,5.7,290,1,3,436,700,218,1,218,8.8,34.4,242,29.8,30.0,0.0,3.2,2067.6,0,16.83,10.1,36.9,38.2,39.1,36.4,40.0,33.4,32.5,35.0,49.3,47.8,30,25,20.8,24.4,36,36,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.87,42,420,4.3,0,0,0
9.0,160,0.25,0.3,0.31,10.9,11.0,10.9,9.03,24.4,0.1,0.06,206.5,5.0,285,1,3,442,700,231,-1,246,9.1,35.9,250,31.3,31.5,0.0,3.2,2067.6,0,16.83,10.1,36.7,38.0,39.0,36.3,39.9,33.3,32.5,34.9,49.2,47.7,30,25,20.8,24.4,38,37,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.86,43,420,4.2,0,0,0
8.93,24,0.25,0.3,0.31,10.9,11.1,10.9,9.02,15.1,0.1,0.06,206.5,4.6,287,1,3,436,700,227,0,237,9.0,34.6,248,30.3,30.6,0.0,3.2,2067.6,0,16.83,10.1,36.8,38.1,39.1,36.4,39.9,33.4,32.5,34.9,49.2,47.7,29,25,20.8,24.4,37,36,25,0,0,0,6,6,4,0,26,26,26,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.98,232,0.25,0.3,0.31,10.8,10.9,10.9,9.14,15.0,0.09,0.06,206.5,5.0,288,1,3,439,700,231,2,238,8.9,35.1,250,31.2,31.3,0.0,3.3,2067.6,0,16.83,10.1,36.8,38.0,39.0,36.3,39.9,33.4,32.6,35.0,49.2,47.7,31,25,20.8,24.4,38,37,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,430,4.3,0,0,0
8.18,352,0.25,0.3,0.31,12.0,10.7,11.1,8.19,1.3,0.1,0.06,206.9,3.7,296,1,3,414,700,167,-2,172,8.3,27.9,206,32.6,32.8,0.1,3.3,2067.6,0,16.83,10.1,36.7,37.8,38.9,36.1,39.8,33.3,32.4,35.0,49.1,47.6,30,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.79,44.87,43,410,4.3,0,0,0
8.96,12,0.25,0.3,0.31,11.8,10.8,11.1,9.03,14.6,0.08,0.09,27.8,4.8,285,1,3,435,700,228,0,236,8.9,35.3,249,31.6,31.4,0.0,3.3,1500.0,0,15.98,10.1,36.8,38.0,39.0,36.2,39.9,33.4,32.5,35.0,49.2,47.7,30,25,20.8,24.4,38,37,25,0,0,0,6,6,4,1,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,42,420,4.2,0,0,0
8.7,220,0.25,0.3,0.31,10.9,10.9,11.0,8.81,4.7,0.1,0.08,206.8,4.9,290,1,3,432,700,210,-3,213,8.7,33.4,235,32.2,32.1,0.1,3.3,2067.6,0,16.83,10.1,36.7,37.9,38.9,36.3,39.9,33.3,32.5,34.8,49.1,47.7,30,25,20.8,24.4,39,38,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,42,420,4.3,0,0,0
8.82,292,0.25,0.3,0.31,10.8,11.0,10.9,8.92,4.5,0.09,0.07,207.2,5.3,289,1,3,434,699,219,-2,230,8.9,32.9,243,32.1,31.9,0.0,3.3,2067.6,0,16.83,10.1,36.9,37.9,38.9,36.2,39.9,33.4,32.5,35.1,49.1,47.7,30,25,20.8,24.4,38,38,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.87,42,420,4.3,0,0,0
8.8,316,0.25,0.3,0.31,11.1,10.9,10.9,8.87,8.3,0.09,0.06,206.5,5.5,290,1,3,430,699,215,2,221,8.9,34.1,239,29.7,30.2,0.0,3.2,2067.6,0,16.83,10.1,36.8,38.2,39.1,36.4,40.0,33.4,32.5,34.9,49.3,47.8,30,25,20.8,24.4,36,35,25,0,0,0,6,6,4,0,26,26,25,41,35,37,25,25,31,44.77,44.78,44.87,43,420,4.3,0,0,0
8.37,108,0.25,0.3,0.31,10.9,10.9,10.9,8.4,9.1,0.12,0.09,206.5,4.6,293,1,3,423,699,184,0,190,8.3,30.1,216,29.7,30.0,0.0,3.2,2067.6,0,16.83,10.1,36.5,37.5,38.6,35.9,39.5,33.0,32.3,34.7,49.0,47.5,30,25,20.8,24.4,36,35,25,0,0,0,6,6,4,0,26,26,25,41,34,37,25,25,31,44.77,44.78,44.87,42,420,4.3,0,0,0
