轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.71,84,0.24,0.24,0.24,10.6,11.2,10.9,7.8,-2.4,0.12,0.13,207.2,5.0,62,1,3,406,698,142,1,155,7.9,24.3,184,32.2,32.2,0.1,3.3,2067.6,0,16.83,0.8,11.1,13.2,14.3,11.2,14.6,10.1,10.9,10.6,31.6,30.2,16,13,8.6,12.1,39,36,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.81,44.89,28,280,2.9,0,0,0
7.2,72,0.24,0.24,0.24,11.6,10.8,10.6,7.38,-3.6,0.11,0.06,205.9,3.2,67,1,3,395,699,52,-1,52,7.2,9.7,75,30.7,30.8,0.0,3.3,2067.6,0,16.83,0.8,11.0,13.1,14.3,11.1,14.6,10.1,10.8,10.6,31.7,30.3,17,13,8.6,12.1,38,32,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.81,44.89,28,280,2.8,0,0,0
7.27,40,0.24,0.24,0.24,10.7,11.1,10.6,7.43,12.6,0.09,0.06,205.8,3.2,54,1,3,395,698,75,0,80,7.4,13.9,104,31.5,31.6,0.0,3.3,2067.6,0,16.83,0.8,11.1,13.1,14.2,11.1,14.5,10.1,10.8,10.8,31.6,30.2,18,13,8.6,12.1,38,34,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.82,44.89,28,280,2.9,0,0,0
7.21,24,0.24,0.24,0.24,12.2,10.6,10.7,7.38,-12.2,0.09,0.13,205.9,2.9,72,1,3,388,699,45,2,46,7.1,8.0,65,30.0,30.2,0.0,3.2,2067.6,0,16.83,0.8,11.1,13.1,14.3,11.1,14.6,10.2,10.7,10.7,31.7,30.3,17,13,8.6,12.1,37,31,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.81,44.89,28,270,2.9,0,0,0
7.41,320,0.24,0.24,0.24,10.6,11.1,10.9,7.5,0.1,-0.03,0.06,207.5,3.6,64,1,3,398,698,100,-1,107,7.4,18.1,136,31.8,31.9,0.0,3.3,2067.6,0,16.83,0.8,11.1,13.1,14.3,11.1,14.6,10.1,10.7,10.7,31.6,30.2,17,13,8.6,12.1,39,35,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.82,44.89,29,280,2.8,0,0,0
7.35,104,0.24,0.24,0.24,10.6,11.1,11.0,7.48,-4.6,0.07,-0.03,207.4,3.4,65,1,3,398,699,88,2,95,7.3,16.3,123,31.8,31.7,0.0,3.3,2067.6,0,16.83,0.8,11.0,13.1,14.3,11.1,14.6,10.1,10.7,10.6,31.6,30.2,18,13,8.6,12.1,39,34,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.82,44.89,29,280,2.8,0,0,0
7.68,232,0.24,0.24,0.24,10.6,11.2,10.9,7.8,8.4,0.02,0.08,207.4,4.6,61,1,3,410,698,142,0,145,7.7,25.2,181,32.1,32.4,0.1,3.3,2067.6,0,16.83,0.8,11.1,13.1,14.3,11.2,14.6,10.3,10.9,10.7,31.6,30.2,17,13,8.6,12.1,39,36,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.81,44.89,27,280,2.9,0,0,0
7.31,72,0.24,0.24,0.24,10.8,10.6,11.6,7.45,30.0,0.05,-0.08,28.1,3.6,47,1,3,403,698,95,1,104,7.2,17.0,129,32.2,32.1,0.1,3.3,1500.0,0,15.98,0.8,11.1,13.2,14.4,11.2,14.6,10.2,10.8,10.7,31.6,30.2,18,13,8.6,12.1,39,36,25,0,0,0,6,6,4,1,14,14,13,34,27,30,13,13,18,44.8,44.81,44.88,29,270,2.8,0,0,0
7.16,72,0.24,0.24,0.24,10.6,10.9,11.1,7.27,2.2,0.09,0.02,205.9,2.9,68,1,3,391,698,40,0,48,7.2,7.8,60,30.7,30.8,0.0,3.3,2067.6,0,16.83,0.8,11.1,13.1,14.3,11.1,14.6,10.1,10.8,10.7,31.7,30.3,18,13,8.6,12.1,38,32,25,0,0,0,6,6,4,0,14,14,13,34,27,30,13,13,18,44.8,44.81,44.89,28,270,2.8,0,0,0
7.65,304,0.24,0.24,0.24,10.7,10.9,11.3,7.75,9.5,0.14,0.01,207.2,4.3,61,1,3,414,699,140,0,140,7.8,24.0,182,32.1,32.3,0.1,3.3,2067.6,0,16.83,0.8,11.1,13.1,14.3,11.2,14.6,10.2,10.9,10.7,31.6,30.2,18,13,8.6,12.1,39,36,25,0,0,0,6,6,4,0,14,14,13,34,28,30,13,13,18,44.8,44.81,44.88,28,280,2.8,0,0,0
