轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.49,154.0,0.39,0.4,0.39,11.5,12.3,11.1,12.76,8.8,0.1,0.04,208.3,6.4,248.0,1.0,3.0,668.0,686.0,638.0,1.0,640.0,12.7,68.9,488.0,30.6,31.0,0.0,3.3,2067.6,0.0,16.83,22.1,36.3,37.7,39.5,35.6,39.5,35.6,35.3,37.6,49.6,48.4,34.0,29.0,26.3,29.1,39.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,43.0,36.0,39.0,29.0,29.0,35.0,44.76,44.76,44.86,48.0,470.0,4.8,0.0,0.0,0.0
12.8,300.0,0.39,0.4,0.39,11.7,11.4,12.9,13.08,4.9,0.01,0.05,208.0,6.1,249.0,1.0,3.0,686.0,686.0,666.0,2.0,668.0,12.8,70.9,504.0,30.2,30.9,0.0,3.2,2067.6,0.0,16.83,22.1,36.2,37.7,39.5,35.6,39.5,35.6,35.3,37.6,49.6,48.4,34.0,29.0,26.3,29.1,38.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,38.0,29.0,29.0,35.0,44.76,44.76,44.86,48.0,470.0,4.8,0.0,0.0,0.0
12.4,326.0,0.34,0.35,0.34,11.7,12.0,12.0,12.5,-7.8,0.05,0.06,207.9,6.1,256.0,1.0,3.0,645.0,686.0,611.0,2.0,617.0,12.4,67.2,478.0,30.0,30.8,0.0,3.2,2067.6,0.0,16.83,22.1,35.9,37.4,39.1,35.2,39.1,35.4,35.1,37.2,49.4,48.2,34.0,29.0,26.3,28.9,39.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,39.0,29.0,29.0,35.0,44.76,44.76,44.87,48.0,470.0,4.8,0.0,0.0,0.0
11.85,88.0,0.39,0.4,0.39,11.4,12.1,11.4,12.03,13.5,0.11,0.11,208.2,6.4,252.0,1.0,3.0,604.0,686.0,545.0,1.0,556.0,12.0,63.4,442.0,28.9,30.1,0.0,3.2,2067.6,0.0,16.83,22.1,36.1,37.7,39.4,35.6,39.5,35.5,35.5,37.3,49.6,48.4,34.0,29.0,26.3,29.1,37.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,43.0,36.0,38.0,29.0,29.0,35.0,44.76,44.76,44.87,48.0,470.0,4.8,0.0,0.0,0.0
15.34,200.0,0.39,0.4,0.39,12.0,13.7,12.7,15.31,13.8,0.04,0.06,208.0,9.0,252.0,1.0,3.0,1035.0,686.0,1138.0,1.0,1145.0,15.1,101.7,723.0,29.4,30.2,0.0,3.2,2067.6,0.0,16.83,22.1,35.8,37.5,39.1,35.3,39.2,35.3,35.1,37.1,49.5,48.3,34.0,29.0,26.3,28.9,40.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,38.0,29.0,29.0,35.0,44.76,44.76,44.86,48.0,470.0,4.8,0.0,0.0,0.0
10.99,172.0,0.39,0.4,0.39,11.6,11.3,11.4,11.1,-4.4,0.12,0.06,208.1,5.1,260.0,1.0,3.0,522.0,685.0,416.0,1.0,418.0,10.9,51.4,370.0,29.1,30.3,0.0,3.2,2067.6,0.0,16.83,22.1,36.2,37.8,39.5,35.6,39.5,35.7,35.5,37.6,49.6,48.4,34.0,29.0,26.3,29.0,36.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,39.0,29.0,29.0,35.0,44.76,44.76,44.87,47.0,460.0,4.7,0.0,0.0,0.0
12.73,278.0,0.39,0.4,0.39,11.8,11.4,12.4,13.07,-4.1,0.26,0.1,208.1,6.0,257.0,1.0,3.0,695.0,684.0,681.0,1.0,693.0,12.8,72.8,513.0,29.4,30.5,0.0,3.2,2067.6,0.0,16.83,22.1,36.2,37.8,39.6,35.7,39.6,35.6,35.2,37.2,49.5,48.3,34.0,29.0,26.3,28.9,39.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,39.0,29.0,29.0,35.0,44.76,44.76,44.87,48.0,470.0,4.8,0.0,0.0,0.0
11.87,294.0,0.34,0.35,0.34,12.0,11.3,11.3,12.02,7.6,0.02,0.06,208.0,5.9,255.0,1.0,3.0,594.0,686.0,531.0,1.0,542.0,11.8,62.4,435.0,30.6,31.8,0.0,3.2,2067.6,0.0,16.83,22.1,35.7,37.4,39.1,35.2,39.1,35.3,35.1,37.1,49.4,48.2,34.0,29.0,26.2,28.9,39.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,39.0,29.0,29.0,35.0,44.76,44.76,44.86,48.0,460.0,4.7,0.0,0.0,0.0
13.34,224.0,0.21,0.22,0.21,13.1,11.8,12.6,13.71,4.3,0.09,0.09,207.9,6.9,256.0,1.0,3.0,761.0,686.0,773.0,1.0,780.0,13.4,76.3,553.0,31.6,32.2,0.1,3.3,2067.6,0.0,16.83,22.1,36.3,37.8,39.5,35.7,39.6,35.5,35.4,37.5,49.6,48.5,34.0,29.0,26.3,29.1,40.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,38.0,29.0,29.0,35.0,44.76,44.76,44.87,48.0,470.0,4.8,0.0,0.0,0.0
11.85,314.0,0.25,0.26,0.25,12.0,11.3,12.3,12.13,2.4,0.09,0.07,207.9,6.1,258.0,1.0,3.0,601.0,685.0,536.0,0.0,538.0,11.9,60.8,435.0,29.7,30.7,0.0,3.2,2067.6,0.0,16.83,22.1,36.0,37.5,39.2,35.2,39.2,35.5,35.2,37.3,49.5,48.2,34.0,29.0,26.3,28.9,37.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,28.0,42.0,36.0,38.0,29.0,29.0,35.0,44.76,44.76,44.87,48.0,460.0,4.8,0.0,0.0,0.0
