轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.66,148.0,0.24,0.3,0.27,14.8,11.9,12.4,15.79,12.8,0.08,0.1,204.1,9.1,255.0,1.0,3.0,1142.0,696.0,1286.0,2.0,1301.0,15.5,114.1,794.0,30.0,30.7,0.0,3.2,2067.6,0.0,16.83,11.7,49.0,50.0,51.7,48.3,52.6,45.6,42.0,46.4,54.5,53.0,32.0,28.0,22.5,26.3,43.0,48.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.86,47.0,460.0,4.8,0.0,0.0,0.0
16.03,228.0,0.24,0.3,0.27,12.5,15.2,12.2,16.05,7.8,0.23,0.04,203.7,9.5,256.0,1.0,3.0,1291.0,696.0,1489.0,0.0,1516.0,16.0,130.8,895.0,30.3,31.3,0.0,3.3,2067.6,0.0,16.83,11.7,52.0,52.9,54.8,51.1,55.6,48.6,44.7,49.8,54.7,53.2,33.0,28.0,22.5,26.3,48.0,55.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.77,44.77,44.86,47.0,470.0,4.7,0.0,0.0,0.0
15.99,200.0,0.24,0.3,0.26,12.5,14.9,12.4,15.95,-1.4,0.12,0.08,204.1,10.1,259.0,1.0,3.0,1235.0,695.0,1404.0,1.0,1411.0,15.8,127.0,841.0,28.3,30.6,0.0,3.2,2067.6,0.0,16.83,11.7,50.8,51.6,53.3,49.9,54.2,47.2,43.3,48.1,54.6,53.1,33.0,28.0,22.5,26.3,46.0,53.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.87,48.0,470.0,4.7,0.0,0.0,0.0
16.01,84.0,0.24,0.3,0.27,14.8,11.6,13.4,16.28,3.0,-0.07,0.11,204.0,8.4,256.0,1.0,3.0,1321.0,696.0,1519.0,-1.0,1522.0,15.9,132.7,911.0,30.6,31.3,0.0,3.3,2067.6,0.0,16.83,11.7,52.0,52.9,54.8,51.1,55.6,48.7,44.7,49.8,54.7,53.2,33.0,28.0,22.5,26.3,48.0,55.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.77,44.77,44.86,48.0,460.0,4.7,0.0,0.0,0.0
16.16,84.0,0.25,0.31,0.28,12.2,14.1,14.1,16.18,-2.5,0.04,0.08,203.8,8.9,258.0,1.0,3.0,1321.0,695.0,1520.0,0.0,1546.0,16.1,135.9,911.0,31.6,34.5,0.1,3.3,2067.6,0.0,16.83,11.7,51.1,52.1,54.0,50.3,54.8,47.8,44.0,48.9,54.7,53.2,32.0,28.0,22.5,26.3,49.0,55.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.87,48.0,460.0,4.7,0.0,0.0,0.0
16.05,228.0,0.25,0.31,0.27,15.1,11.9,11.8,16.26,-1.9,0.09,0.08,204.2,11.1,258.0,1.0,3.0,1318.0,696.0,1510.0,0.0,1506.0,16.0,134.6,907.0,31.6,34.5,0.1,3.3,2067.6,0.0,16.83,11.7,51.1,52.1,53.9,50.3,54.8,47.7,44.0,48.8,54.7,53.2,33.0,28.0,22.5,26.3,49.0,55.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,44.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.86,47.0,460.0,4.7,0.0,0.0,0.0
16.12,316.0,0.24,0.3,0.26,13.1,12.5,15.1,16.47,0.5,0.25,0.04,203.9,9.0,258.0,1.0,3.0,1310.0,695.0,1505.0,0.0,1522.0,16.0,134.5,905.0,29.1,31.8,0.0,3.2,2067.6,0.0,16.83,11.7,50.5,51.4,53.2,49.7,54.0,47.0,43.1,47.8,54.6,53.1,33.0,28.0,22.5,26.3,46.0,52.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.86,47.0,470.0,4.7,0.0,0.0,0.0
15.61,228.0,0.24,0.31,0.27,14.5,13.4,11.3,15.75,8.9,0.15,0.12,203.9,8.7,258.0,1.0,3.0,1175.0,694.0,1330.0,1.0,1345.0,15.5,119.4,814.0,30.2,31.4,0.0,3.3,2067.6,0.0,16.83,11.7,50.9,51.8,53.6,50.1,54.4,47.4,43.6,48.2,54.6,53.1,33.0,28.0,22.5,26.3,46.0,52.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.86,47.0,460.0,4.7,0.0,0.0,0.0
15.79,80.0,0.25,0.31,0.27,12.3,15.0,11.4,15.95,8.8,0.1,-0.05,204.2,10.0,253.0,1.0,3.0,1268.0,695.0,1453.0,0.0,1459.0,16.0,130.6,863.0,32.7,34.8,0.1,3.3,2067.6,0.0,16.83,11.7,50.1,50.9,52.7,49.2,53.6,46.5,42.8,47.5,54.6,53.1,33.0,28.0,22.5,26.3,49.0,56.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.86,47.0,470.0,4.7,0.0,0.0,0.0
16.03,288.0,0.25,0.31,0.27,13.9,11.4,14.1,16.14,4.6,0.23,0.12,204.5,8.3,255.0,1.0,3.0,1272.0,695.0,1459.0,1.0,1469.0,15.9,128.7,883.0,30.8,33.4,0.0,3.2,2067.6,0.0,16.83,11.7,50.2,51.1,52.9,49.4,53.7,46.8,43.0,47.6,54.6,53.1,33.0,28.0,22.5,26.3,48.0,55.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,43.0,37.0,39.0,28.0,28.0,34.0,44.76,44.77,44.86,47.0,470.0,4.7,0.0,0.0,0.0
