轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.54,224,0.25,0.25,0.25,13.0,12.0,14.7,15.98,1.2,0.1,0.06,208.8,9.5,249,1,3,1430,682,1629,0,1625,15.6,149.1,994,32.1,35.0,0.1,3.3,2067.6,0,16.83,20.2,70.3,71.3,73.9,68.8,74.4,67.9,59.4,66.3,56.4,54.6,35,30,24.4,28.6,56,67,25,0,0,0,6,6,4,0,29,29,28,44,39,41,30,30,35,44.76,44.77,44.86,50,500,5.1,0,0,0
14.76,84,0.25,0.25,0.25,12.5,13.4,12.2,14.84,-6.2,0.12,0.06,208.8,8.7,257,1,3,1139,681,1263,1,1292,14.8,118.9,829,32.2,34.5,0.1,3.3,2067.6,0,16.83,20.2,69.5,70.5,73.2,68.0,73.6,67.1,59.2,66.0,56.5,54.7,35,30,24.8,28.6,50,59,25,0,0,0,6,6,4,0,29,29,28,44,38,41,30,30,35,44.76,44.77,44.87,50,490,5.0,0,0,0
17.13,96,3.25,3.25,3.25,13.3,15.2,14.1,17.19,-2.6,0.12,0.04,208.7,12.0,256,1,3,1796,682,2071,0,2101,17.1,184.9,1162,31.6,34.1,0.1,3.3,2067.6,0,16.83,20.1,67.9,68.9,71.5,66.5,72.0,65.6,57.4,65.2,56.6,55.0,35,30,25.3,28.6,56,67,25,0,0,0,6,6,4,0,29,29,28,44,38,41,30,30,36,44.76,44.77,44.86,50,490,5.0,0,0,0
16.97,48,1.26,1.26,1.26,13.1,16.0,14.1,17.0,-1.4,0.2,0.02,208.7,12.0,253,1,3,1789,683,2064,0,2068,17.0,188.4,1170,31.8,33.5,0.1,3.3,2067.6,0,16.83,20.2,68.4,69.4,72.0,66.9,72.4,66.0,59.5,65.7,56.5,54.6,34,30,24.7,28.6,51,59,25,0,0,0,6,6,4,0,29,29,28,44,38,41,30,30,35,44.75,44.77,44.86,50,490,5.0,0,0,0
17.13,176,6.95,6.95,6.95,11.2,10.4,10.6,17.29,-3.9,-0.02,0.04,208.7,12.2,259,1,3,1792,682,2065,2,2082,17.0,187.7,1163,31.3,34.0,0.0,3.3,2067.6,0,16.83,20.1,66.6,67.8,70.4,65.4,70.8,64.2,55.9,64.8,56.6,55.1,36,30,25.8,28.6,56,66,25,0,0,0,6,6,4,0,29,29,28,44,38,40,30,30,36,44.76,44.77,44.86,50,490,5.0,0,0,0
16.64,84,4.12,4.12,4.12,10.6,15.6,11.5,16.75,13.1,-0.13,0.01,209.1,9.5,247,1,3,1755,683,2021,0,2042,16.6,186.8,1165,31.6,33.9,0.1,3.3,2067.6,0,16.83,20.2,68.5,69.5,72.1,66.9,72.5,66.0,59.4,65.6,56.5,54.6,35,30,24.5,28.6,55,64,25,0,0,0,6,6,4,0,29,29,28,44,38,41,30,30,35,44.76,44.77,44.86,50,490,5.0,0,0,0
14.66,300,0.25,0.26,0.25,12.5,13.9,12.1,14.72,-4.2,0.21,0.05,208.6,8.8,252,1,3,1102,681,1209,1,1224,14.7,115.0,794,31.0,33.1,0.0,3.2,2067.6,0,16.83,20.1,65.4,66.6,69.2,64.2,69.6,63.1,54.8,64.4,56.6,55.1,35,30,26.0,28.4,47,56,25,0,0,0,6,6,4,0,29,29,28,44,38,40,30,30,36,44.76,44.77,44.86,49,490,4.9,0,0,0
16.17,248,0.25,0.26,0.25,15.1,12.4,12.2,16.25,8.2,0.14,0.08,208.6,10.1,248,1,3,1555,682,1781,2,1765,16.1,161.8,1059,31.0,33.0,0.0,3.2,2067.6,0,16.83,20.1,65.3,66.5,69.0,64.1,69.5,62.9,54.8,64.4,56.6,55.1,35,30,25.9,28.4,47,54,25,0,0,0,6,6,4,0,29,29,28,44,38,40,30,30,36,44.77,44.77,44.86,50,480,5.0,0,0,0
13.37,220,0.25,0.25,0.25,12.1,12.0,13.1,13.68,0.8,0.15,0.0,208.8,7.9,254,1,3,771,680,781,1,789,13.3,82.1,561,32.1,34.0,0.0,3.3,2067.6,0,16.83,20.2,69.3,70.3,72.8,67.7,73.3,66.8,59.7,66.0,56.5,54.7,35,30,24.7,28.6,43,49,25,0,0,0,6,6,4,0,29,29,28,44,39,41,30,30,35,44.76,44.77,44.86,49,490,5.0,0,0,0
17.09,348,3.13,3.13,3.13,14.7,11.7,11.1,17.19,-2.1,0.19,0.07,208.7,8.3,256,1,3,1788,681,2066,2,2082,17.0,189.2,1163,31.8,34.3,0.1,3.3,2067.6,0,16.83,20.1,67.9,68.9,71.5,66.5,72.0,65.5,57.4,65.2,56.6,55.0,35,30,25.3,28.6,56,67,25,0,0,0,6,6,4,0,29,29,28,44,38,41,30,30,36,44.76,44.77,44.86,50,490,5.0,0,0,0
