轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.41,200,0.25,0.26,0.25,11.9,11.2,11.4,10.57,-6.7,-0.02,0.04,208.7,5.4,274,1,3,493,697,354,0,363,10.3,47.1,333,29.5,29.7,0.0,3.2,2067.6,0,16.83,15.4,33.6,35.1,36.7,33.2,36.9,32.4,32.6,33.7,50.0,48.6,31,27,23.4,26.3,36,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.8,240,0.25,0.26,0.25,12.0,11.4,11.6,11.05,-9.5,0.12,0.1,208.5,5.7,275,1,3,519,697,406,1,420,10.9,50.1,363,31.1,32.4,0.0,3.2,2067.6,0,16.83,15.6,33.1,34.8,36.3,32.9,36.6,31.9,32.3,33.3,49.9,48.6,32,27,23.5,26.4,38,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.32,146,0.25,0.26,0.25,12.0,11.3,11.4,10.47,-7.8,0.16,0.06,208.7,4.7,274,1,3,494,697,351,1,360,10.3,45.2,332,29.4,29.7,0.0,3.2,2067.6,0,16.83,15.4,33.6,35.1,36.7,33.2,36.9,32.4,32.6,33.7,50.0,48.6,33,27,23.4,26.3,36,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.31,338,0.25,0.25,0.25,11.3,11.4,11.0,10.38,-5.5,0.05,0.06,208.7,5.5,274,1,3,491,697,351,0,360,10.3,46.2,331,30.4,30.8,0.0,3.2,2067.6,0,16.83,15.6,33.4,35.1,36.6,33.1,36.8,32.1,32.5,33.6,50.0,48.6,32,27,23.4,26.3,37,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.21,32,0.25,0.26,0.25,10.9,11.5,11.1,10.28,-6.5,0.1,0.04,208.8,4.6,275,1,3,489,697,340,2,342,10.1,45.4,327,30.2,30.7,0.0,3.2,2067.6,0,16.83,15.6,33.5,35.1,36.6,33.1,36.8,32.3,32.6,33.7,50.0,48.6,31,27,23.4,26.3,37,37,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,460,4.7,0,0,0
10.45,210,0.25,0.26,0.25,11.4,11.3,11.4,10.59,-4.9,0.12,0.09,208.6,5.4,274,1,3,494,697,358,-1,367,10.5,46.7,334,30.7,32.1,0.0,3.2,2067.6,0,16.83,15.4,33.6,35.3,36.7,33.4,37.1,32.2,32.6,33.7,50.0,48.6,32,27,23.4,26.3,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,45,450,4.6,0,0,0
10.73,54,0.25,0.26,0.25,11.2,11.4,11.1,10.83,-10.5,0.19,0.04,208.6,6.4,278,1,3,515,696,393,-1,395,10.6,48.6,358,32.1,32.4,0.1,3.3,2067.6,0,16.83,15.4,33.8,35.4,37.0,33.5,37.3,32.6,32.8,33.9,50.0,48.6,32,27,23.4,26.3,39,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.92,218,0.25,0.26,0.25,12.2,11.4,11.8,11.1,-10.7,0.1,0.1,208.6,6.6,274,1,3,528,696,417,1,425,11.0,51.7,370,31.3,31.5,0.0,3.3,2067.6,0,16.83,15.4,33.9,35.5,37.1,33.5,37.4,32.6,32.7,33.8,50.0,48.6,32,27,23.3,26.3,38,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,460,4.6,0,0,0
10.37,334,0.25,0.26,0.25,11.6,11.0,11.5,10.38,-0.2,0.13,0.08,208.5,5.4,274,1,3,486,696,341,1,345,10.3,44.2,322,32.6,32.9,0.1,3.3,2067.6,0,16.83,15.4,33.9,35.3,36.9,33.4,37.2,32.6,32.7,34.0,50.0,48.6,32,27,23.4,26.3,40,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,460,4.6,0,0,0
10.87,336,0.25,0.26,0.25,12.2,11.3,11.8,11.2,-6.8,0.15,0.07,208.6,6.2,273,1,3,526,697,415,1,420,11.0,50.7,370,32.5,32.5,0.1,3.3,2067.6,0,16.83,15.6,33.2,34.9,36.4,33.0,36.7,32.0,32.4,33.5,49.9,48.6,33,27,23.4,26.4,39,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,45,450,4.6,0,0,0
10.78,164,0.25,0.26,0.25,11.3,11.5,11.1,10.83,-3.7,-0.01,0.06,208.8,5.0,273,1,3,517,697,396,2,403,10.8,49.3,357,30.7,31.9,0.0,3.2,2067.6,0,16.83,15.6,33.3,34.8,36.3,32.8,36.6,32.1,32.2,33.4,49.9,48.6,33,27,23.5,26.4,38,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,45,450,4.6,0,0,0
10.84,136,0.25,0.26,0.25,11.2,11.4,11.4,11.01,-19.6,0.12,0.06,208.7,6.3,276,1,3,520,695,406,1,408,10.8,51.8,365,31.4,31.7,0.0,3.3,2067.6,0,16.83,15.4,33.9,35.5,37.0,33.5,37.4,32.6,32.8,33.9,50.0,48.6,32,27,23.3,26.3,39,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,460,4.6,0,0,0
10.52,176,0.25,0.26,0.25,11.1,11.5,11.3,10.78,-9.3,0.1,0.06,208.8,7.8,274,1,3,502,697,374,-1,373,10.5,48.7,343,29.4,30.6,0.0,3.2,2067.6,0,16.83,15.4,33.5,35.2,36.7,33.3,37.0,32.3,32.6,33.6,50.0,48.6,32,27,23.4,26.3,37,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,460,4.6,0,0,0
10.26,118,0.25,0.25,0.25,11.3,10.9,11.4,10.26,-7.8,0.12,0.06,208.7,5.8,274,1,3,484,697,336,0,337,10.2,44.2,320,31.1,31.5,0.0,3.3,2067.6,0,16.83,15.6,33.3,35.1,36.5,33.1,36.8,32.1,32.5,33.5,50.0,48.6,33,27,23.4,26.3,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,45,450,4.7,0,0,0
10.31,294,0.25,0.26,0.25,11.7,11.1,11.3,10.26,-3.8,0.22,0.04,208.6,6.8,274,1,3,484,696,332,1,334,10.2,44.1,318,31.7,31.9,0.1,3.3,2067.6,0,16.83,15.6,33.3,35.0,36.5,33.0,36.7,32.1,32.4,33.5,50.0,48.6,32,27,23.4,26.4,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,440,4.6,0,0,0
10.45,346,0.25,0.26,0.25,11.2,11.6,10.9,10.55,0.7,0.1,0.06,208.7,5.5,273,1,3,501,697,370,1,381,10.5,47.3,342,30.2,31.6,0.0,3.2,2067.6,0,16.83,15.4,33.6,35.2,36.7,33.2,37.0,32.4,32.6,33.8,50.0,48.6,32,27,23.4,26.3,37,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,440,4.6,0,0,0
10.24,138,0.25,0.26,0.25,11.4,11.4,11.6,10.47,1.7,0.12,0.1,208.6,4.7,271,1,3,491,697,347,-1,358,10.3,45.4,327,29.8,31.1,0.0,3.1,2067.6,0,16.83,15.4,33.7,35.2,36.7,33.3,37.1,32.4,32.7,33.7,50.0,48.6,32,27,23.4,26.3,37,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.86,46,450,4.6,0,0,0
10.22,134,0.25,0.26,0.25,11.8,11.1,11.4,10.22,-3.1,0.04,0.06,208.7,5.4,273,1,3,480,697,330,-1,332,10.3,43.3,316,31.3,31.3,0.1,3.3,2067.6,0,16.83,15.6,33.4,35.0,36.5,33.0,36.7,32.1,32.4,33.5,50.0,48.6,32,27,23.4,26.3,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,460,4.6,0,0,0
10.23,70,0.25,0.26,0.25,11.5,10.9,11.3,10.39,-7.1,0.12,0.0,208.7,6.1,274,1,3,488,697,343,0,352,10.4,45.2,324,30.4,30.5,0.0,3.2,2067.6,0,16.83,15.6,33.3,35.1,36.6,33.1,36.8,32.1,32.5,33.6,50.0,48.6,33,27,23.4,26.3,37,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.22,202,0.25,0.26,0.25,11.5,11.2,11.4,10.42,-13.5,0.09,0.08,208.7,6.0,275,1,3,480,696,335,0,347,10.2,45.6,321,31.6,31.5,0.0,3.3,2067.6,0,16.83,15.6,33.4,35.0,36.5,33.0,36.7,32.1,32.5,33.6,50.0,48.6,32,27,23.4,26.4,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,45,450,4.6,0,0,0
10.26,86,0.25,0.26,0.25,11.8,11.1,11.7,10.37,-8.9,0.12,0.11,208.6,5.9,275,1,3,487,697,344,1,347,10.3,46.7,324,30.6,30.9,0.0,3.2,2067.6,0,16.83,15.6,33.4,35.1,36.6,33.1,36.8,32.1,32.5,33.7,50.0,48.6,31,27,23.4,26.3,37,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.39,358,0.25,0.26,0.25,11.3,11.4,10.9,10.49,-7.1,0.1,0.06,208.6,5.5,276,1,3,490,696,350,1,356,10.3,46.4,328,28.7,29.9,0.0,3.2,2067.6,0,16.83,15.4,33.4,35.2,36.7,33.3,37.0,32.2,32.6,33.5,50.0,48.6,32,27,23.4,26.3,36,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.44,244,0.25,0.26,0.25,11.4,11.1,11.3,10.43,-8.6,0.12,0.01,208.4,5.6,275,1,3,490,697,351,1,357,10.3,45.3,328,32.7,32.9,0.1,3.3,2067.6,0,16.83,15.4,33.9,35.3,36.9,33.4,37.2,32.6,32.7,33.9,50.0,48.6,32,27,23.4,26.3,40,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.67,46,0.25,0.26,0.25,11.5,11.3,11.4,10.78,-7.8,0.2,0.06,208.4,5.2,274,1,3,512,697,392,0,393,10.6,49.2,355,32.9,32.7,0.1,3.4,2067.6,0,16.83,15.6,33.2,34.9,36.4,32.9,36.7,32.1,32.3,33.3,49.9,48.6,32,27,23.4,26.4,40,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.86,45,440,4.6,0,0,0
10.09,332,0.25,0.26,0.25,11.1,11.4,11.1,10.28,-5.2,0.17,0.06,208.6,5.6,274,1,3,478,697,327,0,332,10.1,45.0,314,31.2,31.5,0.0,3.3,2067.6,0,16.83,15.6,33.4,35.0,36.5,33.0,36.7,32.1,32.4,33.6,50.0,48.6,32,27,23.4,26.3,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.8,344,0.25,0.26,0.25,12.2,11.5,11.4,10.94,-2.0,0.15,0.06,209.0,5.1,275,1,3,522,696,409,1,418,10.8,51.5,367,32.4,32.4,0.1,3.3,2067.6,0,16.83,15.4,33.7,35.4,37.0,33.5,37.3,32.5,32.7,33.8,50.0,48.6,33,27,23.4,26.3,39,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,450,4.6,0,0,0
10.53,52,0.25,0.26,0.25,11.2,11.5,10.9,10.65,-3.9,0.11,0.06,208.6,6.7,274,1,3,503,697,377,1,382,10.6,48.7,346,32.3,32.3,0.1,3.3,2067.6,0,16.83,15.6,33.3,35.0,36.4,33.0,36.7,32.0,32.4,33.5,50.0,48.6,32,27,23.4,26.4,39,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.77,44.77,44.86,46,450,4.6,0,0,0
10.4,166,0.25,0.26,0.25,11.6,11.2,11.5,10.48,-3.5,0.06,0.08,208.9,5.5,272,1,3,483,696,344,-1,344,10.2,45.1,327,29.5,30.6,0.0,3.1,2067.6,0,16.83,15.7,33.3,34.8,36.3,32.8,36.6,32.0,32.2,33.4,49.9,48.6,32,27,23.5,26.4,36,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,450,4.6,0,0,0
10.75,246,0.25,0.26,0.25,12.2,11.3,11.8,10.88,1.7,0.17,0.06,208.7,6.0,272,1,3,511,697,389,1,392,10.6,49.9,354,33.0,33.4,0.1,3.3,2067.6,0,16.83,15.6,33.3,34.9,36.4,32.9,36.6,32.1,32.4,33.4,49.9,48.6,33,27,23.5,26.4,40,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.52,244,0.25,0.26,0.25,12.0,11.3,11.5,10.67,-5.4,0.1,0.04,208.8,6.3,274,1,3,495,696,363,1,365,10.4,47.6,337,32.2,32.4,0.1,3.3,2067.6,0,16.83,15.6,33.3,35.0,36.4,33.0,36.7,32.0,32.4,33.4,50.0,48.6,32,27,23.4,26.4,39,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,440,4.6,0,0,0
10.33,18,0.25,0.26,0.25,11.2,11.5,10.9,10.52,-2.3,0.07,0.1,208.7,5.7,274,1,3,499,697,365,1,375,10.4,47.5,339,32.8,32.8,0.1,3.3,2067.6,0,16.83,15.6,33.2,34.9,36.4,32.9,36.6,32.0,32.3,33.4,50.0,48.6,32,27,23.4,26.4,40,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.76,44.87,46,450,4.6,0,0,0
10.25,240,0.25,0.26,0.25,11.4,11.2,11.3,10.29,-1.3,0.2,0.1,208.4,5.7,273,1,3,492,697,343,0,348,10.2,44.9,325,31.2,31.3,0.0,3.3,2067.6,0,16.83,15.6,33.4,35.1,36.5,33.1,36.8,32.1,32.5,33.5,50.0,48.6,31,27,23.4,26.3,38,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,460,4.6,0,0,0
9.93,268,0.25,0.26,0.25,11.6,11.1,11.5,9.96,-3.6,0.1,0.07,208.6,5.8,274,1,3,468,697,304,1,314,9.9,42.9,300,30.0,30.6,0.0,3.2,2067.6,0,16.83,15.6,33.6,35.1,36.6,33.1,36.8,32.3,32.5,33.7,50.0,48.6,31,27,23.4,26.3,37,37,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,440,4.6,0,0,0
10.29,42,0.25,0.26,0.25,11.7,11.1,11.5,10.49,-5.5,0.2,0.06,208.7,5.7,274,1,3,484,697,343,1,342,10.2,44.7,325,31.7,32.0,0.1,3.3,2067.6,0,16.83,15.6,33.3,35.0,36.5,33.0,36.7,32.1,32.4,33.5,50.0,48.6,32,27,23.4,26.4,38,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.5,310,0.25,0.26,0.25,11.2,11.5,11.0,10.56,-4.3,0.1,0.06,208.5,6.8,274,1,3,498,697,358,-1,365,10.4,47.3,336,32.6,33.5,0.0,3.3,2067.6,0,16.83,15.4,33.6,35.3,36.8,33.4,37.2,32.4,32.7,33.7,50.0,48.6,32,27,23.4,26.3,40,41,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.01,198,0.25,0.26,0.25,11.0,11.4,10.9,10.06,-5.9,-0.04,0.06,208.6,5.8,274,1,3,473,697,311,1,316,9.9,41.2,305,29.8,30.2,0.0,3.2,2067.6,0,16.83,15.5,33.5,35.1,36.6,33.2,36.9,32.2,32.5,33.6,50.0,48.6,32,27,23.4,26.3,37,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.77,44.77,44.87,46,450,4.6,0,0,0
10.76,236,0.25,0.26,0.25,11.7,11.4,11.6,10.88,-6.4,0.01,0.08,208.7,5.4,274,1,3,520,696,406,1,413,10.9,50.5,365,31.0,32.2,0.0,3.2,2067.6,0,16.83,15.6,33.2,34.8,36.3,32.8,36.6,32.0,32.2,33.4,49.9,48.6,32,27,23.5,26.4,38,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,450,4.6,0,0,0
10.5,314,0.25,0.26,0.25,11.4,11.3,11.3,10.67,-5.9,0.1,0.09,208.7,7.3,274,1,3,497,697,363,1,367,10.4,46.8,340,32.2,32.3,0.1,3.3,2067.6,0,16.83,15.6,33.3,35.0,36.4,33.0,36.7,32.0,32.4,33.4,50.0,48.6,31,27,23.4,26.4,39,40,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,440,4.6,0,0,0
10.33,320,0.25,0.25,0.25,11.2,11.4,11.0,10.49,-2.5,0.08,0.04,208.6,5.6,272,1,3,496,697,355,0,367,10.3,46.9,334,30.2,31.4,0.0,3.2,2067.6,0,16.83,15.4,33.7,35.2,36.7,33.2,37.0,32.4,32.7,33.8,50.0,48.6,32,27,23.4,26.3,37,39,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.76,44.77,44.87,46,440,4.6,0,0,0
10.05,118,0.25,0.26,0.25,11.3,11.3,11.3,10.27,-11.0,0.12,0.09,208.8,5.0,274,1,3,474,696,322,0,331,10.0,44.6,313,30.9,30.9,0.0,3.3,2067.6,0,16.83,15.6,33.5,35.1,36.5,33.1,36.8,32.1,32.5,33.6,50.0,48.6,31,27,23.4,26.3,38,38,25,0,0,0,6,6,4,0,28,28,27,42,36,38,27,27,33,44.77,44.77,44.87,46,440,4.6,0,0,0
