轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.05,-11.0,0.1,0.06,204.0,0.1,216.0,1.0,3.0,389.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,30.3,30.2,0.0,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.9,20.9,20.1,31.1,30.7,27.0,23.0,17.3,21.6,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,370.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.04,-49.6,0.1,0.06,204.0,0.0,242.0,1.0,2.0,3.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,31.7,31.2,0.1,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.8,20.9,20.1,30.9,30.5,28.0,23.0,17.3,21.4,33.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,380.0,3.7,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.06,2.4,0.1,0.06,204.0,0.0,207.0,1.0,2.0,2.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,31.6,31.2,0.1,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.8,20.8,20.1,31.0,30.6,27.0,23.0,17.3,21.4,33.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.77,44.79,44.87,39.0,370.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.04,-16.7,0.1,0.06,204.1,0.1,218.0,1.0,3.0,390.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,30.3,30.2,0.0,3.3,2067.6,0.0,16.83,10.6,21.3,23.7,24.4,21.6,24.6,19.9,20.9,20.1,31.1,30.7,27.0,23.0,17.4,21.6,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,390.0,3.7,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.05,-14.8,0.1,0.06,204.1,0.4,216.0,1.0,3.0,390.0,700.0,0.0,-1.0,0.0,0.0,1.9,0.0,29.9,30.0,0.0,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.9,20.9,20.1,31.1,30.7,27.0,23.0,17.5,21.6,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,380.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.06,2.9,0.1,0.06,204.0,0.2,203.0,1.0,2.0,2.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,32.0,31.6,0.1,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.4,24.6,19.8,20.8,20.1,30.8,30.3,27.0,23.0,17.3,21.4,33.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,380.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.05,27.7,0.1,0.06,204.1,0.0,206.0,1.0,2.0,4.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,31.6,31.1,0.1,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.9,20.9,20.1,31.0,30.6,27.0,23.0,17.3,21.4,33.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,370.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.05,-8.1,0.1,0.06,204.0,0.0,215.0,1.0,3.0,387.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,30.6,30.5,0.0,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.9,20.9,20.1,31.1,30.7,27.0,23.0,17.3,21.6,38.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,370.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.05,3.1,0.1,0.06,203.9,0.0,205.0,1.0,2.0,3.0,699.0,0.0,0.0,0.0,0.0,1.9,0.0,32.1,31.6,0.1,3.3,2067.6,0.0,16.83,10.6,21.1,23.7,24.4,21.4,24.6,19.8,20.8,20.1,30.8,30.3,28.0,23.0,17.3,21.4,33.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.77,44.79,44.87,39.0,370.0,3.8,0.0,0.0,0.0
0.0,284.0,85.98,85.98,85.98,11.8,12.0,11.0,0.05,-11.3,0.1,0.06,204.0,0.3,218.0,1.0,2.0,2.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,31.9,31.2,0.1,3.3,2067.6,0.0,16.83,10.6,21.2,23.7,24.4,21.6,24.6,19.8,20.8,20.1,30.9,30.4,27.0,23.0,17.3,21.4,33.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,23.0,41.0,35.0,36.0,23.0,23.0,27.0,44.78,44.79,44.87,39.0,370.0,3.8,0.0,0.0,0.0
