轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.39,32,13.23,13.23,13.22,10.9,10.9,11.0,0,-2.5,0.04,0.08,206.5,8.2,267,1,3,498,698,367,-1,377,11.2,43.8,318,32.9,31.6,0.7,3.9,375.4,0,10.5,9.3,27.2,23.1,23.8,22.9,26.3,23.0,23.8,25.6,49.4,52.2,27,42,18.6,24.3,38,38,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,42,45.04,45.04,44.41,57,480,4.7,0,0,0
10.67,32,13.23,13.23,13.22,10.9,10.8,10.8,0,3.1,-0.02,0.1,206.1,7.6,266,1,3,492,697,365,0,370,10.4,46.0,336,33.0,32.1,0.7,3.9,375.4,0,10.5,9.3,27.2,23.1,23.8,22.9,26.2,23.1,23.9,25.6,49.4,52.4,27,42,18.7,24.3,38,38,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.04,45.04,44.41,57,480,4.7,0,0,0
10.82,32,13.04,13.06,13.06,11.1,11.0,10.6,0,2.9,0.07,0.12,206.2,8.6,265,1,3,495,696,368,1,364,10.6,46.7,333,32.6,31.7,0.7,3.9,375.4,0,10.5,9.3,27.2,23.1,23.8,22.9,26.3,23.2,24.1,25.5,49.4,52.3,27,42,18.7,24.3,38,37,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,42,45.05,45.03,44.41,56,480,4.7,0,0,0
10.14,32,12.21,12.27,12.26,10.8,10.9,10.7,0,-2.2,0.1,0.19,206.2,7.6,269,1,3,489,698,359,-3,365,10.1,48.2,345,30.2,29.4,0.7,3.8,375.4,0,10.5,9.3,27.2,23.1,23.8,22.9,26.3,23.1,23.8,25.5,49.4,52.2,27,42,18.6,24.1,35,36,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.05,45.04,44.4,57,480,4.7,0,0,0
9.51,32,13.02,13.05,13.04,10.8,10.8,10.7,0,0.8,-0.02,0.1,206.1,7.0,267,1,3,477,697,341,0,337,9.3,49.2,352,31.1,30.3,0.7,3.8,375.4,0,10.5,9.3,27.3,23.1,23.8,22.9,26.3,23.0,23.4,25.6,49.4,52.2,27,42,18.6,24.3,36,36,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.05,45.04,44.41,57,480,4.6,0,0,0
11.25,32,13.23,13.23,13.22,10.9,10.6,11.2,0,3.0,0.01,0.13,206.2,10.0,266,1,3,499,697,369,-1,369,11.0,45.0,321,33.0,32.0,0.7,3.9,375.4,0,10.5,9.3,27.1,23.1,23.8,22.9,26.3,23.1,23.8,25.6,49.4,52.3,27,42,18.7,24.3,38,38,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.04,45.04,44.41,56,480,4.6,0,0,0
10.36,32,12.21,12.27,12.26,10.7,11.0,10.8,0,-0.2,0.09,0.19,206.0,8.8,268,1,3,487,697,362,-1,366,10.1,48.1,344,30.3,29.3,0.7,3.8,375.4,0,10.5,9.3,27.2,23.1,23.8,22.9,26.3,23.1,23.7,25.5,49.4,52.3,27,42,18.6,24.1,35,35,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.05,45.04,44.41,55,480,4.6,0,0,0
10.36,32,13.23,13.23,13.22,10.6,11.1,11.1,0,4.3,0.05,0.1,206.3,7.2,265,1,3,488,697,360,0,356,10.2,48.0,342,31.6,32.0,0.7,3.8,375.4,0,10.5,9.3,27.2,23.1,23.8,22.9,26.3,23.1,23.9,25.6,49.4,52.3,27,42,18.6,24.3,37,37,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.05,45.04,44.41,57,480,4.7,0,0,0
9.74,32,13.16,13.17,13.16,11.0,10.8,10.6,0,4.0,0.07,0.07,206.3,9.0,268,1,3,481,697,351,0,362,9.7,47.5,352,30.9,30.0,0.7,3.9,375.4,0,10.5,9.3,27.3,23.1,23.8,22.9,26.2,22.9,23.5,25.5,49.4,52.2,27,42,18.6,24.3,36,36,25,0,0,0,6,6,4,0,22,22,22,32,28,31,42,42,41,45.05,45.04,44.41,56,480,4.7,0,0,0
11.12,32,12.06,12.14,12.14,10.8,11.3,10.8,0,-3.7,0.08,0.03,206.2,7.2,268,1,3,492,698,366,0,368,10.9,43.9,325,30.9,31.8,0.7,3.8,375.4,0,10.5,9.3,27.3,23.2,23.8,23.0,26.3,23.2,23.7,25.5,49.4,52.2,27,42,18.6,24.2,37,36,25,0,0,0,6,6,4,0,22,22,22,32,29,31,42,42,41,45.05,45.04,44.41,56,480,4.7,0,0,0
9.42,32,12.82,12.85,12.85,10.6,10.8,10.9,0,1.8,0.0,0.12,206.2,6.6,268,1,3,481,697,336,0,332,9.2,49.8,352,31.2,30.2,0.7,3.9,375.4,0,10.5,9.3,27.2,23.1,23.8,23.0,26.3,23.3,23.9,25.5,49.4,52.3,27,42,18.6,24.3,36,37,25,0,0,0,6,6,4,0,22,22,22,32,29,31,42,42,41,45.05,45.04,44.41,56,480,4.7,0,0,0
