轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,43,92.72,91.95,92.56,0,0,0,0.1,161.1,0.03,0.1,0,1.8,192,1,1,0,0,0,0,0,0,0,0,-10.9,-12.9,0,1.5,527.1,-448,11.75,-6.6,-8.1,-14.4,-8.9,-12.8,-10.1,-14.9,-14.0,-14.0,-14.0,-14.2,0,5,-5.9,-5.3,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,14,0,0,0,0,0,0,0,0,0
0.0,43,92.72,91.95,92.56,0,0,0,0.09,164.2,0.02,0.1,0,1.5,185,1,1,0,0,0,0,0,0,0,0,-11.6,-13.4,0,1.5,527.1,-448,11.75,-6.8,-8.2,-14.4,-8.9,-12.8,-10.1,-14.9,-14.0,-14.0,-14.0,-14.2,1,5,-5.9,-5.3,0,0,0,0,0,0,1,1,2,0,15,13,8,13,9,10,5,5,15,0,0,0,0,0,0,0,0,0
0.0,43,92.72,91.95,92.56,0,0,0,0.1,170.9,0.03,0.1,0,1.4,191,1,1,0,0,0,0,0,0,0,0,-11.0,-12.8,0,1.5,527.1,-448,11.75,-6.6,-8.1,-14.4,-8.9,-12.8,-10.1,-14.9,-14.0,-14.0,-14.0,-14.2,0,5,-5.9,-5.3,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,14,0,0,0,0,0,0,0,0,0
0.0,42,92.72,91.95,92.56,0,0,0,0.1,-146.6,0.04,0.1,0,1.4,139,1,1,0,0,0,0,0,0,0,0,-11.7,-13.3,0,1.5,527.1,-448,11.75,-6.8,-8.3,-14.4,-9.1,-12.9,-10.1,-14.9,-14.1,-14.1,-14.1,-14.2,1,5,-6.0,-5.5,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,14,0,0,0,0,0,0,0,0,0
0.0,42,92.72,91.95,92.56,0,0,0,0.1,-166.7,0.03,0.1,0,1.1,164,1,1,0,0,0,0,0,0,0,0,-11.4,-13.0,0,1.5,527.1,-448,11.75,-6.8,-8.3,-14.5,-9.1,-12.9,-10.1,-15.0,-14.1,-14.1,-14.1,-14.2,2,5,-6.0,-5.5,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,15,0,0,0,0,0,0,0,0,0
0.0,42,92.72,91.95,92.56,0,0,0,0.1,-141.1,0.03,0.1,0,1.5,137,1,1,0,0,0,0,0,0,0,0,-11.7,-13.4,0,1.5,527.1,-448,11.75,-6.8,-8.3,-14.4,-9.1,-12.9,-10.1,-14.9,-14.1,-14.1,-14.1,-14.2,1,5,-6.0,-5.5,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,15,0,0,0,0,0,0,0,0,0
0.02,43,92.72,91.95,92.56,0,0,0,0.1,-171.7,0.04,0.1,0,2.3,174,1,1,0,0,0,0,0,0,0,0,-11.6,-13.4,0,1.5,527.1,-448,11.75,-6.8,-8.3,-14.4,-8.9,-12.9,-10.1,-14.9,-14.1,-14.0,-14.1,-14.2,1,5,-5.9,-5.3,0,0,0,0,0,0,1,1,2,0,15,13,8,13,9,10,5,5,15,0,0,0,0,0,0,0,0,0
0.0,42,92.72,91.95,92.56,0,0,0,0.1,167.4,0.03,0.1,0,1.1,181,1,1,0,0,0,0,0,0,0,0,-11.7,-13.6,0,1.5,527.1,-448,11.75,-6.8,-8.3,-14.5,-9.1,-12.9,-10.1,-15.0,-14.1,-14.1,-14.1,-14.2,2,5,-6.0,-5.6,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,15,0,0,0,0,0,0,0,0,0
0.0,43,92.72,91.95,92.56,0,0,0,0.1,-178.8,0.03,0.1,0,2.5,174,1,1,0,0,0,0,0,0,0,0,-11.7,-13.3,0,1.5,527.1,-448,11.75,-6.8,-8.3,-14.4,-9.0,-12.9,-10.1,-14.9,-14.1,-14.0,-14.1,-14.2,1,5,-5.9,-5.3,0,0,0,0,0,0,1,1,2,0,15,13,8,13,9,10,5,5,14,0,0,0,0,0,0,0,0,0
0.0,43,92.72,91.95,92.56,0,0,0,0.09,160.9,0.03,0.1,0,1.7,191,1,1,0,0,0,0,0,0,0,0,-11.1,-12.7,0,1.5,527.1,-448,11.75,-6.6,-8.1,-14.4,-8.9,-12.8,-10.1,-14.9,-14.0,-14.0,-14.0,-14.2,1,5,-5.9,-5.3,0,0,0,0,0,0,1,1,2,0,15,13,7,13,9,10,5,5,14,0,0,0,0,0,0,0,0,0
