轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.11,32.0,0.25,0.26,0.27,10.5,10.9,10.5,0.0,4.5,-0.07,0.1,209.4,2.9,245.0,1.0,1.0,384.0,698.0,51.0,0.0,55.0,7.1,10.2,69.0,32.2,31.3,0.4,3.6,2067.6,0.0,16.83,11.8,23.2,18.9,20.0,19.8,22.5,19.1,19.6,20.1,35.3,37.8,31.0,46.0,20.3,25.6,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,32.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,510.0,5.1,0.0,0.0,0.0
7.2,32.0,0.25,0.26,0.27,10.9,10.6,10.5,0.0,-1.9,0.11,0.0,209.6,2.3,253.0,1.0,1.0,385.0,698.0,32.0,0.0,40.0,7.0,7.7,47.0,30.7,29.7,0.3,3.5,1395.8,0.0,15.81,11.8,23.3,18.9,20.0,19.7,22.5,18.5,19.3,20.3,35.1,37.8,31.0,46.0,20.3,25.6,36.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,31.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,510.0,5.0,0.0,0.0,0.0
7.14,32.0,0.25,0.26,0.27,11.2,10.5,10.4,0.0,-1.1,0.0,0.28,209.6,2.5,252.0,1.0,1.0,384.0,698.0,33.0,2.0,30.0,6.9,7.1,47.0,31.1,30.1,0.3,3.5,1384.5,0.0,15.79,11.8,23.3,18.9,20.0,19.8,22.5,18.6,19.4,20.2,35.2,37.7,31.0,46.0,20.3,25.6,36.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,33.0,29.0,32.0,46.0,46.0,45.0,45.04,45.03,44.41,62.0,510.0,5.0,0.0,0.0,0.0
7.14,32.0,0.25,0.26,0.27,10.6,10.9,11.0,0.0,-6.5,0.1,-0.07,209.6,3.0,253.0,1.0,1.0,384.0,698.0,40.0,0.0,42.0,6.9,8.2,56.0,31.5,30.5,0.4,3.5,1642.0,0.0,16.19,11.8,23.3,18.9,20.0,19.8,22.5,18.6,19.6,20.2,35.2,37.8,31.0,46.0,20.3,25.6,36.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,32.0,46.0,46.0,45.0,45.04,45.03,44.4,61.0,510.0,5.1,0.0,0.0,0.0
7.09,32.0,0.25,0.26,0.27,10.5,11.1,10.5,0.0,-6.6,0.01,0.22,209.8,2.4,255.0,1.0,1.0,386.0,699.0,42.0,-2.0,39.0,7.0,8.9,52.0,30.2,28.9,0.3,3.5,1689.4,0.0,16.26,11.8,23.3,18.9,20.0,19.8,22.4,18.7,19.3,20.1,35.1,37.6,31.0,46.0,20.3,25.6,35.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,33.0,30.0,32.0,46.0,46.0,45.0,45.04,45.03,44.41,62.0,500.0,5.0,0.0,0.0,0.0
7.25,32.0,0.25,0.26,0.27,10.6,10.8,11.2,0.0,4.5,0.05,-0.12,209.6,2.3,243.0,1.0,1.0,383.0,699.0,46.0,1.0,49.0,6.9,9.5,69.0,32.9,31.7,0.4,3.6,2067.6,0.0,16.83,11.8,23.3,18.9,20.0,19.8,22.5,18.7,19.1,20.2,35.3,37.9,31.0,46.0,20.3,25.6,38.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,33.0,29.0,31.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,510.0,5.0,0.0,0.0,0.0
7.18,32.0,0.25,0.26,0.27,10.6,10.6,11.2,0.0,9.8,0.03,0.34,209.6,2.5,241.0,1.0,1.0,387.0,698.0,42.0,1.0,37.0,7.1,8.5,56.0,33.0,32.0,0.4,3.5,2067.6,0.0,16.83,11.8,23.3,18.9,20.0,19.8,22.5,18.8,19.3,20.2,35.3,38.0,31.0,46.0,20.3,25.6,38.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,32.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,520.0,5.0,0.0,0.0,0.0
7.14,32.0,0.25,0.26,0.27,10.5,11.1,10.5,0.0,-9.1,0.03,0.24,209.6,2.6,253.0,1.0,1.0,384.0,697.0,34.0,0.0,39.0,7.0,7.8,47.0,31.2,30.4,0.4,3.5,1642.0,0.0,16.19,11.8,23.3,18.9,20.0,19.8,22.5,18.6,19.6,20.2,35.2,37.8,31.0,46.0,20.3,25.6,36.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,31.0,46.0,46.0,45.0,45.04,45.03,44.4,61.0,520.0,5.1,0.0,0.0,0.0
7.14,32.0,0.25,0.26,0.27,10.5,10.8,10.5,0.0,-8.3,-0.01,0.08,209.4,3.1,256.0,1.0,1.0,386.0,698.0,50.0,1.0,46.0,6.9,10.2,69.0,29.9,28.6,0.3,3.5,1689.4,0.0,16.26,11.8,23.3,18.9,20.0,19.8,22.4,18.7,19.1,20.2,35.1,37.7,31.0,45.0,20.3,25.6,35.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,32.0,45.0,45.0,45.0,45.04,45.03,44.41,61.0,520.0,5.1,0.0,0.0,0.0
7.15,32.0,0.25,0.26,0.27,10.6,10.8,11.3,0.0,11.7,0.05,-0.13,209.4,2.7,242.0,1.0,1.0,387.0,697.0,45.0,-1.0,45.0,7.1,9.2,66.0,32.8,31.7,0.4,3.6,1814.4,0.0,16.45,11.8,23.3,18.9,20.0,19.8,22.5,18.8,19.4,20.1,35.3,38.0,31.0,46.0,20.3,25.6,38.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,34.0,29.0,32.0,46.0,46.0,45.0,45.04,45.03,44.41,62.0,510.0,5.1,0.0,0.0,0.0
