轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.08,40.0,0.25,0.3,0.29,11.3,11.4,12.1,0.0,5.5,0.03,0.1,209.8,7.1,360.0,1.0,1.0,842.0,677.0,883.0,0.0,890.0,14.0,86.3,614.0,30.0,31.1,0.3,3.4,1843.3,0.0,16.49,18.8,61.4,57.5,58.5,54.7,59.7,58.4,54.3,48.7,60.7,63.4,40.0,49.0,29.7,36.7,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,71.0,630.0,6.1,0.0,0.0,0.0
16.16,46.0,0.25,0.3,0.29,11.4,12.9,12.2,0.0,7.8,0.03,0.19,209.8,10.4,351.0,1.0,1.0,1468.0,678.0,1664.0,0.0,1672.0,16.0,148.7,997.0,33.0,34.5,0.4,3.6,2067.6,0.0,16.83,18.8,62.7,58.8,59.7,56.0,61.0,59.6,54.8,49.0,60.7,63.5,39.0,49.0,29.7,36.5,51.0,51.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.01,45.0,44.39,72.0,620.0,6.2,0.0,0.0,0.0
15.51,136.0,0.25,0.3,0.29,11.5,12.9,11.3,0.0,7.7,0.15,0.14,209.8,7.5,358.0,1.0,1.0,1108.0,679.0,1230.0,-1.0,1252.0,15.3,108.5,774.0,29.5,30.2,0.3,3.4,2067.6,0.0,16.83,18.8,61.3,57.3,58.2,54.6,59.5,57.9,54.0,48.8,60.7,63.5,40.0,49.0,29.7,36.7,43.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,72.0,620.0,6.1,0.0,0.0,0.0
16.29,350.0,0.25,0.29,0.28,12.1,12.9,11.3,0.0,-3.4,0.06,0.1,209.9,8.4,359.0,1.0,1.0,1415.0,677.0,1590.0,2.0,1608.0,16.0,139.8,962.0,31.3,33.3,0.3,3.5,2067.6,0.0,16.83,18.9,64.3,60.2,61.2,57.5,62.5,60.8,55.4,50.0,60.7,63.5,39.0,49.0,29.7,36.5,48.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.01,45.0,44.39,72.0,620.0,6.1,0.0,0.0,0.0
13.86,54.0,0.25,0.3,0.29,11.9,11.4,10.8,0.0,-1.9,-0.04,0.08,209.9,7.3,7.0,1.0,1.0,808.0,678.0,833.0,0.0,842.0,13.5,84.2,590.0,29.1,30.1,0.2,3.4,1678.1,0.0,16.25,18.8,61.4,57.3,58.3,54.6,59.5,57.9,54.1,48.8,60.7,63.6,39.0,49.0,29.7,36.7,38.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,71.0,620.0,6.1,0.0,0.0,0.0
16.65,10.0,0.78,0.83,0.82,11.3,10.6,11.8,0.0,-2.6,0.09,0.04,209.8,9.1,358.0,1.0,1.0,1685.0,679.0,1938.0,-1.0,1941.0,16.4,172.7,1133.0,31.2,32.3,0.3,3.5,2067.6,0.0,16.83,18.8,61.6,57.6,58.6,54.9,59.9,58.3,54.1,48.8,60.7,63.5,39.0,49.0,29.7,36.7,47.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,36.0,39.0,49.0,49.0,53.0,45.01,45.0,44.38,72.0,630.0,6.1,0.0,0.0,0.0
14.27,92.0,0.25,0.3,0.29,12.3,11.6,11.1,0.0,2.8,0.11,0.19,209.9,7.8,2.0,1.0,1.0,978.0,678.0,1066.0,0.0,1065.0,14.0,102.7,728.0,33.3,34.3,0.4,3.5,2067.6,0.0,16.83,18.8,61.6,57.6,58.5,54.9,59.8,58.2,54.3,48.6,60.7,63.5,39.0,49.0,29.7,36.7,44.0,45.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,36.0,39.0,49.0,49.0,53.0,45.01,45.0,44.38,71.0,630.0,6.1,0.0,0.0,0.0
14.08,10.0,0.25,0.3,0.29,12.2,11.5,10.9,0.0,-0.8,-0.04,0.15,210.1,7.0,6.0,1.0,1.0,917.0,678.0,980.0,0.0,983.0,13.9,96.9,681.0,33.1,33.9,0.4,3.5,2067.6,0.0,16.83,18.8,61.5,57.6,58.5,54.8,59.7,58.1,54.2,48.6,60.7,63.6,40.0,49.0,29.7,36.7,43.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,36.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,71.0,620.0,6.1,0.0,0.0,0.0
16.32,212.0,0.25,0.3,0.29,11.3,13.2,12.5,0.0,-2.0,-0.04,0.09,209.6,9.3,357.0,1.0,1.0,1464.0,679.0,1668.0,1.0,1666.0,16.1,147.8,1002.0,31.0,32.1,0.3,3.5,2067.6,0.0,16.83,18.8,61.6,57.6,58.5,54.9,59.9,58.3,54.1,48.7,60.7,63.5,39.0,49.0,29.7,36.7,47.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,36.0,39.0,49.0,49.0,53.0,45.01,45.0,44.38,71.0,630.0,6.2,0.0,0.0,0.0
14.4,186.0,0.25,0.3,0.29,11.1,12.2,11.4,0.0,5.4,0.03,0.08,209.9,7.8,4.0,1.0,1.0,1028.0,679.0,1123.0,1.0,1132.0,14.3,105.8,758.0,33.4,34.0,0.4,3.5,2067.6,0.0,16.83,18.8,61.5,57.6,58.5,54.9,59.8,58.1,54.4,48.6,60.7,63.5,39.0,49.0,29.7,36.7,43.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.01,45.0,44.38,71.0,620.0,6.1,0.0,0.0,0.0
16.65,264.0,0.64,0.68,0.68,10.5,11.1,11.2,0.0,-1.9,0.13,0.1,209.4,11.0,358.0,1.0,1.0,1650.0,680.0,1886.0,0.0,1912.0,16.5,165.9,1110.0,31.0,32.3,0.3,3.5,2067.6,0.0,16.83,18.8,61.6,57.6,58.6,54.9,59.9,58.3,54.1,48.8,60.7,63.6,39.0,49.0,29.7,36.7,47.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,71.0,620.0,6.1,0.0,0.0,0.0
14.29,12.0,0.25,0.3,0.29,12.4,11.1,11.6,0.0,-8.5,0.03,0.05,209.9,8.5,8.0,1.0,1.0,964.0,678.0,1043.0,0.0,1051.0,13.9,100.9,714.0,32.0,33.0,0.3,3.5,2067.6,0.0,16.83,18.8,61.4,57.5,58.3,54.7,59.6,58.1,54.0,48.6,60.6,63.4,40.0,49.0,29.7,36.7,43.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,36.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,71.0,630.0,6.1,0.0,0.0,0.0
13.27,16.0,0.25,0.3,0.29,11.3,11.3,11.8,0.0,-9.8,0.03,0.14,210.1,7.0,5.0,1.0,1.0,741.0,678.0,733.0,1.0,744.0,13.0,78.2,543.0,31.9,33.8,0.3,3.5,2067.6,0.0,16.83,18.8,61.6,57.6,58.5,54.9,59.8,58.4,54.1,48.6,60.7,63.3,39.0,49.0,29.7,36.7,42.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.0,45.0,44.38,71.0,620.0,6.2,0.0,0.0,0.0
17.02,26.0,6.57,6.53,6.52,10.8,11.1,11.2,0.0,5.8,-0.11,0.01,210.0,10.7,356.0,1.0,1.0,1768.0,678.0,2031.0,1.0,2002.0,16.6,181.0,1160.0,30.7,33.0,0.3,3.5,2067.6,0.0,16.83,18.9,65.1,60.8,61.9,58.1,63.1,61.4,55.8,50.4,60.8,63.6,39.0,49.0,29.7,36.5,54.0,54.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,34.0,33.0,34.0,41.0,37.0,39.0,49.0,49.0,53.0,45.0,45.0,44.39,73.0,630.0,6.1,0.0,0.0,0.0
