轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.79,316,0.25,0.24,0.24,11.1,10.6,10.6,0,-1.1,0.03,0.11,209.4,4.7,168,1,1,420,689,212,2,209,8.5,33.4,239,32.7,32.2,0.4,3.5,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.3,26.1,26.1,26.6,37.8,40.3,37,47,25.8,31.6,38,36,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,49,45.02,45.02,44.39,66,580,5.7,0,0,0
8.4,188,0.24,0.24,0.24,10.7,11.1,10.9,0,-4.5,0.04,0.1,209.1,4.8,170,1,1,414,689,187,-1,186,8.3,31.1,219,29.9,29.5,0.3,3.4,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.2,26.2,26.7,38.1,40.5,37,46,25.6,31.5,35,34,25,0,0,0,6,6,4,0,30,30,30,37,33,35,46,46,49,45.02,45.02,44.39,66,580,5.7,0,0,0
8.28,36,0.24,0.24,0.24,10.7,11.1,10.8,0,-14.3,0.04,0.1,208.8,6.0,167,1,1,411,690,179,1,178,8.1,29.2,213,30.7,30.2,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.6,26.5,29.3,26.0,26.2,26.5,37.6,40.1,36,47,25.8,31.6,36,34,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.01,44.39,66,580,5.6,0,0,0
8.28,4,0.24,0.24,0.24,10.8,10.7,11.4,0,-11.6,0.03,0.12,208.5,5.1,168,1,1,409,690,177,0,180,8.0,29.6,212,30.7,30.1,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.6,26.6,29.3,26.1,26.1,26.5,37.6,40.2,36,47,25.8,31.6,36,34,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.39,65,580,5.7,0,0,0
8.64,88,0.25,0.24,0.24,11.1,10.6,10.5,0,-2.5,0.03,0.12,209.4,4.9,167,1,1,419,689,206,0,200,8.4,32.6,233,28.3,28.8,0.2,3.4,2067.6,0,16.83,17.9,30.2,26.1,26.8,26.7,29.4,26.0,26.0,26.7,38.0,40.5,36,47,25.7,31.5,34,33,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.4,66,570,5.7,0,0,0
8.61,344,0.24,0.24,0.24,10.8,10.8,10.6,0,-1.0,0.05,0.11,209.3,4.7,168,1,1,413,689,203,1,204,8.4,32.3,232,32.2,32.8,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.4,26.1,26.1,26.6,37.9,40.3,36,47,25.8,31.5,37,36,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.23,184,0.24,0.24,0.24,10.6,10.9,10.6,0,-10.7,0.03,0.13,208.8,4.4,166,1,1,409,689,179,1,184,8.0,29.6,213,30.4,29.7,0.3,3.5,2067.6,0,16.83,17.9,30.0,26.0,26.6,26.5,29.3,26.0,25.9,26.6,37.6,40.1,36,47,25.8,31.6,35,34,25,0,0,0,6,6,4,0,30,30,31,37,32,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.23,140,0.24,0.24,0.24,10.7,11.0,10.9,0,-6.5,0.03,0.1,209.1,4.7,171,1,1,412,689,174,1,175,8.0,29.5,208,31.5,31.2,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.5,26.3,26.2,26.7,38.1,40.7,36,46,25.6,31.5,36,35,25,0,0,0,6,6,4,0,30,30,30,36,33,35,46,46,49,45.02,45.02,44.4,66,580,5.7,0,0,0
8.28,140,0.25,0.24,0.24,11.0,10.5,10.6,0,-11.9,0.01,0.11,208.5,5.0,169,1,1,412,690,180,1,177,8.0,29.0,213,31.0,30.5,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.7,26.6,29.3,25.9,26.1,26.6,37.7,40.2,36,47,25.8,31.6,36,35,25,0,0,0,6,6,4,0,30,30,31,37,33,35,47,47,50,45.02,45.02,44.39,67,580,5.7,0,0,0
8.62,52,0.25,0.24,0.24,11.3,10.6,10.5,0,-0.5,0.04,0.1,209.1,5.2,168,1,1,416,688,203,1,206,8.5,33.0,231,29.0,29.7,0.2,3.4,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.4,26.3,26.1,26.7,37.9,40.5,36,47,25.7,31.5,35,33,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.39,66,570,5.7,0,0,0
8.58,268,0.24,0.24,0.24,10.8,10.8,11.4,0,-0.9,0.04,0.1,209.1,4.4,167,1,1,416,689,203,0,199,8.4,33.6,230,28.2,28.8,0.2,3.4,2067.6,0,16.83,17.9,30.2,26.1,26.8,26.7,29.4,26.0,26.1,26.7,38.0,40.5,37,47,25.7,31.5,34,32,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.22,40,0.24,0.24,0.24,10.7,10.7,11.3,0,-11.8,0.06,0.1,208.8,5.8,166,1,1,406,689,177,1,170,8.0,29.7,213,30.1,29.6,0.3,3.5,2067.6,0,16.83,17.9,30.0,26.0,26.6,26.5,29.3,26.1,26.0,26.6,37.6,40.1,36,47,25.8,31.6,35,34,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.39,66,570,5.7,0,0,0
8.17,40,0.24,0.24,0.24,11.3,10.6,10.5,0,-12.4,0.03,0.1,208.7,5.7,167,1,1,412,689,174,1,176,7.9,28.8,208,29.8,29.5,0.3,3.4,2067.6,0,16.83,17.9,30.1,26.0,26.6,26.6,29.2,26.1,26.0,26.5,37.6,40.1,37,47,25.8,31.6,35,33,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.39,66,580,5.7,0,0,0
8.59,228,0.25,0.24,0.24,11.0,10.6,10.6,0,-5.3,0.05,0.13,209.3,4.6,168,1,1,415,689,200,0,205,8.3,31.6,230,28.3,28.2,0.2,3.4,2067.6,0,16.83,17.9,30.2,26.1,26.8,26.7,29.4,26.1,26.2,26.7,38.0,40.5,36,47,25.7,31.5,34,32,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.39,66,580,5.7,0,0,0
8.75,168,0.25,0.24,0.24,11.1,10.6,10.5,0,1.3,0.04,0.12,209.6,4.5,168,1,1,422,689,213,0,209,8.6,32.8,238,32.7,32.0,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.0,26.7,26.6,29.3,25.9,25.9,26.6,37.8,40.4,36,47,25.8,31.6,37,36,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.01,44.39,66,580,5.7,0,0,0
8.66,244,0.24,0.24,0.24,10.8,11.0,11.2,0,-0.5,0.01,0.13,209.9,5.4,173,1,1,419,690,207,0,208,8.5,33.8,234,32.1,31.4,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.7,26.6,29.3,25.8,26.1,26.6,37.7,40.3,37,47,25.8,31.6,37,36,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.4,65,580,5.7,0,0,0
8.7,160,0.24,0.24,0.24,11.0,10.8,10.6,0,-4.1,0.03,0.1,209.3,5.4,169,1,1,420,690,206,0,199,8.4,32.3,234,30.3,30.8,0.3,3.4,2067.6,0,16.83,17.9,30.2,26.1,26.8,26.6,29.4,26.1,25.9,26.6,37.9,40.4,36,47,25.7,31.5,36,34,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.39,66,580,5.8,0,0,0
8.23,172,0.24,0.24,0.24,10.7,10.6,11.1,0,-0.6,0.06,0.1,209.0,4.7,166,1,1,410,689,174,1,172,8.0,30.6,211,32.4,31.7,0.4,3.5,2067.6,0,16.83,17.8,30.2,26.1,26.9,26.7,29.5,26.0,26.1,26.8,38.2,40.8,36,47,25.6,31.5,37,36,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.4,66,570,5.7,0,0,0
8.24,136,0.24,0.24,0.24,10.8,10.8,11.4,0,-0.2,0.02,0.1,209.3,3.9,165,1,1,408,689,172,1,180,8.2,30.2,209,32.4,31.7,0.3,3.5,2067.6,0,16.83,17.8,30.2,26.1,26.9,26.7,29.5,26.0,26.2,26.8,38.2,40.7,36,47,25.6,31.5,37,36,25,0,0,0,6,6,4,0,30,30,30,36,33,35,47,47,50,45.02,45.02,44.4,66,570,5.7,0,0,0
8.61,52,0.24,0.24,0.24,10.8,10.9,11.4,0,-2.5,0.04,0.11,209.4,4.7,168,1,1,417,689,206,-1,198,8.4,32.2,232,29.3,30.0,0.2,3.4,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.4,26.1,26.1,26.7,37.9,40.4,37,47,25.8,31.5,35,34,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.39,67,580,5.7,0,0,0
8.28,76,0.24,0.24,0.24,10.7,10.9,10.6,0,-4.8,0.04,0.13,209.3,4.6,170,1,1,414,689,181,0,180,8.2,29.1,213,30.9,30.5,0.3,3.5,2067.6,0,16.83,17.9,30.3,26.1,26.9,26.7,29.4,26.2,25.9,26.8,38.1,40.7,37,46,25.6,31.5,36,34,25,0,0,0,6,6,4,0,30,30,30,37,33,35,46,46,50,45.02,45.01,44.39,66,580,5.7,0,0,0
8.29,40,0.24,0.24,0.24,10.6,10.9,10.6,0,-4.8,0.03,0.11,209.3,4.0,169,1,1,411,688,187,-2,184,8.2,31.3,217,30.2,29.8,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.2,26.0,26.7,38.1,40.6,37,47,25.6,31.5,35,34,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.33,320,0.24,0.24,0.24,10.8,10.8,11.4,0,-0.3,-0.02,0.12,209.2,4.3,166,1,1,416,689,177,-2,179,8.3,30.1,213,31.9,31.6,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.1,26.1,26.8,38.2,40.7,36,47,25.6,31.5,37,35,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.01,44.4,65,580,5.7,0,0,0
8.59,56,0.24,0.24,0.24,10.6,10.9,10.7,0,-8.6,0.03,0.1,209.1,4.4,169,1,1,420,690,202,-1,209,8.5,32.6,230,30.4,31.4,0.3,3.4,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.4,26.4,26.0,26.7,37.9,40.4,36,47,25.8,31.5,36,35,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,49,45.02,45.01,44.39,66,580,5.6,0,0,0
8.6,52,0.24,0.24,0.24,10.9,10.6,10.7,0,-4.5,0.03,0.12,209.4,4.5,168,1,1,419,690,202,-1,199,8.4,31.9,230,31.2,32.4,0.3,3.4,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.4,26.4,26.2,26.6,37.9,40.3,37,46,25.8,31.5,36,35,25,0,0,0,6,6,4,0,30,30,30,37,32,35,46,46,49,45.02,45.01,44.39,66,580,5.7,0,0,0
8.75,132,0.24,0.24,0.24,10.8,10.8,11.3,0,0.0,0.03,0.1,209.6,4.1,168,1,1,423,689,210,2,215,8.5,34.3,238,33.0,32.4,0.4,3.5,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.3,26.1,26.1,26.6,37.8,40.3,37,47,25.8,31.5,38,37,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.4,65,570,5.7,0,0,0
8.29,184,0.24,0.24,0.24,10.8,10.8,11.4,0,-1.8,0.03,0.12,209.2,4.4,169,1,1,410,689,179,1,178,8.0,30.2,211,31.1,30.6,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.2,26.0,26.8,38.1,40.7,36,47,25.6,31.5,36,34,25,0,0,0,6,6,4,0,30,30,30,36,33,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.32,324,0.24,0.24,0.24,10.8,10.6,10.9,0,-0.6,0.03,0.12,209.1,4.9,169,1,1,412,689,181,0,176,8.0,29.8,214,31.0,30.5,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.2,25.9,26.8,38.1,40.6,36,47,25.6,31.5,36,34,25,0,0,0,6,6,4,0,30,30,30,36,32,35,47,47,49,45.02,45.02,44.4,66,580,5.7,0,0,0
8.8,316,0.24,0.24,0.24,11.1,10.7,10.6,0,-1.9,0.06,0.11,209.4,5.6,169,1,1,424,690,212,0,209,8.5,34.3,236,32.6,31.8,0.4,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.7,26.6,29.3,26.0,25.9,26.6,37.8,40.3,36,47,25.8,31.6,37,36,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.37,44,0.25,0.24,0.24,11.1,10.5,10.5,0,-3.3,0.03,0.1,209.4,4.5,169,1,1,413,689,190,-1,189,8.2,30.9,221,30.1,29.4,0.3,3.4,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.2,26.2,26.7,38.0,40.6,36,47,25.6,31.5,35,34,25,0,0,0,6,6,4,0,30,30,30,37,32,35,47,47,50,45.02,45.02,44.39,65,580,5.7,0,0,0
8.7,100,0.24,0.24,0.24,10.7,11.1,10.7,0,-10.2,0.04,0.13,209.8,5.1,173,1,1,418,689,207,-1,214,8.7,33.4,234,32.2,31.7,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.7,26.6,29.3,25.8,26.0,26.6,37.8,40.2,37,47,25.8,31.6,37,36,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.39,66,580,5.6,0,0,0
8.66,352,0.25,0.24,0.24,11.1,10.6,10.5,0,-1.2,0.03,0.14,209.6,4.8,172,1,1,423,689,208,-1,216,8.7,32.2,235,32.3,32.0,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.7,26.6,29.3,25.8,26.0,26.6,37.8,40.2,36,47,25.8,31.6,37,36,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.4,66,570,5.7,0,0,0
8.26,72,0.25,0.24,0.24,11.3,10.6,10.5,0,-14.1,0.03,0.1,208.8,5.4,170,1,1,406,689,178,0,172,8.0,30.7,211,31.2,30.7,0.3,3.5,2067.6,0,16.83,17.9,30.1,26.0,26.7,26.6,29.3,26.1,26.1,26.6,37.7,40.2,36,46,25.8,31.6,36,35,25,0,0,0,6,6,4,0,30,30,31,37,32,35,46,46,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.3,316,0.24,0.24,0.24,10.6,10.8,10.6,0,1.8,0.08,0.1,209.1,4.5,166,1,1,416,689,182,1,180,8.1,29.9,216,32.2,31.6,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.5,26.2,26.2,26.7,38.2,40.7,37,47,25.6,31.5,37,35,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,49,45.02,45.02,44.4,66,580,5.7,0,0,0
8.62,304,0.24,0.24,0.24,10.8,10.9,11.2,0,-3.6,0.08,0.11,209.3,5.0,169,1,1,417,689,203,2,197,8.4,32.7,231,29.1,29.7,0.2,3.4,2067.6,0,16.83,17.9,30.1,26.1,26.8,26.6,29.4,26.3,26.2,26.7,37.9,40.4,37,47,25.7,31.5,35,33,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.4,66,580,5.7,0,0,0
8.27,248,0.24,0.24,0.24,10.6,10.9,10.6,0,-1.5,0.07,0.1,209.1,3.8,166,1,1,409,689,181,0,187,8.2,31.1,215,32.3,31.8,0.3,3.5,2067.6,0,16.83,17.9,30.2,26.1,26.9,26.7,29.4,26.1,26.1,26.8,38.2,40.6,36,47,25.6,31.5,37,35,25,0,0,0,6,6,4,0,30,30,30,36,32,35,47,47,50,45.02,45.01,44.39,66,580,5.7,0,0,0
8.18,0,0.24,0.24,0.24,10.6,10.9,10.6,0,-7.0,0.05,0.1,209.3,4.2,171,1,1,408,689,177,0,188,8.3,29.0,211,31.7,31.3,0.3,3.5,2067.6,0,16.83,17.8,30.2,26.2,26.9,26.7,29.5,26.3,26.2,26.8,38.1,40.8,36,47,25.6,31.5,36,35,25,0,0,0,6,6,4,0,30,30,30,37,33,35,47,47,50,45.02,45.02,44.4,66,570,5.6,0,0,0
8.28,256,0.24,0.24,0.24,10.8,10.8,10.6,0,-7.7,0.03,0.1,208.8,5.2,166,1,1,412,689,178,0,171,7.9,29.7,212,30.4,29.5,0.3,3.5,2067.6,0,16.83,17.9,30.0,26.0,26.6,26.5,29.3,26.1,26.0,26.6,37.6,40.2,36,47,25.8,31.6,35,34,25,0,0,0,6,6,4,0,30,30,30,36,32,35,47,47,50,45.02,45.01,44.39,66,580,5.7,0,0,0
