轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.33,128,0.25,0.27,0.27,10.8,10.6,10.5,0,-14.3,-0.07,0.1,207.5,3.3,21,1,3,391,700,85,-1,95,7.1,17.3,115,30.9,29.4,0.8,4,2067.6,0,16.83,0.5,14.7,10.1,11.6,10.7,13.5,10.0,11.4,12.4,38.1,40.7,19,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,27,22,13,27,23,26,33,33,32,45.04,45.05,44.43,46,380,3.7,0,0,0
7.28,124,0.25,0.27,0.27,10.6,10.8,10.9,0,-18.3,-0.02,0.11,207.6,3.0,30,1,3,387,700,56,0,48,7.1,10.8,73,30.7,29.7,0.8,4,2067.6,0,16.83,0.5,14.6,10.1,11.6,10.7,13.5,10.2,11.5,12.3,38.1,40.8,18,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,27,22,13,27,23,26,33,33,32,45.05,45.05,44.43,47,380,3.7,0,0,0
7.43,292,0.25,0.27,0.27,10.8,10.5,10.4,0,-2.0,0.0,-0.07,207.8,3.5,23,1,3,399,699,130,0,125,7.2,23.0,169,31.2,29.9,0.8,4,2067.6,0,16.83,0.5,14.6,10.1,11.6,10.7,13.5,10.1,11.4,12.3,38.1,40.8,18,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,26,20,13,27,23,25,33,33,32,45.04,45.05,44.43,46,380,3.7,0,0,0
7.5,160,0.25,0.27,0.27,10.6,10.7,10.8,0,14.9,0.1,0.12,207.7,3.2,13,1,3,401,699,118,-1,124,7.2,21.3,159,30.9,29.5,0.8,4,2067.6,0,16.83,0.5,14.6,10.1,11.6,10.7,13.5,10.3,11.3,12.3,38.1,40.9,18,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,26,19,13,27,23,26,33,33,32,45.04,45.05,44.43,47,380,3.6,0,0,0
7.23,16,0.25,0.27,0.27,10.6,10.8,11.0,0,3.1,0.01,0.11,207.5,2.3,28,1,3,387,700,59,1,65,7.3,11.3,81,30.8,29.6,0.8,4,1266.0,0,15.6,0.5,14.5,10.1,11.6,10.7,13.5,10.3,11.5,12.4,38.1,40.7,18,33,10.9,17.3,36,32,25,0,0,0,6,6,4,0,27,22,13,27,23,25,33,33,32,45.04,45.05,44.43,46,370,3.6,0,0,0
7.43,176,0.25,0.27,0.27,10.8,10.5,10.5,0,16.2,0.01,-0.02,207.8,3.3,19,1,3,394,700,124,3,122,7.2,22.1,163,30.7,29.4,0.8,4,2067.6,0,16.83,0.5,14.6,10.1,11.6,10.7,13.5,10.2,11.5,12.4,38.1,40.8,19,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,26,21,13,27,23,25,33,33,32,45.04,45.05,44.43,47,380,3.7,0,0,0
7.45,272,0.25,0.27,0.27,10.6,10.8,10.8,0,11.1,0.03,0.13,207.9,3.4,14,1,3,404,699,114,-1,121,7.2,21.1,152,31.1,29.5,0.8,4,2067.6,0,16.83,0.5,14.5,10.1,11.6,10.7,13.5,10.2,11.4,12.3,38.1,40.8,18,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,25,19,13,27,23,25,33,33,32,45.04,45.05,44.43,46,380,3.6,0,0,0
7.22,196,0.25,0.27,0.27,10.6,10.8,10.9,0,-7.9,-0.02,0.1,207.5,3.0,26,1,3,382,698,59,-3,56,7.1,11.7,80,31.0,29.6,0.8,4,1322.7,0,15.69,0.5,14.6,10.1,11.6,10.7,13.5,10.2,11.4,12.3,38.1,40.8,18,33,10.9,17.3,36,32,25,0,0,0,6,6,4,0,27,22,13,27,23,25,33,33,32,45.04,45.05,44.43,46,380,3.6,0,0,0
7.54,252,0.25,0.27,0.27,10.6,10.6,10.9,0,2.2,0.01,0.01,207.7,3.9,26,1,3,396,699,122,1,123,7.5,23.2,166,30.9,29.6,0.8,4,2067.6,0,16.83,0.5,14.6,10.1,11.6,10.7,13.5,10.3,11.4,12.4,38.1,40.8,18,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,26,21,13,27,23,26,33,33,32,45.04,45.05,44.43,45,380,3.7,0,0,0
7.55,288,0.25,0.27,0.27,11.0,10.5,10.5,0,8.4,0.06,0.21,207.6,4.0,22,1,3,397,698,117,-4,122,7.5,23.0,154,30.7,29.6,0.8,4,2067.6,0,16.83,0.5,14.7,10.1,11.6,10.7,13.5,10.1,11.5,12.3,38.1,40.8,18,33,10.9,17.3,36,33,25,0,0,0,6,6,4,0,26,21,13,27,24,25,33,33,32,45.05,45.05,44.43,46,360,3.7,0,0,0
