轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.98,304,6.65,6.7,6.7,17.3,14.7,15.5,0,-4.4,0.1,0.05,208.0,11.3,240,1,1,1751,681,2027,0,2043,16.5,180.9,1168,33.2,34.2,0.9,4.0,2067.6,0,16.83,7.0,71.9,67.0,68.5,64.6,71.0,67.8,63.8,53.3,56.9,60.0,26,42,17.5,23.4,56,57,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.05,44.41,60,490,4.8,0,0,0
16.97,232,8.15,8.1,8.13,12.2,13.1,13.4,0,-11.0,0.06,0.28,208.7,12.5,241,1,1,1752,681,2023,2,2022,16.6,183.0,1165,31.3,32.5,0.8,4.0,2067.6,0,16.83,6.9,70.4,65.5,67.0,63.0,69.4,66.3,60.9,55.0,56.7,59.7,26,42,18.1,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.04,44.41,59,490,4.8,0,0,0
16.68,2,5.37,5.33,5.33,14.8,16.1,14.7,0,-1.6,0.07,0.11,208.4,12.0,238,1,1,1719,680,1988,-2,1975,16.3,179.8,1168,28.9,30.8,0.7,3.9,2067.6,0,16.83,6.9,68.9,64.0,65.4,61.5,67.7,64.4,57.6,54.3,56.6,59.2,26,42,18.1,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.04,44.41,61,490,4.8,0,0,0
16.98,136,5.13,5.06,5.06,16.4,16.5,15.4,0,-4.4,0.03,0.13,208.5,11.4,238,1,1,1759,681,2035,0,2038,16.6,180.1,1166,30.7,31.7,0.8,3.9,2067.6,0,16.83,6.9,68.9,64.1,65.6,61.6,68.0,64.9,57.9,54.4,56.6,59.5,25,42,18.2,23.4,54,55,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,61,490,4.8,0,0,0
16.88,252,7.95,7.88,7.87,11.1,11.7,11.3,0,-9.8,0.03,0.11,207.9,13.3,242,1,1,1749,681,2024,-2,2015,16.7,181.0,1167,28.8,30.7,0.7,3.9,2067.6,0,16.83,7.0,71.5,66.7,68.2,64.1,70.6,67.4,63.6,53.2,56.8,59.8,25,42,17.6,23.4,52,53,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.05,44.41,60,480,4.8,0,0,0
16.98,294,5.65,5.62,5.61,18.0,15.2,14.5,0,-3.7,0.1,0.11,208.6,11.9,239,1,1,1746,680,2020,-2,2025,16.5,181.9,1166,29.3,32.1,0.7,3.8,2067.6,0,16.83,6.9,68.6,63.7,65.2,61.3,67.4,64.4,57.3,53.9,56.5,59.4,27,42,18.1,23.4,53,54,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.42,61,490,4.8,0,0,0
17.04,92,8.04,8.02,8.03,13.0,13.9,17.9,0,-9.3,0.04,0.15,208.7,14.7,240,1,1,1751,680,2026,-1,2025,16.7,178.8,1162,28.8,30.9,0.7,3.9,2067.6,0,16.83,6.9,70.1,65.3,66.8,62.9,69.2,66.2,59.6,55.2,56.6,59.7,27,42,18.2,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.93,348,8.5,8.46,8.45,17.2,15.4,14.8,0,-8.1,0.03,0.05,207.9,15.2,242,1,1,1744,681,2017,1,2017,16.5,180.8,1163,31.6,33.0,0.8,3.9,2067.6,0,16.83,7.0,71.7,66.8,68.3,64.4,70.9,67.7,63.8,53.3,56.9,59.9,25,42,17.6,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.03,45.04,44.41,60,490,4.8,0,0,0
16.97,352,8.85,8.83,8.82,10.5,10.9,11.8,0,-7.9,0.01,0.21,208.6,16.0,241,1,1,1754,681,2029,0,2024,16.6,179.1,1169,31.4,34.1,0.7,3.9,2067.6,0,16.83,6.9,71.0,66.2,67.6,63.7,70.1,67.1,63.2,53.7,56.7,59.6,25,42,17.8,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.05,44.41,61,480,4.8,0,0,0
16.83,56,7.55,7.54,7.53,16.8,14.1,15.6,0,-7.0,0.09,0.18,207.6,13.0,242,1,1,1744,680,2014,-1,2017,16.5,182.2,1171,31.6,33.1,0.8,4.0,2067.6,0,16.83,7.0,71.8,66.9,68.4,64.4,70.9,67.6,63.8,53.4,56.9,59.9,26,42,17.5,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.04,44.41,61,490,4.8,0,0,0
16.87,118,7.02,6.99,6.97,15.0,10.9,13.7,0,-3.0,0.08,0.27,208.8,13.5,239,1,1,1742,681,2018,1,1988,16.4,177.9,1170,30.6,31.5,0.8,3.9,2067.6,0,16.83,6.9,70.4,65.4,66.9,63.0,69.2,66.2,60.3,55.1,56.6,59.7,25,42,18.1,23.4,54,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.05,44.41,61,490,4.8,0,0,0
17.2,256,8.63,8.52,8.49,12.4,11.1,12.4,0,-6.6,0.02,0.26,209.1,14.2,241,1,1,1765,681,2044,-1,2002,16.7,179.1,1161,33.1,34.0,0.8,4.0,2067.6,0,16.83,6.9,70.7,65.7,67.3,63.2,69.7,66.4,61.9,54.3,56.7,59.7,26,42,17.9,23.4,56,56,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
17.19,142,8.91,8.89,8.89,10.5,10.4,10.7,0,-6.5,-0.03,0.22,209.1,12.7,241,1,1,1762,680,2039,2,2014,16.7,181.8,1164,33.9,35.3,0.8,4.0,2067.6,0,16.83,6.9,70.8,65.9,67.5,63.5,69.9,66.6,62.7,53.7,56.7,59.8,27,42,17.9,23.4,57,58,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
17.0,258,8.02,7.96,7.96,10.5,10.8,10.6,0,-9.0,0.01,0.05,207.6,11.3,241,1,1,1755,681,2033,1,2070,16.9,180.8,1162,30.6,33.0,0.7,3.9,2067.6,0,16.83,7.0,72.2,67.3,68.8,64.8,71.3,67.9,64.0,53.9,56.9,60.0,25,42,17.5,23.4,54,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.05,44.41,60,490,4.8,0,0,0
16.83,294,6.71,6.65,6.67,12.1,15.4,14.4,0,-0.6,0.07,0.1,209.0,11.7,237,1,1,1751,681,2023,-1,2002,16.5,182.5,1168,33.0,35.3,0.8,4.0,2067.6,0,16.83,6.9,69.6,64.7,66.1,62.2,68.5,65.3,58.2,55.0,56.6,59.5,26,42,18.2,23.4,57,57,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.79,310,7.81,7.78,7.77,11.9,12.4,13.0,0,-7.4,-0.12,0.05,208.0,11.9,242,1,1,1747,681,2020,-3,2015,16.4,181.0,1170,31.5,33.0,0.8,4.0,2067.6,0,16.83,7.0,71.7,66.9,68.4,64.4,70.9,67.6,63.9,53.4,56.9,60.0,25,42,17.5,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.68,252,7.45,7.45,7.45,17.2,12.0,12.7,0,-7.2,0.06,0.05,208.2,14.1,241,1,1,1740,681,2006,1,2016,16.3,182.3,1175,28.3,31.4,0.7,3.8,2067.6,0,16.83,7.0,71.4,66.5,68.0,64.0,70.5,67.1,63.5,53.5,56.8,59.8,26,42,17.6,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.04,44.41,60,490,4.8,0,0,0
17.03,106,9.41,9.36,9.37,17.8,12.1,12.3,0,-9.0,-0.03,0.18,208.0,15.7,242,1,1,1752,680,2028,0,2069,16.9,179.3,1164,33.5,34.5,0.9,4.0,2067.6,0,16.83,6.9,70.7,65.8,67.4,63.3,69.8,66.4,62.4,54.0,56.7,59.8,27,42,17.9,23.4,56,57,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.97,6,8.62,8.52,8.52,11.4,12.0,11.5,0,-5.7,0.14,0.21,208.3,15.1,241,1,1,1763,680,2035,1,2039,16.6,182.2,1164,28.9,31.8,0.7,3.8,2067.6,0,16.83,7.0,71.4,66.5,68.0,63.9,70.4,66.9,63.4,53.5,56.8,59.9,26,42,17.6,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.05,44.41,60,490,4.8,0,0,0
17.09,276,7.92,7.9,7.92,13.2,13.4,12.0,0,-4.2,0.05,0.1,209.1,12.8,239,1,1,1765,681,2038,3,2066,17.0,179.1,1160,28.6,31.3,0.7,3.9,2067.6,0,16.83,6.9,70.1,65.3,66.7,62.8,69.2,66.1,59.3,55.3,56.6,59.7,26,42,18.2,23.4,52,53,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.88,200,7.97,7.96,7.97,12.7,15.4,12.2,0,-9.3,-0.07,-0.05,208.8,13.5,240,1,1,1744,680,2017,-2,2022,16.7,177.2,1164,29.0,31.1,0.7,3.9,2067.6,0,16.83,6.9,70.1,65.3,66.8,62.9,69.2,66.2,59.6,55.2,56.6,59.7,26,42,18.1,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.77,60,7.34,7.29,7.28,17.0,14.0,14.2,0,-3.2,0.09,0.11,208.7,10.5,238,1,1,1744,681,2018,-1,2013,16.4,181.8,1167,29.3,32.1,0.7,3.9,2067.6,0,16.83,6.9,70.0,65.1,66.7,62.6,69.0,65.9,58.8,55.3,56.6,59.5,26,42,18.2,23.4,53,54,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,60,490,4.8,0,0,0
16.93,212,5.77,5.72,5.73,11.4,12.2,17.6,0,-2.8,0.01,0.14,208.8,12.4,238,1,1,1760,681,2029,0,2032,16.6,181.8,1165,30.2,31.1,0.7,3.9,2067.6,0,16.83,6.9,68.9,64.1,65.6,61.6,67.9,64.7,57.7,54.4,56.6,59.4,27,42,18.2,23.4,53,54,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.04,44.41,61,490,4.8,0,0,0
16.98,346,7.44,7.36,7.37,10.9,10.6,11.0,0,-2.5,0.04,0.11,208.3,12.9,241,1,1,1763,680,2038,-2,2061,16.8,183.9,1165,32.8,33.7,0.9,4.0,2067.6,0,16.83,7.0,71.8,67.0,68.4,64.5,70.9,67.8,63.8,53.4,56.9,59.9,26,42,17.5,23.4,55,56,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.03,45.04,44.41,60,490,4.8,0,0,0
16.87,262,6.2,6.16,6.16,12.2,12.4,11.0,0,-6.5,0.03,-0.05,208.7,12.3,238,1,1,1755,680,2034,-3,2030,16.7,180.1,1168,31.4,34.7,0.8,3.9,2067.6,0,16.83,6.9,69.7,64.8,66.3,62.3,68.6,65.5,58.2,55.0,56.6,59.5,27,42,18.2,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.04,44.41,60,500,4.8,0,0,0
16.99,130,6.88,6.84,6.84,13.0,12.4,11.3,0,-1.2,-0.03,0.14,209.1,11.9,238,1,1,1762,681,2036,1,2074,16.9,180.8,1168,29.0,32.0,0.7,3.8,2067.6,0,16.83,6.9,70.1,65.1,66.7,62.7,69.0,65.8,58.7,55.3,56.6,59.6,26,42,18.2,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.04,44.41,61,490,4.8,0,0,0
16.97,218,5.49,5.43,5.45,13.6,10.8,13.3,0,-2.9,-0.06,0.22,208.7,12.2,239,1,1,1760,680,2029,0,2035,16.6,183.2,1170,28.4,31.2,0.7,3.9,2067.6,0,16.83,6.9,68.7,63.9,65.3,61.5,67.6,64.6,57.4,54.1,56.5,59.4,26,42,18.1,23.4,53,53,25,0,0,0,6,6,4,0,20,20,19,35,30,33,42,42,41,45.04,45.04,44.41,61,490,4.8,0,0,0
16.96,232,9.2,9.18,9.17,11.5,11.9,12.8,0,-5.2,0.11,0.24,208.4,15.6,241,1,1,1752,680,2028,-3,2069,16.8,179.0,1165,29.6,32.4,0.7,3.8,2067.6,0,16.83,6.9,71.3,66.4,67.9,63.9,70.3,67.0,63.2,53.5,56.8,59.7,25,42,17.7,23.4,54,54,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.04,45.05,44.41,59,490,4.8,0,0,0
16.78,232,8.1,8.21,8.22,14.5,16.1,14.1,0,-9.7,0.01,0.06,208.0,15.2,242,1,1,1749,681,2016,2,2037,16.7,181.1,1171,30.4,33.2,0.7,3.9,2067.6,0,16.83,6.9,71.1,66.3,67.8,63.8,70.2,67.0,63.2,53.7,56.8,59.8,26,42,17.8,23.4,55,55,25,0,0,0,6,6,4,0,20,20,19,35,31,33,42,42,41,45.03,45.04,44.41,60,490,4.8,0,0,0
