轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.58,180,12.71,12.79,12.79,11.6,11.4,11.2,0,-0.6,0.03,0.09,208.5,13.9,171,1,3,824,682,859,1,867,13.4,87.9,617,33.1,33.9,0.7,3.9,889.0,0,14.0,16.5,66.5,61.6,63.4,59.9,65.8,62.3,60.2,52.5,58.0,61.2,31,46,23.3,27.6,42,43,25,0,0,0,6,6,4,0,24,24,24,37,33,35,46,46,45,45.04,45.03,44.4,62,520,5.2,0,0,0
14.44,60,15.02,14.94,14.97,11.2,11.1,11.8,0,-3.4,-0.05,0.13,208.7,14.4,171,1,3,838,681,875,1,873,14.2,82.2,595,28.8,30.6,0.6,3.8,889.0,0,14.0,16.4,69.8,64.9,66.7,63.1,69.3,65.8,63.3,55.0,57.9,61.1,31,46,23.3,27.6,39,39,25,0,0,0,6,6,4,0,24,24,24,37,32,36,46,46,45,45.04,45.03,44.41,62,520,5.1,0,0,0
13.69,340,13.94,13.91,13.94,11.1,11.1,11.1,0,-7.8,0.04,0.08,208.4,14.4,175,1,3,817,681,854,-1,848,13.4,85.6,611,29.9,30.4,0.6,3.8,889.0,0,14.0,16.4,69.0,64.0,65.8,62.3,68.3,64.8,62.3,54.6,57.9,61.1,30,46,23.3,27.6,39,40,25,0,0,0,6,6,4,0,24,24,24,37,33,35,46,46,45,45.04,45.03,44.41,62,520,5.2,0,0,0
16.81,4,7.42,7.4,7.42,10.5,10.5,11.0,0,-4.9,0.04,0.16,208.9,15.4,173,1,3,1658,677,1905,1,1929,16.6,167.3,1103,31.5,33.8,0.7,3.9,1935.3,0,16.63,16.5,74.7,69.7,71.6,68.0,74.3,70.6,65.3,56.8,57.8,60.9,31,47,23.1,27.5,53,54,25,0,0,0,6,6,4,0,24,24,24,38,33,36,47,47,45,45.04,45.03,44.41,63,530,5.2,0,0,0
13.8,256,14.62,14.63,14.63,11.8,11.1,11.0,0,-0.5,0.12,0.1,208.4,12.7,173,1,3,824,682,864,-1,872,13.4,85.0,614,31.2,32.6,0.6,3.8,889.0,0,14.0,16.5,65.5,60.8,62.5,59.1,65.0,61.6,59.4,52.0,57.9,61.3,31,46,23.3,27.8,40,41,25,0,0,0,6,6,4,0,24,24,24,37,33,35,46,46,45,45.04,45.03,44.41,62,520,5.1,0,0,0
16.77,260,6.7,6.71,6.72,10.5,10.7,10.6,0,-4.0,0.05,0.08,208.7,14.4,173,1,3,1663,677,1905,0,1901,16.5,169.2,1110,31.3,34.1,0.7,3.8,1935.3,0,16.63,16.5,74.7,69.7,71.6,68.0,74.3,70.6,65.4,56.7,57.8,61.0,31,47,23.1,27.5,53,54,25,0,0,0,6,6,4,0,24,24,24,38,33,36,47,47,46,45.04,45.03,44.41,63,530,5.2,0,0,0
14.73,32,14.94,14.92,14.92,12.0,11.4,11.1,0,1.0,0.16,0.01,208.4,13.1,172,1,3,842,681,884,1,885,14.3,83.7,590,32.6,34.0,0.7,3.9,889.0,0,14.0,16.5,66.4,61.5,63.2,59.8,65.7,62.2,60.1,52.4,58.0,61.1,31,46,23.3,27.7,42,43,25,0,0,0,6,6,4,0,24,24,24,37,32,35,46,46,45,45.04,45.03,44.41,61,520,5.2,0,0,0
13.72,72,15.96,15.91,15.91,10.7,11.1,11.4,0,13.7,0.03,0.19,209.0,10.9,164,1,3,839,681,885,1,893,13.5,87.5,630,29.8,31.6,0.6,3.8,944.2,0,14.28,16.4,71.7,66.7,68.6,64.9,71.2,67.4,64.4,56.2,57.9,61.0,31,46,23.3,27.6,41,41,25,0,0,0,6,6,4,0,24,24,24,38,33,36,46,46,45,45.04,45.03,44.41,62,530,5.2,0,0,0
13.27,328,10.82,10.85,10.85,10.7,10.7,11.3,0,0.6,0.04,0.16,208.8,9.8,175,1,3,810,680,845,0,844,12.9,88.4,622,31.8,32.3,0.7,3.9,889.0,0,14.0,16.4,67.7,62.6,64.4,60.9,66.9,63.0,61.1,53.7,58.0,61.2,31,46,23.3,27.6,41,42,25,0,0,0,6,6,4,0,24,24,24,37,32,35,46,46,45,45.04,45.03,44.41,62,530,5.2,0,0,0
13.94,56,15.02,14.94,14.97,11.2,11.1,11.1,0,-1.3,0.13,0.05,208.5,14.0,171,1,3,821,680,862,-2,864,13.6,83.4,603,28.7,30.3,0.6,3.8,889.0,0,14.0,16.4,69.7,64.8,66.6,63.0,69.1,65.6,63.2,54.8,57.9,61.2,31,46,23.3,27.6,39,39,25,0,0,0,6,6,4,0,24,24,24,37,33,35,46,46,45,45.04,45.03,44.41,62,530,5.2,0,0,0
