轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.88,97.0,0.25,0.27,0.27,11.0,11.3,11.8,0.0,-5.3,0.03,0.08,207.9,8.6,216.0,1.0,1.0,792.0,701.0,833.0,-2.0,826.0,13.5,78.8,590.0,31.9,30.8,0.8,4.0,2067.6,0.0,16.83,-1.0,14.1,9.8,11.1,10.3,13.2,9.7,10.2,11.5,35.5,38.1,17.0,32.0,8.7,15.3,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,11.0,26.0,23.0,25.0,32.0,32.0,31.0,45.02,45.03,44.43,46.0,360.0,3.5,0.0,0.0,0.0
13.66,334.0,0.25,0.27,0.27,12.1,11.2,11.3,0.0,-0.8,0.06,0.08,207.3,7.3,210.0,1.0,1.0,769.0,701.0,805.0,1.0,807.0,13.4,78.2,575.0,30.0,29.0,0.7,3.8,2067.6,0.0,16.83,-1.1,13.5,9.2,10.4,9.7,12.6,9.1,9.8,11.0,35.3,37.7,16.0,32.0,8.8,15.4,38.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,25.0,11.0,26.0,23.0,25.0,32.0,32.0,31.0,45.02,45.04,44.43,46.0,360.0,3.5,0.0,0.0,0.0
14.69,223.0,0.25,0.27,0.27,11.1,11.8,11.8,0.0,-2.9,0.01,0.08,207.6,6.2,213.0,1.0,1.0,914.0,701.0,999.0,1.0,1008.0,14.4,88.5,665.0,31.8,30.6,0.7,3.9,2067.6,0.0,16.83,-0.7,15.7,11.5,12.8,12.0,15.0,11.6,11.5,12.7,36.1,38.9,17.0,31.0,8.8,15.3,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,11.0,27.0,23.0,25.0,31.0,31.0,31.0,45.02,45.03,44.43,47.0,360.0,3.6,0.0,0.0,0.0
14.87,135.0,0.25,0.27,0.27,11.1,11.4,12.2,0.0,-0.2,-0.04,0.13,207.9,7.4,209.0,1.0,1.0,929.0,701.0,1021.0,1.0,1027.0,14.6,89.9,677.0,31.1,29.7,0.7,3.9,2067.6,0.0,16.83,-0.7,15.5,11.3,12.6,11.7,14.8,11.4,11.3,12.5,36.0,38.6,17.0,31.0,8.8,15.3,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,11.0,27.0,23.0,25.0,31.0,31.0,31.0,45.02,45.03,44.42,46.0,370.0,3.6,0.0,0.0,0.0
13.67,334.0,0.25,0.27,0.27,11.1,11.4,11.4,0.0,-0.7,0.02,0.11,207.5,6.9,211.0,1.0,1.0,772.0,701.0,804.0,1.0,810.0,13.4,79.2,576.0,30.6,28.8,0.6,3.9,2067.6,0.0,16.83,-1.1,13.6,9.3,10.6,9.9,12.7,9.1,9.8,11.2,35.3,37.9,17.0,32.0,8.8,15.4,39.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,25.0,11.0,26.0,23.0,25.0,32.0,32.0,31.0,45.02,45.03,44.42,45.0,360.0,3.5,0.0,0.0,0.0
13.56,332.0,0.25,0.27,0.27,11.1,12.0,10.9,0.0,-1.5,0.03,0.12,207.4,6.2,212.0,1.0,1.0,762.0,701.0,791.0,-2.0,799.0,13.2,76.3,569.0,31.0,29.4,0.7,4.0,2067.6,0.0,16.83,-1.1,13.6,9.3,10.6,9.9,12.7,9.2,9.9,11.2,35.3,37.8,17.0,32.0,8.8,15.4,39.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,25.0,11.0,26.0,22.0,25.0,32.0,32.0,31.0,45.02,45.03,44.42,46.0,360.0,3.5,0.0,0.0,0.0
14.51,171.0,0.25,0.27,0.27,12.5,11.1,11.4,0.0,-5.8,0.06,0.11,207.6,7.2,216.0,1.0,1.0,880.0,701.0,953.0,0.0,956.0,14.2,87.1,645.0,29.0,30.2,0.6,3.8,2067.6,0.0,16.83,-0.8,14.8,10.4,11.7,10.9,13.9,10.6,10.7,12.0,35.7,38.5,17.0,31.0,8.8,15.4,39.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,11.0,26.0,23.0,25.0,31.0,31.0,31.0,45.02,45.03,44.42,46.0,360.0,3.6,0.0,0.0,0.0
13.46,194.0,0.25,0.27,0.27,11.2,12.0,10.9,0.0,6.3,0.05,0.1,207.6,7.2,208.0,1.0,1.0,751.0,701.0,771.0,-2.0,764.0,13.2,76.8,557.0,29.8,27.9,0.4,3.6,2067.6,0.0,16.83,-1.1,13.3,8.9,10.3,9.6,12.4,8.9,9.7,11.0,35.2,37.9,17.0,32.0,8.8,15.4,37.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,25.0,11.0,26.0,22.0,25.0,32.0,32.0,31.0,45.02,45.04,44.43,46.0,360.0,3.5,0.0,0.0,0.0
14.06,94.0,0.25,0.27,0.27,12.3,11.4,10.9,0.0,-3.7,0.03,0.15,207.8,6.7,215.0,1.0,1.0,817.0,701.0,867.0,0.0,879.0,13.8,82.8,606.0,32.5,31.2,0.7,3.9,2067.6,0.0,16.83,-1.0,14.2,10.0,11.2,10.5,13.4,10.1,10.4,11.6,35.5,38.1,17.0,31.0,8.8,15.3,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,11.0,26.0,23.0,25.0,31.0,31.0,31.0,45.02,45.04,44.43,46.0,360.0,3.5,0.0,0.0,0.0
13.77,7.0,0.25,0.27,0.27,11.1,12.0,11.1,0.0,-3.9,0.07,0.11,207.3,7.1,216.0,1.0,1.0,791.0,701.0,830.0,-2.0,824.0,13.5,79.4,588.0,31.9,30.6,0.8,3.9,2067.6,0.0,16.83,-1.0,14.1,9.8,11.1,10.3,13.2,9.7,10.2,11.5,35.5,38.1,17.0,31.0,8.7,15.3,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,11.0,26.0,23.0,25.0,31.0,31.0,31.0,45.02,45.03,44.43,46.0,360.0,3.5,0.0,0.0,0.0
