轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
4.95,48,0.25,0.27,0.27,10.4,10.8,11.1,0,-33.6,0.03,0.1,208.2,1.9,280,1,1,379,687,0,-2,0,4.7,1.9,0,30.1,31.0,0.2,3.4,425.4,0,10.95,25.5,35.2,34.0,31.6,31.5,34.3,36.3,35.4,35.0,46.3,49.0,41,49,33.5,38.4,36,30,25,0,0,0,5,6,4,0,32,33,33,39,36,38,49,49,52,45.01,45.01,44.39,69,620,6.0,0,0,0
4.81,48,0.25,0.27,0.27,10.6,10.4,10.9,0,-21.3,0.03,0.1,208.2,1.3,281,1,1,376,686,0,3,0,4.7,1.9,0,29.5,30.3,0.2,3.4,425.4,0,10.95,25.5,35.2,34.0,31.6,31.4,34.3,36.3,35.4,35.1,46.3,49.0,41,49,33.5,38.4,36,29,25,0,0,0,5,6,4,0,32,33,33,39,36,38,49,49,52,45.01,45.0,44.38,69,610,6.0,0,0,0
0.12,48,85.98,85.98,85.98,11.5,11.6,10.6,0,-40.0,0.03,0.1,24.2,3.3,50,1,1,375,686,0,0,0,0.0,1.9,0,32.8,33.3,0.3,3.5,425.4,0,10.95,25.4,35.1,33.7,31.6,31.4,34.2,36.0,35.5,35.4,46.2,48.8,41,49,33.5,38.3,38,32,25,0,0,0,3,4,4,2,33,33,33,40,36,38,49,49,53,45.02,45.0,44.38,70,620,6.1,0,0,0
4.32,48,0.25,0.27,0.27,10.4,11.1,10.5,0,65.0,0.03,0.1,208.2,0.2,251,1,1,378,686,0,0,0,4.1,1.9,0,29.7,30.4,0.2,3.4,425.4,0,10.95,25.5,35.2,34.0,31.6,31.4,34.3,36.3,35.4,35.1,46.3,48.9,41,49,33.5,38.4,35,29,25,0,0,0,5,6,4,0,32,33,33,39,36,38,49,49,52,45.02,45.01,44.39,69,610,6.0,0,0,0
0.09,48,85.98,85.98,85.98,11.5,11.6,10.6,0,-60.5,0.04,0.12,25.6,3.6,358,1,1,376,688,0,2,0,0.0,1.9,0,30.3,30.7,0.2,3.4,425.4,0,10.95,25.3,35.1,33.8,31.6,31.4,34.3,36.2,35.5,35.4,46.3,48.9,40,49,33.5,38.4,36,30,25,0,0,0,3,4,4,2,33,33,33,40,36,38,49,49,53,45.01,45.0,44.39,70,620,6.0,0,0,0
0.11,48,85.98,85.98,85.98,11.6,11.6,10.6,0,-52.8,0.03,0.11,25.5,1.8,12,1,1,376,686,0,0,0,0.0,1.9,0,30.8,31.4,0.3,3.4,425.4,0,10.95,25.3,35.1,33.8,31.6,31.4,34.3,36.0,35.5,35.4,46.2,48.9,41,49,33.5,38.4,37,31,25,0,0,0,3,4,4,2,33,33,33,40,36,38,49,49,53,45.0,45.0,44.39,70,620,5.9,0,0,0
5.46,48,0.25,0.27,0.27,10.4,11.1,10.4,0,-29.4,0.03,0.11,208.2,1.7,280,1,1,377,689,0,0,0,5.3,1.9,0,29.9,30.5,0.2,3.4,425.4,0,10.95,25.5,35.2,34.0,31.6,31.5,34.3,36.3,35.2,35.0,46.3,48.9,41,49,33.5,38.3,35,31,25,0,0,0,6,6,4,0,32,33,33,39,36,38,49,49,52,45.01,45.01,44.39,68,610,6.0,0,0,0
4.22,48,9.59,9.32,9.31,11.4,13.6,11.4,0,4.6,0.03,0.1,208.2,0.0,252,1,1,380,686,0,-1,0,4.1,1.9,0,29.1,30.0,0.2,3.4,425.4,0,10.95,25.5,35.2,34.0,31.6,31.4,34.3,36.3,35.4,35.1,46.3,48.9,41,49,33.5,38.4,35,29,25,0,0,0,8,3,4,0,32,33,33,39,36,38,49,49,52,45.01,45.01,44.39,69,620,6.0,0,0,0
0.11,48,85.98,85.98,85.98,11.5,11.6,10.6,0,-43.7,0.03,0.1,24.7,3.3,49,1,1,379,687,0,0,0,0.0,1.9,0,32.5,33.0,0.3,3.5,425.4,0,10.95,25.4,35.1,33.8,31.6,31.4,34.2,36.0,35.5,35.4,46.2,48.8,42,49,33.5,38.3,38,32,25,0,0,0,3,4,4,2,33,33,33,40,36,38,49,49,53,45.01,45.0,44.39,70,620,6.1,0,0,0
0.12,48,85.98,85.98,85.98,11.6,11.6,10.6,0,-53.1,0.05,0.11,25.5,2.7,11,1,1,376,686,0,-2,0,0.0,1.9,0,30.7,31.6,0.3,3.4,425.4,0,10.95,25.3,35.1,33.8,31.6,31.4,34.3,36.0,35.5,35.4,46.2,48.9,41,49,33.5,38.4,37,30,25,0,0,0,3,4,4,2,33,33,33,40,36,38,49,49,53,45.01,45.0,44.4,70,620,5.9,0,0,0
