轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.11,156,25.08,25.09,25.09,12.0,11.4,11.7,0,-7.4,0.03,0.1,208.5,0.7,103,1,1,2,675,0,0,0,0,1.9,0,31.2,30.5,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.7,19.5,22.1,19.2,19.8,20.3,25.0,27.0,31,45,24.3,28.1,30,31,25,0,0,0,5,5,4,0,25,24,24,34,30,32,45,45,48,45.04,45.03,44.41,63,520,5.1,0,0,0
0.12,156,85.98,85.98,85.98,12.0,11.3,10.5,0,-8.7,0.03,0.1,209.0,2.8,85,1,1,2,676,0,0,0,0,1.9,0,31.1,30.4,0.3,3.5,453.9,0,11.18,20.9,23.3,18.3,24.4,19.5,22.1,19.2,19.7,20.3,25.1,27.1,34,45,24.3,28.0,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,31,45,45,47,45.04,45.03,44.41,63,520,5.0,0,0,0
0.2,156,85.98,85.98,85.98,12.0,11.4,10.5,0,-13.7,0.03,0.1,209.1,2.4,89,1,1,2,676,0,0,0,0,1.9,0,30.9,30.3,0.3,3.4,453.9,0,11.18,20.9,23.3,18.3,24.4,19.5,22.1,19.2,19.7,20.3,25.1,27.1,33,45,24.3,28.0,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,47,45.04,45.04,44.41,63,520,4.8,0,0,0
0.23,156,85.98,85.98,85.98,12.0,10.6,11.1,0,-4.3,0.03,0.12,209.0,1.3,89,1,1,3,676,0,0,0,0,1.9,0,31.0,30.4,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.4,19.5,22.1,19.2,19.7,20.3,25.1,27.1,33,45,24.3,28.0,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,47,45.04,45.03,44.41,63,520,5.1,0,0,0
0.22,156,85.98,85.98,85.98,11.9,10.5,11.3,0,-18.2,0.04,0.1,208.8,1.6,96,1,1,3,676,0,0,0,0,1.9,0,30.9,30.2,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.4,19.5,22.1,19.2,19.7,20.3,25.0,27.1,32,45,24.3,28.0,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,48,45.04,45.03,44.41,63,510,5.0,0,0,0
0.12,156,85.98,85.98,85.98,11.3,10.6,11.8,0,-9.7,0.03,0.1,208.7,2.1,96,1,1,3,676,0,0,0,0,1.9,0,31.1,30.4,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.6,19.5,22.1,19.2,19.8,20.3,25.0,27.0,33,45,24.3,28.1,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,48,45.04,45.03,44.41,62,520,5.1,0,0,0
0.16,156,85.98,85.98,85.98,12.0,10.6,11.1,0,-1.6,0.04,0.11,209.0,1.4,88,1,1,3,676,0,0,0,0,1.9,0,30.9,30.2,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.4,19.5,22.1,19.2,19.7,20.3,25.0,27.1,33,45,24.3,28.0,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,48,45.04,45.03,44.41,63,520,5.0,0,0,0
0.11,156,85.98,85.98,85.98,11.3,10.6,11.8,0,4.9,0.04,0.1,208.5,2.1,91,1,1,3,675,0,0,0,0,1.9,0,31.1,30.3,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.6,19.5,22.1,19.2,19.8,20.3,25.0,27.1,32,45,24.3,28.1,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,48,45.04,45.03,44.41,62,500,5.0,0,0,0
0.11,156,85.98,85.98,85.98,12.0,11.3,10.5,0,3.0,0.04,0.1,209.0,2.9,84,1,1,2,678,0,0,0,0,1.9,0,31.2,30.6,0.3,3.5,453.9,0,11.18,20.9,23.3,18.3,24.4,19.5,22.1,19.2,19.7,20.3,25.1,27.1,33,45,24.2,28.0,30,30,25,0,0,0,3,4,4,0,25,24,24,34,30,32,45,45,47,45.04,45.03,44.41,63,510,4.9,0,0,0
0.11,156,85.98,85.98,85.98,11.2,10.5,12.2,0,-25.6,0.03,0.1,208.7,0.0,131,1,1,3,675,0,0,0,0,1.9,0,31.4,30.7,0.3,3.5,453.9,0,11.18,20.8,23.3,18.3,24.7,19.5,22.1,19.1,19.8,20.3,25.0,27.0,32,45,24.3,28.1,31,31,25,0,0,0,3,4,4,0,25,24,24,34,29,32,45,45,48,45.04,45.03,44.41,62,520,5.2,0,0,0
