轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.06,32.0,0.21,0.26,0.29,10.6,10.8,10.6,0.0,23.0,0.05,0.27,209.7,1.7,65.0,1.0,1.0,390.0,697.0,31.0,-2.0,32.0,7.1,6.8,42.0,32.1,31.1,0.3,3.5,479.3,0.0,11.39,8.4,25.9,21.3,22.3,21.9,24.8,21.3,22.5,23.9,47.2,50.1,30.0,44.0,20.8,26.6,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,31.0,44.0,44.0,43.0,45.04,45.03,44.4,58.0,500.0,4.9,0.0,0.0,0.0
7.08,32.0,0.21,0.26,0.29,10.6,10.6,11.1,0.0,8.8,-0.02,0.21,209.9,2.1,70.0,1.0,1.0,380.0,697.0,30.0,-3.0,39.0,7.0,6.3,44.0,28.1,27.9,0.2,3.4,723.4,0.0,13.07,8.3,25.8,21.2,22.2,21.9,24.7,21.1,22.9,23.8,47.1,50.0,30.0,44.0,20.8,26.5,34.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,30.0,32.0,44.0,44.0,43.0,45.04,45.03,44.41,57.0,490.0,4.8,0.0,0.0,0.0
7.24,32.0,0.21,0.26,0.29,11.0,10.5,10.4,0.0,-11.8,-0.08,0.02,209.4,3.7,70.0,1.0,1.0,390.0,697.0,65.0,0.0,68.0,7.1,12.8,91.0,29.9,28.7,0.3,3.5,1346.4,0.0,15.73,8.3,25.7,21.2,22.2,21.7,24.8,21.1,22.5,23.8,47.1,49.9,29.0,44.0,20.8,26.5,35.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,31.0,44.0,44.0,43.0,45.04,45.03,44.41,59.0,500.0,4.8,0.0,0.0,0.0
7.12,32.0,0.21,0.26,0.29,10.7,10.5,10.5,0.0,-5.4,0.01,0.05,209.9,2.2,70.0,1.0,1.0,383.0,697.0,34.0,2.0,30.0,6.9,7.2,45.0,31.7,31.2,0.3,3.5,758.2,0.0,13.27,8.4,26.0,21.3,22.3,21.9,24.8,21.3,22.4,23.8,47.1,50.1,30.0,44.0,20.8,26.6,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,32.0,44.0,44.0,43.0,45.04,45.04,44.41,58.0,500.0,4.8,0.0,0.0,0.0
7.12,32.0,0.21,0.26,0.29,10.8,10.5,10.6,0.0,9.0,0.04,0.13,209.8,2.6,65.0,1.0,1.0,388.0,697.0,54.0,-1.0,52.0,6.9,11.2,72.0,32.3,31.3,0.3,3.5,1090.4,0.0,14.98,8.4,25.8,21.3,22.3,21.9,24.8,21.4,22.7,23.8,47.1,50.1,30.0,44.0,20.8,26.6,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,32.0,44.0,44.0,44.0,45.04,45.04,44.4,58.0,490.0,4.8,0.0,0.0,0.0
7.18,32.0,0.21,0.26,0.29,10.6,11.1,10.6,0.0,14.7,-0.02,-0.32,209.8,2.1,71.0,1.0,1.0,383.0,697.0,32.0,2.0,38.0,6.9,6.9,47.0,31.6,30.4,0.3,3.5,532.2,0.0,11.79,8.3,25.6,21.1,22.2,21.7,24.7,21.2,22.8,23.8,47.0,49.9,29.0,44.0,20.8,26.5,37.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,32.0,44.0,44.0,43.0,45.04,45.04,44.4,59.0,500.0,4.8,0.0,0.0,0.0
7.15,32.0,0.21,0.26,0.29,10.9,10.6,10.6,0.0,-14.7,-0.09,-0.32,209.4,1.9,78.0,1.0,1.0,382.0,697.0,28.0,-1.0,30.0,6.9,5.8,40.0,30.7,29.6,0.3,3.5,460.0,0.0,11.23,8.3,25.7,21.1,22.2,21.7,24.7,21.2,22.8,23.8,47.1,49.9,29.0,44.0,20.8,26.5,36.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,32.0,44.0,44.0,43.0,45.04,45.03,44.41,59.0,510.0,4.9,0.0,0.0,0.0
7.14,32.0,0.21,0.26,0.29,10.7,11.0,10.8,0.0,-1.0,-0.32,0.16,209.4,2.1,78.0,1.0,1.0,384.0,697.0,35.0,-1.0,44.0,7.1,7.2,52.0,33.0,32.0,0.4,3.5,1258.8,0.0,15.58,8.3,25.6,21.1,22.1,21.7,24.7,21.5,22.7,23.6,47.0,49.8,30.0,44.0,20.8,26.5,38.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,31.0,44.0,44.0,43.0,45.04,45.04,44.41,58.0,500.0,4.8,0.0,0.0,0.0
7.23,32.0,0.21,0.26,0.29,10.6,10.6,11.1,0.0,3.3,-0.08,0.13,209.8,1.8,61.0,1.0,1.0,386.0,697.0,43.0,0.0,41.0,7.1,8.6,62.0,31.1,31.8,0.3,3.5,581.9,0.0,12.15,8.3,25.8,21.2,22.2,21.9,24.8,21.3,22.6,23.8,47.1,50.0,29.0,44.0,20.8,26.5,37.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,29.0,31.0,44.0,44.0,43.0,45.04,45.03,44.41,59.0,500.0,4.8,0.0,0.0,0.0
7.2,32.0,0.21,0.26,0.29,10.8,10.5,10.6,0.0,-0.8,0.17,0.21,209.7,2.0,69.0,1.0,1.0,388.0,697.0,58.0,1.0,55.0,7.0,12.2,77.0,30.0,29.0,0.3,3.4,1346.4,0.0,15.73,8.3,25.7,21.2,22.2,21.7,24.8,21.2,22.5,23.8,47.1,49.8,29.0,44.0,20.8,26.5,35.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,33.0,30.0,32.0,44.0,44.0,43.0,45.04,45.03,44.42,57.0,500.0,4.9,0.0,0.0,0.0
