轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.5,32,10.34,10.27,10.26,11.1,11.0,11.0,0,2.6,0.05,0.1,202.3,7.4,261,1,3,497,697,369,-1,363,10.3,46.6,345,32.6,31.4,0.7,3.9,380.5,0,10.55,8.3,27.0,23.2,23.8,22.8,26.2,23.5,24.6,25.6,49.4,52.2,27,43,18.9,24.8,38,37,25,0,0,0,6,6,4,0,22,22,22,32,29,31,43,43,42,45.04,45.03,44.41,57,490,4.7,0,0,0
10.25,32,10.26,10.2,10.19,10.8,11.1,11.1,0,4.4,0.04,0.08,201.9,6.8,262,1,3,496,696,366,0,375,10.1,47.4,348,29.5,29.8,0.6,3.8,380.5,0,10.55,8.4,27.2,23.1,23.8,22.9,26.2,23.2,24.1,25.6,49.4,52.1,27,43,18.9,24.7,35,35,25,0,0,0,6,6,4,0,22,22,22,32,29,31,43,43,42,45.04,45.03,44.41,57,480,4.8,0,0,0
11.15,32,7.03,6.97,6.95,11.0,11.1,10.9,0,7.3,0.03,0.14,202.5,6.3,256,1,3,497,696,374,0,368,10.9,45.3,332,29.4,28.2,0.6,3.8,385.6,0,10.59,8.4,27.2,23.1,23.8,22.8,26.1,23.0,24.1,25.5,49.4,52.3,28,43,19.0,24.8,35,35,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.05,45.04,44.41,57,480,4.8,0,0,0
10.43,32,7.29,7.22,7.23,10.9,11.1,11.1,0,7.3,0.07,0.1,202.3,6.7,257,1,3,496,696,367,-3,369,10.2,48.4,347,29.3,29.0,0.6,3.8,380.5,0,10.55,8.4,27.2,23.1,23.8,22.8,26.2,22.8,23.7,25.5,49.4,52.3,27,43,18.9,24.8,35,35,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
9.85,32,10.26,10.2,10.19,11.0,10.7,10.8,0,3.0,0.06,0.11,202.4,6.8,262,1,3,489,696,357,2,349,9.7,48.2,355,31.0,31.7,0.6,3.8,380.5,0,10.55,8.3,27.1,23.2,23.8,22.9,26.2,23.3,24.1,25.6,49.4,52.2,27,43,18.9,24.8,36,37,25,0,0,0,6,6,4,0,22,22,22,32,28,31,43,43,42,45.04,45.04,44.41,57,490,4.7,0,0,0
11.13,32,9.02,8.95,8.94,10.8,11.1,11.1,0,6.3,0.05,0.03,202.6,7.4,260,1,3,498,696,376,0,368,10.8,46.4,330,31.8,30.5,0.7,3.9,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.1,24.2,25.5,49.4,52.3,28,43,18.9,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,490,4.7,0,0,0
11.45,32,9.67,9.6,9.59,10.6,10.8,10.7,0,3.8,-0.03,0.21,202.3,8.4,261,1,3,502,696,375,0,382,11.2,44.1,323,32.0,31.0,0.7,3.9,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.0,24.1,25.6,49.4,52.3,28,43,18.9,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,490,4.7,0,0,0
11.05,32,8.93,8.85,8.85,10.8,11.1,11.1,0,2.6,0.12,0.17,202.6,6.3,260,1,3,498,697,369,1,371,10.8,44.7,330,31.1,30.2,0.7,3.9,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.1,24.3,25.6,49.4,52.2,28,43,18.9,24.8,36,36,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
11.11,32,4.39,4.43,4.44,11.1,11.3,10.8,0,8.6,0.12,0.05,202.5,5.2,254,1,3,498,695,378,1,380,11.0,46.5,333,28.8,28.9,0.6,3.8,385.6,0,10.59,8.4,27.2,23.1,23.8,22.8,26.2,23.0,24.0,25.5,49.4,52.2,28,43,19.0,24.8,35,35,25,0,0,0,6,6,4,0,22,22,22,32,29,31,43,43,42,45.04,45.04,44.41,57,480,4.8,0,0,0
11.31,32,10.65,10.6,10.57,11.0,10.9,10.8,0,3.2,0.11,0.1,202.4,6.6,261,1,3,500,695,375,-2,376,11.1,45.2,325,27.9,27.0,0.6,3.8,380.5,0,10.55,8.4,27.2,23.1,23.8,22.9,26.2,23.0,24.0,25.6,49.4,52.2,27,43,18.9,24.7,34,34,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.05,45.04,44.41,57,480,4.8,0,0,0
11.3,32,10.34,10.27,10.26,11.1,11.0,10.9,0,4.5,0.02,0.05,202.5,8.4,260,1,3,495,696,372,1,372,11.2,44.9,323,32.0,31.0,0.7,3.9,380.5,0,10.55,8.3,27.0,23.1,23.8,22.8,26.2,23.2,24.2,25.6,49.4,52.3,27,43,18.9,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.05,45.03,44.41,57,480,4.7,0,0,0
11.21,32,8.75,8.67,8.66,11.1,11.3,10.9,0,1.5,0.05,0.14,202.2,6.7,258,1,3,495,696,373,0,379,11.1,45.2,327,30.3,29.4,0.7,3.8,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.1,24.7,25.5,49.4,52.3,27,43,19.0,24.8,36,36,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
10.88,32,7.03,6.97,6.95,11.1,10.9,10.8,0,8.5,0.12,0.14,202.6,5.7,256,1,3,498,696,376,1,372,10.6,46.0,341,29.7,28.8,0.6,3.8,385.6,0,10.59,8.4,27.2,23.1,23.8,22.8,26.1,22.9,24.0,25.5,49.4,52.3,27,43,18.9,24.8,35,35,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,480,4.8,0,0,0
11.07,32,9.02,8.95,8.94,11.1,10.6,11.0,0,6.7,-0.02,0.19,202.6,7.6,260,1,3,498,696,376,-1,372,10.9,46.4,331,31.9,30.9,0.7,3.9,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.2,24.2,25.5,49.4,52.2,28,43,18.9,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,32,28,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
10.98,32,4.39,4.43,4.44,10.9,11.1,11.4,0,10.2,0.01,0.1,202.4,5.8,255,1,3,500,695,379,1,386,10.8,45.5,337,29.1,29.3,0.6,3.8,385.6,0,10.59,8.4,27.2,23.1,23.8,22.8,26.1,23.0,23.9,25.5,49.4,52.2,28,43,19.0,24.8,35,35,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,490,4.7,0,0,0
10.45,32,7.29,7.22,7.23,11.1,10.6,11.0,0,7.8,-0.04,0.05,202.3,7.0,256,1,3,499,696,371,0,374,10.2,48.3,347,29.9,29.2,0.6,3.8,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.1,24.2,25.6,49.4,52.1,27,43,19.0,24.8,35,35,25,0,0,0,6,6,4,0,22,22,22,32,29,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
9.75,32,4.54,4.55,4.56,11.1,10.6,10.8,0,8.8,0.03,0.13,202.5,4.8,258,1,3,494,695,356,0,352,9.5,49.1,358,32.7,31.6,0.7,3.9,385.6,0,10.59,8.4,27.1,23.1,23.7,22.8,26.1,23.1,24.3,25.5,49.4,52.3,27,43,19.0,24.8,38,38,25,0,0,0,6,6,4,0,22,22,22,33,28,31,43,43,42,45.05,45.04,44.41,57,500,4.7,0,0,0
10.05,32,10.34,10.27,10.26,11.0,10.6,10.9,0,2.8,-0.03,0.1,202.3,7.5,261,1,3,490,697,359,0,364,9.9,47.6,353,33.0,31.8,0.7,3.9,380.5,0,10.55,8.3,27.2,23.1,23.8,22.8,26.2,23.0,24.0,25.5,49.4,52.3,28,43,18.9,24.8,38,38,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.05,45.04,44.41,57,490,4.7,0,0,0
10.46,32,4.39,4.43,4.44,11.0,11.1,11.1,0,9.5,-0.02,0.1,202.6,5.3,255,1,3,494,694,374,2,378,10.2,47.6,350,33.1,31.9,0.7,3.9,385.6,0,10.59,8.4,27.1,23.1,23.8,22.8,26.2,23.2,24.1,25.5,49.4,52.3,28,43,19.0,24.8,38,38,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.05,45.03,44.41,56,480,4.8,0,0,0
11.31,32,9.02,8.95,8.94,10.9,10.6,11.2,0,4.7,-0.04,0.13,202.5,7.9,260,1,3,498,696,378,-1,384,11.1,45.5,328,31.8,30.9,0.7,3.9,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.0,24.1,25.6,49.4,52.2,28,43,18.9,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,490,4.8,0,0,0
11.31,32,5.74,5.73,5.73,10.9,11.1,10.9,0,6.2,0.11,0.08,202.5,6.0,255,1,3,496,695,379,-2,373,11.1,44.5,328,28.0,28.3,0.6,3.8,385.6,0,10.59,8.4,27.1,23.2,23.8,22.8,26.2,23.3,24.1,25.5,49.4,52.2,27,43,19.0,24.8,34,34,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.04,44.41,57,480,4.8,0,0,0
9.78,32,10.26,10.2,10.19,10.9,10.9,10.7,0,1.1,0.07,0.1,202.4,7.5,263,1,3,479,696,351,1,361,9.6,48.1,355,32.6,32.4,0.7,3.9,380.5,0,10.55,8.4,27.1,23.1,23.8,22.8,26.2,23.1,23.9,25.6,49.4,52.3,28,43,18.9,24.8,38,38,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.04,45.03,44.41,57,480,4.7,0,0,0
10.12,32,10.34,10.27,10.26,10.5,11.0,11.1,0,7.6,0.03,0.13,202.1,5.9,260,1,3,495,696,364,-2,359,9.8,49.5,351,32.8,31.8,0.7,3.9,380.5,0,10.55,8.3,27.1,23.2,23.8,22.8,26.2,23.4,24.5,25.5,49.4,52.2,27,43,18.9,24.8,38,38,25,0,0,0,6,6,4,0,22,22,22,33,29,31,43,43,42,45.05,45.04,44.41,57,480,4.7,0,0,0
10.57,32,4.39,4.43,4.44,10.9,10.9,11.0,0,10.5,0.08,0.1,202.4,6.3,254,1,3,500,695,375,0,383,10.4,48.4,348,31.4,32.3,0.7,3.9,385.6,0,10.59,8.4,27.1,23.1,23.8,22.8,26.1,23.1,24.1,25.5,49.4,52.2,28,43,19.0,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,33,28,31,43,43,42,45.04,45.03,44.41,57,490,4.7,0,0,0
11.36,32,10.65,10.6,10.57,10.9,10.6,11.2,0,2.9,-0.04,0.15,202.3,6.4,261,1,3,499,695,375,-2,377,11.0,45.5,325,28.2,27.1,0.6,3.8,380.5,0,10.55,8.4,27.2,23.1,23.8,22.9,26.2,23.0,24.0,25.6,49.4,52.2,27,43,18.9,24.7,34,34,25,0,0,0,6,6,4,0,22,22,22,33,28,31,43,43,42,45.04,45.04,44.41,57,490,4.8,0,0,0
11.19,32,10.34,10.27,10.26,11.0,10.6,11.2,0,1.2,-0.02,0.1,202.3,8.1,262,1,3,502,695,379,-2,380,10.9,46.5,329,27.6,27.7,0.6,3.7,380.5,0,10.55,8.4,27.2,23.2,23.8,22.9,26.2,23.3,24.2,25.6,49.4,52.3,28,43,18.9,24.7,33,33,25,0,0,0,6,6,4,0,22,22,22,32,29,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
10.99,32,8.93,8.85,8.85,10.6,11.1,11.1,0,1.9,0.04,0.14,202.4,7.2,261,1,3,498,697,373,1,384,10.8,46.9,336,31.3,30.2,0.7,3.9,380.5,0,10.55,8.3,27.1,23.1,23.8,22.8,26.2,23.1,24.2,25.6,49.4,52.3,27,43,18.9,24.8,36,36,25,0,0,0,6,6,4,0,22,22,22,32,29,31,43,43,42,45.04,45.04,44.41,57,480,4.7,0,0,0
11.1,32,10.34,10.27,10.26,10.9,11.1,10.8,0,-0.1,0.06,0.1,202.6,6.8,261,1,3,499,696,373,0,367,10.8,46.2,330,32.3,31.4,0.7,3.9,380.5,0,10.55,8.3,27.0,23.2,23.8,22.8,26.2,23.4,24.3,25.6,49.4,52.2,27,43,18.9,24.8,37,37,25,0,0,0,6,6,4,0,22,22,22,33,28,31,43,43,42,45.04,45.04,44.41,57,490,4.7,0,0,0
