轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.17,208.0,0.4,0.45,0.46,11.3,12.0,10.9,0.0,-13.2,0.06,0.13,208.8,7.8,202.0,1.0,1.0,847.0,693.0,907.0,0.0,916.0,13.9,85.9,626.0,28.8,30.4,0.3,3.5,2067.6,0.0,16.83,17.9,52.4,47.5,48.7,46.6,51.0,47.9,45.8,45.8,59.3,62.2,38.0,47.0,29.8,35.1,42.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,36.0,38.0,47.0,47.0,51.0,45.01,45.01,44.39,68.0,590.0,5.7,0.0,0.0,0.0
15.51,352.0,0.4,0.45,0.46,11.1,12.6,11.4,0.0,-12.4,0.04,0.16,208.6,8.3,201.0,1.0,1.0,1059.0,694.0,1181.0,0.0,1191.0,15.3,102.7,745.0,29.3,30.6,0.3,3.5,2067.6,0.0,16.83,17.9,52.3,47.4,48.5,46.5,50.9,47.9,45.8,45.7,59.3,62.3,38.0,47.0,29.8,35.1,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,51.0,45.01,45.01,44.39,68.0,590.0,5.7,0.0,0.0,0.0
15.51,296.0,0.4,0.45,0.46,12.5,12.1,10.9,0.0,-8.1,0.11,0.16,209.0,7.3,200.0,1.0,1.0,1081.0,694.0,1215.0,0.0,1227.0,15.3,106.6,761.0,29.5,30.5,0.3,3.5,2067.6,0.0,16.83,17.9,52.4,47.4,48.5,46.5,50.9,47.8,45.6,45.8,59.3,62.4,38.0,47.0,29.8,35.1,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,51.0,45.02,45.01,44.39,68.0,590.0,5.8,0.0,0.0,0.0
14.59,176.0,0.4,0.45,0.46,11.7,10.9,11.9,0.0,-2.6,0.0,0.05,208.7,7.9,195.0,1.0,1.0,916.0,696.0,1005.0,2.0,1012.0,14.4,94.4,669.0,30.4,30.7,0.3,3.5,2067.6,0.0,16.83,18.3,51.2,46.4,47.4,45.5,49.8,46.7,45.1,44.9,59.1,62.0,38.0,47.0,29.8,35.1,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,50.0,45.01,45.01,44.39,68.0,590.0,5.8,0.0,0.0,0.0
14.83,304.0,0.4,0.45,0.46,12.4,11.1,11.7,0.0,-12.0,0.05,0.04,208.8,8.6,196.0,1.0,1.0,955.0,696.0,1051.0,0.0,1044.0,14.5,95.2,689.0,31.0,31.6,0.4,3.5,2067.6,0.0,16.83,18.2,51.3,46.4,47.4,45.5,49.8,46.8,45.0,45.0,59.1,61.9,38.0,47.0,29.8,35.1,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,50.0,45.02,45.01,44.4,68.0,590.0,5.7,0.0,0.0,0.0
15.16,24.0,0.4,0.45,0.46,12.9,11.3,11.1,0.0,-3.9,0.0,0.13,208.8,7.9,196.0,1.0,1.0,1007.0,694.0,1123.0,-2.0,1115.0,15.1,100.1,717.0,30.6,31.9,0.3,3.5,2067.6,0.0,16.83,18.1,52.1,47.1,48.2,46.2,50.5,47.4,45.4,45.5,59.2,62.3,37.0,47.0,29.8,35.1,43.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,51.0,45.02,45.01,44.39,67.0,590.0,5.8,0.0,0.0,0.0
15.51,312.0,0.4,0.45,0.46,11.4,12.5,11.1,0.0,-1.1,0.05,0.13,208.8,8.5,196.0,1.0,1.0,1040.0,694.0,1162.0,-2.0,1162.0,15.2,103.1,734.0,30.4,31.8,0.3,3.5,2067.6,0.0,16.83,18.1,52.1,47.2,48.3,46.3,50.6,47.4,45.5,45.6,59.2,62.2,38.0,47.0,29.8,35.1,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,51.0,45.02,45.01,44.38,68.0,590.0,5.8,0.0,0.0,0.0
14.18,152.0,0.4,0.45,0.46,12.0,11.1,11.6,0.0,1.8,0.12,0.06,208.8,6.5,183.0,1.0,1.0,859.0,697.0,927.0,-1.0,940.0,14.1,89.9,633.0,30.1,31.1,0.3,3.5,2067.6,0.0,16.83,18.4,51.2,46.3,47.2,45.4,49.6,46.6,44.8,44.8,59.0,62.0,38.0,47.0,29.8,35.1,40.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,50.0,45.01,45.01,44.4,67.0,590.0,5.7,0.0,0.0,0.0
15.5,72.0,0.4,0.45,0.46,12.4,11.8,11.0,0.0,-0.3,0.08,0.17,208.8,6.5,199.0,1.0,1.0,1116.0,697.0,1261.0,1.0,1275.0,15.2,112.7,786.0,32.0,32.4,0.4,3.6,2067.6,0.0,16.83,18.2,51.4,46.4,47.5,45.6,49.8,46.7,44.8,45.1,59.1,62.0,37.0,47.0,29.8,35.1,45.0,46.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,39.0,35.0,38.0,47.0,47.0,50.0,45.02,45.01,44.39,68.0,590.0,5.8,0.0,0.0,0.0
15.07,296.0,0.4,0.45,0.46,12.0,10.9,12.3,0.0,-9.0,0.06,0.05,208.5,7.4,198.0,1.0,1.0,1001.0,694.0,1107.0,0.0,1092.0,14.7,100.7,715.0,29.9,31.2,0.3,3.5,2067.6,0.0,16.83,17.9,52.2,47.3,48.5,46.4,50.8,47.7,45.5,45.7,59.3,62.1,38.0,47.0,29.8,35.1,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,32.0,40.0,35.0,38.0,47.0,47.0,50.0,45.02,45.01,44.39,67.0,590.0,5.8,0.0,0.0,0.0
