轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,136,92.55,91.84,92.75,0,0,0,0.1,175.9,0.04,0.11,0,5.3,276,1,1,0,0,0,0,0,0,0,0,7.0,4.3,0,1.8,527.1,-448,11.75,7.3,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,175.6,0.03,0.11,0,5.1,276,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,135,92.55,91.84,92.75,0,0,0,0.11,179.1,0.04,0.11,0,3.6,277,1,1,0,0,0,0,0,0,0,0,7.0,4.4,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.3,3.8,1.4,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,167.6,0.03,0.11,0,2.9,283,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.11,-179.4,0.04,0.11,0,4.2,278,1,1,0,0,0,0,0,0,0,0,7.3,4.7,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,171.4,0.03,0.11,0,5.2,277,1,1,0,0,0,0,0,0,0,0,7.2,4.5,0,1.8,527.1,-448,11.75,7.2,11.4,4.5,10.6,6.3,9.0,4.1,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,169.6,0.03,0.11,0,3.8,284,1,1,0,0,0,0,0,0,0,0,7.2,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,176.2,0.03,0.11,0,4.3,277,1,1,0,0,0,0,0,0,0,0,7.2,4.6,0,1.8,527.1,-448,11.75,7.2,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,177.6,0.04,0.11,0,5.4,277,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,8.9,3.9,4.4,3.9,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.11,174.7,0.04,0.11,0,4.1,279,1,1,0,0,0,0,0,0,0,0,7.2,4.4,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,177.3,0.04,0.11,0,5.4,277,1,1,0,0,0,0,0,0,0,0,7.3,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,3.9,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,165.4,0.03,0.11,0,4.1,284,1,1,0,0,0,0,0,0,0,0,7.4,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,168.6,0.03,0.11,0,5.8,279,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,3.9,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,135,92.55,91.84,92.75,0,0,0,0.11,172.9,0.04,0.11,0,3.6,278,1,1,0,0,0,0,0,0,0,0,7.0,4.4,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.3,3.8,1.4,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,179.7,0.04,0.11,0,4.7,276,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,14,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,-179.6,0.04,0.11,0,4.1,276,1,1,0,0,0,0,0,0,0,0,7.3,4.5,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,174.5,0.04,0.11,0,5.0,277,1,1,0,0,0,0,0,0,0,0,7.2,4.7,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.4,13.1,0,0,0,0,0,0,1,1,2,0,27,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.11,173.0,0.03,0.11,0,4.8,277,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,14,16,10.4,13.1,0,0,0,0,0,0,1,1,2,0,27,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.09,-179.5,0.03,0.11,0,5.4,275,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,3.9,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,166.2,0.03,0.11,0,4.1,284,1,1,0,0,0,0,0,0,0,0,7.3,4.7,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,179.7,0.04,0.11,0,5.0,275,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,167.1,0.04,0.11,0,5.1,279,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,4.1,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,179.2,0.05,0.11,0,4.4,275,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.4,13,16,10.3,13.0,0,0,0,0,0,0,1,1,2,0,30,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.11,170.1,0.04,0.11,0,4.3,278,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.0,0,0,0,0,0,0,1,1,2,0,29,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,172.8,0.03,0.11,0,4.3,278,1,1,0,0,0,0,0,0,0,0,7.2,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,170.1,0.03,0.11,0,4.5,278,1,1,0,0,0,0,0,0,0,0,7.3,4.5,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,-178.6,0.04,0.11,0,4.4,278,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,177.3,0.04,0.11,0,3.7,283,1,1,0,0,0,0,0,0,0,0,7.2,4.7,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,163.7,0.04,0.11,0,3.2,286,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.11,173.5,0.04,0.11,0,4.0,278,1,1,0,0,0,0,0,0,0,0,7.3,4.7,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.11,175.1,0.03,0.11,0,5.1,277,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.4,13.1,0,0,0,0,0,0,1,1,2,0,27,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,177.0,0.04,0.11,0,6.2,281,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,165.9,0.04,0.11,0,2.9,283,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,175.3,0.04,0.11,0,5.1,276,1,1,0,0,0,0,0,0,0,0,7.1,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,160.9,0.04,0.11,0,3.7,281,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.3,3.8,1.4,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,166.7,0.04,0.11,0,4.3,278,1,1,0,0,0,0,0,0,0,0,7.2,4.7,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.4,13,16,10.3,13.0,0,0,0,0,0,0,1,1,2,0,30,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,170.4,0.04,0.11,0,4.3,279,1,1,0,0,0,0,0,0,0,0,7.1,4.6,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.0,0,0,0,0,0,0,1,1,2,0,30,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,175.6,0.04,0.11,0,5.0,276,1,1,0,0,0,0,0,0,0,0,7.0,4.4,0,1.8,527.1,-448,11.75,7.3,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.09,174.3,0.04,0.11,0,5.0,278,1,1,0,0,0,0,0,0,0,0,7.1,4.3,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,3.9,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,173.3,0.03,0.11,0,4.1,281,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.11,-178.8,0.04,0.11,0,4.3,278,1,1,0,0,0,0,0,0,0,0,7.3,4.8,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,175.3,0.04,0.11,0,5.3,277,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,176.0,0.04,0.11,0,4.4,276,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.0,0,0,0,0,0,0,1,1,2,0,30,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,170.0,0.03,0.11,0,5.7,278,1,1,0,0,0,0,0,0,0,0,7.1,4.4,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,3.9,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,166.2,0.04,0.11,0,3.2,284,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.11,179.1,0.04,0.11,0,3.8,279,1,1,0,0,0,0,0,0,0,0,7.3,4.7,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,168.0,0.03,0.11,0,3.7,279,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.3,3.8,1.4,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,175.9,0.04,0.11,0,5.2,277,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,27,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,178.3,0.04,0.11,0,3.5,281,1,1,0,0,0,0,0,0,0,0,7.1,4.6,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,14,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,156.0,0.03,0.11,0,3.5,284,1,1,0,0,0,0,0,0,0,0,7.0,4.3,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.3,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.11,165.5,0.04,0.11,0,3.3,284,1,1,0,0,0,0,0,0,0,0,7.2,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.09,174.7,0.04,0.11,0,4.2,278,1,1,0,0,0,0,0,0,0,0,7.2,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.0,0,0,0,0,0,0,1,1,2,0,29,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,-179.6,0.04,0.13,0,5.2,275,1,1,0,0,0,0,0,0,0,0,7.0,4.5,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,172.0,0.03,0.11,0,4.1,281,1,1,0,0,0,0,0,0,0,0,7.1,4.4,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.11,168.3,0.03,0.11,0,4.3,282,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,4.1,4.4,3.9,1.5,1.4,14,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,156.6,0.03,0.11,0,3.4,283,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.3,3.8,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,22,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.1,170.8,0.03,0.11,0,4.4,278,1,1,0,0,0,0,0,0,0,0,7.3,4.8,0,1.8,527.1,-448,11.75,7.4,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.6,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,27,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.1,159.1,0.03,0.11,0,3.2,284,1,1,0,0,0,0,0,0,0,0,7.3,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,171.4,0.03,0.11,0,4.3,281,1,1,0,0,0,0,0,0,0,0,7.2,4.6,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,31,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,138,92.55,91.84,92.75,0,0,0,0.09,168.1,0.04,0.11,0,3.7,284,1,1,0,0,0,0,0,0,0,0,7.2,4.6,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,28,20,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,178.9,0.04,0.11,0,5.8,276,1,1,0,0,0,0,0,0,0,0,7.1,4.5,0,1.8,527.1,-448,11.75,7.1,11.3,4.5,10.6,6.3,8.9,3.9,4.4,4.0,1.5,1.4,13,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,25,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,137,92.55,91.84,92.75,0,0,0,0.11,172.4,0.03,0.11,0,4.5,278,1,1,0,0,0,0,0,0,0,0,7.3,4.5,0,1.8,527.1,-448,11.75,7.3,11.4,4.6,10.6,6.3,9.1,4.1,4.4,4.0,1.5,1.5,13,16,10.3,13.1,0,0,0,0,0,0,1,1,2,0,29,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,136,92.55,91.84,92.75,0,0,0,0.1,173.2,0.03,0.11,0,5.0,276,1,1,0,0,0,0,0,0,0,0,7.1,4.4,0,1.8,527.1,-448,11.75,7.1,11.4,4.5,10.6,6.3,9.0,4.0,4.4,3.8,1.5,1.4,14,16,10.3,12.9,0,0,0,0,0,0,1,1,2,0,32,21,26,19,16,17,16,16,22,0,0,0,0,0,0,0,0,0
