轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.58,336.0,0.25,0.24,0.24,10.9,10.9,12.0,0.0,-3.8,0.01,0.1,207.2,7.7,280.0,1.0,1.0,764.0,693.0,780.0,2.0,783.0,13.3,79.8,565.0,31.5,31.6,0.3,3.4,2067.6,0.0,16.83,15.1,49.9,45.1,46.8,44.4,48.9,45.9,43.8,43.0,59.9,62.8,32.0,48.0,24.6,29.0,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,550.0,5.4,0.0,0.0,0.0
15.17,48.0,0.25,0.24,0.24,11.1,12.8,11.2,0.0,-1.6,0.05,0.11,206.8,8.5,278.0,1.0,1.0,1005.0,693.0,1106.0,-1.0,1124.0,14.8,97.7,714.0,29.3,30.2,0.2,3.4,2067.6,0.0,16.83,15.1,51.1,46.1,47.9,45.5,50.1,46.9,44.1,43.3,59.8,63.0,33.0,48.0,24.4,29.0,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,540.0,5.4,0.0,0.0,0.0
14.51,96.0,0.25,0.24,0.24,10.8,11.3,12.1,0.0,-3.2,-0.02,0.15,207.1,7.9,280.0,1.0,1.0,909.0,693.0,978.0,1.0,978.0,14.2,92.5,657.0,33.2,32.5,0.3,3.5,2067.6,0.0,16.83,15.1,50.8,45.8,47.5,45.2,49.8,46.8,44.1,43.3,59.9,63.0,33.0,48.0,24.4,29.0,43.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.03,45.03,44.4,65.0,550.0,5.4,0.0,0.0,0.0
13.22,104.0,0.25,0.24,0.24,10.9,10.9,11.8,0.0,-5.0,0.01,0.1,206.9,8.1,281.0,1.0,1.0,717.0,692.0,718.0,0.0,719.0,12.9,73.8,537.0,31.1,32.1,0.2,3.4,2067.6,0.0,16.83,15.1,49.6,44.7,46.3,43.9,48.4,45.4,43.5,42.8,59.9,63.0,33.0,48.0,24.6,29.0,39.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,550.0,5.3,0.0,0.0,0.0
14.78,104.0,0.25,0.24,0.24,10.9,12.6,11.3,0.0,-2.1,0.09,0.08,206.8,7.9,280.0,1.0,1.0,930.0,693.0,1012.0,0.0,1015.0,14.4,94.6,672.0,30.7,30.9,0.2,3.4,2067.6,0.0,16.83,15.1,50.9,46.0,47.7,45.4,50.0,46.8,44.1,43.4,59.8,62.9,33.0,48.0,24.4,29.0,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,550.0,5.4,0.0,0.0,0.0
15.1,272.0,0.25,0.24,0.24,12.7,10.8,12.4,0.0,-0.5,0.01,0.11,207.1,7.7,277.0,1.0,1.0,999.0,693.0,1100.0,2.0,1093.0,14.8,99.9,709.0,29.5,30.9,0.2,3.4,2067.6,0.0,16.83,15.1,51.1,46.1,47.8,45.5,50.1,46.8,43.9,43.4,59.8,63.0,32.0,48.0,24.4,29.0,42.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,36.0,48.0,48.0,47.0,45.03,45.02,44.41,65.0,540.0,5.4,0.0,0.0,0.0
13.1,32.0,0.25,0.24,0.24,11.3,10.8,11.8,0.0,-2.1,0.01,0.08,206.7,6.3,280.0,1.0,1.0,718.0,693.0,723.0,-2.0,726.0,12.9,73.6,539.0,31.0,31.0,0.2,3.4,2067.6,0.0,16.83,15.1,49.5,44.6,46.3,43.9,48.3,45.4,43.7,42.7,59.9,63.0,33.0,48.0,24.6,29.0,39.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,64.0,550.0,5.3,0.0,0.0,0.0
13.9,64.0,0.25,0.24,0.24,11.5,10.8,12.0,0.0,-5.8,0.03,0.1,206.9,6.8,281.0,1.0,1.0,822.0,692.0,865.0,1.0,880.0,13.8,85.2,603.0,28.8,29.1,0.2,3.3,2067.6,0.0,16.83,15.1,50.3,45.4,47.1,44.6,49.3,46.3,43.8,43.1,59.9,63.0,33.0,48.0,24.6,29.0,38.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,64.0,540.0,5.4,0.0,0.0,0.0
12.97,312.0,0.25,0.24,0.24,11.8,10.8,11.5,0.0,-4.5,0.03,0.11,206.9,7.4,280.0,1.0,1.0,709.0,693.0,704.0,1.0,705.0,12.9,72.5,527.0,30.0,30.4,0.2,3.4,2067.6,0.0,16.83,15.1,49.3,44.5,46.1,43.8,48.2,45.6,43.7,42.6,59.9,63.0,33.0,48.0,24.6,29.0,38.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,63.0,540.0,5.3,0.0,0.0,0.0
14.62,312.0,0.25,0.24,0.24,10.9,11.6,12.0,0.0,0.2,0.03,0.14,207.2,8.1,279.0,1.0,1.0,913.0,693.0,989.0,-1.0,987.0,14.3,92.8,661.0,32.1,32.5,0.3,3.5,2067.6,0.0,16.83,15.1,50.8,45.9,47.6,45.2,49.9,46.6,44.1,43.3,59.9,63.0,33.0,48.0,24.4,29.0,43.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,36.0,48.0,48.0,47.0,45.04,45.02,44.41,65.0,550.0,5.3,0.0,0.0,0.0
15.02,192.0,0.25,0.24,0.24,10.9,11.5,12.4,0.0,0.4,-0.01,0.12,207.2,8.0,278.0,1.0,1.0,989.0,693.0,1087.0,-2.0,1077.0,14.7,98.0,704.0,28.5,29.7,0.2,3.4,2067.6,0.0,16.83,15.1,51.1,46.1,47.8,45.5,50.1,46.8,44.1,43.3,59.8,62.9,33.0,48.0,24.4,29.0,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,36.0,48.0,48.0,47.0,45.03,45.03,44.4,65.0,550.0,5.4,0.0,0.0,0.0
13.06,40.0,0.25,0.24,0.24,12.2,11.3,11.1,0.0,-2.7,0.07,0.12,207.1,6.1,280.0,1.0,1.0,702.0,693.0,696.0,2.0,697.0,12.8,74.0,524.0,33.2,33.3,0.3,3.5,2067.6,0.0,16.83,15.1,49.7,44.8,46.4,44.1,48.5,45.4,43.3,42.9,59.9,62.9,33.0,48.0,24.6,29.0,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,64.0,550.0,5.4,0.0,0.0,0.0
13.17,112.0,0.25,0.24,0.24,12.1,11.4,11.1,0.0,-6.2,0.03,0.1,206.9,6.6,281.0,1.0,1.0,716.0,692.0,718.0,0.0,721.0,12.9,74.4,534.0,33.3,32.8,0.3,3.5,2067.6,0.0,16.83,15.1,49.7,44.8,46.5,44.2,48.6,45.7,43.3,42.9,59.9,63.0,33.0,48.0,24.6,29.0,41.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,550.0,5.4,0.0,0.0,0.0
13.02,320.0,0.25,0.24,0.24,12.0,10.8,11.3,0.0,-4.8,0.05,0.1,206.9,6.9,281.0,1.0,1.0,698.0,693.0,693.0,2.0,689.0,12.7,72.5,523.0,32.9,33.0,0.3,3.4,2067.6,0.0,16.83,15.1,49.7,44.8,46.4,44.1,48.5,45.4,43.4,42.9,59.9,63.1,33.0,48.0,24.6,29.0,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,64.0,540.0,5.4,0.0,0.0,0.0
13.06,16.0,0.25,0.24,0.24,10.9,11.3,11.3,0.0,-4.9,0.03,0.11,206.9,7.8,280.0,1.0,1.0,706.0,693.0,703.0,1.0,708.0,12.8,71.9,528.0,28.6,29.4,0.2,3.3,2067.6,0.0,16.83,15.1,49.1,44.4,46.0,43.7,48.1,45.4,43.3,42.6,59.9,63.0,33.0,48.0,24.6,29.0,37.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,63.0,550.0,5.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.4,304.0,0.25,0.24,0.24,12.1,12.0,11.1,0.0,-1.6,0.03,0.12,207.3,6.1,280.0,1.0,1.0,872.0,692.0,940.0,-1.0,934.0,14.2,88.5,641.0,33.5,33.6,0.3,3.4,2067.6,0.0,16.83,15.1,50.6,45.8,47.5,45.1,49.7,46.7,44.0,43.3,59.9,63.0,33.0,48.0,24.4,29.0,43.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,36.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,540.0,5.3,0.0,0.0,0.0
12.97,328.0,0.25,0.24,0.24,11.6,10.8,11.7,0.0,-4.6,0.06,0.1,206.6,6.5,281.0,1.0,1.0,713.0,693.0,709.0,-3.0,711.0,12.7,74.3,531.0,33.3,33.0,0.3,3.4,2067.6,0.0,16.83,15.1,49.7,44.8,46.4,44.1,48.6,45.5,43.3,42.9,59.9,63.0,33.0,48.0,24.6,29.0,41.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.03,45.02,44.41,63.0,540.0,5.4,0.0,0.0,0.0
14.0,72.0,0.25,0.24,0.24,10.8,11.8,11.6,0.0,-3.9,0.03,0.12,206.8,7.0,279.0,1.0,1.0,820.0,692.0,865.0,0.0,871.0,13.7,82.9,607.0,29.3,30.2,0.2,3.3,2067.6,0.0,16.83,15.1,50.4,45.6,47.2,44.8,49.4,46.2,44.0,43.1,59.9,63.1,33.0,48.0,24.4,29.0,39.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.04,45.02,44.41,65.0,540.0,5.4,0.0,0.0,0.0
14.15,80.0,0.25,0.24,0.24,12.4,10.8,11.8,0.0,-1.4,0.03,0.12,206.9,6.9,279.0,1.0,1.0,849.0,693.0,897.0,1.0,885.0,13.8,84.9,620.0,30.2,31.3,0.2,3.4,2067.6,0.0,16.83,15.1,50.6,45.5,47.2,44.9,49.4,45.9,43.8,43.2,59.9,62.9,33.0,48.0,24.4,29.0,41.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.03,45.03,44.41,65.0,540.0,5.4,0.0,0.0,0.0
13.41,336.0,0.25,0.24,0.24,11.9,11.7,11.0,0.0,-2.2,0.03,0.11,206.9,6.8,280.0,1.0,1.0,746.0,693.0,763.0,2.0,772.0,13.1,78.7,558.0,32.1,32.0,0.3,3.5,2067.6,0.0,16.83,15.1,49.9,44.9,46.6,44.3,48.8,45.9,43.5,43.0,59.9,63.1,33.0,48.0,24.6,29.0,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,32.0,35.0,48.0,48.0,47.0,45.04,45.03,44.41,64.0,540.0,5.3,0.0,0.0,0.0
14.3,88.0,0.25,0.24,0.24,10.9,12.5,11.1,0.0,-0.9,0.05,0.09,206.8,7.4,279.0,1.0,1.0,872.0,692.0,934.0,-1.0,942.0,14.1,87.5,639.0,31.9,33.5,0.2,3.4,2067.6,0.0,16.83,15.1,50.6,45.7,47.4,45.1,49.6,46.3,43.8,43.3,59.9,62.9,33.0,48.0,24.4,29.0,42.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,37.0,33.0,35.0,48.0,48.0,47.0,45.04,45.03,44.4,65.0,540.0,5.4,0.0,0.0,0.0
