轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.23,64,0.25,0.27,0.27,11.1,10.6,10.5,0,12.8,-0.03,-0.03,25.5,2.0,217,1,1,377,687,58,-1,61,7.0,11.8,80,29.0,30.3,0.2,3.4,1500.0,0,15.98,24.2,28.0,26.8,26.9,24.6,27.3,27.5,27.3,26.6,31.1,33.4,39,48,27.6,31.6,35,31,25,0,0,0,6,6,4,1,31,29,31,36,35,36,48,48,52,45.02,45.02,44.39,66,590,5.7,0,0,0
8.59,64,0.25,0.27,0.27,11.4,10.5,10.5,0,-10.9,0.06,0.1,209.3,4.5,263,1,1,423,690,206,1,194,8.4,33.9,233,29.6,30.7,0.2,3.4,2067.6,0,16.83,24.1,27.8,26.6,26.8,24.5,27.0,27.3,26.9,26.3,30.6,33.0,39,48,27.6,31.5,35,35,25,0,0,0,6,6,4,0,31,29,30,36,33,36,48,48,52,45.02,45.02,44.4,67,610,5.8,0,0,0
7.18,64,0.25,0.27,0.27,10.7,10.6,10.5,0,-0.1,0.03,-0.01,209.1,2.5,223,1,1,377,688,36,1,29,6.9,7.7,52,29.2,30.1,0.2,3.4,1269.1,0,15.6,24.3,28.0,26.8,26.9,24.6,27.3,27.7,27.4,26.7,31.2,33.5,39,48,27.6,31.6,35,31,25,0,0,0,6,6,4,0,31,29,31,37,33,36,48,48,52,45.02,45.02,44.39,66,610,5.8,0,0,0
7.25,64,0.25,0.27,0.27,10.5,10.6,11.3,0,39.8,0.03,0.18,25.6,2.2,220,1,1,380,688,54,2,59,7.2,11.7,75,29.0,29.6,0.2,3.4,1500.0,0,15.98,24.1,28.0,26.7,26.9,24.6,27.2,27.5,27.3,26.5,31.1,33.4,39,48,27.6,31.6,35,32,25,0,0,0,6,6,4,1,31,29,31,36,33,36,48,48,52,45.02,45.02,44.39,66,610,5.7,0,0,0
7.45,64,0.25,0.27,0.27,10.6,11.2,10.6,0,14.6,-0.03,0.18,209.4,4.0,250,1,1,395,689,132,0,126,7.5,25.4,174,29.3,29.7,0.2,3.4,2067.6,0,16.83,24.1,28.0,26.6,26.9,24.5,27.1,27.2,26.9,26.6,30.9,33.3,39,48,27.6,31.5,35,32,25,0,0,0,6,6,4,0,31,29,31,36,34,36,48,48,52,45.02,45.02,44.4,66,590,5.8,0,0,0
7.76,64,0.25,0.27,0.27,10.6,11.2,10.7,0,3.2,-0.05,0.13,209.7,4.7,250,1,1,405,690,148,0,151,7.6,26.2,187,29.7,30.3,0.2,3.4,2067.6,0,16.83,24.1,28.0,26.6,26.9,24.5,27.2,27.1,27.1,26.6,30.9,33.2,39,48,27.6,31.5,35,32,25,0,0,0,6,6,4,0,31,29,31,37,34,36,48,48,52,45.02,45.02,44.4,67,600,5.7,0,0,0
7.33,64,0.25,0.27,0.27,10.6,10.5,11.1,0,-9.2,0.04,0.1,208.8,2.7,244,1,1,384,688,62,1,70,7.2,12.7,86,29.7,30.1,0.3,3.4,844.0,0,13.75,24.3,28.1,26.8,26.9,24.6,27.3,27.5,27.4,26.6,31.2,33.6,39,48,27.8,31.6,35,31,25,0,0,0,6,6,4,0,31,29,31,37,33,36,48,48,51,45.02,45.02,44.4,66,600,5.8,0,0,0
7.66,64,0.25,0.27,0.27,10.5,11.1,10.7,0,0.7,0.18,0.21,208.8,4.9,242,1,1,398,688,138,-1,139,7.5,25.9,178,30.7,31.3,0.3,3.5,2067.6,0,16.83,24.3,28.1,26.8,26.9,24.6,27.2,27.5,27.4,26.7,31.3,33.7,39,48,27.8,31.6,36,33,25,0,0,0,6,6,4,0,31,29,31,37,33,36,48,48,51,45.02,45.02,44.39,66,610,5.8,0,0,0
8.28,64,0.25,0.27,0.27,11.1,10.6,10.5,0,-7.2,0.07,0.1,209.6,4.4,263,1,1,416,690,185,0,178,8.0,30.6,215,30.1,31.0,0.3,3.4,2067.6,0,16.83,24.1,27.8,26.6,26.8,24.5,27.0,27.2,27.0,26.3,30.6,32.9,39,48,27.6,31.5,35,34,25,0,0,0,6,6,4,0,31,29,31,37,33,36,48,48,52,45.02,45.02,44.4,66,590,5.7,0,0,0
7.45,64,0.25,0.27,0.27,10.6,10.7,10.6,0,-13.2,-0.09,0.03,208.8,2.6,243,1,1,388,688,101,0,98,7.2,19.0,135,30.1,30.5,0.3,3.4,2067.6,0,16.83,24.3,28.1,26.8,26.9,24.6,27.2,27.6,27.4,26.7,31.3,33.6,39,48,27.8,31.6,36,32,25,0,0,0,6,6,4,0,31,29,31,36,34,36,48,48,51,45.02,45.02,44.4,66,600,5.8,0,0,0
