轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.65,32.0,0.21,0.26,0.29,10.8,10.6,10.4,0.0,-2.1,0.12,0.21,207.6,4.1,76.0,1.0,1.0,409.0,699.0,140.0,-1.0,146.0,7.6,24.5,181.0,32.2,32.6,0.3,3.5,981.0,0.0,14.46,9.6,29.2,24.9,25.8,25.1,28.1,25.4,26.0,26.9,50.1,53.0,31.0,46.0,22.6,28.5,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,35.0,31.0,33.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,510.0,5.0,0.0,0.0,0.0
7.61,32.0,0.21,0.26,0.29,10.8,10.5,10.5,0.0,2.2,0.21,0.17,207.9,3.7,74.0,1.0,1.0,405.0,699.0,141.0,0.0,149.0,7.4,25.7,181.0,31.2,32.1,0.3,3.4,981.0,0.0,14.46,9.6,29.1,24.9,25.8,25.1,28.1,25.4,26.0,26.9,50.1,53.1,31.0,46.0,22.6,28.5,37.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,34.0,30.0,33.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,520.0,5.0,0.0,0.0,0.0
7.45,32.0,0.21,0.26,0.29,10.8,10.5,10.6,0.0,11.0,0.04,0.13,207.8,3.5,70.0,1.0,1.0,395.0,698.0,115.0,1.0,120.0,7.2,21.1,154.0,32.5,31.5,0.3,3.5,990.2,0.0,14.51,9.6,29.0,24.7,25.6,24.9,27.9,24.9,25.9,26.8,50.0,52.7,31.0,46.0,22.6,28.3,37.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,35.0,30.0,33.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,510.0,5.0,0.0,0.0,0.0
7.68,32.0,0.21,0.26,0.29,10.7,10.8,10.7,0.0,-7.3,0.07,0.17,208.0,4.2,75.0,1.0,1.0,404.0,699.0,143.0,0.0,145.0,7.4,26.6,182.0,29.8,28.9,0.3,3.4,1065.9,0.0,14.87,9.6,29.2,24.8,25.7,24.9,28.0,25.0,25.9,26.9,50.1,52.9,31.0,46.0,22.6,28.3,35.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,34.0,31.0,33.0,46.0,46.0,45.0,45.03,45.03,44.41,61.0,510.0,5.0,0.0,0.0,0.0
7.57,32.0,0.21,0.26,0.29,10.7,10.7,11.1,0.0,0.8,0.05,0.19,207.8,4.2,77.0,1.0,1.0,404.0,698.0,136.0,2.0,138.0,7.3,25.4,178.0,32.0,31.3,0.3,3.5,1037.3,0.0,14.73,9.6,29.1,24.7,25.6,24.9,27.9,24.9,25.9,26.7,50.0,52.8,31.0,46.0,22.6,28.3,37.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,34.0,31.0,32.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,510.0,5.0,0.0,0.0,0.0
7.5,32.0,0.21,0.26,0.29,10.7,10.8,10.6,0.0,7.4,0.16,0.21,207.6,3.2,72.0,1.0,1.0,402.0,699.0,132.0,0.0,139.0,7.3,24.3,175.0,31.5,32.5,0.3,3.5,1098.6,0.0,15.02,9.5,29.0,24.7,25.6,24.8,27.9,24.9,25.8,26.7,49.9,52.8,31.0,46.0,22.5,28.3,37.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,34.0,30.0,33.0,46.0,46.0,45.0,45.04,45.03,44.41,59.0,520.0,4.9,0.0,0.0,0.0
7.57,32.0,0.21,0.26,0.29,11.1,10.6,10.4,0.0,1.8,0.01,0.18,207.7,4.2,76.0,1.0,1.0,395.0,698.0,135.0,1.0,132.0,7.4,25.4,178.0,30.4,29.6,0.3,3.5,960.6,0.0,14.36,9.6,29.2,24.7,25.7,24.9,28.0,24.9,25.9,26.8,50.0,52.9,31.0,46.0,22.6,28.3,35.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,34.0,30.0,33.0,46.0,46.0,45.0,45.04,45.03,44.41,61.0,520.0,5.1,0.0,0.0,0.0
7.55,32.0,0.21,0.26,0.29,11.1,10.6,10.4,0.0,-0.7,0.1,0.31,208.0,4.6,75.0,1.0,1.0,402.0,698.0,133.0,1.0,138.0,7.5,25.1,176.0,28.3,27.5,0.2,3.4,911.5,0.0,14.11,9.6,29.2,24.8,25.8,25.0,28.0,25.1,25.7,26.9,50.1,53.1,31.0,46.0,22.6,28.5,34.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,34.0,30.0,33.0,46.0,46.0,45.0,45.04,45.03,44.4,61.0,520.0,5.0,0.0,0.0,0.0
7.49,32.0,0.21,0.26,0.29,10.6,10.8,10.6,0.0,-10.9,-0.02,-0.01,207.9,4.8,79.0,1.0,1.0,402.0,698.0,124.0,-2.0,130.0,7.5,23.2,161.0,31.9,30.7,0.3,3.5,1031.1,0.0,14.7,9.6,29.1,24.7,25.6,24.9,27.9,24.9,25.9,26.7,50.0,52.8,31.0,46.0,22.6,28.3,37.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,34.0,31.0,33.0,46.0,46.0,45.0,45.03,45.03,44.41,61.0,520.0,5.0,0.0,0.0,0.0
7.47,32.0,0.21,0.26,0.29,10.8,10.9,10.7,0.0,-11.5,0.21,0.14,208.1,4.7,74.0,1.0,1.0,399.0,699.0,124.0,1.0,130.0,7.2,23.2,164.0,33.3,32.3,0.3,3.5,828.7,0.0,13.67,9.6,29.2,24.9,25.8,25.1,28.1,25.7,26.1,26.9,50.1,52.9,31.0,46.0,22.6,28.5,38.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,26.0,34.0,31.0,33.0,46.0,46.0,45.0,45.04,45.03,44.41,59.0,510.0,5.0,0.0,0.0,0.0
