轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.35,272.0,12.2,12.2,12.2,12.8,11.3,13.1,11.04,16.0,-0.05,0.13,209.8,6.4,285.0,1.0,3.0,548.0,692.0,445.0,2.0,442.0,11.0,54.9,385.0,31.2,31.9,0.0,3.0,462.0,0.0,11.25,12.1,38.5,36.7,36.6,35.9,37.9,36.3,38.5,34.4,49.9,49.4,24.0,31.0,21.0,22.3,34.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.96,45.14,39.0,360.0,3.9,0.0,0.0,0.0
11.35,128.0,14.83,14.83,14.83,10.9,11.0,10.7,11.15,-8.8,0.12,0.18,209.4,10.8,297.0,1.0,3.0,554.0,691.0,451.0,1.0,454.0,11.2,56.1,388.0,30.5,31.6,0.0,2.9,462.0,0.0,11.25,12.0,38.9,37.2,37.2,36.4,38.5,36.8,38.9,34.5,50.0,49.5,24.0,31.0,20.8,22.1,34.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.95,45.14,38.0,360.0,3.9,0.0,0.0,0.0
11.24,288.0,10.03,10.03,10.03,10.8,10.6,11.1,10.93,-4.2,0.03,0.16,24.4,10.3,306.0,1.0,3.0,546.0,683.0,448.0,0.0,447.0,11.0,55.4,392.0,32.9,33.2,0.1,3.1,462.0,0.0,11.25,11.9,39.2,37.5,37.5,36.8,38.7,36.9,39.3,34.7,50.0,49.5,23.0,31.0,20.8,22.1,36.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,35.0,45.13,44.96,45.14,39.0,350.0,3.9,0.0,0.0,0.0
11.0,288.0,14.07,14.08,14.08,10.7,10.9,10.6,10.72,-0.2,0.14,0.11,209.0,11.2,292.0,1.0,3.0,536.0,693.0,438.0,2.0,436.0,10.7,57.3,396.0,31.5,32.9,0.0,2.9,462.0,0.0,11.25,12.3,38.0,36.2,36.2,35.5,37.5,35.5,38.1,34.0,49.9,49.3,23.0,31.0,21.0,22.3,34.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.96,45.14,39.0,360.0,3.9,0.0,0.0,0.0
10.53,288.0,15.08,15.09,15.09,10.8,10.8,10.9,10.23,18.3,0.08,0.14,209.9,13.3,287.0,1.0,3.0,536.0,690.0,430.0,1.0,428.0,10.2,59.0,404.0,32.6,33.5,0.1,3.0,462.0,0.0,11.25,12.2,38.2,36.4,36.3,35.7,37.7,35.7,38.2,34.0,49.9,49.4,24.0,31.0,21.0,22.3,35.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.96,45.13,39.0,360.0,3.9,0.0,0.0,0.0
11.15,288.0,15.21,15.21,15.22,10.5,10.9,10.8,10.87,-8.8,0.08,0.08,209.0,13.4,292.0,1.0,3.0,542.0,694.0,445.0,1.0,448.0,10.8,56.5,394.0,33.3,33.7,0.0,3.0,462.0,0.0,11.25,12.2,38.0,36.3,36.3,35.5,37.7,35.8,38.3,34.0,49.9,49.3,24.0,31.0,21.0,22.3,36.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.96,45.14,39.0,360.0,3.9,0.0,0.0,0.0
10.43,288.0,15.08,15.09,15.09,10.6,10.8,10.7,10.18,13.5,0.12,0.07,209.0,11.9,289.0,1.0,3.0,536.0,691.0,427.0,1.0,423.0,10.2,58.2,404.0,32.8,33.2,0.1,3.0,462.0,0.0,11.25,12.1,38.2,36.4,36.4,35.7,37.7,35.7,38.2,34.1,49.9,49.3,24.0,31.0,21.0,22.3,35.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,35.0,45.13,44.96,45.14,38.0,350.0,3.9,0.0,0.0,0.0
11.68,0.0,14.04,14.04,14.04,10.7,11.0,11.0,11.4,0.3,0.14,0.11,209.2,10.6,291.0,1.0,3.0,555.0,690.0,457.0,0.0,456.0,11.4,53.8,386.0,32.4,32.7,0.0,3.0,462.0,0.0,11.25,12.1,38.3,36.5,36.5,35.8,37.7,36.1,38.4,34.1,49.9,49.4,24.0,31.0,21.0,22.3,35.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.96,45.14,39.0,360.0,3.9,0.0,0.0,0.0
11.1,128.0,15.09,15.09,15.09,10.5,10.6,10.9,10.86,-4.8,0.09,0.01,209.8,10.5,293.0,1.0,3.0,551.0,690.0,447.0,2.0,449.0,10.8,57.4,394.0,29.0,30.1,0.0,2.8,462.0,0.0,11.25,12.0,38.7,37.0,37.0,36.3,38.4,36.4,38.8,34.4,50.0,49.5,24.0,31.0,20.8,22.1,32.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,35.0,45.13,44.96,45.14,39.0,360.0,3.9,0.0,0.0,0.0
10.32,128.0,9.06,9.05,9.06,10.7,10.7,11.1,10.09,0.0,0.2,0.01,209.0,7.2,289.0,1.0,3.0,532.0,692.0,424.0,2.0,425.0,10.1,56.3,404.0,30.6,31.5,0.0,2.9,462.0,0.0,11.25,12.1,38.5,36.8,36.7,36.0,38.0,36.3,38.6,34.4,49.9,49.4,23.0,31.0,21.0,22.3,34.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,36.0,45.13,44.96,45.14,39.0,360.0,3.9,0.0,0.0,0.0
10.93,288.0,15.21,15.21,15.22,10.9,10.7,11.1,10.65,-3.9,0.08,0.15,209.8,12.9,289.0,1.0,3.0,542.0,690.0,443.0,1.0,457.0,10.7,55.6,400.0,33.0,33.5,0.0,3.0,462.0,0.0,11.25,12.2,38.0,36.3,36.3,35.5,37.7,35.9,38.2,34.0,49.9,49.3,24.0,31.0,21.0,22.3,36.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,20.0,21.0,20.0,33.0,31.0,33.0,31.0,31.0,35.0,45.13,44.96,45.14,39.0,350.0,4.0,0.0,0.0,0.0
