轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.33,0,0.24,0.24,0.24,10.9,10.5,10.6,7.11,-11.1,0.08,0.09,205.9,3.3,341,1,1,394,694,88,1,88,7.0,15.9,115,28.6,29.6,0.0,2.8,1795.8,0,16.42,11.6,22.7,22.6,23.5,22.3,24.3,23.2,22.3,22.1,40.3,40.0,26,34,21.0,24.8,31,29,25,0,0,0,6,6,4,0,25,25,24,34,32,33,34,34,39,45.14,44.95,45.14,42,400,4.2,0,0,0
7.32,352,0.24,0.24,0.24,10.5,10.9,10.6,7.12,1.7,-0.03,0.13,206.2,3.2,337,1,1,393,694,78,1,85,7.1,15.0,108,29.3,29.7,0.0,2.9,1751.3,0,16.36,11.6,22.7,22.6,23.5,22.3,24.3,23.2,22.3,21.9,40.3,40.0,26,34,21.0,24.8,32,30,25,0,0,0,6,6,4,0,25,25,24,34,32,33,34,34,39,45.14,44.94,45.14,42,390,4.2,0,0,0
7.34,72,0.24,0.24,0.24,11.2,10.6,10.5,7.15,-1.7,0.08,-0.03,206.2,2.9,338,1,1,393,694,83,1,88,7.1,15.9,114,30.1,30.8,0.0,2.9,1755.5,0,16.36,11.7,22.8,22.6,23.6,22.4,24.4,23.2,22.3,22.1,40.2,39.9,27,34,21.0,24.9,33,31,25,0,0,0,6,6,4,0,25,25,24,34,32,34,34,34,39,45.14,44.94,45.13,42,400,4.2,0,0,0
7.43,232,0.24,0.24,0.24,10.6,10.5,10.9,7.23,-13.2,0.06,0.0,206.3,3.0,337,1,1,401,694,105,1,109,7.3,20.0,143,31.5,32.8,0.0,2.9,1972.5,0,16.69,11.7,22.8,22.6,23.6,22.4,24.4,23.3,22.3,22.1,40.2,39.9,27,34,21.0,24.9,34,32,25,0,0,0,6,6,4,0,25,25,24,34,32,34,34,34,39,45.14,44.95,45.13,41,400,4.2,0,0,0
7.37,192,0.24,0.24,0.24,10.5,10.8,10.6,7.14,5.2,0.21,0.14,206.3,3.3,333,1,1,394,694,76,1,79,7.1,13.6,105,31.0,31.4,0.0,2.9,1392.7,0,15.8,11.6,22.7,22.6,23.6,22.4,24.3,23.1,22.3,22.0,40.2,40.0,27,34,21.0,24.8,33,31,25,0,0,0,6,6,4,0,25,25,24,34,32,33,34,34,39,45.14,44.95,45.13,42,390,4.2,0,0,0
7.43,72,0.24,0.24,0.24,10.5,10.7,10.7,7.19,-13.4,0.01,0.08,206.3,4.5,340,1,1,399,695,97,-1,99,7.3,18.1,131,28.7,30.0,0.0,2.8,1795.8,0,16.42,11.6,22.7,22.6,23.5,22.3,24.3,23.2,22.3,22.0,40.3,40.0,27,34,21.0,24.8,32,29,25,0,0,0,6,6,4,0,25,25,24,34,32,34,34,34,39,45.14,44.95,45.13,42,400,4.3,0,0,0
7.38,88,0.24,0.24,0.24,10.5,11.0,10.6,7.23,-14.1,0.21,0.21,206.3,2.7,336,1,1,397,694,103,1,105,7.2,18.6,139,31.6,32.8,0.0,2.9,1972.5,0,16.69,11.7,22.8,22.6,23.6,22.4,24.4,23.3,22.4,22.1,40.2,39.9,26,34,21.0,24.9,34,32,25,0,0,0,6,6,4,0,25,25,24,34,32,34,34,34,39,45.14,44.95,45.13,41,390,4.3,0,0,0
7.32,64,0.24,0.24,0.24,10.6,10.5,10.7,7.19,15.5,0.06,-0.03,206.1,3.1,330,1,1,401,694,96,0,91,7.3,17.8,131,29.6,29.6,0.0,2.9,1771.0,0,16.39,11.6,22.8,22.6,23.6,22.4,24.4,23.0,22.4,22.1,40.2,40.0,26,34,21.0,24.8,32,30,25,0,0,0,6,6,4,0,25,25,24,34,32,34,34,34,39,45.14,44.95,45.13,42,390,4.3,0,0,0
7.21,336,0.24,0.24,0.24,10.6,10.5,10.9,7.11,7.9,0.02,-0.02,206.0,2.6,333,1,1,395,694,81,1,79,7.1,14.2,111,31.0,31.3,0.0,2.9,1392.7,0,15.8,11.6,22.7,22.6,23.6,22.4,24.3,23.1,22.3,22.0,40.2,39.9,27,34,21.0,24.8,33,31,25,0,0,0,6,6,4,0,25,25,24,34,32,33,34,34,39,45.14,44.95,45.13,42,390,4.2,0,0,0
7.38,16,0.24,0.24,0.24,10.5,10.6,10.7,7.17,-0.5,-0.05,0.03,206.3,4.3,332,1,1,394,694,100,2,106,7.0,19.0,133,33.0,33.3,0.0,2.9,1972.5,0,16.69,11.7,22.8,22.6,23.6,22.4,24.4,23.2,22.3,22.1,40.2,39.9,27,34,21.0,24.9,35,33,25,0,0,0,6,6,4,0,25,25,24,34,32,34,34,34,39,45.14,44.95,45.13,42,390,4.3,0,0,0
