轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.71,64,0.25,0.25,0.25,11.0,12.0,12.0,15.38,10.8,0.08,0.03,208.7,9.3,270,1,3,1141,693,1273,2,1278,15.4,114.3,788,28.6,30.7,0.0,2.9,1778.2,0,16.4,9.8,35.7,34.5,34.6,33.6,35.7,34.5,34.3,32.3,53.4,52.6,27,36,20.0,23.6,39,41,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.1,44,420,4.4,0,0,0
15.73,216,0.25,0.25,0.25,11.0,12.0,12.0,15.44,14.5,0.19,0.03,208.3,8.0,266,1,3,1171,692,1309,1,1306,15.5,118.6,813,32.1,34.5,0.0,2.9,1945.7,0,16.65,9.8,36.8,35.6,35.6,34.6,36.7,35.3,35.3,33.1,53.5,52.8,27,36,20.0,23.6,42,43,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.1,43,410,4.4,0,0,0
15.63,232,0.25,0.25,0.25,11.1,12.3,11.7,15.29,9.0,0.05,0.03,208.6,7.3,267,1,3,1179,692,1319,2,1332,15.3,116.7,819,33.3,34.4,0.0,3.0,1619.4,0,16.16,9.8,36.7,35.5,35.5,34.5,36.6,35.2,35.2,32.9,53.5,52.8,27,36,20.0,23.6,42,44,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.11,44,420,4.4,0,0,0
15.72,160,0.25,0.25,0.25,12.1,12.4,11.3,15.44,14.4,0.2,0.13,208.2,7.3,266,1,3,1168,692,1312,-1,1313,15.3,114.7,822,33.2,34.8,0.0,2.9,1945.7,0,16.65,9.8,36.8,35.5,35.6,34.5,36.6,35.3,35.2,33.0,53.5,52.8,27,36,20.0,23.6,43,44,25,0,0,0,6,6,4,0,24,25,24,35,34,35,36,36,40,45.12,44.93,45.11,44,410,4.4,0,0,0
15.66,120,0.25,0.25,0.25,11.2,11.6,12.4,15.24,2.9,0.02,0.06,208.2,7.6,271,1,3,1082,693,1196,0,1213,15.3,104.6,755,31.1,31.8,0.0,3.0,1944.6,0,16.65,9.8,36.1,34.9,35.0,34.0,36.0,34.7,34.6,32.5,53.4,52.7,27,36,20.0,23.6,41,42,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.1,44,420,4.4,0,0,0
15.63,336,0.25,0.25,0.25,11.1,11.6,12.3,15.27,8.5,-0.05,0.05,208.5,7.0,270,1,3,1104,693,1223,-1,1259,15.4,109.8,770,31.0,31.7,0.0,3.0,1944.6,0,16.65,9.8,36.1,35.0,35.0,34.0,36.1,34.8,34.6,32.5,53.4,52.7,27,36,20.0,23.6,41,42,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.1,44,420,4.4,0,0,0
15.72,288,0.25,0.25,0.25,12.3,11.6,11.5,15.38,16.8,-0.02,0.19,208.7,9.2,266,1,3,1152,692,1287,0,1287,15.2,114.9,808,32.2,34.4,0.0,2.9,1945.7,0,16.65,9.8,36.8,35.6,35.6,34.6,36.7,35.3,35.3,33.1,53.5,52.8,27,36,20.0,23.6,42,43,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.1,44,420,4.4,0,0,0
16.14,8,0.25,0.25,0.25,11.4,11.4,12.5,15.94,13.1,0.11,0.03,208.3,6.8,267,1,3,1390,693,1587,0,1589,15.8,139.6,959,31.3,32.8,0.1,3.0,2180.0,0,17.0,9.6,38.3,37.0,37.0,36.1,38.0,36.7,36.5,34.1,53.7,53.0,27,36,20.0,23.6,45,47,25,0,0,0,6,6,4,0,24,25,24,35,34,35,36,36,40,45.12,44.93,45.1,44,410,4.4,0,0,0
15.6,120,0.25,0.25,0.25,12.2,11.6,11.6,15.3,7.9,0.17,0.12,208.5,8.4,269,1,3,1122,692,1244,-1,1258,15.3,110.4,783,30.5,31.5,0.0,3.0,1944.6,0,16.65,9.8,36.0,34.8,34.9,33.9,35.9,34.6,34.6,32.4,53.4,52.7,26,36,20.0,23.6,41,42,25,0,0,0,6,6,4,0,24,25,24,35,33,35,36,36,40,45.12,44.93,45.1,44,400,4.4,0,0,0
15.5,288,0.24,0.24,0.24,12.2,11.6,11.3,15.17,1.6,0.1,0.11,209.1,10.0,271,1,3,1329,693,1518,0,1524,15.1,136.6,964,30.1,31.5,0.0,3.0,2180.0,0,17.0,9.6,40.6,39.2,39.0,38.3,40.0,38.9,38.7,35.9,53.9,53.2,26,36,19.9,23.5,44,46,25,0,0,0,6,6,4,0,24,25,24,35,34,35,36,36,40,45.12,44.93,45.1,44,410,4.4,0,0,0
