轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.92,16,11.06,11.06,11.06,10.5,10.9,10.6,7.78,-2.4,0.15,0.19,208.5,8.1,265,1,3,429,696,199,-1,201,7.9,35.3,247,31.6,31.9,0.0,3.0,220.9,0,8.79,7.3,19.8,19.2,20.3,19.3,21.1,20.2,19.2,18.8,41.5,40.9,19,28,15.1,18.6,34,34,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,33,45.14,44.96,45.13,35,330,3.6,0,0,0
8.12,16,11.52,11.52,11.51,10.7,10.9,10.7,7.97,-10.4,0.03,0.08,208.5,7.8,266,1,3,428,696,205,0,204,7.9,35.4,247,31.3,31.5,0.0,2.9,220.9,0,8.79,7.4,19.8,19.2,20.4,19.3,21.1,20.0,19.2,18.8,41.4,40.9,21,28,15.1,18.6,33,33,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,33,45.14,44.96,45.13,35,330,3.6,0,0,0
8.13,16,12.11,12.11,12.11,10.7,10.8,10.6,7.94,-10.1,0.01,0.09,208.4,8.7,267,1,3,432,696,206,-1,203,7.9,35.4,251,30.0,30.1,0.0,2.9,226.0,0,8.86,7.3,19.8,19.3,20.3,19.3,21.1,20.3,19.3,18.9,41.5,40.9,19,28,15.1,18.6,32,32,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,33,45.13,44.96,45.13,36,330,3.6,0,0,0
8.35,16,9.17,9.18,9.17,10.9,10.6,10.7,8.2,-6.9,0.11,0.03,208.5,5.5,264,1,3,431,697,210,1,212,8.1,35.2,245,30.2,30.3,0.0,2.9,220.9,0,8.79,7.4,19.7,19.2,20.2,19.2,21.0,20.0,19.2,18.7,41.4,40.8,21,28,15.1,18.6,33,32,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,33,45.14,44.96,45.13,36,330,3.6,0,0,0
8.02,16,11.32,11.32,11.32,10.8,10.7,10.6,7.92,-4.8,0.17,0.11,208.3,6.5,265,1,3,432,697,203,1,210,7.8,35.4,247,31.5,31.7,0.0,2.9,220.9,0,8.79,7.4,19.8,19.2,20.4,19.3,21.1,20.0,19.3,18.8,41.4,40.9,19,28,15.1,18.6,33,33,25,0,0,0,6,6,4,0,18,18,18,31,28,30,28,28,33,45.13,44.96,45.13,36,330,3.6,0,0,0
8.45,16,9.17,9.18,9.17,10.6,10.8,10.6,8.21,-11.9,0.11,0.08,208.2,8.2,264,1,3,436,697,210,0,211,8.1,33.8,245,30.3,30.3,0.0,2.9,220.9,0,8.79,7.4,19.7,19.2,20.2,19.2,21.0,19.9,19.2,18.7,41.4,40.8,20,28,15.1,18.6,32,32,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,32,45.14,44.96,45.13,36,320,3.5,0,0,0
8.12,16,9.27,9.27,9.27,10.5,10.8,10.6,8.02,-6.3,0.04,0.06,208.5,7.7,266,1,3,429,697,203,0,203,8.0,34.6,247,27.9,28.7,0.0,2.9,220.9,0,8.79,7.4,19.8,19.2,20.2,19.3,21.0,19.9,19.2,18.8,41.4,40.9,21,28,15.1,18.6,31,31,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,33,45.14,44.96,45.13,36,330,3.5,0,0,0
8.08,16,10.46,10.46,10.45,10.7,10.6,10.7,7.92,-19.8,0.08,0.1,208.3,8.5,268,1,3,425,696,202,0,208,7.9,35.6,247,30.5,32.2,0.0,2.8,220.9,0,8.79,7.4,19.8,19.2,20.3,19.3,21.0,20.0,19.3,18.8,41.4,40.9,20,28,15.1,18.6,33,33,25,0,0,0,6,6,4,0,18,18,18,30,28,30,28,28,33,45.13,44.96,45.13,36,330,3.6,0,0,0
8.3,16,11.53,11.53,11.53,10.6,10.6,10.7,8.09,-9.3,0.13,0.11,208.5,8.8,264,1,3,435,696,218,1,218,8.0,37.2,259,31.0,31.0,0.0,2.9,237.0,0,9.01,7.4,19.8,19.3,20.3,19.3,21.1,20.2,19.2,18.9,41.5,40.9,21,28,15.1,18.6,33,33,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,33,45.13,44.96,45.13,36,330,3.5,0,0,0
8.33,16,9.17,9.18,9.17,10.6,10.6,10.9,8.15,-9.6,0.03,0.1,208.5,5.8,264,1,3,431,696,208,-1,208,8.1,35.1,245,30.6,30.9,0.0,2.9,220.9,0,8.79,7.4,19.7,19.1,20.2,19.2,21.0,19.9,19.2,18.7,41.4,40.8,20,28,15.1,18.6,33,32,25,0,0,0,6,6,4,0,18,18,18,31,29,30,28,28,32,45.14,44.97,45.13,35,320,3.5,0,0,0
