轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.34,296.0,0.24,0.24,0.24,12.0,12.5,11.2,14.94,12.5,0.12,0.08,209.0,9.8,270.0,1.0,3.0,1284.0,693.0,1449.0,1.0,1463.0,14.9,134.3,929.0,29.0,31.5,0.0,2.9,2113.6,0.0,16.9,9.6,41.9,40.6,40.3,39.7,41.3,40.0,40.5,37.3,54.1,53.4,27.0,36.0,19.9,23.5,42.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.11,44.0,410.0,4.4,0.0,0.0,0.0
15.47,272.0,0.24,0.24,0.24,11.4,11.5,12.3,15.24,-2.0,0.08,0.07,208.9,8.7,272.0,1.0,3.0,1347.0,691.0,1543.0,0.0,1540.0,15.3,141.8,975.0,29.5,31.8,0.0,2.9,2180.0,0.0,17.0,9.6,43.1,41.7,41.4,40.8,42.4,41.2,41.9,38.5,54.3,53.5,26.0,36.0,19.9,23.5,43.0,45.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.1,44.0,420.0,4.4,0.0,0.0,0.0
15.2,192.0,0.24,0.24,0.24,11.2,11.6,12.5,14.94,5.0,0.02,0.12,209.3,8.2,275.0,1.0,3.0,1245.0,694.0,1402.0,1.0,1390.0,14.8,130.6,901.0,31.2,32.2,0.0,3.0,2033.5,0.0,16.78,9.6,42.3,40.9,40.6,40.0,41.7,40.3,41.0,37.7,54.1,53.4,27.0,36.0,19.9,23.5,42.0,45.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.11,44.93,45.1,44.0,410.0,4.4,0.0,0.0,0.0
15.21,320.0,0.24,0.24,0.24,12.1,11.6,11.6,15.02,-2.0,0.08,0.09,209.0,9.5,277.0,1.0,3.0,1277.0,692.0,1448.0,1.0,1453.0,15.1,131.0,929.0,33.1,34.7,0.2,3.1,2153.9,0.0,16.96,9.6,42.6,41.2,40.8,40.1,41.8,40.9,41.2,37.9,54.2,53.5,27.0,36.0,19.9,23.5,45.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.1,44.0,410.0,4.4,0.0,0.0,0.0
15.11,192.0,0.24,0.24,0.24,11.2,11.6,12.4,14.79,0.5,0.08,0.1,209.5,8.5,275.0,1.0,3.0,1185.0,693.0,1333.0,-1.0,1348.0,14.8,123.8,867.0,30.0,31.4,0.0,3.0,2033.5,0.0,16.78,9.6,42.3,40.9,40.6,40.0,41.6,40.4,40.8,37.7,54.1,53.4,27.0,36.0,19.9,23.5,42.0,44.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.1,44.0,420.0,4.4,0.0,0.0,0.0
15.3,312.0,0.24,0.24,0.24,11.3,11.6,12.4,14.98,6.5,0.05,0.11,209.4,8.1,267.0,1.0,3.0,1274.0,692.0,1439.0,-1.0,1450.0,14.9,133.4,923.0,31.4,33.8,0.0,2.9,2137.3,0.0,16.94,9.6,41.7,40.2,40.0,39.3,41.0,39.8,39.9,36.9,54.0,53.3,27.0,36.0,20.0,23.5,44.0,46.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.1,44.0,420.0,4.4,0.0,0.0,0.0
15.35,272.0,0.24,0.24,0.24,11.7,11.5,11.8,15.11,3.9,0.14,0.07,209.0,9.1,272.0,1.0,3.0,1317.0,692.0,1503.0,-1.0,1505.0,15.2,135.4,958.0,29.3,31.8,0.0,2.9,2180.0,0.0,17.0,9.6,43.3,41.9,41.5,40.9,42.5,41.4,41.9,38.5,54.3,53.5,27.0,36.0,20.0,23.5,43.0,45.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.11,44.0,410.0,4.4,0.0,0.0,0.0
15.4,40.0,0.24,0.24,0.24,12.4,11.7,11.2,15.16,-5.8,0.06,0.13,209.1,9.4,277.0,1.0,3.0,1340.0,692.0,1519.0,0.0,1530.0,15.0,140.3,966.0,30.6,32.1,0.0,3.0,2180.0,0.0,17.0,9.7,43.6,42.2,41.8,41.3,42.9,41.8,42.3,38.8,54.4,53.6,27.0,36.0,20.0,23.5,44.0,46.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.1,44.0,410.0,4.4,0.0,0.0,0.0
15.19,248.0,0.24,0.24,0.24,11.1,12.4,11.8,14.93,5.1,0.1,0.11,209.5,8.3,276.0,1.0,3.0,1285.0,692.0,1462.0,0.0,1460.0,15.1,132.5,932.0,33.4,34.3,0.2,3.1,2153.9,0.0,16.96,9.6,42.6,41.2,40.8,40.1,41.8,40.9,41.2,37.9,54.2,53.5,27.0,36.0,19.9,23.5,45.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.12,44.93,45.1,44.0,420.0,4.4,0.0,0.0,0.0
15.29,56.0,0.24,0.24,0.24,11.5,11.6,12.0,14.89,7.9,0.09,0.1,209.0,8.5,271.0,1.0,3.0,1249.0,692.0,1416.0,1.0,1424.0,15.0,128.9,912.0,33.3,35.2,0.0,3.0,2146.8,0.0,16.95,9.6,41.5,40.1,39.9,39.2,40.9,39.6,39.8,36.7,54.0,53.2,27.0,36.0,19.9,23.5,45.0,47.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,25.0,24.0,35.0,34.0,35.0,36.0,36.0,40.0,45.11,44.92,45.1,44.0,410.0,4.4,0.0,0.0,0.0
