轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.83,344.0,0.25,0.33,0.3,11.8,11.4,10.9,13.56,-1.1,0.2,0.08,207.8,9.0,248.0,1.0,1.0,810.0,700.0,840.0,0.0,839.0,13.5,83.2,594.0,31.2,31.8,0.0,2.9,1820.6,0.0,16.46,14.9,38.7,37.7,37.7,36.8,38.7,37.5,38.5,36.3,54.5,54.0,30.0,39.0,23.9,27.5,36.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,36.0,39.0,39.0,43.0,45.13,44.93,45.13,47.0,440.0,4.7,0.0,0.0,0.0
13.78,344.0,0.25,0.33,0.3,11.1,11.6,11.9,13.38,6.6,0.16,0.08,208.2,7.0,245.0,1.0,1.0,785.0,700.0,807.0,-1.0,811.0,13.4,83.3,578.0,30.9,31.8,0.0,2.9,1869.2,0.0,16.53,14.9,38.7,37.7,37.6,36.8,38.7,37.6,38.5,36.4,54.5,54.0,30.0,39.0,23.9,27.5,36.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,36.0,39.0,39.0,43.0,45.12,44.94,45.13,46.0,430.0,4.7,0.0,0.0,0.0
14.17,224.0,0.25,0.33,0.3,11.8,11.6,11.0,13.84,5.3,0.06,0.08,207.8,6.9,250.0,1.0,1.0,847.0,701.0,892.0,0.0,883.0,13.8,86.6,619.0,32.0,33.5,0.0,2.9,1874.3,0.0,16.54,14.9,38.8,37.9,37.8,36.9,38.9,37.6,38.6,36.4,54.6,54.1,29.0,39.0,23.9,27.5,37.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,37.0,39.0,39.0,43.0,45.12,44.94,45.13,47.0,440.0,4.6,0.0,0.0,0.0
13.83,40.0,0.25,0.33,0.3,11.1,11.6,11.8,13.54,0.7,-0.14,0.09,207.9,7.8,248.0,1.0,1.0,806.0,701.0,844.0,2.0,845.0,13.6,87.1,599.0,29.0,30.1,0.0,2.9,2050.1,0.0,16.8,14.9,39.0,38.0,37.9,37.0,39.0,37.7,38.7,36.6,54.6,54.2,30.0,39.0,23.9,27.5,35.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,36.0,39.0,39.0,43.0,45.12,44.93,45.13,47.0,440.0,4.7,0.0,0.0,0.0
13.86,336.0,0.25,0.33,0.3,11.2,11.3,11.3,13.42,5.7,-0.07,0.09,208.2,7.9,248.0,1.0,1.0,789.0,701.0,812.0,0.0,820.0,13.3,83.9,582.0,28.9,30.7,0.0,2.8,2067.6,0.0,16.83,14.9,38.9,38.0,37.9,37.0,39.0,37.7,38.6,36.4,54.6,54.2,30.0,39.0,23.9,27.5,35.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,37.0,39.0,39.0,43.0,45.12,44.93,45.13,47.0,440.0,4.7,0.0,0.0,0.0
13.65,160.0,0.25,0.33,0.3,11.1,11.8,11.3,13.31,11.9,0.24,0.14,207.9,6.6,245.0,1.0,1.0,783.0,701.0,809.0,1.0,818.0,13.3,83.9,581.0,29.7,30.6,0.0,2.9,2015.9,0.0,16.75,14.9,39.0,38.0,38.0,37.0,39.0,37.6,38.6,36.4,54.6,54.2,29.0,39.0,23.9,27.5,36.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,37.0,39.0,39.0,43.0,45.12,44.94,45.13,47.0,440.0,4.6,0.0,0.0,0.0
14.18,312.0,0.25,0.33,0.3,11.0,11.5,11.8,13.86,5.1,0.08,0.08,208.0,8.1,248.0,1.0,1.0,836.0,700.0,882.0,1.0,892.0,13.8,87.0,612.0,33.2,34.1,0.0,2.9,1907.4,0.0,16.59,14.9,38.8,37.9,37.7,36.9,38.8,37.5,38.6,36.4,54.5,54.1,30.0,39.0,23.9,27.5,39.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,36.0,39.0,39.0,43.0,45.12,44.94,45.13,47.0,440.0,4.7,0.0,0.0,0.0
14.01,120.0,0.25,0.33,0.3,11.5,11.6,10.9,13.79,10.7,0.08,0.14,207.8,8.3,247.0,1.0,1.0,829.0,702.0,874.0,0.0,880.0,13.8,85.2,609.0,28.9,30.5,0.0,2.8,2067.6,0.0,16.83,14.9,38.9,38.0,37.9,37.0,39.0,37.7,38.6,36.4,54.6,54.2,30.0,39.0,23.9,27.5,35.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,37.0,39.0,39.0,43.0,45.13,44.93,45.13,47.0,440.0,4.7,0.0,0.0,0.0
13.39,72.0,0.25,0.33,0.3,10.9,11.3,11.5,13.11,7.6,0.01,0.16,207.9,8.0,247.0,1.0,1.0,754.0,701.0,767.0,1.0,777.0,13.2,80.9,559.0,31.9,32.6,0.0,3.0,2057.3,0.0,16.82,14.9,39.0,38.1,38.1,37.1,39.0,37.8,38.8,36.5,54.7,54.2,29.0,39.0,23.9,27.5,37.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,36.0,39.0,39.0,43.0,45.12,44.93,45.13,47.0,440.0,4.7,0.0,0.0,0.0
14.01,56.0,0.25,0.33,0.3,11.1,11.4,11.7,13.61,7.0,0.03,0.09,208.2,7.1,247.0,1.0,1.0,806.0,701.0,839.0,1.0,839.0,13.7,85.2,593.0,29.6,31.1,0.0,2.8,1846.4,0.0,16.5,14.9,38.9,38.0,37.8,36.9,38.9,37.8,38.5,36.5,54.6,54.2,30.0,39.0,23.9,27.5,35.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,27.0,37.0,35.0,37.0,39.0,39.0,43.0,45.12,44.93,45.13,47.0,440.0,4.7,0.0,0.0,0.0
