轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.06,-29.5,0.01,0.01,0,4.4,305,1,1,0,0,0,0,0,0,0,0,8.9,8.0,0,1.4,527.1,-448,11.75,1.7,9.6,7.1,6.2,7.1,9.6,8.5,7.5,7.8,2.4,2.6,13,15,5.0,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,15,15,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-24.6,0.78,-0.01,0,4.5,305,1,1,0,0,0,0,0,0,0,0,8.9,7.9,0,1.4,527.1,-448,11.75,1.5,9.6,7.0,6.0,7.0,9.5,8.5,7.5,7.7,2.4,2.6,13,16,5.0,7.9,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,16,16,20,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,-29.4,0.79,0.0,0,4.2,306,1,1,0,0,0,0,0,0,0,0,9.1,8.3,0,1.4,527.1,-448,11.75,1.6,9.6,7.1,6.2,7.1,9.6,8.5,7.5,7.8,2.4,2.6,13,16,5.0,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-19.9,0.01,-0.01,0,4.2,304,1,1,0,0,0,0,0,0,0,0,9.1,8.0,0,1.4,527.1,-448,11.75,1.5,9.6,7.0,6.0,7.0,9.5,8.5,7.5,7.7,2.4,2.6,13,16,5.0,7.9,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,-25.7,0.02,-0.02,0,5.0,300,1,1,0,0,0,0,0,0,0,0,8.9,8.0,0,1.4,527.1,-448,11.75,1.7,9.6,7.1,6.2,7.1,9.6,8.5,7.5,7.8,2.4,2.6,13,16,5.1,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,-18.1,0.02,0.01,0,3.7,294,1,1,0,0,0,0,0,0,0,0,9.3,8.2,0,1.4,527.1,-448,11.75,1.7,9.8,7.3,6.2,7.1,9.6,8.6,7.6,7.8,2.4,2.6,12,15,5.2,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,15,15,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-18.7,0.08,0.03,0,4.9,305,1,1,0,0,0,0,0,0,0,0,9.2,8.3,0,1.4,527.1,-448,11.75,1.5,9.6,7.0,6.0,7.0,9.6,8.5,7.5,7.7,2.4,2.6,13,16,5.0,7.9,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,-13.3,0.0,0.0,0,4.5,295,1,1,0,0,0,0,0,0,0,0,8.9,8.0,0,1.4,527.1,-448,11.75,1.7,9.8,7.3,6.2,7.1,9.6,8.6,7.6,7.8,2.4,2.6,12,16,5.2,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,-23.9,0.02,-0.01,0,6.6,301,1,1,0,0,0,0,0,0,0,0,8.9,8.1,0,1.4,527.1,-448,11.75,1.7,9.6,7.2,6.2,7.1,9.6,8.6,7.6,7.8,2.4,2.6,12,15,5.2,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,15,15,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-32.9,0.01,0.02,0,3.9,302,1,1,0,0,0,0,0,0,0,0,9.0,8.1,0,1.4,527.1,-448,11.75,1.7,9.6,7.1,6.2,7.1,9.6,8.5,7.5,7.8,2.4,2.6,13,15,5.1,8.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,16,15,15,19,0,0,0,0,0,0,0,0,0
