轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.06,35.5,0.02,0.0,0,5.2,245,1,1,0,0,0,0,0,0,0,0,1.9,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.7,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,9,6,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,11.9,0.02,0.0,0,6.6,263,1,1,0,0,0,0,0,0,0,0,2.1,1.9,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,2.9,6.0,5.0,2.4,2.7,0.5,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,26.0,0.79,0.56,0,4.7,253,1,1,0,0,0,0,0,0,0,0,2.1,1.9,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.1,5.0,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,26.9,0.08,0.03,0,5.4,246,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,11,0.9,3.2,0,0,0,0,0,0,1,1,2,0,8,6,6,18,17,15,11,11,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,24.9,0.81,0.05,0,6.1,259,1,1,0,0,0,0,0,0,0,0,2.0,1.7,0,1.3,527.1,-448,11.75,-0.8,6.2,1.5,2.8,2.8,6.0,4.9,2.4,2.6,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,24.6,0.02,0.02,0,4.2,254,1,1,0,0,0,0,0,0,0,0,2.0,1.9,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.1,4.9,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,39.8,0.01,-0.01,0,6.1,248,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.18,21.1,0.01,-0.01,0,4.2,255,1,1,0,0,0,0,0,0,0,0,1.9,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,8,11,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,15.3,0.01,-0.02,0,6.4,260,1,1,0,0,0,0,0,0,0,0,2.1,1.8,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.0,4.9,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,9.4,0.79,0.53,0,5.4,251,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,50.6,0.02,0.02,0,4.9,242,1,1,0,0,0,0,0,0,0,0,1.9,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,8,11,0.9,3.2,0,0,0,0,0,0,1,1,2,0,8,6,6,18,16,15,11,11,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,25.9,0.01,-0.02,0,4.4,249,1,1,0,0,0,0,0,0,0,0,1.9,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,8,6,6,18,16,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,25.6,0.1,0.05,0,5.9,253,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.1,4.9,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,24.6,0.01,-0.01,0,6.3,252,1,1,0,0,0,0,0,0,0,0,1.9,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,30.1,0.01,-0.01,0,6.0,256,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.8,6.2,1.5,2.8,2.8,6.0,5.0,2.4,2.5,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,18.4,0.01,-0.03,0,5.9,260,1,1,0,0,0,0,0,0,0,0,1.8,1.7,0,1.3,527.1,-448,11.75,-0.8,6.2,1.5,2.8,2.8,6.0,4.9,2.4,2.6,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,27.5,0.01,-0.02,0,4.4,252,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.2,5.0,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,30.7,0.02,0.0,0,4.1,245,1,1,0,0,0,0,0,0,0,0,2.0,1.7,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.7,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,9,6,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.18,28.6,0.01,0.0,0,6.7,254,1,1,0,0,0,0,0,0,0,0,2.0,1.7,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,8,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,16,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,17.1,0.02,0.01,0,3.4,255,1,1,0,0,0,0,0,0,0,0,1.9,1.9,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,24.3,0.03,0.01,0,4.3,250,1,1,0,0,0,0,0,0,0,0,2.0,1.9,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.2,5.0,2.4,2.7,0.6,0.7,9,11,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,11.8,0.01,-0.01,0,6.5,262,1,1,0,0,0,0,0,0,0,0,1.9,1.9,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,2.9,6.0,5.0,2.4,2.7,0.6,0.7,9,11,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,45.4,0.03,0.0,0,5.2,244,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,24.1,0.09,0.05,0,5.7,253,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.1,5.0,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,23.7,0.02,0.0,0,5.6,246,1,1,0,0,0,0,0,0,0,0,1.9,1.7,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,8,6,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,39.7,0.01,-0.01,0,6.4,243,1,1,0,0,0,0,0,0,0,0,1.9,1.7,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,9,6,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,36.2,0.02,0.0,0,5.7,250,1,1,0,0,0,0,0,0,0,0,1.9,1.7,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.5,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,35.8,0.02,0.0,0,6.5,243,1,1,0,0,0,0,0,0,0,0,2.0,1.7,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.8,2.4,2.5,0.6,0.7,8,12,0.9,3.2,0,0,0,0,0,0,1,1,2,0,9,6,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.16,31.8,0.02,0.02,0,5.6,254,1,1,0,0,0,0,0,0,0,0,2.0,1.7,0,1.3,527.1,-448,11.75,-0.8,6.1,1.5,2.8,2.8,6.0,4.9,2.4,2.6,0.6,0.7,9,11,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,26.1,0.01,0.04,0,5.0,254,1,1,0,0,0,0,0,0,0,0,1.9,1.8,0,1.3,527.1,-448,11.75,-0.9,6.1,1.5,2.8,2.8,6.0,4.9,2.4,2.5,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,16,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,18.3,0.01,-0.01,0,5.9,249,1,1,0,0,0,0,0,0,0,0,2.1,1.8,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.2,5.0,2.4,2.7,0.6,0.7,9,11,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,28.0,0.01,-0.02,0,4.4,253,1,1,0,0,0,0,0,0,0,0,2.0,1.8,0,1.3,527.1,-448,11.75,-0.8,6.3,1.5,2.8,3.0,6.1,5.0,2.4,2.7,0.6,0.7,9,12,1.0,3.2,0,0,0,0,0,0,1,1,2,0,7,7,6,18,16,15,12,12,17,0,0,0,0,0,0,0,0,0
