轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.11,146,85.98,85.98,85.98,10.8,10.4,11.3,0.27,-0.2,0.81,0.59,0,4.7,298,1,1,372,667,0,-1,0,0,1.9,0,22.9,23.3,0,3.8,527.1,-448,11.75,-2.1,4.3,2.5,0.7,1.7,4.1,3.0,2.7,3.4,-2.3,-2,11,21,1.0,3.2,29,24,25,0,0,0,2,4,4,0,13,5,5,22,22,18,21,21,25,0,0,0,0,0,0,0,0,0
0.06,185,85.98,85.98,85.98,10.4,10.8,11.6,0.16,-17.5,0.01,0.02,0,7.7,303,1,1,367,667,0,1,0,0,1.9,0,22.8,23.4,0,3.9,527.1,-448,11.75,-2.2,4.3,2.5,0.7,1.7,4.1,3.0,2.7,3.4,-2.3,-2,11,21,1.0,3.2,29,25,25,0,0,0,2,4,4,0,12,5,5,22,21,18,21,21,26,0,0,0,0,0,0,0,0,0
0.16,170,85.98,85.98,85.98,10.6,10.6,11.4,0.27,20.3,0.02,0.02,0,8.6,291,1,1,369,667,0,1,0,0,1.9,0,22.8,23.7,0,3.8,527.1,-448,11.75,-2.2,4.3,2.5,0.7,1.7,4.1,3.0,2.7,3.4,-2.3,-2,11,21,1.0,3.2,29,24,25,0,0,0,2,4,4,0,13,5,5,22,22,18,21,21,25,0,0,0,0,0,0,0,0,0
0.09,280,85.98,85.98,85.98,11.6,10.6,10.6,0.18,-20.5,0.02,-0.01,0,7.3,309,1,1,370,668,0,2,0,0,1.9,0,22.4,22.8,0,3.8,527.1,-448,11.75,-1.8,4.3,2.7,0.8,1.7,4.2,3.0,2.9,3.5,-2.4,-2,12,21,1.1,3.2,28,24,25,0,0,0,2,4,4,0,14,5,5,22,21,18,21,21,26,0,0,0,0,0,0,0,0,0
0.15,258,85.98,85.98,85.98,11.6,10.8,10.5,0.25,-11.1,0.03,0.02,0,4.9,304,1,1,370,668,0,1,0,0,1.9,0,21.9,22.5,0,3.8,527.1,-448,11.75,-1.8,4.3,2.7,0.8,1.7,4.2,3.1,2.9,3.5,-2.3,-2,11,21,1.1,3.2,28,23,25,0,0,0,2,4,4,0,14,5,5,22,21,18,21,21,27,0,0,0,0,0,0,0,0,0
0.28,257,85.98,85.98,85.98,11.6,10.8,10.5,0.26,-10.0,0.03,-0.01,0,5.1,303,1,1,367,668,0,2,0,0,1.9,0,22.3,22.9,0,3.8,527.1,-448,11.75,-1.8,4.3,2.7,0.8,1.7,4.2,3.1,2.9,3.5,-2.3,-2,11,22,1.1,3.2,28,23,25,0,0,0,2,4,4,0,14,5,5,22,21,18,22,22,26,0,0,0,0,0,0,0,0,0
0.04,186,85.98,85.98,85.98,10.4,10.8,11.7,0.17,-14.9,0.05,-0.02,0,8.1,305,1,1,368,667,0,-1,0,0,1.9,0,22.8,23.3,0,3.8,527.1,-448,11.75,-2.2,4.3,2.5,0.7,1.7,4.1,3.0,2.7,3.4,-2.3,-2,12,21,1.0,3.2,29,25,25,0,0,0,2,4,4,0,12,5,5,22,21,18,21,21,25,0,0,0,0,0,0,0,0,0
0.08,83,85.98,85.98,85.98,10.8,11.2,10.5,0.15,-7.5,0.02,-0.01,0,3.4,305,1,1,370,667,0,1,0,0,1.9,0,22.3,23.0,0,3.8,527.1,-448,11.75,-1.9,4.3,2.7,0.8,1.7,4.1,3.0,2.8,3.4,-2.4,-2,11,21,1.0,3.2,29,24,25,0,0,0,2,4,4,0,13,5,5,22,21,18,21,21,26,0,0,0,0,0,0,0,0,0
0.09,342,85.98,85.98,85.98,10.7,11.0,10.9,0.16,3.7,0.03,0.0,0,6.8,302,1,1,369,667,0,-1,0,0,1.9,0,22.2,23.1,0,3.8,527.1,-448,11.75,-1.8,4.3,2.7,0.8,1.7,4.1,3.0,2.9,3.4,-2.4,-2,11,21,1.1,3.2,29,24,25,0,0,0,2,4,4,0,13,5,5,22,21,18,21,21,27,0,0,0,0,0,0,0,0,0
0.02,327,85.98,85.98,85.98,10.8,10.9,10.9,0.16,2.3,0.04,-0.02,0,7.4,308,1,1,370,668,0,0,0,0,1.9,0,22.1,23.1,0,3.8,527.1,-448,11.75,-1.8,4.3,2.7,0.8,1.7,4.1,3.0,2.9,3.5,-2.4,-2,12,21,1.1,3.2,28,24,25,0,0,0,2,4,4,0,13,5,5,22,21,18,21,21,26,0,0,0,0,0,0,0,0,0
0.14,169,85.98,85.98,85.98,10.7,10.6,11.3,0.28,18.3,0.02,-0.04,0,8.1,291,1,1,368,667,0,1,0,0,1.9,0,23.3,23.8,0,3.8,527.1,-448,11.75,-2.2,4.3,2.5,0.7,1.7,4.1,3.0,2.7,3.4,-2.3,-2,11,21,1.0,3.2,29,24,25,0,0,0,2,4,4,0,13,5,5,22,21,18,21,21,26,0,0,0,0,0,0,0,0,0
0.12,336,85.98,85.98,85.98,10.8,10.9,10.9,0.15,3.9,0.02,-0.01,0,6.1,304,1,1,368,668,0,-1,0,0,1.9,0,22.1,22.7,0,3.8,527.1,-448,11.75,-1.8,4.3,2.7,0.8,1.7,4.1,3.0,2.9,3.4,-2.4,-2,11,21,1.1,3.2,28,24,25,0,0,0,2,4,4,0,13,5,5,22,21,18,21,21,27,0,0,0,0,0,0,0,0,0
