轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.12,23.7,0.03,0.0,0,7.8,261,1,1,0,0,0,0,0,0,0,0,8.9,6.7,0,1.4,527.1,-448,11.75,4.0,10.3,7.4,6.8,7.5,10.3,9.2,7.2,8.2,-0.5,-0.5,11,13,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,13,13,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,24.1,0.02,-0.01,0,10.4,259,1,1,0,0,0,0,0,0,0,0,9.1,6.6,0,1.4,527.1,-448,11.75,4.2,10.3,7.5,7.0,7.5,10.5,9.3,7.3,8.2,-0.6,-0.5,11,14,4.4,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,3.5,0.08,0.05,0,10.2,271,1,1,0,0,0,0,0,0,0,0,9.2,6.6,0,1.4,527.1,-448,11.75,4.2,10.3,7.4,6.8,7.5,10.4,9.3,7.3,8.2,-0.6,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,3.8,0.03,-0.01,0,9.4,272,1,1,0,0,0,0,0,0,0,0,8.9,6.6,0,1.4,527.1,-448,11.75,4.2,10.3,7.4,6.8,7.5,10.4,9.3,7.3,8.2,-0.6,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,31.3,0.02,-0.01,0,9.6,257,1,1,0,0,0,0,0,0,0,0,8.9,6.6,0,1.4,527.1,-448,11.75,4.0,10.3,7.4,6.8,7.5,10.3,9.2,7.2,8.2,-0.5,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,31.9,0.01,0.02,0,11.7,261,1,1,0,0,0,0,0,0,0,0,9.0,7.0,0,1.4,527.1,-448,11.75,4.1,10.3,7.4,6.8,7.5,10.3,9.3,7.3,8.2,-0.5,-0.5,10,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,3.2,0.03,-0.03,0,8.9,269,1,1,0,0,0,0,0,0,0,0,8.9,6.6,0,1.4,527.1,-448,11.75,4.2,10.3,7.4,6.8,7.5,10.5,9.3,7.3,8.2,-0.6,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.13,30.5,0.76,0.52,0,9.8,254,1,1,0,0,0,0,0,0,0,0,8.9,6.9,0,1.4,527.1,-448,11.75,4.2,10.3,7.5,6.9,7.5,10.5,9.3,7.3,8.2,-0.6,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,1.7,0.0,-0.04,0,10.6,260,1,1,0,0,0,0,0,0,0,0,8.8,6.6,0,1.4,527.1,-448,11.75,4.2,10.3,7.5,6.9,7.5,10.5,9.3,7.3,8.2,-0.6,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,3.1,0.02,-0.06,0,10.5,266,1,1,0,0,0,0,0,0,0,0,9.1,7.2,0,1.4,527.1,-448,11.75,4.2,10.3,7.4,6.8,7.5,10.3,9.3,7.3,8.2,-0.5,-0.5,11,14,4.3,6.7,0,0,0,0,0,0,1,1,2,0,8,9,8,18,18,16,14,14,21,0,0,0,0,0,0,0,0,0
