轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,91.16,90.56,91.15,0,0,0,0.17,-66.9,0.09,-0.02,0,7.9,293,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,0,0.9,527.1,-448,11.75,-9.2,0.1,-4.4,-3.3,-3.5,-0.3,-1.5,-3.6,-3.3,-5.6,-5.3,5,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.17,-75.8,0.08,-0.01,0,8.5,294,1,1,0,0,0,0,0,0,0,0,-2.2,-2.4,0,0.9,527.1,-448,11.75,-9.3,0.1,-4.4,-3.2,-3.3,-0.2,-1.4,-3.4,-3.2,-5.5,-5.3,6,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.16,-63.6,0.09,0.04,0,8.9,290,1,1,0,0,0,0,0,0,0,0,-2.3,-2.2,0,0.9,527.1,-448,11.75,-9.3,0.3,-4.3,-3.1,-3.3,0.0,-1.3,-3.4,-3.2,-5.5,-5.3,6,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.25,-63.4,-0.04,0.02,0,8.0,288,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,0,0.9,527.1,-448,11.75,-9.2,0.1,-4.4,-3.2,-3.5,-0.2,-1.4,-3.5,-3.3,-5.5,-5.3,5,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.21,-69.3,-0.05,0.01,0,6.3,292,1,1,0,0,0,0,0,0,0,0,-2.4,-2.3,0,0.9,527.1,-448,11.75,-9.2,0.1,-4.4,-3.3,-3.5,-0.3,-1.5,-3.6,-3.3,-5.6,-5.4,5,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.52,-66.5,-0.09,0.01,0,7.4,290,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,0,0.9,527.1,-448,11.75,-9.2,0.1,-4.4,-3.2,-3.5,-0.2,-1.4,-3.4,-3.3,-5.5,-5.3,5,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.22,-66.8,0.02,-0.01,0,8.8,291,1,1,0,0,0,0,0,0,0,0,-2.2,-2.3,0,0.9,527.1,-448,11.75,-9.3,0.3,-4.3,-3.1,-3.3,0.0,-1.3,-3.4,-3.2,-5.5,-5.3,6,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,16,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.12,-67.6,0.16,0.51,0,8.3,289,1,1,0,0,0,0,0,0,0,0,-2.3,-2.4,0,0.9,527.1,-448,11.75,-9.2,0.0,-4.6,-3.3,-3.6,-0.3,-1.5,-3.6,-3.3,-5.6,-5.4,5,10,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,8,17,1,15,14,13,10,10,14,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.15,-75.3,-0.02,0.02,0,7.5,292,1,1,0,0,0,0,0,0,0,0,-2.3,-2.2,0,0.9,527.1,-448,11.75,-9.3,0.1,-4.4,-3.2,-3.3,-0.2,-1.4,-3.4,-3.2,-5.6,-5.3,6,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.52,-65.8,0.74,0.54,0,8.0,290,1,1,0,0,0,0,0,0,0,0,-2.2,-2.3,0,0.9,527.1,-448,11.75,-9.3,0.1,-4.4,-3.2,-3.5,-0.2,-1.4,-3.4,-3.2,-5.5,-5.3,7,9,-4.5,-2.2,0,0,0,0,0,0,1,1,2,0,7,17,1,15,14,13,9,9,15,0,0,0,0,0,0,0,0,0
