轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,91.16,90.56,91.15,0,0,0,0.06,-24.8,0.01,-0.01,0,5.7,248,1,1,0,0,0,0,0,0,0,0,-13.6,-13.5,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.4,-13,-12.4,-10.1,-11.0,-11.8,-11.4,-12.2,-12.1,-1,16,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-20.9,0.03,0.0,0,4.3,244,1,1,0,0,0,0,0,0,0,0,-13.7,-13.5,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.2,-13,-12.2,-10.1,-11.0,-11.8,-11.4,-12.2,-12.1,-1,17,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,17,17,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-26.8,0.02,-0.01,0,3.6,245,1,1,0,0,0,0,0,0,0,0,-13.6,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.0,-13,-12.2,-9.9,-10.9,-11.5,-11.2,-12.2,-12.1,-1,17,-9.2,-9.0,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,17,17,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-24.4,0.02,0.0,0,3.5,240,1,1,0,0,0,0,0,0,0,0,-13.6,-13.4,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.1,-13,-12.2,-9.9,-10.9,-11.5,-11.3,-12.2,-12.1,-1,16,-9.2,-9.0,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-11.0,0.02,0.0,0,6.0,235,1,1,0,0,0,0,0,0,0,0,-13.6,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.1,-13,-12.2,-9.9,-10.9,-11.5,-11.3,-12.2,-12.1,-1,16,-9.2,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,16,16,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.05,-34.2,0.79,0.01,0,3.6,257,1,1,0,0,0,0,0,0,0,0,-13.6,-13.4,0,0.8,527.1,-448,11.75,-12.7,-10.1,-12.4,-13,-12.4,-10.1,-11.0,-11.9,-11.6,-12.2,-12.1,-1,17,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,6,13,11,10,17,17,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-21.9,0.02,0.0,0,4.2,249,1,1,0,0,0,0,0,0,0,0,-13.7,-13.5,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.4,-13,-12.4,-10.1,-11.0,-11.8,-11.5,-12.2,-12.1,-1,16,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-24.8,0.79,0.01,0,5.1,244,1,1,0,0,0,0,0,0,0,0,-13.8,-13.5,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.2,-13,-12.2,-10.1,-11.0,-11.7,-11.4,-12.2,-12.1,-1,17,-9.2,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,17,17,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.05,-25.3,0.09,0.54,0,4.8,253,1,1,0,0,0,0,0,0,0,0,-13.5,-13.3,0,0.8,527.1,-448,11.75,-12.6,-10.0,-12.4,-13,-12.4,-10.1,-11.0,-11.8,-11.6,-12.1,-12.1,-1,17,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,17,17,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-22.0,0.01,0.04,0,4.3,251,1,1,0,0,0,0,0,0,0,0,-13.8,-13.5,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.4,-13,-12.4,-10.1,-11.0,-11.8,-11.6,-12.2,-12.1,-1,16,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-21.3,0.01,-0.01,0,3.3,245,1,1,0,0,0,0,0,0,0,0,-13.7,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.0,-13,-12.1,-9.9,-10.9,-11.5,-11.2,-12.1,-12.1,-1,16,-9.0,-9.0,0,0,0,0,0,0,1,1,2,0,12,14,9,13,11,10,16,16,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.05,-17.8,0.01,0.0,0,4.9,244,1,1,0,0,0,0,0,0,0,0,-13.7,-13.4,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.2,-13,-12.3,-10.1,-11.0,-11.8,-11.4,-12.1,-12.1,-1,16,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-20.2,0.03,0.0,0,5.3,247,1,1,0,0,0,0,0,0,0,0,-13.8,-13.3,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.4,-13,-12.4,-10.1,-11.0,-11.8,-11.4,-12.2,-12.1,-1,16,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-13.9,0.02,0.0,0,5.3,236,1,1,0,0,0,0,0,0,0,0,-13.6,-13.4,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.1,-13,-12.2,-9.9,-10.9,-11.6,-11.3,-12.2,-12.1,-1,16,-9.2,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,16,16,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-11.8,0.03,0.0,0,5.5,238,1,1,0,0,0,0,0,0,0,0,-13.5,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.1,-13,-12.2,-9.9,-10.9,-11.7,-11.3,-12.2,-12.1,-1,17,-9.2,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,17,17,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-12.6,0.02,0.0,0,2.7,244,1,1,0,0,0,0,0,0,0,0,-13.5,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.0,-13,-12.2,-9.9,-10.9,-11.5,-11.2,-12.2,-12.1,-1,16,-9.2,-9.0,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,16,16,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-12.9,0.01,0.04,0,5.7,238,1,1,0,0,0,0,0,0,0,0,-13.6,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.1,-13,-12.2,-9.9,-10.9,-11.7,-11.3,-12.2,-12.1,-1,17,-9.2,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,8,13,11,10,17,17,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-22.2,0.01,-0.01,0,3.9,244,1,1,0,0,0,0,0,0,0,0,-13.6,-13.3,0,0.8,527.1,-448,11.75,-12.5,-9.9,-12.2,-13,-12.2,-10.1,-11.0,-11.7,-11.4,-12.2,-12.1,-1,16,-9.2,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,8,0,0,0,0,0,0,0,0,0
0,0,91.16,90.56,91.15,0,0,0,0.06,-23.3,0.05,0.01,0,4.8,252,1,1,0,0,0,0,0,0,0,0,-13.6,-13.5,0,0.8,527.1,-448,11.75,-12.6,-9.9,-12.4,-13,-12.4,-10.1,-11.0,-11.8,-11.6,-12.2,-12.1,-1,16,-9.3,-9.2,0,0,0,0,0,0,1,1,2,0,11,14,7,13,11,10,16,16,9,0,0,0,0,0,0,0,0,0
