轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.13,72,85.98,85.98,85.98,10.6,11.8,10.7,0.27,-19.7,0.1,0.03,209.8,2.0,179,1,1,387,699,0,1,0,0,1.9,0,30.9,30.6,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.6,22.7,19.2,20.1,19.1,33.3,34.3,24,29,18.0,21.7,37,30,25,0,0,0,3,4,4,0,24,24,24,33,30,36,29,29,32,45.11,45.04,45.12,38,390,3.9,0,0,0
0.08,72,85.98,85.98,85.98,10.8,10.9,12.0,0.22,-22.4,0.08,0.0,209.8,2.5,185,1,1,387,699,0,0,0,0,1.9,0,32.7,32.6,0.2,2.3,1147.7,0,15.24,8.7,18.9,18.1,22.0,21.6,22.7,19.1,20.1,19.0,33.2,34.2,24,29,17.9,21.7,39,31,25,0,0,0,3,4,4,0,24,24,24,33,30,36,29,29,31,45.11,45.04,45.11,38,390,3.9,0,0,0
0.03,72,85.98,85.98,85.98,11.8,10.9,10.6,0.16,-23.1,0.09,0.0,210.1,2.0,191,1,1,388,699,0,0,0,0,1.9,0,32.3,32.3,0.2,2.3,1147.7,0,15.24,8.9,19.2,18.3,22.2,21.7,22.9,19.3,20.3,19.2,33.6,34.6,24,29,18.0,21.7,38,31,25,0,0,0,3,4,4,0,24,24,24,33,30,36,29,29,31,45.12,45.04,45.11,39,380,3.8,0,0,0
0.06,72,85.98,85.98,85.98,11.3,11.6,10.6,0.17,7.7,0.1,0.0,25.6,3.3,166,1,1,386,700,0,1,0,0,1.9,0,30.9,30.9,0.2,2.3,1147.7,0,15.24,8.9,19.2,18.3,22.2,21.9,22.9,19.4,20.4,19.2,33.7,34.7,24,29,18.0,21.7,37,29,25,0,0,0,3,4,4,1,24,24,24,33,30,36,29,29,30,45.11,45.04,45.11,38,390,3.9,0,0,0
0.11,72,85.98,85.98,85.98,11.2,10.6,12.0,0.27,8.5,0.08,0.0,209.8,1.3,173,1,1,387,700,0,1,0,0,1.9,0,32.1,32.2,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.6,22.7,19.1,20.0,19.1,33.2,34.2,24,29,17.9,21.7,38,31,25,0,0,0,3,4,4,0,24,24,24,32,30,36,29,29,31,45.11,45.04,45.11,39,390,3.9,0,0,0
0.11,72,85.98,85.98,85.98,11.1,10.8,11.2,0.27,-3.1,0.08,0.0,209.8,1.7,178,1,1,386,700,0,0,0,0,1.9,0,31.7,31.8,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.6,22.7,19.2,20.1,19.1,33.3,34.3,23,29,18.0,21.7,38,30,25,0,0,0,3,4,4,0,24,24,24,33,30,36,29,29,31,45.11,45.05,45.12,39,390,3.9,0,0,0
0.14,72,85.98,85.98,85.98,10.4,11.8,11.3,0.27,7.2,0.08,0.0,209.9,2.6,169,1,1,390,700,0,1,0,0,1.9,0,29.7,30.5,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.7,22.7,19.2,20.2,19.1,33.4,34.4,23,29,18.0,21.7,36,29,25,0,0,0,3,4,4,0,24,24,24,33,29,36,29,29,32,45.12,45.04,45.11,39,390,3.9,0,0,0
0.13,72,85.98,85.98,85.98,11.2,10.5,11.9,0.27,-17.3,0.08,0.01,209.9,0.7,176,1,1,386,700,0,0,0,0,1.9,0,32.0,32.0,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.6,22.7,19.1,20.0,19.1,33.2,34.2,23,29,18.0,21.7,38,31,25,0,0,0,3,4,4,0,24,24,24,33,29,36,29,29,31,45.11,45.04,45.11,39,390,3.9,0,0,0
0.12,72,85.98,85.98,85.98,10.8,11.2,11.3,0.22,5.4,0.07,0.0,209.9,2.7,177,1,1,389,700,0,0,0,0,1.9,0,30.6,29.5,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.7,22.9,19.2,20.2,19.1,33.4,34.4,23,29,18.0,21.7,36,29,25,0,0,0,3,4,4,0,24,24,24,33,30,36,29,29,32,45.12,45.04,45.12,39,380,3.9,0,0,0
0.11,72,85.98,85.98,85.98,11.0,11.3,10.8,0.27,-8.3,0.09,0.01,209.9,1.0,182,1,1,388,700,0,1,0,0,1.9,0,31.5,31.6,0.2,2.3,1147.7,0,15.24,8.7,19.0,18.2,22.0,21.6,22.7,19.2,20.1,19.1,33.3,34.3,23,29,18.0,21.7,38,30,25,0,0,0,3,4,4,0,24,24,24,32,30,36,29,29,31,45.11,45.04,45.12,39,390,3.9,0,0,0
