轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.01,356.0,86.02,86.02,86.02,10.6,11.2,12.0,0.16,29.0,0.07,-0.05,211.4,1.7,330.0,1.0,3.0,391.0,702.0,0.0,1.0,0.0,0.0,1.9,0.0,32.4,32.1,0.2,2.5,1658.5,0.0,16.22,11.2,22.2,21.7,25.0,25.1,25.7,22.6,23.8,22.8,36.4,37.2,27.0,33.0,20.9,24.9,39.0,31.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,27.0,27.0,35.0,31.0,39.0,33.0,33.0,34.0,45.1,45.04,45.11,42.0,420.0,4.3,0.0,0.0,0.0
0.06,356.0,86.02,86.02,86.02,11.4,11.3,10.4,0.16,1.3,0.08,0.01,209.8,1.9,312.0,1.0,3.0,388.0,702.0,0.0,0.0,0.0,0.0,1.9,0.0,33.2,33.0,0.2,2.6,1658.5,0.0,16.22,11.2,22.4,21.8,25.1,25.2,26.1,22.9,23.9,22.9,36.8,37.7,27.0,33.0,21.0,24.9,39.0,32.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,28.0,27.0,35.0,32.0,39.0,33.0,33.0,34.0,45.1,45.04,45.1,43.0,420.0,4.3,0.0,0.0,0.0
0.08,356.0,86.02,86.02,86.02,11.6,10.5,10.9,0.21,-38.5,0.08,0.0,209.8,0.9,335.0,1.0,3.0,391.0,702.0,0.0,0.0,0.0,0.0,1.9,0.0,27.3,28.8,0.2,2.4,1658.5,0.0,16.22,11.2,22.4,21.8,25.1,25.2,25.9,22.8,23.9,22.9,36.7,37.6,27.0,33.0,21.0,24.9,34.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,28.0,27.0,35.0,31.0,38.0,33.0,33.0,34.0,45.1,45.04,45.11,43.0,420.0,4.3,0.0,0.0,0.0
0.17,356.0,86.02,86.02,86.02,10.5,11.8,11.1,0.28,2.3,0.08,0.01,209.9,2.3,322.0,1.0,3.0,388.0,702.0,0.0,0.0,0.0,0.0,1.9,0.0,29.9,30.4,0.2,2.3,1658.5,0.0,16.22,11.2,22.4,21.7,25.1,25.2,25.9,22.7,23.9,22.9,36.6,37.5,27.0,33.0,21.0,24.9,37.0,29.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,27.0,27.0,36.0,31.0,38.0,33.0,33.0,35.0,45.1,45.04,45.11,42.0,420.0,4.3,0.0,0.0,0.0
0.09,356.0,86.02,86.02,86.02,11.1,11.7,10.4,0.22,-37.2,0.08,0.0,209.8,0.8,339.0,1.0,3.0,388.0,703.0,0.0,0.0,0.0,0.0,1.9,0.0,31.1,31.2,0.2,2.4,1658.5,0.0,16.22,11.2,22.3,21.7,25.1,25.1,25.9,22.7,23.9,22.9,36.5,37.4,27.0,32.0,21.0,24.9,37.0,30.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,28.0,27.0,34.0,31.0,39.0,32.0,32.0,34.0,45.09,45.04,45.11,43.0,430.0,4.3,0.0,0.0,0.0
0.0,356.0,86.02,86.02,86.02,10.6,11.2,12.0,0.16,0.9,0.07,0.0,210.4,3.2,324.0,1.0,3.0,389.0,703.0,0.0,0.0,0.0,0.0,1.9,0.0,29.3,32.5,0.2,2.6,1658.5,0.0,16.22,11.2,22.2,21.5,25.0,25.0,25.7,22.5,23.7,22.9,36.3,37.1,27.0,32.0,20.9,24.9,36.0,29.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,27.0,27.0,35.0,31.0,39.0,32.0,32.0,33.0,45.1,45.04,45.11,41.0,420.0,4.3,0.0,0.0,0.0
0.12,356.0,86.02,86.02,86.02,10.8,11.1,11.4,0.22,-1.9,0.08,0.01,209.7,2.0,328.0,1.0,3.0,388.0,703.0,0.0,-1.0,0.0,0.0,1.9,0.0,29.2,29.8,0.2,2.6,1658.5,0.0,16.22,11.2,22.4,21.7,25.1,25.2,25.9,22.7,23.9,22.9,36.6,37.5,27.0,33.0,21.0,24.9,36.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,28.0,27.0,35.0,31.0,39.0,33.0,33.0,35.0,45.1,45.05,45.11,43.0,420.0,4.2,0.0,0.0,0.0
0.05,356.0,86.02,86.02,86.02,10.9,10.8,11.8,0.22,-20.6,0.08,0.01,209.8,2.6,334.0,1.0,3.0,387.0,703.0,0.0,0.0,0.0,0.0,1.9,0.0,32.2,32.2,0.2,2.5,1658.5,0.0,16.22,11.2,22.2,21.7,25.0,25.1,25.7,22.6,23.8,22.9,36.4,37.3,26.0,33.0,20.9,24.9,38.0,31.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,27.0,27.0,35.0,31.0,39.0,33.0,33.0,34.0,45.09,45.04,45.11,43.0,430.0,4.3,0.0,0.0,0.0
0.01,356.0,86.02,86.02,86.02,10.6,11.2,12.0,0.17,24.4,0.07,-0.04,211.0,1.4,326.0,1.0,3.0,388.0,702.0,0.0,0.0,0.0,0.0,1.9,0.0,32.4,32.3,0.2,2.6,1658.5,0.0,16.22,11.2,22.2,21.7,25.0,25.1,25.7,22.6,23.8,22.8,36.4,37.2,27.0,33.0,20.9,24.9,39.0,31.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,27.0,27.0,34.0,31.0,38.0,33.0,33.0,34.0,45.1,45.05,45.11,43.0,420.0,4.3,0.0,0.0,0.0
0.08,356.0,86.02,86.02,86.02,11.6,10.9,10.6,0.17,-13.9,0.08,0.01,209.9,1.8,320.0,1.0,3.0,390.0,703.0,0.0,1.0,0.0,0.0,1.9,0.0,29.8,32.6,0.2,2.4,1658.5,0.0,16.22,11.2,22.4,21.8,25.1,25.2,26.1,22.9,23.9,22.9,36.8,37.7,28.0,33.0,21.0,24.9,37.0,30.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,27.0,28.0,27.0,34.0,32.0,39.0,33.0,33.0,34.0,45.1,45.05,45.11,43.0,430.0,4.2,0.0,0.0,0.0
