轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
9.87,104.0,0.24,0.24,0.24,10.8,10.9,10.8,10.14,-1.6,0.07,0.0,208.8,5.2,217.0,1.0,3.0,472.0,704.0,311.0,0.0,314.0,9.8,43.5,304.0,32.1,32.7,0.2,2.7,2067.6,0.0,16.83,2.9,18.7,17.9,21.4,21.5,22.5,19.3,18.5,19.2,42.6,43.8,18.0,23.0,12.1,15.1,39.0,40.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,360.0,3.6,0.0,0.0,0.0
9.84,196.0,0.24,0.24,0.24,10.7,11.1,10.9,10.08,-2.2,0.08,0.0,208.8,4.8,219.0,1.0,3.0,464.0,703.0,306.0,0.0,304.0,9.9,42.9,302.0,29.3,29.9,0.2,2.9,2067.6,0.0,16.83,2.9,18.6,17.7,21.1,21.3,22.2,19.0,18.4,18.9,42.6,43.8,18.0,23.0,12.1,15.1,35.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,29.0,26.0,30.0,23.0,23.0,26.0,45.12,45.04,45.12,34.0,350.0,3.5,0.0,0.0,0.0
10.25,140.0,0.24,0.24,0.24,10.8,11.1,11.0,10.55,-1.1,0.08,-0.02,208.6,5.0,214.0,1.0,3.0,488.0,703.0,350.0,1.0,356.0,10.2,45.2,328.0,30.4,31.8,0.2,3.8,2067.6,0.0,16.83,2.9,18.9,18.0,21.5,21.6,22.6,19.3,18.5,19.2,42.6,43.8,19.0,23.0,12.1,15.1,37.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,29.0,26.0,30.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,360.0,3.5,0.0,0.0,0.0
10.36,72.0,0.24,0.24,0.24,11.1,11.1,11.4,10.65,6.2,0.08,0.02,208.8,5.5,214.0,1.0,3.0,489.0,704.0,351.0,0.0,353.0,10.3,45.8,330.0,31.2,30.3,0.2,3.0,2067.6,0.0,16.83,2.9,18.9,18.0,21.5,21.6,22.6,19.3,18.6,19.3,42.6,43.7,18.0,23.0,12.1,15.1,38.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,30.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,350.0,3.5,0.0,0.0,0.0
9.65,308.0,0.24,0.24,0.24,10.8,11.1,10.9,9.88,2.0,0.09,0.01,208.8,4.3,217.0,1.0,3.0,469.0,703.0,289.0,0.0,294.0,9.7,41.2,289.0,32.7,33.0,0.2,2.1,2067.6,0.0,16.83,2.9,18.7,17.8,21.3,21.4,22.4,19.3,18.4,19.2,42.6,43.9,19.0,23.0,12.1,15.1,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.12,45.04,45.12,35.0,360.0,3.5,0.0,0.0,0.0
9.86,204.0,0.24,0.24,0.24,10.9,11.0,11.1,10.13,-0.3,0.09,0.0,208.8,4.8,219.0,1.0,3.0,474.0,703.0,304.0,0.0,299.0,9.7,41.2,299.0,29.1,28.4,0.2,3.7,2067.6,0.0,16.83,2.9,18.7,17.8,21.1,21.3,22.2,19.2,18.4,19.0,42.6,43.8,18.0,23.0,12.1,15.1,34.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.12,45.04,45.12,34.0,350.0,3.5,0.0,0.0,0.0
9.85,284.0,0.24,0.24,0.24,10.8,11.1,10.9,10.13,-5.0,0.1,0.02,208.8,4.7,220.0,1.0,3.0,469.0,703.0,309.0,1.0,312.0,9.9,42.0,303.0,27.9,28.6,0.2,3.6,2067.6,0.0,16.83,2.9,18.6,17.8,21.1,21.3,22.2,19.2,18.5,19.0,42.6,43.7,19.0,23.0,12.1,15.1,34.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,29.0,26.0,30.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,350.0,3.5,0.0,0.0,0.0
10.25,356.0,0.24,0.24,0.24,10.8,11.1,10.9,10.55,3.9,0.07,0.02,208.9,5.8,214.0,1.0,3.0,493.0,703.0,347.0,-1.0,349.0,10.3,46.2,326.0,30.7,30.6,0.2,2.8,2067.6,0.0,16.83,2.9,18.9,18.0,21.5,21.6,22.6,19.5,18.6,19.2,42.6,43.7,18.0,23.0,12.1,15.1,37.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,360.0,3.6,0.0,0.0,0.0
9.86,328.0,0.24,0.24,0.24,10.8,11.1,10.9,10.09,1.5,0.08,0.01,208.8,4.7,215.0,1.0,3.0,471.0,703.0,311.0,0.0,318.0,9.9,43.2,303.0,31.6,32.3,0.2,3.9,2067.6,0.0,16.83,2.9,18.7,17.9,21.4,21.5,22.6,19.3,18.6,19.2,42.6,43.7,18.0,23.0,12.1,15.1,38.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.12,45.04,45.12,34.0,350.0,3.5,0.0,0.0,0.0
10.19,348.0,0.24,0.24,0.24,10.8,11.1,10.8,10.44,7.2,0.08,0.0,208.8,5.1,214.0,1.0,3.0,485.0,704.0,344.0,0.0,348.0,10.2,45.0,323.0,30.8,31.7,0.2,2.2,2067.6,0.0,16.83,2.9,18.8,18.0,21.4,21.6,22.6,19.6,18.7,19.2,42.6,43.7,19.0,23.0,12.1,15.1,38.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.12,45.04,45.12,35.0,360.0,3.5,0.0,0.0,0.0
9.84,200.0,0.24,0.24,0.24,10.8,11.2,11.0,10.09,-0.2,0.09,0.01,208.8,4.5,220.0,1.0,3.0,472.0,704.0,307.0,1.0,311.0,9.8,42.5,300.0,30.4,30.2,0.2,3.3,2067.6,0.0,16.83,2.9,18.6,17.8,21.1,21.3,22.2,19.2,18.4,18.9,42.6,43.7,18.0,23.0,12.1,15.1,36.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,30.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,360.0,3.5,0.0,0.0,0.0
9.7,156.0,0.24,0.24,0.24,10.9,11.2,11.0,10.04,0.5,0.08,0.01,208.6,3.9,217.0,1.0,3.0,466.0,703.0,291.0,0.0,298.0,9.8,41.2,290.0,32.8,33.3,0.2,2.3,2067.6,0.0,16.83,2.9,18.7,17.8,21.2,21.4,22.4,19.4,18.5,19.1,42.6,43.9,19.0,23.0,12.1,15.1,39.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,29.0,26.0,30.0,23.0,23.0,26.0,45.12,45.04,45.11,34.0,360.0,3.5,0.0,0.0,0.0
9.68,232.0,0.24,0.24,0.24,10.8,10.8,10.8,9.93,-2.4,0.06,0.01,208.7,5.1,216.0,1.0,3.0,463.0,703.0,292.0,0.0,299.0,9.7,41.1,292.0,32.8,33.4,0.2,3.4,2067.6,0.0,16.83,2.9,18.7,17.8,21.2,21.4,22.4,19.3,18.5,19.0,42.6,43.8,19.0,23.0,12.1,15.1,39.0,39.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,30.0,23.0,23.0,26.0,45.12,45.04,45.12,35.0,360.0,3.5,0.0,0.0,0.0
9.65,20.0,0.24,0.24,0.24,10.8,11.1,11.0,9.93,4.2,0.07,0.01,209.0,4.5,217.0,1.0,3.0,464.0,704.0,287.0,0.0,290.0,9.7,39.3,287.0,32.7,33.0,0.2,2.2,2067.6,0.0,16.83,2.9,18.7,17.8,21.3,21.4,22.4,19.3,18.5,19.1,42.6,43.8,19.0,23.0,12.1,15.1,40.0,41.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,29.0,26.0,31.0,23.0,23.0,26.0,45.12,45.04,45.12,34.0,360.0,3.5,0.0,0.0,0.0
9.85,112.0,0.24,0.24,0.24,10.8,11.1,10.9,10.14,3.2,0.08,0.0,208.7,5.2,215.0,1.0,3.0,472.0,703.0,308.0,0.0,314.0,9.9,41.7,301.0,31.6,32.3,0.2,2.7,2067.6,0.0,16.83,2.9,18.7,17.9,21.4,21.5,22.6,19.5,18.6,19.1,42.6,43.6,18.0,23.0,12.1,15.1,37.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,17.0,17.0,17.0,28.0,26.0,31.0,23.0,23.0,26.0,45.13,45.04,45.12,35.0,350.0,3.4,0.0,0.0,0.0
