轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.33,296,0.24,0.24,0.24,11.2,10.5,11.0,0,-15.3,0.04,0.03,208.2,3.3,5,1,3,388,683,86,3,84,7.2,15.6,117,29.1,29.6,0.0,3.0,2067.6,0,16.83,21.8,34.1,35.8,35.4,35.5,33.9,35.0,35.0,35.4,53.0,52.9,41,45,34.5,39.1,35,32,25,0,0,0,6,6,4,0,36,37,36,42,46,44,45,45,48,44.9,44.96,44.82,65,660,6.3,0,0,0
7.24,84,0.24,0.24,0.24,11.3,10.5,10.8,0,-11.6,0.04,0.02,208.1,3.0,4,1,3,391,684,85,0,88,7.1,16.9,113,29.5,29.5,0.0,3.0,2067.6,0,16.83,21.8,34.1,35.8,35.5,35.4,33.9,35.0,35.0,35.5,53.0,52.9,41,45,34.5,39.1,35,33,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,65,650,6.3,0,0,0
7.24,344,0.24,0.24,0.24,11.3,10.6,10.9,0,-9.6,0.03,0.0,208.3,2.9,5,1,3,391,682,86,1,87,7.3,16.9,117,32.6,32.8,0.2,3.2,2067.6,0,16.83,22.0,34.1,35.8,35.4,35.5,33.9,35.0,35.2,35.6,52.9,52.8,41,45,34.6,39.1,39,35,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,65,660,6.4,0,0,0
7.24,52,0.24,0.24,0.24,10.6,10.6,11.8,0,-13.4,0.04,0.0,208.1,2.9,5,1,3,386,682,53,3,53,7.1,9.8,76,32.9,32.9,0.2,3.2,2067.6,0,16.83,22.0,34.1,35.8,35.3,35.5,33.9,35.0,35.1,35.5,52.9,52.8,41,45,34.6,39.1,39,35,25,0,0,0,6,6,4,0,36,37,36,42,46,44,45,45,48,44.9,44.96,44.82,65,660,6.3,0,0,0
7.34,240,0.24,0.24,0.24,10.7,10.5,11.5,0,-9.6,0.05,0.05,208.1,3.1,2,1,3,387,683,67,0,70,7.4,11.4,97,29.4,30.3,0.0,3.0,2067.6,0,16.83,21.9,34.1,35.8,35.4,35.5,33.9,35.0,35.0,35.4,53.0,52.9,41,45,34.5,39.1,35,33,25,0,0,0,6,6,4,0,36,37,36,42,46,44,45,45,48,44.9,44.96,44.82,64,660,6.4,0,0,0
7.23,264,0.24,0.24,0.24,11.4,10.6,10.6,0,-9.8,0.04,0.0,208.3,2.7,5,1,3,390,683,76,0,79,7.1,15.6,99,33.1,33.4,0.2,3.2,2067.6,0,16.83,21.9,34.2,35.8,35.6,35.5,33.9,35.0,35.2,35.5,52.9,52.8,40,45,34.6,39.1,39,36,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,65,670,6.3,0,0,0
7.34,232,0.24,0.24,0.24,10.7,10.5,11.6,0,-5.0,0.04,0.04,208.2,2.4,358,1,3,381,682,64,1,67,7.0,11.3,95,30.2,30.3,0.0,3.1,2067.6,0,16.83,22.0,34.2,35.8,35.6,35.6,33.9,35.0,35.2,35.7,52.9,52.8,41,45,34.6,39.2,36,33,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,65,660,6.3,0,0,0
7.24,304,0.24,0.24,0.24,11.3,10.8,10.6,0,-21.0,0.04,0.04,208.2,3.5,6,1,3,386,682,65,0,69,7.3,14.6,84,29.3,29.9,0.0,3.0,2067.6,0,16.83,21.8,34.2,35.8,35.5,35.5,33.9,35.0,35.1,35.5,53.0,52.9,40,45,34.5,39.1,35,33,25,0,0,0,6,6,4,0,36,37,36,42,46,44,45,45,48,44.9,44.97,44.82,65,660,6.3,0,0,0
7.25,228,0.24,0.24,0.24,11.3,10.6,10.8,0,-8.0,0.04,0.0,208.3,3.0,359,1,3,391,682,82,-1,88,7.0,16.0,112,30.4,30.7,0.0,3.0,2067.6,0,16.83,22.0,34.2,35.8,35.5,35.6,33.9,35.0,35.2,35.6,52.9,52.8,41,45,34.6,39.2,36,33,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.83,65,660,6.3,0,0,0
7.2,80,0.24,0.24,0.24,10.7,11.9,10.7,0,-4.0,0.05,0.01,208.5,2.5,357,1,3,381,682,43,1,51,7.1,8.9,62,30.8,31.1,0.1,3.1,2067.6,0,16.83,22.0,34.2,35.8,35.4,35.6,33.9,35.0,35.1,35.6,52.9,52.8,42,45,34.6,39.2,36,34,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,65,660,6.5,0,0,0
7.24,164,0.24,0.24,0.24,10.6,11.8,10.7,0,-7.2,0.04,0.02,208.3,3.2,4,1,3,383,682,52,0,66,7.2,11.1,77,28.7,29.6,0.0,3.0,2067.6,0,16.83,21.8,34.1,35.8,35.4,35.5,33.9,35.0,35.0,35.5,53.0,52.9,41,45,34.5,39.1,35,32,25,0,0,0,6,6,4,0,36,37,36,42,46,44,45,45,48,44.9,44.96,44.82,65,660,6.3,0,0,0
7.23,292,0.24,0.24,0.24,11.3,10.8,10.6,0,-7.9,0.04,0.04,208.0,3.2,4,1,3,381,683,62,1,61,6.9,14.1,85,30.0,30.2,0.0,3.0,2067.6,0,16.83,21.8,34.1,35.8,35.4,35.5,33.9,35.0,35.0,35.4,53.0,52.9,41,45,34.5,39.1,36,33,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,65,660,6.4,0,0,0
7.21,160,0.24,0.24,0.24,10.6,10.5,11.6,0,1.0,0.04,0.0,208.4,2.8,357,1,3,383,682,44,3,48,7.1,9.4,66,30.2,30.8,0.1,3.1,2067.6,0,16.83,22.0,34.2,35.8,35.4,35.6,33.9,35.0,35.2,35.6,52.9,52.8,41,45,34.6,39.2,36,34,25,0,0,0,6,6,4,0,36,37,36,42,46,45,45,45,48,44.9,44.96,44.82,66,670,6.4,0,0,0
7.23,188,0.24,0.24,0.24,10.6,10.5,11.7,0,-14.0,0.06,0.02,208.2,2.9,6,1,3,384,682,53,0,58,7.2,9.4,74,33.0,33.6,0.1,3.1,2067.6,0,16.83,21.9,34.2,35.8,35.5,35.5,33.9,35.0,35.2,35.5,52.9,52.8,41,45,34.6,39.1,39,36,25,0,0,0,6,6,4,0,36,37,36,42,46,44,45,45,48,44.9,44.96,44.82,64,660,6.3,0,0,0
