轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
9.9,98.0,0.24,0.24,0.24,11.2,10.9,11.7,0.0,-1.6,0.07,0.04,208.2,5.6,141.0,1.0,1.0,471.0,685.0,304.0,3.0,310.0,9.7,43.2,302.0,24.1,24.9,0.3,3.3,2067.6,0.0,16.83,19.2,38.5,39.1,36.5,37.8,38.4,36.7,33.7,34.6,61.1,61.1,36.0,40.0,27.8,30.3,30.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,610.0,5.8,0.0,0.0,0.0
10.92,269.0,0.24,0.24,0.24,11.4,11.5,11.7,0.0,-10.2,0.04,0.03,208.1,5.3,145.0,1.0,1.0,533.0,686.0,422.0,-1.0,425.0,10.9,56.0,374.0,23.5,24.4,0.2,3.3,2067.6,0.0,16.83,19.1,38.6,39.3,36.6,37.9,38.4,36.7,33.6,34.6,61.0,61.1,36.0,40.0,27.7,30.3,31.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,600.0,5.8,0.0,0.0,0.0
10.92,73.0,0.24,0.24,0.24,11.4,11.3,11.6,0.0,-7.4,0.05,0.02,208.0,5.6,143.0,1.0,1.0,526.0,686.0,409.0,1.0,413.0,10.8,53.8,367.0,23.6,24.5,0.2,3.3,2067.6,0.0,16.83,19.1,38.6,39.2,36.5,37.9,38.4,36.7,33.6,34.4,61.0,61.1,35.0,40.0,27.7,30.3,31.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.98,44.83,59.0,610.0,5.7,0.0,0.0,0.0
9.7,152.0,0.24,0.24,0.24,11.4,11.1,11.2,0.0,-14.8,0.04,0.04,207.7,5.9,145.0,1.0,1.0,464.0,685.0,289.0,2.0,291.0,9.5,42.9,293.0,24.5,25.0,0.3,3.3,1669.8,0.0,16.23,19.2,38.6,39.2,36.5,37.8,38.4,36.7,33.7,34.5,61.0,61.2,35.0,40.0,27.8,30.3,30.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,610.0,5.8,0.0,0.0,0.0
11.53,315.0,0.24,0.24,0.24,11.6,11.5,11.4,0.0,5.5,0.04,-0.03,208.2,5.2,141.0,1.0,1.0,563.0,685.0,473.0,0.0,482.0,11.4,57.7,404.0,24.1,25.0,0.3,3.3,2067.6,0.0,16.83,19.3,38.5,39.1,36.3,37.8,38.4,36.7,33.7,34.6,61.1,61.1,35.0,40.0,27.8,30.5,31.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,610.0,5.8,0.0,0.0,0.0
9.78,112.0,0.24,0.24,0.24,10.9,11.5,11.1,0.0,-6.8,0.08,0.04,209.8,6.2,131.0,1.0,1.0,467.0,686.0,300.0,0.0,304.0,9.7,42.9,296.0,23.8,24.9,0.3,3.3,2036.6,0.0,16.78,19.3,38.6,39.1,36.4,37.8,38.5,36.7,33.7,34.7,61.1,61.1,35.0,40.0,27.8,30.5,30.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,610.0,5.7,0.0,0.0,0.0
10.68,268.0,0.24,0.24,0.24,11.3,11.5,11.2,0.0,-12.8,0.06,0.03,208.0,6.2,144.0,1.0,1.0,518.0,685.0,400.0,2.0,412.0,10.8,51.6,360.0,24.2,25.1,0.3,3.3,2067.6,0.0,16.83,19.1,38.6,39.3,36.5,37.9,38.4,36.7,33.6,34.6,61.1,61.2,36.0,40.0,27.7,30.3,31.0,31.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,610.0,5.7,0.0,0.0,0.0
11.55,5.0,0.24,0.24,0.24,11.4,11.4,11.5,0.0,-12.6,0.06,0.0,208.1,5.8,144.0,1.0,1.0,565.0,686.0,477.0,0.0,478.0,11.4,57.9,404.0,23.9,24.6,0.3,3.3,2067.6,0.0,16.83,19.2,38.5,39.2,36.4,37.8,38.4,36.7,33.6,34.5,61.0,61.1,35.0,40.0,27.7,30.3,31.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,59.0,610.0,5.8,0.0,0.0,0.0
9.5,43.0,0.24,0.24,0.24,11.0,10.9,11.5,0.0,-11.7,0.1,0.02,208.1,5.0,144.0,1.0,1.0,453.0,685.0,264.0,0.0,265.0,9.3,39.5,274.0,24.2,25.1,0.3,3.3,1875.4,0.0,16.54,19.2,38.5,39.1,36.4,37.8,38.4,36.7,33.5,34.7,61.0,61.1,35.0,40.0,27.8,30.3,30.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,59.0,610.0,5.8,0.0,0.0,0.0
11.75,24.0,0.24,0.24,0.24,11.6,11.5,11.7,0.0,4.9,0.04,0.02,208.2,6.7,139.0,1.0,1.0,578.0,685.0,499.0,1.0,504.0,11.5,59.5,419.0,23.5,24.5,0.3,3.3,2067.6,0.0,16.83,19.3,38.6,39.1,36.5,37.8,38.4,36.7,33.7,34.6,61.1,61.1,35.0,40.0,27.8,30.5,31.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,38.0,42.0,41.0,40.0,40.0,43.0,44.92,44.99,44.83,58.0,610.0,5.8,0.0,0.0,0.0
