轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.97,64,0.25,0.26,0.26,11.8,11.8,13.2,0,-4.7,0.03,0.01,209.0,8.1,216,1,3,842,689,873,1,881,13.9,88.4,609,28.6,30.3,0.0,3.1,1272.2,0,15.61,13.3,39.6,41.0,40.0,41.0,39.4,39.8,36.4,38.0,60.2,60.5,28,33,20.5,23,41,39,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.94,45.01,44.89,51,520,5.0,0,0,0
13.27,64,0.25,0.26,0.26,12.4,11.7,11.8,0,7.3,0.04,0.03,209.0,5.1,217,1,3,748,690,745,2,755,13.2,79.1,543,31.5,33.5,0.1,3.2,1286.6,0,15.63,13.1,39.2,40.4,39.5,40.6,39.0,39.3,36.1,38.0,60.3,60.6,27,33,20.3,23,42,41,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.94,45.02,44.89,51,520,5.1,0,0,0
13.15,64,0.25,0.26,0.26,12.2,11.5,11.7,0,-0.2,0.13,0.13,208.8,6.3,218,1,3,748,688,745,2,751,13.2,79.1,545,29.3,31.2,0.1,3.1,1427.8,0,15.86,13.4,39.6,41.0,40.0,41.1,39.4,39.9,36.4,38.0,60.2,60.5,27,33,20.5,23,41,40,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.95,45.02,44.89,51,520,5.0,0,0,0
14.11,64,0.25,0.26,0.26,12.9,11.8,11.7,0,0.2,0.02,0.01,208.9,7.4,215,1,3,852,688,893,1,896,14.0,91.4,613,29.4,31.2,0.0,3.1,1272.2,0,15.61,13.3,39.6,41.0,40.0,41.0,39.4,39.9,36.4,38.0,60.2,60.5,28,33,20.5,23,40,39,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.94,45.02,44.89,51,520,5.0,0,0,0
13.05,64,0.25,0.26,0.26,11.9,11.7,11.5,0,-7.6,-0.01,0.06,209.0,7.9,221,1,3,732,691,725,-1,728,13.0,76.4,530,31.7,32.2,0.2,3.2,1205.3,0,15.49,13.1,38.8,40.3,39.0,40.3,38.6,39.1,36.0,37.8,60.4,60.6,28,33,20.3,23,40,40,25,0,0,0,6,6,4,0,21,22,22,36,40,38,33,33,35,44.94,45.02,44.89,51,520,5.0,0,0,0
12.26,64,0.25,0.26,0.26,11.9,11.5,11.6,0,1.5,0.06,-0.01,209.1,6.1,219,1,3,619,688,557,-1,565,12.0,63.9,451,29.9,30.6,0.1,3.2,1043.4,0,14.76,13.3,39.5,40.9,39.8,41.0,39.3,39.7,36.3,38.2,60.2,60.5,27,33,20.5,23,39,39,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.94,45.02,44.89,51,520,5.0,0,0,0
12.72,64,0.25,0.26,0.26,12.1,11.5,11.6,0,1.4,-0.01,-0.03,209.1,6.5,217,1,3,691,688,665,1,670,12.7,72.6,502,31.9,32.4,0.2,3.2,880.9,0,13.95,13.3,39.2,40.5,39.6,40.7,39.0,39.4,36.3,38.1,60.3,60.5,28,33,20.5,23,40,40,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.95,45.01,44.89,50,520,5.0,0,0,0
13.02,64,0.25,0.26,0.26,12.2,11.6,11.6,0,2.4,0.02,0.02,208.9,7.8,219,1,3,715,690,702,0,701,13.0,77.1,520,30.3,31.0,0.1,3.2,998.4,0,14.55,13.1,38.9,40.3,39.2,40.3,38.7,39.2,36.0,37.8,60.4,60.6,27,33,20.3,23,39,38,25,0,0,0,6,6,4,0,21,22,22,36,40,38,33,33,35,44.95,45.01,44.89,51,520,4.9,0,0,0
12.06,64,0.25,0.26,0.26,11.5,11.6,11.7,0,13.0,0.02,0.02,209.1,5.1,218,1,3,626,688,570,2,579,12.1,66.3,459,30.1,30.7,0.1,3.1,1043.4,0,14.76,13.3,39.5,40.8,39.8,41.0,39.3,39.8,36.3,38.2,60.2,60.5,28,33,20.5,23,39,39,25,0,0,0,6,6,4,0,21,22,22,36,40,38,33,33,35,44.94,45.02,44.89,50,520,5.0,0,0,0
13.7,64,0.25,0.26,0.26,12.8,11.7,11.5,0,-4.3,0.02,-0.04,209.0,6.3,217,1,3,812,688,832,1,841,13.6,86.2,584,30.1,32.1,0.1,3.1,1427.8,0,15.86,13.4,39.6,41.0,40.0,41.0,39.4,39.9,36.3,38.1,60.2,60.5,27,33,20.5,23,43,41,25,0,0,0,6,6,4,0,21,22,22,36,40,39,33,33,35,44.94,45.01,44.9,51,530,5.0,0,0,0
