轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.42,0.0,6.65,6.72,6.73,11.3,13.9,17.2,11.8,12.3,0.11,0.26,207.9,8.4,342.0,1.0,3.0,498.0,688.0,595.0,-2.0,629.0,11.93,702.1,490.0,29.4,29.1,0.0,2.5,617.4,0.0,12.39,-2.8,11.4,6.9,11.7,7.0,7.3,6.7,7.9,9.2,40.6,40.7,13.0,20.0,6.4,11.1,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.86,44.0,320.0,3.8,0.0,0.0,0.0
8.88,0.0,0.24,0.3,0.3,12.1,10.7,11.3,9.01,11.4,0.18,0.06,208.0,5.9,338.0,1.0,3.0,196.0,686.0,234.0,4.0,240.0,9.05,349.7,245.0,32.6,32.0,0.0,2.5,284.0,0.0,9.57,-2.8,11.6,7.2,11.9,7.1,7.4,6.9,8.0,9.3,40.7,40.7,12.0,20.0,6.4,11.1,34.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.87,44.0,310.0,3.8,0.0,0.0,0.0
10.3,0.0,0.23,0.29,0.29,10.8,11.9,10.9,10.5,-2.6,0.08,0.21,208.9,5.4,349.0,1.0,3.0,308.0,686.0,367.0,-2.0,384.0,10.61,473.7,332.0,30.9,30.7,0.0,2.5,408.1,0.0,10.79,-2.8,11.9,7.3,12.1,7.3,7.7,7.1,8.1,9.4,40.6,40.6,13.0,21.0,6.4,11.0,33.0,33.0,32.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,21.0,21.0,19.0,44.82,44.89,44.87,44.0,320.0,3.7,0.0,0.0,0.0
9.83,0.0,6.17,6.12,6.12,12.1,12.4,12.5,10.03,15.6,0.11,0.16,208.1,4.6,333.0,1.0,3.0,243.0,685.0,289.0,5.0,294.0,10.08,394.6,279.0,32.9,32.3,0.0,2.5,284.0,0.0,9.57,-2.9,11.6,6.9,11.8,7.0,7.4,6.8,8.0,9.3,40.7,40.6,13.0,20.0,6.4,11.1,34.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.86,43.0,320.0,3.7,0.0,0.0,0.0
11.67,0.0,6.44,6.52,6.53,11.9,11.6,11.8,11.87,18.1,0.14,0.21,208.2,8.2,340.0,1.0,3.0,507.0,688.0,606.0,-5.0,628.0,11.98,703.0,490.0,29.3,29.1,0.0,2.5,617.4,0.0,12.39,-2.8,11.4,7.0,11.6,7.0,7.4,6.7,7.9,9.3,40.7,40.7,12.0,21.0,6.4,11.1,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,21.0,21.0,19.0,44.82,44.89,44.87,44.0,320.0,3.9,0.0,0.0,0.0
9.0,0.0,3.56,3.65,3.63,11.1,11.5,10.9,9.21,26.6,0.08,0.16,208.3,4.7,334.0,1.0,3.0,238.0,686.0,284.0,3.0,297.0,9.29,415.4,292.0,33.0,32.6,0.0,2.5,284.0,0.0,9.57,-2.9,11.5,7.1,11.8,7.1,7.4,6.9,8.0,9.3,40.7,40.6,12.0,20.0,6.4,11.1,35.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.87,44.0,320.0,3.8,0.0,0.0,0.0
11.29,0.0,7.85,7.74,7.74,12.4,10.8,10.7,11.58,-1.4,0.16,0.14,208.9,5.3,352.0,1.0,3.0,307.0,685.0,366.0,-2.0,384.0,11.65,434.6,304.0,31.1,30.8,0.0,2.6,356.0,0.0,10.31,-2.8,11.9,7.1,12.2,7.3,7.7,7.0,8.1,9.4,40.6,40.7,12.0,20.0,6.4,11.0,33.0,33.0,32.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.88,44.86,43.0,320.0,3.7,0.0,0.0,0.0
9.7,0.0,10.06,9.98,10.0,11.3,11.2,10.9,9.85,4.7,0.21,0.08,208.2,5.9,337.0,1.0,3.0,243.0,687.0,290.0,-2.0,298.0,10.0,400.3,282.0,28.3,27.9,0.0,2.5,284.0,0.0,9.57,-2.8,11.4,7.0,11.8,7.0,7.3,6.8,8.0,9.3,40.7,40.7,12.0,20.0,6.4,11.1,30.0,29.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.86,43.0,320.0,3.7,0.0,0.0,0.0
9.76,0.0,7.03,6.98,6.99,11.1,11.8,10.9,10.16,-2.5,0.09,0.14,208.1,7.0,341.0,1.0,3.0,243.0,687.0,290.0,-3.0,301.0,10.2,394.3,277.0,32.1,31.8,0.0,2.5,284.0,0.0,9.57,-2.8,11.7,7.1,12.0,7.1,7.5,6.9,8.0,9.4,40.7,40.6,13.0,20.0,6.4,11.0,34.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.86,44.0,320.0,3.7,0.0,0.0,0.0
8.79,0.0,6.82,6.87,6.87,12.7,12.0,12.0,9.25,11.7,0.04,0.14,208.4,4.5,344.0,1.0,3.0,228.0,685.0,272.0,-3.0,286.0,9.27,411.9,291.0,31.8,31.6,0.0,2.5,284.0,0.0,9.57,-2.8,11.7,7.0,11.9,7.2,7.6,6.9,8.1,9.3,40.7,40.7,12.0,20.0,6.4,11.0,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,19.0,44.82,44.89,44.86,43.0,320.0,3.7,0.0,0.0,0.0
