轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.91,106,0.37,0.3,0.3,11.6,11.8,11.6,12.25,-13.8,0.09,0.14,208.4,6.1,220,1,3,469,700,570,3,600,12.47,646.0,451,29.9,29.7,0,3.5,2180.0,0,17.0,-0.9,22.2,19.2,23.6,20.3,20.4,20.0,20.3,21.4,46.5,46.6,19,28,9.2,15,33,33,33,0,0,0,6,6,4,0,15,15,16,32,39,37,28,28,26,44.8,44.86,44.85,52,400,5.0,0,0,0
11.77,152,0.37,0.3,0.3,11.5,11.7,12.0,11.91,-8.4,0.11,0.14,208.2,6.6,221,1,3,441,699,535,-3,558,12.13,621.7,428,32.6,32.0,0,3.5,2180.0,0,17.0,-0.9,21.9,18.8,23.3,20.0,20.1,19.7,20.0,21.1,46.6,46.7,18,28,9.0,15,35,35,33,0,0,0,6,6,4,0,15,16,16,32,38,37,28,28,26,44.81,44.85,44.85,52,400,5.0,0,0,0
11.46,79,0.37,0.3,0.3,11.3,11.5,11.7,11.55,-10.9,0.11,0.14,208.2,5.3,224,1,3,400,699,485,2,511,11.82,583.7,402,30.7,30.1,0,3.5,2172.9,0,16.99,-1.0,21.6,18.7,22.9,19.7,19.8,19.3,19.7,20.7,46.7,46.7,19,28,9.0,15,33,33,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.81,44.86,44.85,52,400,5.0,0,0,0
11.21,165,0.37,0.3,0.3,11.5,11.5,12.8,11.68,-4.9,0.11,0.16,208.1,5.7,223,1,3,389,699,472,-1,493,11.7,572.0,395,30.2,29.9,0,3.4,2172.9,0,16.99,-1.0,21.6,18.7,23.0,19.7,19.8,19.5,19.7,20.7,46.7,46.7,18,28,9.0,15,33,32,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.81,44.86,44.85,52,400,4.9,0,0,0
11.7,217,0.37,0.3,0.3,11.5,11.8,12.6,12.19,-0.7,0.09,0.12,208.4,5.6,218,1,3,455,700,553,4,587,12.29,634.7,438,31.1,32.4,0,3.4,2180.0,0,17.0,-1.0,21.8,18.9,23.1,19.9,20.0,19.7,19.9,21.0,46.7,46.6,19,28,9.0,15,35,35,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.81,44.86,44.85,51,400,5.0,0,0,0
11.49,9,0.37,0.3,0.3,11.3,11.6,11.4,11.69,-1.5,0.07,0.16,208.1,5.9,222,1,3,402,699,488,-6,515,11.82,585.7,407,30.7,30.3,0,3.4,2170.5,0,16.99,-1.0,21.6,18.5,22.9,19.7,19.8,19.3,19.7,20.7,46.7,46.7,19,28,9.0,15,33,33,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.81,44.86,44.84,51,400,5.0,0,0,0
12.99,32,0.37,0.3,0.3,11.8,12.4,12.9,13.46,-11.2,0.11,0.12,208.2,6.1,219,1,3,607,701,740,0,792,13.61,769.4,535,31.7,31.5,0,3.5,2180.0,0,17.0,-0.7,22.5,19.6,23.8,20.6,20.6,20.4,20.3,21.4,46.4,46.6,19,28,9.2,15,35,35,33,0,0,0,6,6,4,0,15,16,16,32,39,38,28,28,26,44.8,44.86,44.84,53,400,5.2,0,0,0
11.56,341,0.37,0.3,0.3,11.4,11.5,12.9,11.88,-5.4,0.09,0.14,208.3,5.9,216,1,3,419,700,510,0,538,11.93,595.3,412,29.3,28.9,0,3.5,2180.0,0,17.0,-1.0,21.8,18.7,23.0,19.8,20.0,19.2,19.8,20.9,46.7,46.7,19,28,9.0,15,32,32,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.8,44.86,44.84,52,400,5.0,0,0,0
11.96,17,0.37,0.3,0.3,11.6,11.6,11.6,12.11,-14.6,0.09,0.14,208.2,6.7,224,1,3,459,699,557,-4,580,12.28,633.5,437,31.6,31.1,0,3.5,2180.0,0,17.0,-0.9,22.1,18.9,23.3,20.1,20.2,19.8,20.1,21.2,46.6,46.6,18,28,9.1,15,34,34,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.81,44.86,44.84,52,400,5.0,0,0,0
11.02,155,0.37,0.3,0.3,11.5,11.5,12.9,11.75,-10.8,0.08,0.12,208.5,5.1,224,1,3,397,699,482,-4,500,11.75,581.8,399,30.5,30.2,0,3.4,2172.9,0,16.99,-1.0,21.6,18.6,22.9,19.7,19.8,19.4,19.7,20.7,46.7,46.7,19,28,9.0,15,33,33,33,0,0,0,6,6,4,0,15,15,16,32,38,37,28,28,26,44.81,44.86,44.84,52,400,5.0,0,0,0
