轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.53,336.0,0.33,0.3,0.29,11.9,12.0,13.4,13.87,6.4,0.09,0.12,208.8,7.4,254.0,1.0,3.0,655.0,697.0,793.0,1.0,835.0,13.94,795.2,554.0,32.9,32.2,0.0,2.5,1018.9,0.0,14.65,-14.7,13.5,11.0,14.9,11.0,10.6,11.0,11.4,12.9,42.7,42.4,4.0,11.0,-4.4,0.4,36.0,36.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.9,44.88,35.0,220.0,2.8,0.0,0.0,0.0
13.87,224.0,0.25,0.2,0.19,13.5,12.9,13.5,14.27,5.5,0.09,0.17,208.6,7.6,251.0,1.0,3.0,735.0,698.0,890.0,5.0,939.0,14.42,889.9,600.0,28.2,30.1,0.0,2.5,2180.0,0.0,17.0,-15.0,13.8,10.9,15.3,11.3,10.8,11.3,11.3,12.8,42.8,42.4,3.0,11.0,-4.5,0.3,34.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,36.0,230.0,2.8,0.0,0.0,0.0
13.51,120.0,0.33,0.3,0.29,12.4,12.0,13.1,13.76,4.7,0.09,0.14,209.1,6.7,255.0,1.0,3.0,655.0,697.0,793.0,-2.0,833.0,13.9,796.3,555.0,33.0,32.5,0.0,2.5,1280.0,0.0,14.65,-14.7,13.5,11.0,14.9,11.0,10.6,10.9,11.4,12.9,42.7,42.4,4.0,11.0,-4.4,0.4,36.0,36.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,32.0,27.0,11.0,11.0,10.0,44.83,44.91,44.89,35.0,220.0,2.8,0.0,0.0,0.0
13.62,320.0,0.24,0.18,0.19,13.7,13.3,12.0,13.89,0.9,0.09,0.16,208.9,7.1,257.0,1.0,3.0,687.0,697.0,831.0,0.0,874.0,14.04,896.1,575.0,30.8,30.4,0.0,2.5,2180.0,0.0,17.0,-14.9,13.9,10.9,15.2,11.4,10.9,11.3,11.4,12.9,42.7,42.4,3.0,11.0,-4.4,0.3,35.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,36.0,230.0,2.9,0.0,0.0,0.0
13.16,80.0,0.33,0.3,0.29,12.5,12.5,11.5,13.39,-3.6,0.09,0.13,209.1,6.7,257.0,1.0,3.0,610.0,697.0,738.0,-3.0,781.0,13.58,761.4,531.0,32.1,31.6,0.0,2.5,2180.0,0.0,17.0,-14.7,13.6,10.7,15.1,11.1,10.6,11.3,11.4,12.9,42.7,42.4,3.0,11.0,-4.4,0.4,35.0,35.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,32.0,27.0,11.0,11.0,10.0,44.83,44.9,44.88,35.0,220.0,2.8,0.0,0.0,0.0
13.05,40.0,0.25,0.23,0.23,12.7,12.5,13.8,13.9,1.4,0.07,0.16,209.2,7.7,254.0,1.0,3.0,677.0,697.0,819.0,2.0,850.0,14.02,808.9,564.0,29.7,29.3,0.0,2.5,2180.0,0.0,17.0,-14.9,13.8,10.9,15.2,11.4,10.9,11.2,11.6,12.9,42.7,42.4,4.0,11.0,-4.4,0.4,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,36.0,230.0,2.8,0.0,0.0,0.0
13.04,200.0,0.25,0.23,0.23,12.9,12.4,11.6,13.22,5.1,0.08,0.15,209.0,7.1,252.0,1.0,3.0,597.0,697.0,722.0,-2.0,759.0,13.45,744.8,520.0,28.7,28.5,0.0,2.5,2180.0,0.0,17.0,-14.8,13.9,10.8,15.1,11.4,11.0,10.9,11.6,13.1,42.7,42.4,3.0,11.0,-4.4,0.4,32.0,32.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,36.0,230.0,2.8,0.0,0.0,0.0
13.72,112.0,0.33,0.3,0.29,12.1,13.2,12.2,14.1,2.2,0.03,0.14,208.6,7.0,253.0,1.0,3.0,692.0,698.0,838.0,-5.0,876.0,14.1,822.0,577.0,29.7,29.1,0.0,2.5,2180.0,0.0,17.0,-14.9,13.8,10.9,15.2,11.3,10.9,11.1,11.6,12.9,42.7,42.4,3.0,11.0,-4.4,0.4,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,32.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,36.0,220.0,2.9,0.0,0.0,0.0
13.27,208.0,0.33,0.3,0.29,12.5,11.8,12.2,13.66,-0.7,0.09,0.14,209.0,7.4,255.0,1.0,3.0,642.0,696.0,775.0,-3.0,822.0,13.83,787.0,552.0,32.8,32.2,0.0,2.5,2180.0,0.0,17.0,-14.7,13.6,10.7,15.1,11.0,10.6,11.1,11.4,12.9,42.7,42.4,3.0,11.0,-4.4,0.4,36.0,36.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,32.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,35.0,230.0,2.8,0.0,0.0,0.0
13.65,248.0,0.24,0.18,0.19,12.6,13.4,13.0,13.96,3.7,0.08,0.13,208.9,5.7,256.0,1.0,3.0,686.0,698.0,831.0,1.0,862.0,14.05,896.1,572.0,30.9,30.5,0.0,2.5,2180.0,0.0,17.0,-14.9,13.9,10.9,15.1,11.3,11.0,11.2,11.4,12.9,42.8,42.4,3.0,11.0,-4.4,0.3,35.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.91,44.89,36.0,230.0,2.8,0.0,0.0,0.0
13.6,224.0,0.25,0.2,0.19,12.9,12.9,13.9,14.29,5.7,0.09,0.14,208.6,7.4,252.0,1.0,3.0,733.0,699.0,888.0,-4.0,938.0,14.38,896.8,604.0,28.7,30.9,0.0,2.5,2180.0,0.0,17.0,-15.0,13.8,10.8,15.3,11.3,10.8,11.2,11.3,12.8,42.8,42.4,4.0,11.0,-4.5,0.3,34.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,-1.0,-1.0,-1.0,26.0,33.0,27.0,11.0,11.0,10.0,44.83,44.91,44.88,36.0,230.0,2.9,0.0,0.0,0.0
