轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.19,31,0.25,0.21,0.2,12.0,10.8,12.4,7.37,-11.6,0.07,0.14,208.0,2.4,206,1,3,39,685,47,-3,47,7.35,94.6,59,31.1,30.5,0,3.5,951.4,0,14.31,9.1,17.6,18.2,19.4,16.8,17.0,17.5,18.1,17.9,40.3,40.3,21,30,13.5,17.9,31,32,34,0,0,0,6,6,4,0,16,16,16,32,39,36,30,30,27,44.81,44.85,44.84,52,400,5.1,0,0,0
6.77,242,0.25,0.21,0.2,10.4,10.5,13.6,6.93,45.6,-0.11,0.29,207.9,1.4,172,1,3,4,687,0,-6,1,6.93,43.1,0,29.4,30.0,0,3.5,134.0,0,7.49,8.9,17.6,18.3,19.4,16.8,17.1,17.3,18.0,17.9,40.2,40.2,21,29,13.5,17.9,30,31,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.81,44.86,44.84,53,410,5.1,0,0,0
6.29,114,0.25,0.21,0.2,11.0,11.1,11.6,6.4,40.5,0.09,0.04,207.9,1.6,162,1,3,2,687,-3,1,-4,6.48,43.8,0,29.0,28.4,0,3.5,98.0,0,7.36,8.9,17.6,18.0,19.2,16.8,17.0,17.2,18.1,17.9,40.3,40.3,22,30,13.5,17.9,28,30,34,0,0,0,6,6,4,0,16,16,16,32,38,36,30,30,27,44.81,44.86,44.84,52,420,5.1,0,0,0
7.27,88,0.25,0.21,0.2,10.6,11.8,12.3,7.43,-3.0,0.12,0.11,207.7,2.8,202,1,3,39,686,48,-1,52,7.42,88.4,67,30.7,30.3,0,3.5,2180.0,0,17.0,9.1,17.6,18.3,19.4,16.8,17.1,17.5,18.1,17.9,40.3,40.4,21,29,13.5,17.9,31,32,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.8,44.85,44.85,52,410,5.0,0,0,0
7.07,237,0.25,0.21,0.2,11.7,10.4,13.6,7.42,-0.3,0.11,0.28,207.9,3.5,203,1,3,55,686,66,-5,62,7.44,143.6,86,29.7,29.4,0,3.5,1444.2,0,15.89,9.1,17.6,18.4,19.4,16.9,17.1,17.5,18.1,17.9,40.3,40.4,21,29,13.5,17.8,30,31,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.81,44.85,44.85,53,420,5.1,0,0,0
7.0,356,0.25,0.21,0.2,10.5,10.5,14.0,7.34,-12.3,0.23,0.3,207.6,2.4,213,1,3,29,685,35,5,41,7.43,72.3,45,32.4,31.9,0,3.5,1123.2,0,15.13,9.0,17.6,18.3,19.3,16.8,17.1,17.5,18.0,17.9,40.3,40.3,21,29,13.5,17.9,32,34,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.81,44.86,44.85,53,410,5.1,0,0,0
6.02,40,0.25,0.21,0.2,12.0,10.5,11.9,6.22,42.5,0.05,0.14,207.8,1.9,162,1,3,2,687,2,-4,0,6.18,43.0,0,29.3,28.9,0,3.5,143.3,0,7.61,9.0,17.5,18.1,19.4,16.7,17.0,17.3,18.0,17.8,40.2,40.2,21,29,13.5,17.9,29,30,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.8,44.86,44.84,52,420,5.1,0,0,0
5.99,256,0.25,0.21,0.2,10.4,10.4,13.7,6.38,33.7,0.16,0.1,207.5,2.1,163,1,3,2,688,3,0,3,6.35,42.6,0,28.9,28.8,0,3.5,143.3,0,7.61,9.0,17.6,18.3,19.4,16.8,17.1,17.1,18.1,17.8,40.2,40.3,20,29,13.5,17.9,29,30,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.81,44.86,44.85,53,410,5.1,0,0,0
7.18,36,0.25,0.21,0.2,10.8,11.6,12.4,7.39,-2.7,0.1,0.13,208.0,3.0,203,1,3,24,685,29,2,34,7.4,99.0,44,30.1,29.8,0,3.5,2064.5,0,16.83,9.1,17.6,18.2,19.4,16.8,17.1,17.4,18.1,17.9,40.3,40.3,21,29,13.5,17.8,30,31,34,0,0,0,6,6,4,0,16,16,16,32,38,36,29,29,27,44.8,44.86,44.85,53,420,5.1,0,0,0
6.93,327,0.25,0.21,0.2,10.4,10.6,13.8,7.08,-100.0,0.24,0.14,207.7,0.2,233,1,3,4,687,1,5,-1,7.12,42.1,0,32.8,32.2,0,3.5,488.4,0,11.46,8.9,17.6,18.2,19.4,16.8,17.1,17.4,18.0,17.8,40.3,40.3,21,30,13.5,17.9,33,34,34,0,0,0,6,6,4,0,16,16,16,32,38,36,30,30,27,44.81,44.85,44.85,52,420,5.1,0,0,0
