轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.95,64.0,5.77,5.62,5.62,14.1,10.5,10.5,16.1,8.9,0.09,0.19,209.2,9.9,254.0,1.0,3.0,1128.0,696.0,1361.0,-5.0,1435.0,16.39,1194.2,809.0,28.2,30.0,0.0,2.6,1340.2,0.0,15.72,-4.4,35.5,32.1,36.7,32.0,31.5,31.8,32.5,32.2,46.8,46.6,16.0,23.0,6.4,11.7,35.0,35.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.81,44.89,44.85,51.0,370.0,4.4,0.0,0.0,0.0
15.88,64.0,3.72,3.62,3.61,16.2,13.5,11.4,16.32,7.8,0.09,0.14,209.7,8.8,250.0,1.0,3.0,1128.0,699.0,1368.0,1.0,1439.0,16.51,1189.8,804.0,33.0,32.9,0.0,2.5,1340.2,0.0,15.72,-4.5,35.5,32.1,36.8,32.0,31.5,31.7,33.2,32.7,46.6,46.4,15.0,23.0,6.2,11.7,38.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.86,51.0,370.0,4.5,0.0,0.0,0.0
15.48,64.0,4.75,4.75,4.75,16.1,14.4,17.7,15.96,2.0,0.04,0.12,209.8,10.1,254.0,1.0,3.0,1121.0,699.0,1359.0,-12.0,1419.0,16.09,1196.3,818.0,32.8,33.7,0.0,2.5,1340.2,0.0,15.72,-4.5,35.5,32.1,36.7,32.0,31.5,31.5,32.6,32.3,46.8,46.6,15.0,23.0,6.4,11.7,39.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.89,44.86,51.0,380.0,4.5,0.0,0.0,0.0
15.38,64.0,2.91,2.89,2.88,15.5,16.4,17.5,15.71,8.5,0.14,0.07,209.8,9.6,251.0,1.0,3.0,1105.0,700.0,1341.0,-1.0,1409.0,15.85,1194.8,821.0,31.5,31.7,0.0,2.5,1340.2,0.0,15.72,-4.5,35.5,32.1,36.6,31.9,31.4,31.7,32.7,32.3,46.8,46.5,15.0,23.0,6.4,11.7,37.0,37.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.86,51.0,380.0,4.5,0.0,0.0,0.0
15.12,64.0,4.49,4.66,4.65,19.5,15.6,16.1,15.27,2.8,0.08,0.16,209.5,10.0,256.0,1.0,3.0,1093.0,696.0,1320.0,-5.0,1376.0,15.53,1179.3,830.0,29.7,31.5,0.0,2.5,1340.2,0.0,15.72,-4.4,35.5,32.3,36.7,32.0,31.5,31.9,32.5,32.2,46.8,46.6,14.0,23.0,6.4,11.7,36.0,36.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.86,52.0,380.0,4.6,0.0,0.0,0.0
14.15,64.0,0.25,0.2,0.2,12.1,14.3,12.2,14.8,6.2,0.18,0.14,209.1,9.0,248.0,1.0,3.0,942.0,699.0,1142.0,-12.0,1191.0,15.21,1057.6,720.0,31.1,31.1,0.0,2.5,1340.2,0.0,15.72,-4.5,35.8,32.3,36.9,32.2,31.7,31.8,33.5,32.9,46.5,46.3,15.0,23.0,6.2,11.7,36.0,36.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.85,50.0,370.0,4.4,0.0,0.0,0.0
15.88,64.0,4.83,4.75,4.75,15.4,17.0,18.3,16.19,5.0,0.06,0.04,209.9,7.9,253.0,1.0,3.0,1126.0,699.0,1365.0,-6.0,1435.0,16.34,1191.5,811.0,32.2,33.8,0.0,2.5,1340.2,0.0,15.72,-4.5,35.5,32.1,36.7,32.0,31.5,31.7,32.6,32.2,46.8,46.6,15.0,23.0,6.4,11.7,39.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.86,51.0,370.0,4.5,0.0,0.0,0.0
15.68,64.0,0.24,0.28,0.28,12.0,13.8,14.6,16.03,-10.2,0.11,0.02,209.7,7.2,261.0,1.0,3.0,1106.0,698.0,1340.0,0.0,1394.0,16.16,1171.8,803.0,28.6,30.0,0.0,2.5,1340.2,0.0,15.72,-4.5,35.6,32.4,36.7,32.0,31.6,31.7,32.7,32.4,46.7,46.5,15.0,23.0,6.4,11.7,35.0,35.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.85,51.0,370.0,4.4,0.0,0.0,0.0
16.09,64.0,5.23,5.18,5.17,11.3,12.2,10.9,16.52,-4.4,-0.01,-0.05,209.5,9.0,256.0,1.0,3.0,1133.0,699.0,1374.0,0.0,1433.0,16.63,1189.3,802.0,29.1,29.2,0.0,2.5,1340.2,0.0,15.72,-4.5,35.5,32.2,36.7,31.9,31.5,31.7,33.0,32.5,46.6,46.5,15.0,23.0,6.2,11.7,34.0,35.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,23.0,23.0,22.0,44.82,44.88,44.86,51.0,370.0,4.5,0.0,0.0,0.0
15.13,64.0,0.24,0.28,0.28,12.4,12.1,15.2,15.35,12.2,0.07,0.23,209.1,6.5,258.0,1.0,3.0,991.0,698.0,1201.0,3.0,1251.0,15.57,1091.1,744.0,29.8,29.9,0.0,2.5,1340.2,0.0,15.72,-4.5,35.5,32.2,36.8,32.0,31.5,32.0,32.6,32.4,46.7,46.6,15.0,24.0,6.4,11.7,35.0,35.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,32.0,39.0,35.0,24.0,24.0,22.0,44.81,44.88,44.86,50.0,380.0,4.4,0.0,0.0,0.0
