轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.61,88,0.25,0.26,0.27,11.7,10.4,12.1,7.81,-28.3,0.02,0.17,27.3,5.2,44,1,1,117,674,138,0,143,7.85,251.5,177,33.6,33.9,0,2.7,906.4,0,14.09,30.0,37.6,35.1,38.4,34.8,35.2,35.0,35.8,34.9,46.5,46.7,42,49,32.2,36.5,34,35,38,0,0,0,6,6,4,2,36,37,37,43,50,46,49,49,47,44.77,44.79,44.79,75,630,7.2,0,0,0
7.72,212,0.25,0.26,0.27,11.3,10.4,12.5,7.87,6.4,0.06,0.11,208.2,4.6,32,1,1,131,672,153,-2,163,8.02,270.4,187,33.6,34.0,0,2.7,2067.6,0,16.83,30.0,37.9,35.2,38.6,34.9,35.3,35.1,35.8,34.9,46.6,46.8,41,49,32.2,36.5,35,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,47,44.77,44.79,44.8,75,640,7.2,0,0,0
7.08,99,0.25,0.26,0.27,12.5,10.4,11.5,7.27,-3.0,0.08,0.14,208.0,2.2,29,1,1,4,672,2,-5,5,7.34,36.2,11,33.6,33.8,0,2.7,598.1,0,12.26,30.0,37.9,35.2,38.6,35.0,35.2,35.2,35.8,34.9,46.6,46.8,42,49,32.2,36.6,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,74,660,7.1,0,0,0
7.19,137,0.25,0.26,0.27,12.4,10.6,11.3,7.6,-29.0,0.19,0.24,27.2,2.8,40,1,1,49,672,58,3,58,7.63,126.4,84,33.7,33.7,0,2.7,906.4,0,14.09,30.0,37.6,35.2,38.5,34.8,35.2,35.0,35.8,34.9,46.5,46.7,41,50,32.2,36.5,34,35,38,0,0,0,6,6,4,2,36,37,37,43,50,46,50,50,47,44.78,44.79,44.8,75,650,7.1,0,0,0
7.36,211,0.25,0.26,0.27,11.4,10.4,12.5,7.49,-1.4,0.1,0.14,208.0,4.1,30,1,1,69,674,81,-3,86,7.6,140.3,100,33.6,33.9,0,2.7,2067.6,0,16.83,30.0,37.9,35.1,38.6,35.0,35.2,35.2,35.8,35.0,46.6,46.8,41,49,32.2,36.5,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,74,650,7.2,0,0,0
8.61,247,0.24,0.22,0.23,10.6,10.8,13.4,8.98,-1.8,0.08,0.06,208.0,4.6,36,1,1,184,672,215,0,226,9.08,341.2,238,33.6,33.8,0,2.7,2067.6,0,16.83,30.1,38.1,35.0,38.7,35.0,35.3,35.2,35.8,34.9,46.7,46.9,41,50,32.4,36.7,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,75,650,7.3,0,0,0
7.4,230,0.25,0.26,0.27,10.4,11.9,11.4,7.61,-15.9,0.15,0.24,208.9,3.0,19,1,1,68,675,80,-1,83,7.62,147.4,107,33.6,33.9,0,2.7,1793.7,0,16.42,30.0,37.6,35.2,38.4,34.8,35.2,35.0,35.8,34.9,46.5,46.7,42,49,32.2,36.5,34,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,47,44.77,44.79,44.8,76,650,7.2,0,0,0
7.72,36,0.25,0.26,0.27,12.0,11.1,11.4,7.9,2.9,0.22,0.17,208.4,5.3,32,1,1,121,672,142,-2,152,7.93,262.4,181,34.0,34.0,0,2.7,2067.6,0,16.83,30.0,37.8,35.2,38.5,34.9,35.2,35.1,35.8,34.9,46.6,46.7,41,49,32.2,36.5,35,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.78,44.8,44.79,75,650,7.3,0,0,0
7.22,296,0.25,0.26,0.27,12.5,10.4,11.3,7.49,-3.6,0.16,0.21,208.1,3.3,33,1,1,31,672,37,-3,42,7.48,101.1,50,33.6,34.1,0,2.7,2067.6,0,16.83,30.0,37.9,35.1,38.6,35.0,35.3,35.2,35.8,34.9,46.6,46.8,41,49,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,49,46,49,49,47,44.77,44.8,44.8,74,650,7.1,0,0,0
7.19,293,0.25,0.26,0.27,11.9,10.4,11.9,7.35,2.8,0.03,0.15,207.9,2.1,33,1,1,24,671,29,-5,38,7.44,82.1,43,33.7,33.9,0,2.7,981.0,0,14.46,30.0,37.9,35.3,38.6,35.0,35.3,35.0,35.8,35.0,46.6,46.8,42,49,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,47,44.78,44.8,44.8,74,660,7.2,0,0,0
7.1,147,0.25,0.26,0.27,11.8,11.1,11.0,7.28,12.8,0.08,0.13,207.9,1.9,27,1,1,4,671,-5,-4,-3,7.26,35.6,0,33.5,33.6,0,2.7,598.1,0,12.26,30.0,37.9,35.1,38.6,35.0,35.3,35.1,35.8,34.9,46.6,46.8,41,49,32.2,36.6,34,35,39,0,0,0,6,6,4,0,36,37,37,43,49,46,49,49,47,44.78,44.79,44.8,75,650,7.2,0,0,0
7.08,346,0.25,0.26,0.27,11.6,11.3,11.3,7.29,2.5,0.12,0.24,207.9,2.2,24,1,1,2,671,4,-2,2,7.26,35.0,10,33.5,33.7,0,2.7,149.6,0,7.72,30.0,37.9,35.0,38.6,35.0,35.3,35.1,35.8,34.9,46.7,46.9,42,50,32.3,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,47,44.77,44.8,44.8,75,660,7.2,0,0,0
7.3,291,0.24,0.22,0.23,11.4,10.4,13.4,7.63,-14.5,0.1,0.21,208.1,4.1,32,1,1,102,672,120,-3,130,7.75,233.2,146,33.5,33.5,0,2.7,2067.6,0,16.83,30.0,38.0,35.0,38.7,35.0,35.2,35.1,35.8,34.9,46.7,46.9,42,49,32.4,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,74,660,7.3,0,0,0
7.82,178,0.25,0.26,0.27,11.0,11.4,11.5,7.94,-17.0,-0.25,0.1,26.6,4.7,46,1,1,132,674,155,-2,156,8.01,270.9,186,33.6,33.6,0,2.7,1500.0,0,15.98,30.0,37.7,35.2,38.4,34.8,35.2,35.0,35.8,34.9,46.5,46.7,42,49,32.2,36.5,35,35,39,0,0,0,6,6,4,2,36,37,37,43,50,46,49,49,47,44.77,44.79,44.8,75,640,7.2,0,0,0
8.25,293,0.24,0.22,0.23,11.8,10.5,13.4,8.61,-3.8,0.05,0.09,208.0,4.9,37,1,1,169,674,198,2,199,8.68,315.9,218,33.5,33.7,0,2.7,2067.6,0,16.83,30.1,38.0,35.0,38.6,35.0,35.3,35.2,35.8,34.9,46.7,46.9,42,50,32.4,36.7,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.78,44.79,44.79,74,650,7.4,0,0,0
7.16,340,0.25,0.26,0.27,12.4,10.6,11.2,7.36,-5.3,0.15,0.14,207.5,2.5,34,1,1,40,670,48,-3,50,7.41,89.5,50,33.7,33.9,0,2.7,1942.6,0,16.64,30.0,37.9,35.1,38.6,35.0,35.3,35.0,35.8,35.0,46.6,46.8,41,49,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,47,44.77,44.79,44.8,75,660,7.2,0,0,0
7.18,248,0.25,0.26,0.27,10.5,10.5,12.2,7.29,0.5,0.08,0.09,208.1,2.3,30,1,1,16,671,19,7,22,7.43,56.7,27,33.7,33.7,0,2.7,981.0,0,14.46,30.0,37.9,35.2,38.6,35.0,35.3,35.1,35.8,34.9,46.6,46.8,41,50,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,74,650,7.2,0,0,0
7.15,281,0.25,0.26,0.27,10.4,10.8,11.8,7.49,9.5,0.0,0.12,26.8,3.4,22,1,1,60,672,70,5,63,7.51,138.7,100,33.8,33.7,0,2.7,1500.0,0,15.98,30.0,37.6,35.3,38.4,34.8,35.1,35.1,35.8,34.9,46.5,46.7,42,50,32.2,36.5,34,35,38,0,0,0,6,6,4,1,36,37,37,43,50,46,50,50,47,44.77,44.79,44.8,76,650,7.1,0,0,0
7.1,287,0.25,0.26,0.27,10.4,10.4,12.1,7.26,9.1,-0.07,0.16,208.0,2.3,26,1,1,19,671,23,0,24,7.26,51.8,26,33.5,33.6,0,2.7,425.4,0,10.95,30.0,37.9,35.1,38.5,35.0,35.3,35.1,35.8,34.9,46.6,46.8,42,50,32.2,36.5,34,35,38,0,0,0,6,6,4,0,36,37,37,42,50,46,50,50,48,44.77,44.79,44.8,75,650,7.2,0,0,0
7.36,319,0.25,0.26,0.27,10.5,10.6,11.7,7.47,-18.5,0.12,0.17,209.1,3.2,20,1,1,71,674,84,-3,87,7.61,160.9,117,33.6,33.5,0,2.7,1793.7,0,16.42,30.0,37.6,35.2,38.5,34.8,35.2,35.1,35.8,34.9,46.5,46.7,42,49,32.2,36.5,34,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,76,650,7.1,0,0,0
7.11,335,0.25,0.26,0.27,11.8,10.4,11.8,7.25,-11.8,0.08,0.17,208.0,1.2,32,1,1,16,671,19,5,15,7.29,49.9,24,33.7,33.7,0,2.7,1303.1,0,15.66,30.0,37.9,35.0,38.5,35.0,35.3,35.1,35.8,34.9,46.6,46.8,41,49,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,47,44.77,44.79,44.79,74,630,7.2,0,0,0
7.18,19,0.25,0.26,0.27,12.4,10.8,11.1,7.38,12.2,0.12,0.12,208.0,2.4,28,1,1,43,671,51,-5,51,7.36,77.3,61,33.7,33.8,0,2.7,981.0,0,14.46,30.0,37.9,35.1,38.6,35.0,35.3,35.1,35.8,34.9,46.6,46.8,42,50,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,75,650,7.2,0,0,0
7.2,206,0.24,0.22,0.23,10.5,10.7,13.3,7.41,40.3,0.03,0.1,207.9,0.9,9,1,1,42,671,50,1,53,7.42,88.4,59,33.5,33.5,0,2.7,650.9,0,12.61,30.0,37.9,35.0,38.6,35.0,35.2,35.2,35.8,34.9,46.7,46.8,42,50,32.4,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.78,44.8,44.8,75,650,7.3,0,0,0
7.11,285,0.25,0.26,0.27,10.4,11.1,11.6,7.27,1.2,0.18,0.16,208.0,2.0,30,1,1,16,671,20,4,18,7.25,46.1,20,33.6,33.7,0,2.7,425.4,0,10.95,30.0,37.9,35.1,38.6,35.0,35.2,35.1,35.8,34.9,46.6,46.8,41,50,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.78,44.79,44.8,75,650,7.2,0,0,0
7.76,124,0.25,0.26,0.27,10.4,11.9,11.6,7.92,-7.8,0.05,0.14,208.1,4.5,34,1,1,132,671,155,0,157,7.96,266.7,183,33.6,33.9,0,2.7,2067.6,0,16.83,30.0,37.8,35.1,38.5,35.0,35.2,35.2,35.8,34.9,46.6,46.8,42,49,32.2,36.5,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.78,44.79,44.8,74,650,7.2,0,0,0
7.75,89,0.25,0.26,0.27,12.1,10.5,11.6,7.95,-11.8,0.14,0.1,26.4,4.2,46,1,1,136,673,159,-2,162,8.01,269.4,187,33.6,33.9,0,2.7,1500.0,0,15.98,30.0,37.7,35.2,38.4,34.8,35.2,35.0,35.8,34.9,46.5,46.7,41,49,32.2,36.5,35,35,39,0,0,0,6,6,4,2,36,37,37,43,50,46,49,49,47,44.77,44.79,44.8,74,650,7.1,0,0,0
7.08,54,0.25,0.26,0.27,11.6,10.4,12.2,7.24,-2.2,0.09,0.14,207.9,2.2,29,1,1,9,672,10,-5,8,7.27,38.7,7,33.5,33.7,0,2.7,598.1,0,12.26,30.0,37.9,35.2,38.6,35.0,35.2,35.2,35.8,35.0,46.6,46.8,43,49,32.2,36.6,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,74,650,7.2,0,0,0
7.31,326,0.25,0.26,0.27,10.8,10.4,12.2,7.48,10.7,0.11,0.18,26.8,3.3,21,1,1,67,671,79,-6,88,7.58,149.6,103,33.5,33.6,0,2.7,1500.0,0,15.98,30.0,37.6,35.3,38.4,34.8,35.1,35.1,35.8,34.9,46.5,46.7,41,49,32.2,36.5,34,35,38,0,0,0,6,6,4,1,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,76,640,7.2,0,0,0
8.57,101,0.24,0.22,0.23,11.2,11.8,12.8,9.02,1.2,0.08,0.21,207.9,4.9,35,1,1,192,672,225,-5,241,9.09,344.6,237,33.6,33.8,0,2.7,2067.6,0,16.83,30.1,38.1,35.1,38.7,35.0,35.3,35.3,35.7,34.8,46.7,46.9,42,50,32.4,36.7,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,75,660,7.4,0,0,0
7.84,78,0.25,0.26,0.27,10.5,11.8,11.6,7.96,-4.7,0.08,0.12,208.0,4.0,34,1,1,129,673,152,5,156,8.03,275.8,186,33.8,33.9,0,2.7,2067.6,0,16.83,30.0,37.9,35.2,38.6,34.9,35.3,35.0,35.8,35.0,46.6,46.8,41,49,32.2,36.5,35,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.78,44.79,44.8,75,650,7.2,0,0,0
7.13,121,0.25,0.26,0.27,10.4,10.9,11.9,7.48,-0.5,0.14,0.19,207.9,4.1,30,1,1,65,672,76,1,76,7.53,162.0,90,33.7,33.8,0,2.7,2067.6,0,16.83,30.0,37.9,35.1,38.6,35.0,35.2,35.3,35.8,35.0,46.6,46.8,42,49,32.2,36.5,35,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.78,44.79,44.8,74,650,7.2,0,0,0
7.28,252,0.24,0.22,0.23,10.7,10.4,13.8,7.47,5.6,0.06,0.14,207.9,2.8,14,1,1,50,673,59,-2,61,7.46,111.5,77,33.5,33.5,0,2.7,1484.4,0,15.95,30.0,38.0,35.2,38.6,35.0,35.3,35.2,35.8,34.9,46.7,46.9,41,50,32.4,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.78,44.79,44.8,76,650,7.3,0,0,0
8.9,69,0.24,0.22,0.23,12.4,11.2,12.8,9.09,-3.4,0.09,0.22,207.9,5.0,35,1,1,196,672,230,1,233,9.06,343.3,237,33.7,33.7,0,2.7,2067.6,0,16.83,30.1,38.1,35.1,38.7,35.0,35.4,35.1,35.8,34.9,46.7,46.9,42,50,32.4,36.7,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,75,650,7.4,0,0,0
7.68,312,0.25,0.26,0.27,10.8,10.4,12.7,7.97,-8.7,0.15,0.14,208.8,5.1,44,1,1,139,672,163,0,161,8.12,274.1,190,33.8,34.0,0,2.7,2067.6,0,16.83,30.0,37.7,35.1,38.5,34.9,35.2,35.1,35.8,34.9,46.6,46.7,42,49,32.2,36.5,35,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.77,44.79,44.8,74,650,7.2,0,0,0
7.06,37,0.25,0.26,0.27,10.4,12.0,11.1,7.28,12.8,0.32,0.07,208.1,2.5,25,1,1,9,670,11,-3,14,7.27,38.3,17,33.5,33.6,0,2.7,425.4,0,10.95,30.0,37.9,35.1,38.6,35.0,35.3,35.1,35.8,34.9,46.6,46.8,42,50,32.2,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,47,44.78,44.79,44.8,75,650,7.2,0,0,0
7.77,313,0.25,0.26,0.27,10.6,10.7,12.1,7.98,-23.5,-0.17,0.12,26.7,3.4,48,1,1,125,671,147,-3,158,8.08,268.4,186,33.7,33.8,0,2.7,1500.0,0,15.98,30.0,37.7,35.3,38.4,34.9,35.2,35.0,35.8,34.9,46.5,46.7,42,49,32.2,36.5,35,35,38,0,0,0,6,6,4,2,36,37,37,43,50,46,49,49,47,44.77,44.79,44.8,75,650,7.1,0,0,0
7.69,81,0.25,0.26,0.27,10.8,11.8,11.3,7.85,2.1,0.03,0.14,208.1,5.3,33,1,1,129,672,151,1,163,7.96,262.2,182,33.8,33.8,0,2.7,2067.6,0,16.83,30.0,37.8,35.2,38.5,34.9,35.2,35.1,35.8,34.9,46.6,46.7,41,50,32.2,36.5,35,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.78,44.8,44.79,74,650,7.2,0,0,0
7.18,27,0.24,0.22,0.23,12.0,11.3,11.8,7.36,61.3,0.2,0.14,208.0,1.0,10,1,1,28,670,34,0,31,7.36,83.0,47,33.4,33.6,0,2.7,650.9,0,12.61,30.0,37.9,35.0,38.6,35.0,35.2,35.1,35.8,34.9,46.7,46.9,42,50,32.4,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,47,44.77,44.79,44.8,74,650,7.3,0,0,0
7.12,196,0.25,0.26,0.27,10.5,11.8,11.1,7.26,0.7,0.06,0.16,208.0,2.5,30,1,1,19,673,23,6,19,7.25,52.2,23,33.6,33.9,0,2.7,425.4,0,10.95,30.0,37.9,35.2,38.6,35.0,35.3,35.1,35.8,34.9,46.6,46.8,42,50,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,47,44.77,44.79,44.8,75,650,7.1,0,0,0
8.79,324,0.24,0.22,0.23,12.0,10.6,13.6,8.9,-11.7,0.03,0.08,208.0,5.0,39,1,1,189,674,222,0,231,8.98,339.3,235,33.7,34.0,0,2.7,2067.6,0,16.83,30.1,38.0,35.1,38.6,35.0,35.3,35.1,35.8,34.9,46.7,46.9,42,50,32.4,36.7,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,74,650,7.3,0,0,0
6.88,331,0.25,0.26,0.27,10.8,10.4,12.4,7.17,6.7,0.17,0.08,207.9,2.2,26,1,1,7,670,8,5,8,7.35,47.2,14,33.5,33.8,0,2.7,425.4,0,10.95,30.0,37.9,35.1,38.5,35.0,35.3,35.1,35.8,34.9,46.6,46.8,42,49,32.2,36.5,34,35,38,0,0,0,6,6,4,0,36,37,37,42,50,46,49,49,48,44.78,44.79,44.8,75,650,7.2,0,0,0
8.82,321,0.24,0.22,0.23,11.5,10.5,13.8,9.0,-5.3,0.08,0.1,208.1,4.9,36,1,1,195,672,228,-1,243,9.12,345.0,236,33.6,33.7,0,2.7,2067.6,0,16.83,30.1,38.1,35.0,38.7,35.0,35.3,35.2,35.8,34.9,46.7,46.9,41,50,32.4,36.7,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.78,44.79,44.8,76,650,7.4,0,0,0
7.04,221,0.25,0.26,0.27,12.4,10.4,11.2,7.26,5.1,0.29,0.13,208.0,1.4,30,1,1,2,672,-3,2,-4,7.29,31.6,1,33.6,33.7,0,2.7,425.4,0,10.95,30.0,37.9,35.0,38.6,35.0,35.2,35.1,35.8,34.9,46.6,46.8,42,49,32.2,36.7,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,47,44.78,44.79,44.8,74,640,7.1,0,0,0
7.75,168,0.25,0.26,0.27,10.4,11.0,11.7,7.93,-7.0,0.09,0.14,208.2,4.5,34,1,1,128,671,150,1,152,7.98,265.3,184,33.6,34.0,0,2.7,2067.6,0,16.83,30.0,37.8,35.1,38.6,35.0,35.2,35.2,35.8,34.9,46.6,46.8,41,49,32.2,36.5,35,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,49,49,48,44.78,44.79,44.79,74,650,7.2,0,0,0
7.14,337,0.25,0.26,0.27,12.2,10.4,11.5,7.38,3.0,0.03,0.19,208.0,2.1,29,1,1,16,670,19,-5,27,7.4,64.2,37,33.6,33.8,0,2.7,1303.1,0,15.66,30.0,37.9,35.2,38.6,35.0,35.3,35.1,35.8,34.9,46.6,46.8,42,50,32.2,36.5,34,35,39,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,48,44.77,44.79,44.8,74,650,7.1,0,0,0
7.29,93,0.25,0.26,0.27,12.4,10.4,11.4,7.45,-19.1,0.14,0.19,209.0,2.2,22,1,1,53,673,63,-6,67,7.57,142.4,83,33.5,33.6,0,2.7,1793.7,0,16.42,30.0,37.6,35.1,38.5,34.8,35.2,34.9,35.8,34.9,46.5,46.7,42,50,32.2,36.5,34,35,38,0,0,0,6,6,4,0,36,37,37,43,50,46,50,50,47,44.78,44.79,44.8,76,660,7.1,0,0,0
